Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Features","For Use With/Related Products","Size / Dimension","Color","Material"
http://reports.daviesmolding.com/drawings/0221.pdf,//media.digikey.com/Photos/Davies-Molding-LLC/MFG_0221.jpg,1722-1022-ND,0221,"Davies Molding, LLC",ELECTRONIC COVERS,137,0,"1.32000","0","1","0221","Active","Cover, Lid","Heat Resistant","0220-A","3.777"" L x 2.650"" W x 0.063"" H (95.94mm x 67.31mm x 1.60mm)","Black","Plastic, Phenolic"
https://www.phoenixcontact.com/pxc-oc-itemdetail-pdf-web/eshop?lineItemType=LineItem&UID=2907143,//media.digikey.com/Photos/Phoenix%20Photos/2907143.JPG,277-14901-ND,2907143,Phoenix Contact,COVER CAPS UNOCCUPIED TERM PNTS,66,0,"1.50000","0","1","ME","Active","Filler Plug","-","22.5mm Wide Housing","0.886"" W (22.50mm)","Green","Plastic, Non Specified"
-,//media.digikey.com/photos/LMB%20Heeger%20Photos/M18%20LID%20PLN.jpg,L211-ND,M-18LID PLAIN,LMB Heeger Inc.,LID FOR M18 BOX,130,0,"1.57000","0","1","-","Active","Cover, Lid","-","M18","2.000"" L x 2.000"" W x 0.024"" H (50.80mm x 50.80mm x 0.61mm)","Unpainted","Metal, Steel"
-,//media.digikey.com/photos/LMB%20Heeger%20Photos/M10%20LID%20PLN.jpg,L205-ND,M-10LID PLAIN,LMB Heeger Inc.,LID FOR M10 BOX,53,0,"1.57000","0","1","-","Active","Cover, Lid","-","M10","1.750"" L x 1.250"" W x 0.024"" H (44.45mm x 31.75mm x 0.61mm)","Unpainted","Metal, Steel"
http://reports.daviesmolding.com/drawings/0226.pdf,//media.digikey.com/Photos/Davies-Molding-LLC/MFG_0226.jpg,1722-1023-ND,0226,"Davies Molding, LLC",ELECTRONIC COVERS,752,0,"1.62000","0","1","0226","Active","Cover, Lid","-","0225","4.030"" L x 2.920"" W x 0.250"" H (102.36mm x 74.17mm x 6.35mm)","Black","Plastic, ABS"
http://www.keyelco.com/product-pdf.cfm?p=1615,//media.digikey.com/photos/Keystone%20Elect%20Photos/2042.jpg,36-2042-ND,2042,Keystone Electronics,PANEL PHENOLIC 2-7/8X3-15/16""BLK,589,458,"1.78000","0","1","-","Active","Cover, Lid","-","705 Case","4.000"" L x 2.875"" W x 0.062"" H (101.60mm x 73.03mm x 1.57mm)","Black","Plastic, Phenolic"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/EH_F_Series_ElectHousings_3-5-15.pdf,//media.digikey.com/Photos/Phoenix%20Photos/MFG_2201453.jpg,277-10403-ND,2201453,Phoenix Contact,ELECTRONIC HOUSING COVER,83,0,"1.96000","0","1","EH","Active","Housing","-","22.5mm Wide Housing","0.886"" W (22.50mm)","Gray","Plastic, ABS"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2909976.pdf,//media.digikey.com/Photos/Phoenix%20Photos/2909976.JPG,277-2893-ND,2909976,Phoenix Contact,FOOT ELEMENT 107.5MM,93,2900,"2.04000","0","1","UM","Active","Panel, Bottom","Foot","UM Series","-","Black","Plastic, Non Specified"
https://www.phoenixcontact.com/pxc-oc-itemdetail-pdf-web/eshop?lineItemType=LineItem&UID=2959434,//media.digikey.com/Photos/Phoenix%20Photos/2959434.jpg,277-14953-ND,2959434,Phoenix Contact,FOOT ELEMENT IS INSERTED,39,0,"2.30000","0","1","UM","Active","Panel, Bottom","Foot","UM Series","1.764"" L x 1.043"" W (44.80mm x 26.50mm)","Green","Plastic, Non Specified"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/EH_F_Series_ElectHousings_3-5-15.pdf,//media.digikey.com/Photos/Phoenix%20Photos/MFG_2201827.jpg,277-10449-ND,2201827,Phoenix Contact,ELECTRONIC HOUSING COVER,40,0,"2.33000","0","1","EH","Active","Housing","-","35mm Wide Housing","1.378"" W (35.00mm)","Black","Plastic, ABS"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/EH_F_Series_ElectHousings_3-5-15.pdf,//media.digikey.com/Photos/Phoenix%20Photos/MFG_2201251.jpg,277-10467-ND,2201251,Phoenix Contact,ELECTRONIC HOUSING COVER,36,0,"2.38000","0","1","EH","Active","Housing","-","22.5mm Wide Housing","0.886"" W (22.50mm)","Gray","Plastic, ABS"
http://reports.daviesmolding.com/drawings/0251.pdf,//media.digikey.com/Photos/Davies-Molding-LLC/MFG_0251.jpg,1722-1026-ND,0251,"Davies Molding, LLC",ELECTRONIC COVERS,117,0,"2.46000","0","1","0251","Active","Cover, Lid","-","0250","6.270"" L x 3.781"" W x 0.250"" H (159.26mm x 96.04mm x 6.35mm)","Black","Plastic, Phenolic"
