Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Connector Type","Number of Positions","Number of Rows","Termination Style"
http://www.panduit.com/heiler/PartDrawings/C-NKNKPPN24P--ENG.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_NKPPN24P.jpg,298-15092-ND,NKPPN24P,Panduit Corp,PATCH PANEL 24 PORT 1 ROW,8,0,"30.64000","0","1","NetKey®","Obsolete","Modular Panel, Keystone","-","24","1","-"
http://www.panduit.com/heiler/PartDrawings/C-NKNKPP24P--ENG.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_NKPP24P.JPG,298-12397-ND,NKPP24P,Panduit Corp,PATCH PANEL 24 PORT 1 ROW,10,0,"34.07000","0","1","NetKey®","Obsolete","Modular Panel, Keystone","-","24","1","-"
http://www.panduit.com/heiler/PartDrawings/C-NKNKMP24Y--ENG.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_NKMP24Y.jpg,298-15082-ND,NKMP24Y,Panduit Corp,PATCH PANEL 24 PORT 1ROW,18,0,"48.01000","0","1","NetKey®","Obsolete","Modular Panel, Keystone","-","24","1","-"
http://www.panduit.com/heiler/PartDrawings/C-NKNKPP48P--ENG.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_NKPP48P.JPG,298-12398-ND,NKPP48P,Panduit Corp,PATCH PANEL 48 PORT,6,0,"61.20000","0","1","NetKey®","Obsolete","Modular Panel, Keystone","-","48","2","-"
http://www.panduit.com/heiler/PartDrawings/C-NKNKMP48Y--ENG.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_NKMP48Y.jpg,298-15083-ND,NKMP48Y,Panduit Corp,PATCH PANEL 48 PORT 1 ROW,20,0,"83.44000","0","1","NetKey®","Obsolete","Modular Panel, Keystone","-","48","2","-"
http://www.switchcraft.com/Documents/EDG4.pdf#page=207,//media.digikey.com/Photos/Switchcraft%20Photos/1200.jpg,1200X-ND,1200X,Switchcraft Inc.,PHONE T-JACK PANEL .25"" STD SGL,24,0,"86.03000","0","1","1200","Active","Telephone Jack Panel","1/4"" Phone Jack (Not Provided)","24","1","-"
http://www.panduit.com/heiler/PartDrawings/C-NKNK5EPP24P--ENG.pdf,-,298-15026-ND,NK5EPP24P,Panduit Corp,PATCH PANEL CAT5E 24PORT 1ROW,5,0,"169.44000","0","1","NetKey®","Obsolete","Patch Panel, Cat5e","RJ45 Jack (Not Provided)","24","1","Punch Down"
http://www.panduit.com/heiler/PartDrawings/C-NKNK6PPN24P--ENG.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_NK6PPN24P.JPG,298-15059-ND,NK6PPN24P,Panduit Corp,PATCH PANEL CAT6 24PORT BLK,2,0,"243.88000","0","1","NetKey®","Obsolete","Patch Panel, Cat6","RJ45 Jack (Not Provided)","24","1","Punch Down"
http://www.panduit.com/heiler/PartDrawings/C-NKNK6PP24P--ENG.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_NK6PP24P.jpg,298-15057-ND,NK6PP24P,Panduit Corp,PATCH PANEL CAT6 24PORT BLK,10,0,"258.55000","0","1","NetKey®","Obsolete","Patch Panel, Cat6","RJ45 Jack (Not Provided)","24","1","Punch Down"
http://www.panduit.com/heiler/PartDrawings/C-NKNK5EPP48P--ENG.pdf,-,298-15027-ND,NK5EPP48P,Panduit Corp,PATCH PANEL CAT5E 48PORT 2ROW,5,0,"305.27000","0","1","NetKey®","Obsolete","Patch Panel, Cat5e","RJ45 Jack (Not Provided)","48","2","Punch Down"
http://www.panduit.com/heiler/PartDrawings/C-NKNK6PPN48P--ENG.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_NK6PPN48P.JPG,298-15060-ND,NK6PPN48P,Panduit Corp,PANEL PATCH CAT6 48PORT 2ROW,3,0,"450.32000","0","1","NetKey®","Obsolete","Patch Panel, Cat6","RJ45 Jack (Not Provided)","48","2","Punch Down"
http://www.panduit.com/heiler/PartDrawings/C-NKNK6PP48P--ENG.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_NK6PP48P.JPG,298-12377-ND,NK6PP48P,Panduit Corp,PATCH PANEL CAT6 48PORT BLK,2,0,"477.28000","0","1","NetKey®","Obsolete","Patch Panel, Cat6","RJ45 Jack (Not Provided)","48","2","Punch Down"
https://www.panduit.com/content/dam/panduit/en/products/assets/d/dp/dp2/dp24/dp245e88tv25/media/C-CODP245E88TV25--ENG.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_DP245E88TV25.jpg,298-16162-ND,DP245E88TV25,Panduit Corp,CONNECTOR PANEL 24-PORT,3,0,"513.46000","0","1","-","Last Time Buy","Patch Panel, Cat5","RJ45 Jack","24","1","RJ21 Connector"
http://www.assmann-wsw.com/fileadmin/datasheets/DN-91xxxU.pdf,//media.digikey.com/Photos/Assmann%20Photos/MFG_DN-91524U.jpg,AE10602-ND,DN-91524U,Assmann WSW Components,PATCH PNL 19"" 24PORT RJ45 CAT5E,3,0,"39.22000","0","1","Digitus®","Active","Modular Panel","RJ45","24","1","LSA Block"
