Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Height","Length - Center to Center","Thread/Screw/Hole Size","Material","Mounting Type"
http://www.keyelco.com/product-pdf.cfm?p=1720,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_910x.jpg,36-9100-ND,9100,Keystone Electronics,HANDLE INSTR RND .187""DIA BRASS,0,147,"5.25000","0","100","-","Active","Instrumentation","0.625"" (15.88mm)","1.250"" (31.75mm)","#4-40","Brass","Screw Holes, Back"
http://www.keyelco.com/product-pdf.cfm?p=1720,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_910x.jpg,36-9103-ND,9103,Keystone Electronics,HANDLE RND .187""DIA .625""H BRASS,0,0,"5.46000","0","100","-","Active","Instrumentation","0.625"" (15.88mm)","2.000"" (50.80mm)","#4-40","Brass","Screw Holes, Back"
http://www.keyelco.com/product-pdf.cfm?p=1724,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_910x.jpg,36-9105-ND,9105,Keystone Electronics,HANDLE RND .187""DIA .750""H BRASS,0,0,"5.46000","0","100","-","Active","Instrumentation","0.750"" (19.05mm)","1.750"" (44.45mm)","#4-40","Brass","Screw Holes, Back"
http://www.keyelco.com/product-pdf.cfm?p=1691,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_714x.jpg,36-7142-ND,7142,Keystone Electronics,HANDLE INSTR RND .156""DIA BRASS,0,713,"5.53000","0","100","-","Active","Instrumentation","1.000"" (25.40mm)","3.000"" (76.20mm)","#4-40","Brass","Screw Holes, Back"
https://www.hammfg.com/files/parts/pdf/1427C3AL.pdf,-,164-1427C3AL-ND,1427C3AL,Hammond Manufacturing,HANDLE,0,48,"5.68000","0","1","*","Active","-","-","-","-","-","-"
http://reports.daviesmolding.com/drawings/5582BE.pdf,//media.digikey.com/Photos/Davies-Molding-LLC/MFG_5582xx.jpg,5582BE-ND,5582BE,"Davies Molding, LLC",HANDLE TAPERED THERMOSET,0,0,"5.80160","0","100","5582","Active","Instrumentation","3.890"" (98.81mm)","-","3/8""-24","Phenolic","Screw Holes, Back"
http://www.keyelco.com/product-pdf.cfm?p=1724,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_910x.jpg,36-9104-ND,9104,Keystone Electronics,HANDLE RND .187""DIA .750""H BRASS,0,133,"5.81000","0","100","-","Active","Instrumentation","0.750"" (19.05mm)","1.500"" (38.10mm)","#4-40","Brass","Screw Holes, Back"
http://www.keyelco.com/product-pdf.cfm?p=1727,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_910x.jpg,36-9108-ND,9108,Keystone Electronics,HANDLE RND .187""DIA 1.00""H BRASS,0,687,"6.04000","0","100","-","Active","Instrumentation","1.000"" (25.40mm)","2.000"" (50.80mm)","#6-32","Brass","Screw Holes, Back"
http://www.keyelco.com/product-pdf.cfm?p=1678,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_5xy.jpg,36-517-ND,517,Keystone Electronics,HANDLE .250""DIA 8-32 THREAD ALUM,0,0,"6.07000","0","100","-","Active","Instrumentation","1.750"" (44.45mm)","4.500"" (114.30mm)","#8-32","Aluminum","Screw Holes, Back"
http://www.keyelco.com/product-pdf.cfm?p=1673,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_5xy.jpg,36-511-ND,511,Keystone Electronics,HANDLE RND 0.250""DIA 1.50""H ALUM,0,211,"6.07000","0","100","-","Active","Instrumentation","1.500"" (38.10mm)","4.500"" (114.30mm)","#8-32","Aluminum","Screw Holes, Back"
