Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Container Type","Platform","Size / Dimension","Height","Area (L x W)","Design","Material","Color","Thickness","Features","Material Flammability Rating"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/2359_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_2359.jpg,2359-ND,2359,Adafruit Industries LLC,RASPBERRY PI A+ CASE - SMOKE BAS,0,0,"6.95000","0","1","PI","Active","Case","Raspberry Pi A+","2.900"" L x 2.500"" W (73.66mm x 63.50mm)","1.000"" (25.40mm)","-","Hand Held, Cover Included","Polycarbonate (PC)","Smoke","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/3770_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_3770.jpg,1528-2597-ND,3770,Adafruit Industries LLC,KITTENBOT SILICONE SLEEVE,0,0,"6.95000","0","1","-","Active","Case","micro:bit","2.205"" L x 1.772"" W (56.00mm x 45.00mm)","0.500"" (12.70mm)","3.91in² (25.2cm²)","Hand Held","Rubber","Blue","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/3771_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_3771.jpg,1528-2598-ND,3771,Adafruit Industries LLC,KITTENBOT SILICONE SLEEVE,0,0,"6.95000","0","1","-","Active","Case","micro:bit","2.205"" L x 1.772"" W (56.00mm x 45.00mm)","0.500"" (12.70mm)","3.91in² (25.2cm²)","Hand Held","Rubber","Orange","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/3772_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_3772.jpg,1528-2599-ND,3772,Adafruit Industries LLC,KITTENBOT SILICONE SLEEVE,0,0,"6.95000","0","1","-","Active","Case","micro:bit","2.205"" L x 1.772"" W (56.00mm x 45.00mm)","0.500"" (12.70mm)","3.91in² (25.2cm²)","Hand Held","Rubber","Yellow","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/3773_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_3773.jpg,1528-2600-ND,3773,Adafruit Industries LLC,KITTENBOT SILICONE SLEEVE,0,0,"6.95000","0","1","-","Active","Case","micro:bit","2.205"" L x 1.772"" W (56.00mm x 45.00mm)","0.500"" (12.70mm)","3.91in² (25.2cm²)","Hand Held","Rubber","Red","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/3774_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_3774.jpg,1528-2601-ND,3774,Adafruit Industries LLC,KITTENBOT SILICONE SLEEVE,0,0,"6.95000","0","1","-","Active","Case","micro:bit","2.205"" L x 1.772"" W (56.00mm x 45.00mm)","0.500"" (12.70mm)","3.91in² (25.2cm²)","Hand Held","Rubber","Blue","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Olimex%20LTD%20PDFs/A20-ENC_Web.pdf,//media.digikey.com/Photos/Olimex%20LTD/A20-ENC.jpg,1188-1125-ND,A20-ENC,Olimex LTD,ENCLOSURE A20-ENC,1,0,"7.19000","0","1","-","Active","Case","OLinuXino","-","-","-","-","-","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/3005_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_3005.jpg,1528-2065-ND,3005,Adafruit Industries LLC,BOX PLASTIC MULTIPLE,0,0,"7.44000","0","1","PI","Active","Case","Raspberry Pi Zero","-","-","-","Hand Held","Plastic, Acrylic","Multiple","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/3003_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_3003.jpg,1528-2063-ND,3003,Adafruit Industries LLC,BOX WOOD NATURAL,0,0,"8.69000","0","1","PI","Active","Case","Raspberry Pi Zero","-","-","-","Hand Held","Wood","Natural","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/UDOO%20PDFs/Acrylic_Case_for_UDOO_X86_Web.pdf,//media.digikey.com/Photos/UDOO/MFG_ENCLOSURE-PK.jpg,ENCLOSURE-PK-ND,ENCLOSURE-PK,UDOO,ENCLOSURE FOR UDOO X86,0,0,"8.88750","0","100","-","Active","Case","-","-","-","-","-","Acrylic","Clear","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/3062_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_3062.JPG,1528-1778-ND,3062,Adafruit Industries LLC,BOX PLSTC CLR/BLK 3.54""LX2.56""W,0,0,"8.95000","0","1","PI","Active","Case","Raspberry Pi B+, 2B, 3B","3.543"" L x 2.559"" W (90.00mm x 65.00mm)","1.181"" (30.00mm)","9.07in² (58.5cm²)","Hand Held, Split Sides","Plastic, Non Specified","Clear, Black","-","PCB Supports","-"
//media.digikey.com/pdf/Data%20Sheets/Seeed%20Technology/Raspberry_PI_B_plus_Case_Web.pdf,//media.digikey.com/Photos/Seeed%20Technology%20Ltd/MFG_114990084.jpg,1597-1041-ND,114990084,"Seeed Technology Co., Ltd",CASE PLASTIC CLEAR 3.88""LX2.76""W,4,0,"9.95000","0","1","-","Active","Case","Raspberry Pi B+, 2B","3.878"" L x 2.756"" W (98.50mm x 70.00mm)","1.398"" (35.51mm)","10.7in² (69cm²)","Hand Held, Split Sides","Plastic, Acrylic","Translucent - Clear","-","-","-"
https://cdn-shop.adafruit.com/product-files/3931/3931_diagram1.pdf,-,1528-2735-ND,3931,Adafruit Industries LLC,FLANGED WEATHERPROOF ENCLOSURE W,0,0,"9.95000","0","1","-","Active","Case","Raspberry Pi Zero","5.231"" L x 2.718"" W (132.86mm x 69.04mm)","1.420"" (36.07mm)","14.2in² (92cm²)","Cover Included","Plastic, ABS","White","-","Watertight","-"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/1985_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_1985.jpg,1528-2234-ND,1985,Adafruit Industries LLC,BOX ACRYLIC CLEAR,0,0,"12.50000","0","1","PI","Active","Case","Raspberry Pi B+, 2B, 3B, 3B+","-","-","-","Hand Held, Cover Included","Plastic, Acrylic","Clear","-","PCB Supports","-"
-,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/821.jpg,1528-1009-ND,821,Adafruit Industries LLC,BOX PLSTC TRN GRAY 4.96""LX3.58""W,2,0,"15.00000","0","1","-","Obsolete","Case","Arduino","4.961"" L x 3.583"" W (126.00mm x 91.00mm)","1.339"" (34.00mm)","17.8in² (115cm²)","Hand Held, Split Sides and End Panel(s)","Plastic, Non Specified","Translucent - Gray","-","PCB Supports","-"
//media.digikey.com/pdf/Data%20Sheets/MikroElektronika%20PDFs/MIKROE-1351_Web.pdf,-,MIKROE-1351-ND,MIKROE-1351,MikroElektronika,CASING GRAY READY FOR XMEGA BD,0,0,"15.30000","0","1","-","Active","Case","XMEGA","-","-","-","Hand Held, Split Sides","-","Gray","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Seeed%20Technology/114991400_Web.pdf,//media.digikey.com/Photos/Seeed%20Technology%20Ltd/MFG_114991400_A.jpg,114991400-ND,114991400,"Seeed Technology Co., Ltd",CASE ACRYLIC ORG/WHT 3.5""X2.56"",0,0,"18.37500","0","2","-","Active","Case","Raspberry Pi","3.504"" L x 2.559"" W (89.00mm x 65.00mm)","1.102"" (28.00mm)","8.97in² (57.9cm²)","Hand Held","Plastic, Acrylic","Orange, White","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Seeed%20Technology/114991399_Web.pdf,//media.digikey.com/Photos/Seeed%20Technology%20Ltd/MFG_114991399.jpg,1597-1566-ND,114991399,"Seeed Technology Co., Ltd",CASE PLASTIC ORG/WHT 2.84""X1.34"",0,0,"18.37500","0","2","-","Active","Case","Raspberry Pi Zero","2.835"" L x 1.339"" W (72.00mm x 34.00mm)","1.063"" (27.00mm)","3.80in² (24.5cm²)","-","Plastic, Non Specified","Orange, White","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/2779_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_2779.jpg,2779-ND,2779,Adafruit Industries LLC,BOX PLSTC BLU/CLR 3.9""LX2.59""W,0,0,"19.95000","0","1","PI","Active","Case","Raspberry Pi B+, 2B, 3B","3.898"" L x 2.594"" W (99.00mm x 65.90mm)","1.736"" (44.10mm)","10.1in² (65cm²)","Hand Held, Split Sides","Plastic, Acrylic","Blue, Clear","-","-","-"
