Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Size / Dimension","Features","Color","Material","For Use With/Related Products","Ventilation"
http://www.hammondmfg.com/pdf/RM1U1913SBK.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/RM1U1913SBK.jpg,HM996-ND,RM1U1913SBK,Hammond Manufacturing,CHASSIS 13X16.6X1.75"" BLACK,51,110,"146.42000","0","1","RM","Active","Chassis, Enclosed","13.000"" L x 16.600"" W x 1.750"" H (330.20mm x 421.64mm x 44.45mm)","-","Black","Metal, Aluminum","19"" Panel Width Racks","Non-Vented"
http://www.hammondmfg.com/pdf/RM2U1913SBK.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/RM2U1913SBK.jpg,HM999-ND,RM2U1913SBK,Hammond Manufacturing,CHASSIS 13X16.6X3.5"" BLACK,32,27,"163.34000","0","1","RM","Active","Chassis, Enclosed","13.000"" L x 16.600"" W x 3.500"" H (330.20mm x 421.64mm x 88.90mm)","-","Black","Metal, Aluminum","19"" Panel Width Racks","Non-Vented"
http://www.hammondmfg.com/pdf/RM1U1918SBK.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/RM1U1918SBK.jpg,HM997-ND,RM1U1918SBK,Hammond Manufacturing,CHASSIS 18X16.6X1.8"" BLACK,58,49,"172.93000","0","1","RM","Active","Chassis, Enclosed","18.000"" L x 16.600"" W x 1.750"" H (457.20mm x 421.64mm x 44.45mm)","-","Black","Metal, Aluminum","19"" Panel Width Racks","Non-Vented"
http://www.hammondmfg.com/pdf/RM2U1913VBK.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/RM2U1913VBK.jpg,HM1007-ND,RM2U1913VBK,Hammond Manufacturing,CHASSIS 13X16.6X3.5"" BLACK,51,0,"174.06000","0","1","RM","Active","Chassis, Enclosed","13.000"" L x 16.600"" W x 3.500"" H (330.20mm x 421.64mm x 88.90mm)","-","Black","Metal, Aluminum","19"" Panel Width Racks","Vented"
http://www.hammondmfg.com/pdf/RM1U1918VBK.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/RM1U1918VBK.jpg,HM1006-ND,RM1U1918VBK,Hammond Manufacturing,CHASSIS 18X16.6X1.8"" BLACK,69,31,"183.30000","0","1","RM","Active","Chassis, Enclosed","18.000"" L x 16.600"" W x 1.750"" H (457.20mm x 421.64mm x 44.45mm)","-","Black","Metal, Aluminum","19"" Panel Width Racks","Vented"
http://www.hammondmfg.com/pdf/RM3U1913SBK.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/RM3U1913SBK.jpg,HM1002-ND,RM3U1913SBK,Hammond Manufacturing,CHASSIS 13X16.6X5.3"" BLACK,29,37,"193.63000","0","1","RM","Active","Chassis, Enclosed","13.000"" L x 16.600"" W x 5.250"" H (330.20mm x 421.64mm x 133.35mm)","-","Black","Metal, Aluminum","19"" Panel Width Racks","Non-Vented"
http://www.hammondmfg.com/pdf/RM3U1913VBK.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/RM3U1913VBK.jpg,HM1010-ND,RM3U1913VBK,Hammond Manufacturing,CHASSIS 13X16.6X5.3"" BLACK,57,31,"204.36000","0","1","RM","Active","Chassis, Enclosed","13.000"" L x 16.600"" W x 5.250"" H (330.20mm x 421.64mm x 133.35mm)","-","Black","Metal, Aluminum","19"" Panel Width Racks","Vented"
http://www.hammondmfg.com/pdf/RM2U1918SBK.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/RM2U1918SBK.jpg,HM1000-ND,RM2U1918SBK,Hammond Manufacturing,CHASSIS 18X16.6X3.5"" BLACK,77,43,"206.77000","0","1","RM","Active","Chassis, Enclosed","18.000"" L x 16.600"" W x 3.500"" H (457.20mm x 421.64mm x 88.90mm)","-","Black","Metal, Aluminum","19"" Panel Width Racks","Non-Vented"
http://www.hammondmfg.com/pdf/RM2U1918VBK.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/RM2U1918VBK.jpg,HM1008-ND,RM2U1918VBK,Hammond Manufacturing,CHASSIS 18X16.6X3.5"" BLACK,72,57,"217.11000","0","1","RM","Active","Chassis, Enclosed","18.000"" L x 16.600"" W x 3.500"" H (457.20mm x 421.64mm x 88.90mm)","-","Black","Metal, Aluminum","19"" Panel Width Racks","Vented"
http://www.hammondmfg.com/pdf/RM3U1918SBK.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/RM3U1918SBK.jpg,HM1003-ND,RM3U1918SBK,Hammond Manufacturing,CHASSIS 18X16.6X5.3"" BLACK,60,91,"245.11000","0","1","RM","Active","Chassis, Enclosed","18.000"" L x 16.600"" W x 5.250"" H (457.20mm x 421.64mm x 133.35mm)","-","Black","Metal, Aluminum","19"" Panel Width Racks","Non-Vented"
https://www.hammfg.com/files/parts/pdf/RM2U1922VBK.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/MFG_RM2U1922VBK.jpg,HM1689-ND,RM2U1922VBK,Hammond Manufacturing,"2U, 22"" DEEP RACK-MOUNT ENCLOSUR",42,33,"251.55000","0","1","RM","Active","Chassis, Enclosed","22.000"" L x 16.600"" W x 3.500"" H (558.80mm x 421.64mm x 88.90mm)","-","Black","Metal, Aluminum","19"" Panel Width Racks","Vented"
http://www.hammondmfg.com/pdf/RM3U1918VBK.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/RM3U1918VBK.jpg,HM1011-ND,RM3U1918VBK,Hammond Manufacturing,CHASSIS 18X16.6X5.3"" BLACK,127,70,"257.36000","0","1","RM","Active","Chassis, Enclosed","18.000"" L x 16.600"" W x 5.250"" H (457.20mm x 421.64mm x 133.35mm)","-","Black","Metal, Aluminum","19"" Panel Width Racks","Vented"
http://web.schroff.de/webcat/subgroup/pdf/schroff_cat_39601641_main_catalog_2012_en.pdf#page=888,//media.digikey.com/Photos/Schroff/61000007.JPG,1439-1353-ND,61000007,Schroff,PCB SHIELD 100X160MM UL94 V-0 BK,216,0,"3.95000","0","1","europacPRO","Active","PCB Cover","6.299"" L x 3.937"" W x 0.094"" H (160.00mm x 100.00mm x 2.40mm)","-","Black","Plastic, PBT","PC Board","Non-Vented"
http://www.hammondmfg.com/pdf/PBPA19001.pdf,//media.digikey.com/photos/Hammond%20Mfg%20Photos/PBPA19001BK2.jpg,HM772-ND,PBPA19001BK2,Hammond Manufacturing,PANEL FRONT 19X1.72X0.13"" BLACK,132,1428,"10.80000","0","1","PBPA","Active","Panel, Front","19.000"" L x 1.720"" W x 0.125"" H (482.60mm x 43.69mm x 3.18mm)","-","Black","Metal, Aluminum","19"" Panel Width Racks","Non-Vented"
http://www.budind.com/pdf/hb14400.pdf,"//media.digikey.com/photos/BUD%20Industries%20Photos/mfgC-14430,C-14431,C-14432.jpg",377-1418-ND,C-14431,Bud Industries,COVER SMALL RACK MOUNT VENTILATE,129,0,"20.00000","0","1","-","Active","Chassis, Cover","17.000"" L x 8.000"" W x 0.050"" H (431.80mm x 203.20mm x 1.27mm)","-","Natural","Metal, Aluminum","Chassis","Vented"
https://www.hammfg.com/files/parts/pdf/ADSU1825BK.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/MFG_ADSU1825BK.jpg,HM5197-ND,ADSU1825BK,Hammond Manufacturing,SHELF ADJ SOLID 18X25X1.72 BLK,35,39,"82.50000","0","1","ADS","Active","Shelf, Fixed","19.000"" L x 25.000"" W x 1.720"" H (482.60mm x 635.00mm x 43.69mm)","Adjustable","Black","Metal, Steel","19"" Panel Width Racks","Non-Vented"
http://www.hammondmfg.com/pdf/RZVS1931.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/MFG_RZVS1931BK1.jpg,HM2286-ND,RZVS1931BK1,Hammond Manufacturing,SHELF FIXED 30.8X17.8X1.31"" BLAC,84,31,"85.50000","0","1","RZ","Active","Shelf, Fixed","30.840"" L x 17.780"" W x 1.310"" H (783.34mm x 451.61mm x 33.27mm)","-","Black","Metal, Steel","19"" Panel Width Racks","Vented"
-,//media.digikey.com/Photos/Schroff/20860122.JPG,1439-1128-ND,20860122,Schroff,RCKMNT CHASSIS 19"" 1U 84HP 340,61,0,"91.34000","0","1","multipacPRO","Active","Chassis, Enclosed","13.386"" L x 17.598"" W x 1.720"" H (340.00mm x 447.00mm x 43.70mm)","-","Natural","Metal, Steel","19"" Panel Width Racks","Non-Vented"
http://www.budind.com/pdf/hb14212.pdf,//media.digikey.com/photos/BUD%20Industries%20Photos/RM-14224.jpg,377-1394-ND,RM-14224,Bud Industries,CHASSIS RACKMOUNT 8.75"" X 22"",55,48,"100.55000","0","1","-","Active","Chassis, Open","22.000"" L x 17.000"" W x 8.750"" H (558.80mm x 431.80mm x 222.25mm)","-","Natural","Metal, Aluminum","19"" Panel Width Racks","Vented"
http://www.hammondmfg.com/pdf/RDRW1900312.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/RDRW1900312BK1.jpg,HM1595-ND,RDRW1900312BK1,Hammond Manufacturing,DRAWER 12.1X17.4X3.5"" BLACK,42,85,"169.40000","0","1","RDRW","Active","Drawer, Enclosed, Locking, Pull Out","12.070"" L x 17.360"" W x 3.500"" H (306.58mm x 440.94mm x 88.90mm)","Handles, Locks","Black","Metal, Steel","19"" Panel Width Racks","Non-Vented"
