Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Accessory Type","Features","For Use With/Related Products"
https://www.panduit.com/content/dam/panduit/en/products/assets/g/gb/gb2/gb2b/gb2b0304tpi1/media/GB2B0304TPI-1GrndBusbar.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_GB2B0304TPI-1.JPG,298-13049-ND,GB2B0304TPI-1,Panduit Corp,BUSBAR GROUNDING 1/4""X2""X10"",26,0,"119.84000","0","1","StructuredGround™","Active","Bus Bar","Brackets, Insulators","Cabinet Racks"
//media.digikey.com/pdf/Data%20Sheets/Orion%20Fans%20PDFs/OCN-yyyySCW_Dwg.pdf,//media.digikey.com/Photos/Orion%20Fans/OCN-M6SCWPK.JPG,1053-1439-ND,OCN-M6SCWPK,Orion Fans,FAN TRAY SCREW M6 1=25PCS,120,0,"3.11000","0","1","OCN","Active","Hardware Kit","Screws","Fan Trays"
//media.digikey.com/pdf/Data%20Sheets/Orion%20Fans%20PDFs/OCN-yyyySCW_Dwg.pdf,//media.digikey.com/Photos/Orion%20Fans/OCN-1032SCWPK.JPG,1053-1441-ND,OCN-1032SCWPK,Orion Fans,FAN TRAY SCREW 10-32 1=25PCS,756,0,"3.16000","0","1","OCN","Active","Hardware Kit","Screws","Fan Trays"
https://www.hammfg.com/dci/products/accessories/1421a.pdf,//media.digikey.com/photos/Hammond%20Mfg%20Photos/1421A.jpg,HM826-ND,1421A,Hammond Manufacturing,MACH SCRW OVAL COMB 10-32 4/PK,133,701,"4.00000","0","1","1421","Active","Mounting Hardware","Screws, Washers","Enclosures"
-,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/1421PCB1-8.JPG,HM1257-ND,1421PCB1-8,Hammond Manufacturing,PCB STANDOFF .25"" 8/PK,129,64,"4.84000","0","1","1421","Active","Board Standoff","0.650"" (17mm) Overall Height","Enclosures"
//media.digikey.com/pdf/Data%20Sheets/Orion%20Fans%20PDFs/OCN-yyyy_Dwg.pdf,//media.digikey.com/Photos/Orion%20Fans/OCN-1032PK.JPG,1053-1446-ND,OCN-1032PK,Orion Fans,CAGE NUT 10-32 1=25PCS SQU HOLE,592,0,"7.15000","0","1","OCN","Active","Hardware Kit","Caged Nuts","Fan Trays"
//media.digikey.com/pdf/Data%20Sheets/Orion%20Fans%20PDFs/OCN-yyyy_Dwg.pdf,//media.digikey.com/Photos/Orion%20Fans/OCN-1224PK.JPG,1053-1445-ND,OCN-1224PK,Orion Fans,CAGE NUT 12-24 1=25PCS SQU HOLE,132,0,"7.15000","0","1","OCN","Active","Hardware Kit","Caged Nuts","Fan Trays"
https://www.pentairprotect.com/wcsstore/ExtendedSitesCatalogAssetStore/PentairDataLoad/EPSMedia/Hoffman/docs/187/104562/Spec-00484.pdf,//media.digikey.com/Photos/Hoffman-Enclosures-Inc/AFLTR4LD.JPG,1441-1281-ND,AFLTR4LD,"Hoffman Enclosures, Inc.",FAN FILTER AND FINGER GUARD KIT,447,0,"26.45000","0","1","-","Active","Fan Grill","-","-"
https://www.panduit.com/content/dam/panduit/en/products/assets/w/wr/wr5/wr5e/wr5ex/media/WR5E-X%20(V10225DL-DC_03B).pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_WR5E-X.jpg,298-13001-ND,WR5E-X,Panduit Corp,THE PANDUIT WIRE RETAINER SNAPS,200,0,"2.66000","0","1","-","Active","Wire Retainer","-","-"
https://www.panduit.com/content/dam/panduit/en/products/assets/c/cn/cnw/cnws/cnws1224c/media/C-RKCNWS1224-C--ENG.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/CNWSM6-C.jpg,298-12616-ND,CNWSM6-C,Panduit Corp,M6 PANDUIT SCREW WITH CAGE NUTS,3262,0,"2.74000","0","1","-","Active","Screws","-","-"
