Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Accessory Type","For Use With/Related Products"
http://advdownload.advantech.com/productfile/PIS/BB-SR30518120-SWH/Product%20-%20Datasheet/DataSheet_SmartFlex_SR300_07122017_email20171214075033.pdf,-,BB-KN-V3-MO2-3-ND,BB-KN-V3-MO2-3,"B&B SmartWorx, Inc.",NETWORKING PWR SUP CABLE 2PIN 3M,0,4,"12.41000","0","1","-","Active","Power Supply Cable","-"
-,-,GW11-ND,GW11,"B&B SmartWorx, Inc.",NETWORKING ANTENNA WIFI 2.4 GHZ,0,0,"12.70000","0","1","-","Active","Antenna","-"
http://advdownload.advantech.com/productfile/PIS/BB-702M12-W/Product%20-%20Datasheet/702M12-W_DataSheet20171129110346.pdf,-,M12DRC-ISOBB-ND,M12DRC-ISO,"B&B SmartWorx, Inc.",NETWORKING DIN RAIL KIT M12 PROD,0,0,"12.75000","0","1","-","Active","DIN Rail Kit","-"
-,-,BB-RPS-V3-MO2-EU-ND,BB-RPS-V3-MO2-EU,"B&B SmartWorx, Inc.",NETWORKING ANTENNA SFLE/SMOT,0,0,"13.16000","0","1","-","Active","Antenna","-"
http://ts.lantronix.com/faqs/1560/ADP010104_6-01.pdf,-,ADP010104-01-ND,ADP010104-01,"Lantronix, Inc.",NETWORKING ADAPTER CAB 4"" ROLLED,0,0,"13.20000","0","1","-","Active","Adapter Cable","EDS-MD®"
-,-,BB-EK-CLIP-MPC-ND,BB-EK-CLIP-MPC,"B&B SmartWorx, Inc.",NETWORKING CLIP DIN BLK POLYCASE,0,903,"14.16000","0","1","-","Active","Clip","-"
//media.digikey.com/pdf/Data%20Sheets/B&B%20Electronics%20PDFs/D-Subminiature_Parallel_Serial_Cables.pdf,"//media.digikey.com/Photos/B&B%20SmartWorx,%20Inc/MFG_232AMMx.jpg",BB-232AMM5-ND,BB-232AMM5,"B&B SmartWorx, Inc.",NETWORKNG SERIAL CAB M/M DB25 6',0,26,"14.30000","0","1","-","Active","Serial Cable","-"
-,-,500-205-R-ND,500-205-R,"Lantronix, Inc.",NETWORKING CABLE USB CONSOL MGMT,0,0,"15.00000","0","1","-","Active","Cable","xSenso™"
-,//media.digikey.com/Photos/B&B%20Electronics/MFG_9PAMF%20SERIES.jpg,BB-9PAMF10-ND,BB-9PAMF10,"B&B SmartWorx, Inc.",NETWORKING SER CABLE DB9 M-F 10',0,3,"15.05000","0","1","-","Active","Serial Cable","-"
-,-,45880475L-ND,45880475L,Multi-Tech Systems Inc.,NETWORKING CABLE DB25M-RJ45 SER,0,0,"15.12000","0","1","-","Active","Cable","-"
-,-,BB-1587LDVCBL-ND,BB-1587LDVCBL,"B&B SmartWorx, Inc.",NETWORKING CABLE HOST LDVDSV2,0,0,"15.94000","0","1","-","Active","Cable","-"
//media.digikey.com/pdf/Data%20Sheets/Lantronix%20PDFs/200.0063_Web.pdf,-,200.0063-ND,200.0063,"Lantronix, Inc.",NETWORKING CABLE RJ45-RJ45 CAT5,0,0,"16.00000","0","1","-","Active","Cable","-"
https://www.lantronix.com/wp-content/uploads/pdf/SLB_PB.pdf,-,SLPP12310-01-ND,SLPP12310-01,"Lantronix, Inc.",NETWORKING POWER CORD IEC60320,0,0,"16.25000","0","1","-","Active","Power Cord","SecureLinx™ SLP"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftms320f2812,-,DFDF2812ZHHAR-ND,DFDF2812ZHHAR,Texas Instruments,NETWORKING POWER SUP DIGITAL SIG,0,0,"16.30200","0","1000","-","Active","Power Supply","-"
http://advdownload.advantech.com/productfile/PIS/UTC-515D/Product%20-%20Datasheet/UTC-515DE_DS(10.21.16)20161104162638.pdf,-,1960060674N001-ND,1960060674N001,Advantech Corp,NETWORKING COVER UTC 515 SERIES,0,0,"17.29000","0","1","-","Active","Cover","UTC Series"
-,-,1960069544N001-ND,1960069544N001,Advantech Corp,NETWORKING COVER UTC 520 SERIES,0,0,"17.29000","0","1","-","Active","Cover","UTC Series"
-,-,20800000005-ND,20800000005,HARTING,NETWORKING ASSEMBLY KIT ECON2000,0,0,"17.87000","0","1","-","Active","Assembly Kit","eCon 2000"
-,-,24981000010-ND,24981000010,HARTING,NETWORKING HA-VIS MK3000 S725,0,0,"17.89000","0","1","*","Active","-","-"
http://www.lantronix.com/wp-content/uploads/pdf/SLP_PB.pdf,-,SLPP12810-01-ND,SLPP12810-01,"Lantronix, Inc.",NETWORKING POWER CORD IEC60320,0,0,"18.00000","0","1","-","Active","Power Cord","SecureLinx™ SLP"
-,//media.digikey.com/Photos/B&B%20Electronics/MFG_232AMF5.jpg,BB-232AMF5-ND,BB-232AMF5,"B&B SmartWorx, Inc.",NETWORKING SERIAL CAB M/F 25C 6',0,4,"18.06000","0","1","-","Active","Serial Cable","-"
http://advdownload.advantech.com/productfile/PIS/BB-232CDT/Product%20-%20Datasheet/9PCDT&232CDT_1317ds20170729025611.pdf,//media.digikey.com/Photos/B&B%20Electronics/MFG_232CAM.jpg,BB-232CAM-ND,BB-232CAM,"B&B SmartWorx, Inc.",NETWORKING CABLE AT MODEM CAB 6',0,8,"18.06000","0","1","-","Active","Cable","-"
https://b2b.harting.com/files/download/PRD/PDF_TS/20800100001_100124190DRW003A.pdf,//media.digikey.com/Photos/Harting/20800100001.jpg,1195-3590-ND,20800100001,HARTING,NETWORKING SET FOR PANEL MT VERT,0,0,"18.38000","0","1","*","Active","-","-"
https://www.multitech.com/documents/publications/marketing-guides/wireless-products-accessories-ordering-guide-release-1.6.pdf,-,CA-MTAC-GPIO-ND,CA-MTAC-GPIO,Multi-Tech Systems Inc.,NETWORKING CABLE GPIO MTAC 2.5',0,0,"18.90000","0","1","-","Active","Cable","-"
-,-,BB-AP-AGNSS-SMA-ND,BB-AP-AGNSS-SMA,"B&B SmartWorx, Inc.",NETWORKING ANTENNA GPS GLONASS,0,0,"19.18000","0","1","-","Active","Antenna","-"
-,-,T614BB-ND,T614,"B&B SmartWorx, Inc.",NETWORKING ANTENNA GSM UMTS,0,0,"19.50000","0","1","-","Active","Antenna","-"
-,-,M12DRC-ISO-ND,M12DRC-ISO,Red Lion Controls,NETWORKING DIN RAIL KIT M12 PROD,0,0,"19.52000","0","1","-","Active","DIN Rail Kit","-"
-,-,083-014-ND,083-014,"Lantronix, Inc.",NETWORKING ACCESS KIT 2-DC PLUG,0,0,"20.00000","0","1","-","Active","-","-"
http://www.lantronix.com/wp-content/uploads/pdf/SLP_PB.pdf,-,SLPP12910-01-ND,SLPP12910-01,"Lantronix, Inc.",NETWORKING POWER CORD IEC60320,0,0,"20.00000","0","1","-","Active","Power Cord","SecureLinx™ SLP"
-,-,WMK-459-BLACK-ND,WMK-459-BLACK,ATOP Technologies,NETWORKING MNTING KIT ALUM WALL,0,0,"20.00000","0","1","-","Active","Mounting Kit","-"
-,-,WMK-450-BLACK-ND,WMK-450-BLACK,ATOP Technologies,NETWORKING MNTING KIT ALUM WALL,0,0,"20.00000","0","1","-","Active","Mounting Kit","-"
-,-,1.04.0073.00000-ND,1.04.0073.00000,HMS Networks,T-BUS CONNECTOR,0,0,"20.90000","0","7","-","Active","T Bus Connector","IXXAT CAN Repeaters"
-,//media.digikey.com/Photos/B&B%20Electronics/MFG_9F8CK.jpg,BB-9F8CK-ND,BB-9F8CK,"B&B SmartWorx, Inc.",NETWORKING ADAPTER 9P F TO RJ45,0,0,"21.25000","0","1","-","Active","Adapter","-"
-,-,24981000011-ND,24981000011,HARTING,NETWORKING HA-VIS MK3000 S738,0,0,"21.35000","0","1","*","Active","-","-"
http://advdownload.advantech.com/productfile/PIS/BB-855-19724/Product%20-%20Datasheet/IE-MiniMc_1217ds20171129111415.pdf,//media.digikey.com/Photos/B&B%20Electronics/MFG_806-39xyz%20Series.jpg,1165-1209-ND,BB-806-39720,"B&B SmartWorx, Inc.",NETWORKING POWER ADAPTER FRANMAR,0,28,"22.00000","0","1","-","Active","Power Adapter","-"
-,//media.digikey.com/Photos/B&B%20Electronics/MFG_895-39xyz.jpg,BB-895-39227-ND,BB-895-39227,"B&B SmartWorx, Inc.",NETWORKING BRACKET WALL MOUNT,0,13,"22.00000","0","1","-","Active","Bracket - Wall Mount","-"
-,-,DIN-CLIP-1-5-ND,DIN-CLIP-1-5,Red Lion Controls,NETWORKING DIN RAIL CLIP 1.5,0,0,"22.49000","0","1","-","Active","DIN Rail Clip","-"
https://www.lantronix.com/wp-content/uploads/pdf/SLB_PB.pdf,-,SLPP12410-01-ND,SLPP12410-01,"Lantronix, Inc.",NETWORKING POWER CORD IEC60320,0,0,"22.50000","0","1","-","Active","Power Cord","SecureLinx™ SLP"
//media.digikey.com/pdf/Data%20Sheets/Digi%20International%20PDFs/76000650_Web.pdf,//media.digikey.com/Photos/Digi%20Int'l%20Photos/MFG_76000650.jpg,602-2000-ND,76000650,Digi International,NETWORKING TERMINAL SERIAL SCREW,0,0,"23.00000","0","1","-","Active","Terminal","-"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2701384.pdf,//media.digikey.com/Photos/Phoenix%20Photos/MFG_Mounting-Kit.jpg,2701384-ND,2701384,Phoenix Contact,NETWORKING MOUNTING KIT HMI SCB,0,2,"24.00000","0","1","-","Active","Mounting Kit","-"
-,-,20800000004-ND,20800000004,HARTING,NETWORKING ASSEM KIT ECON 3XXX,0,0,"24.73000","0","1","-","Active","Assembly Kit","eCon 3000"
-,-,RT3G-ANT001-ND,RT3G-ANT001,"B&B SmartWorx, Inc.",NETWORKING ANTENNA 3G CELLULAR,0,0,"24.99000","0","1","-","Active","Antenna","-"
-,-,RT3G-ANT002-ND,RT3G-ANT002,"B&B SmartWorx, Inc.",NETWORKING ANTENNA 3G CELLULAR,0,0,"24.99000","0","1","-","Active","Antenna","-"
//media.digikey.com/pdf/Data%20Sheets/Lantronix%20PDFs/520-114-R_Web.pdf,-,520-114-R-ND,520-114-R,"Lantronix, Inc.",NETWORKING POWER SUP BARREL 12V,0,0,"25.00000","0","1","-","Active","Power Supply","xSenso™"
-,-,520-115-R-ND,520-115-R,"Lantronix, Inc.",NETWORKING POWER SUP BARREL 12V,0,0,"25.00000","0","1","-","Active","Power Supply","xSenso™"
-,-,520-116-R-ND,520-116-R,"Lantronix, Inc.",NETWORKING POWER SUP BARREL 12V,0,0,"25.00000","0","1","-","Active","Power Supply","xSenso™"
-,-,520-090-R-ND,520-090-R,"Lantronix, Inc.",NETWORKING PWR SUPPLY 12VDC 10W,0,0,"25.00000","0","1","-","Active","Power Supply","PremierWave® XN"
-,-,24981000000-ND,24981000000,HARTING,NETWORKING HA-VIS MT COVER ECON3,0,0,"25.29000","0","1","*","Active","-","-"
-,-,24981000001-ND,24981000001,HARTING,NETWORKING HA-VIS MT COVER ECON3,0,0,"25.29000","0","1","*","Active","-","-"
-,-,24981000002-ND,24981000002,HARTING,NETWORKING HA-VIS MT COVER ECON3,0,0,"25.29000","0","1","*","Active","-","-"
-,-,24981000003-ND,24981000003,HARTING,NETWORK HA-VIS MNT ADAPTER ECON,0,0,"25.94000","0","1","*","Active","-","-"
-,-,24981000012-ND,24981000012,HARTING,NETWORKING HA-VIS MK3000 S760,0,0,"26.27000","0","1","*","Active","-","-"
