Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","For Use With/Related Products"
http://illumra.com/wp-content/uploads/2016/07/AHD0611D_ZBT-S1AWH_web.pdf,//media.digikey.com/Photos/Illumra/MFG_ZBT-S1AWH.jpg,1082-1033-ND,ZBT-S1AWH,Illumra,SINGLE ROCKER ZIGBEE BATTERY-FRE,588,0,"46.25000","0","1","-","Active","Rocker Switch","ZigBee Networks™"
http://illumra.com/wp-content/uploads/2016/07/AHD0612B_ZBT-S2AWH_web.pdf,//media.digikey.com/Photos/Illumra/MFG_ZBT-S2AWH.jpg,1082-1034-ND,ZBT-S2AWH,Illumra,DUAL ROCKER ZIGBEE BATTERY-FREE,699,0,"49.95000","0","1","-","Active","Wireless Light Switch","ZigBee Networks™"
http://advdownload.advantech.com/productfile/PIS/BB-232LPTTL/Product%20-%20Datasheet/232LPTTL-232LPTTL33_2916ds20170804233006.pdf,//media.digikey.com/Photos/B&B%20Electronics/MFG_232LPTTL.jpg,1165-1130-ND,BB-232LPTTL33,"B&B SmartWorx, Inc.",CONVERTER  TTL  TO RS232,216,12,"62.83000","0","1","-","Active","Converter, RS-232 to TTL","-"
//media.digikey.com/pdf/Data%20Sheets/Echelon%20PDFs/75060R-30_40_2-21-19.pdf,//media.digikey.com/Photos/Echelon%20Photos/MFG_75060R-40.JPG,1499-1048-ND,75060R-40,Echelon Corporation,IZOT U60 FT DIN NETWORK INTERFAC,96,0,"65.20000","0","1","IzoT™ U60","Active","USB Interface","LonMark® Devices"
http://advdownload.advantech.com/productfile/PIS/BB-9PCDT/Product%20-%20Datasheet/9PCDT&232CDT_1317ds20170729032309.pdf,//media.digikey.com/Photos/B&B%20Electronics/9PCDT.jpg,1165-1142-ND,BB-9PCDT,"B&B SmartWorx, Inc.",SERIAL DATA TAP RS-232,104,62,"79.21000","0","1","-","Active","RS-232 Data Tap","-"
http://advdownload.advantech.com/productfile/PIS/BB-485SD9TB/Product%20-%20Datasheet/485SD9R-485SD9RJ-485SD9TB_2716ds20171129110325.pdf,//media.digikey.com/Photos/B&B%20Electronics/485SD9TB.JPG,1165-1023-ND,BB-485SD9TB,"B&B SmartWorx, Inc.",CONVERTER 2PORT PWR RS232-RS485,235,673,"79.31000","0","1","-","Active","Converter, RS-232 to RS-485","-"
http://advdownload.advantech.com/productfile/PIS/BB-422PP9R/Product%20-%20Datasheet/422PP9R_422PP9TB_3116ds20170809052855.pdf,//media.digikey.com/Photos/B&B%20Electronics/422PP9R.JPG,1165-1013-ND,BB-422PP9R,"B&B SmartWorx, Inc.",CONVERT 2CH PORT PWR RS232-RS422,126,1061,"79.31000","0","1","-","Active","Converter, RS-232 to RS-422","-"
http://advdownload.advantech.com/productfile/PIS/BB-422PP9TB/Product%20-%20Datasheet/422PP9R_422PP9TB_3116ds20170809055247.pdf,//media.digikey.com/Photos/B&B%20Electronics/422PP9TB.JPG,1165-1014-ND,BB-422PP9TB,"B&B SmartWorx, Inc.",CONVERT 2CH PORT PWR RS232-RS422,64,483,"79.31000","0","1","-","Active","Converter, RS-232 to RS-422","-"
http://advdownload.advantech.com/productfile/PIS/BB-9SPOP2/Product%20-%20Datasheet/9SPOP2_3016ds20171129110406.pdf,//media.digikey.com/Photos/B&B%20Electronics/9SPOP2.JPG,1165-1031-ND,BB-9SPOP2,"B&B SmartWorx, Inc.",ISOLATOR PORT-PWR RS232 9PIN 2CH,67,24,"83.43000","0","1","-","Active","RS-232 Optical Isolator","-"
http://advdownload.advantech.com/productfile/PIS/BB-4WSD9R/Product%20-%20Datasheet/4WSD9R_4WSD9TB_3417ds.20170829024820.pdf,//media.digikey.com/Photos/B&B%20Electronics/MFG_4WSD9R.jpg,1165-1153-ND,BB-4WSD9R,"B&B SmartWorx, Inc.",2-4 WIRE 422/485 9PIN CONV.,62,84,"83.43000","0","1","-","Active","Converter, RS-232 to RS-422/485","-"
http://advdownload.advantech.com/productfile/PIS/BB-485TBLED/Product%20-%20Datasheet/485TBLED-0812ds20171129110327.pdf,//media.digikey.com/Photos/B&B%20Electronics/MFG_485TBLED.jpg,1165-1193-ND,BB-485TBLED,"B&B SmartWorx, Inc.",232/485 CONV W/TB&LED,55,8,"83.43000","0","1","-","Active","Converter, RS-232 to RS-485","-"
http://advdownload.advantech.com/productfile/PIS/BB-9POP4/Product%20-%20Datasheet/9POP4_1717ds20170816004312.pdf,//media.digikey.com/photos/B&B%20Electronics/9POP4.JPG,1165-1030-ND,BB-9POP4,"B&B SmartWorx, Inc.",ISOLATOR RS-232 2000V,32,282,"83.43000","0","1","-","Active","RS-232 Optical Isolator","-"
http://advdownload.advantech.com/productfile/PIS/BB-4WSD9TB/Product%20-%20Datasheet/4WSD9R_4WSD9TB_3417ds.20170829024952.pdf,//media.digikey.com/Photos/B&B%20Electronics/MFG_4WSD9TB.jpg,1165-1194-ND,BB-4WSD9TB,"B&B SmartWorx, Inc.",2-4 WIRE 422/485 CONVERTER WITH,42,113,"83.43000","0","1","-","Active","Converter, RS-232 to RS-422/485","-"
http://advdownload.advantech.com/productfile/PIS/BB-4WSD9OTB/Product%20-%20Datasheet/4WSD9OTB-4WSD25OTB_2916ds20170815035043.pdf,//media.digikey.com/Photos/B&B%20Electronics/4WSD9OTB.jpg,1165-1028-ND,BB-4WSD9OTB,"B&B SmartWorx, Inc.",CONVERTER W/DB9 ISOLATED RS-485,75,611,"125.66000","0","1","-","Active","Converter, Uni-Directional","-"
http://advdownload.advantech.com/productfile/PIS/BB-UH401/Product%20-%20Datasheet/UH401x_2716ds20170407015151.pdf,//media.digikey.com/Photos/B&B%20Electronics/UH401.jpg,1165-1056-ND,BB-UH401,"B&B SmartWorx, Inc.",USB TO USB 1-PORT ISOLATOR,42,0,"125.66000","0","1","-","Active","USB Isolator","-"
