Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Configuration","Number of Ports","Copper Ports","Copper Type","Fiber Ports","Fiber Type","SFP/XFP Ports","SFP/XFP Type","PoE Ports","Connector Type","Voltage - Input","Ingress Protection","Mounting Type","Operating Temperature"
http://advdownload.advantech.com/productfile/PIS/EKI-2706E-1GFPI/Product%20-%20Datasheet/EKI-2706E-1GFP_I_2706G-1GFP_I_DS(02.07.18)20180208101019.pdf,-,EKI-2706E-1GFP-AE-ND,EKI-2706E-1GFP-AE,"B&B SmartWorx, Inc.",NETWORK SWITCH-UNMANAGED 6 PORT,1,0,"339.90000","0","1","-","Active","Switch - Unmanaged","Fixed + SFP","6","5","10/100/1000","Up to 1","SFP","1","SFP, Gigabit","4","RJ45, SFP","48VDC","IP30","DIN Rail","-10°C ~ 60°C"
https://b2b.harting.com/files/download/PRD/PDF_TS/24034061310_100573066DRW000A.pdf,//media.digikey.com/Photos/Harting/24034061310.JPG,1195-3620-ND,24034061310,HARTING,NETWORK SWITCH-UNMANAGED 7 PORT,1,0,"354.34000","0","1","eCon 3000","Active","Switch - Unmanaged","Fixed + SFP","7","6","10/100/1000","-","-","1","SFP, Gigabit","-","RJ45, SFP","9 ~ 60VDC","IP30","DIN Rail","0°C ~ 55°C"
https://b2b.harting.com/files/download/PRD/PDF_TS/24024050030_100564528DRW001A.pdf,//media.digikey.com/Photos/Harting/24024050030.JPG,1195-3632-ND,24024050030,HARTING,NETWORK SWITCH-UNMANAGED 5 PORT,1,0,"362.92000","0","1","eCon 2000","Active","Switch - Unmanaged","Fixed","5","5","10/100/1000","-","-","-","-","4","RJ45","47 ~ 60VDC","IP30","DIN Rail","0°C ~ 55°C"
https://www.phoenixcontact.com/pxc-oc-itemdetail-pdf-web/eshop?lineItemType=LineItem&UID=2891013,//media.digikey.com/Photos/Phoenix%20Photos/MFG_2891013.jpg,277-2942-ND,2891013,Phoenix Contact,NETWORK SWITCH-UNMANAGED 4 PORT,1,24,"415.00000","0","1","-","Active","Switch - Unmanaged","Fixed","4","4","10/100","-","-","-","-","2","RJ45","18.5 ~ 30.5VDC","IP20","DIN Rail","0°C ~ 55°C"
http://atoponline.com/store/index.php?controller=attachment&id_attachment=203,//media.digikey.com/Photos/ATOP-Technologies/EHG7504-4POE.jpg,EHG7504-4POE-ND,EHG7504-4POE,ATOP Technologies,NETWORK SWITCH-MANAGED 4 PORT,0,0,"440.41000","0","1","EH","Active","Switch - Managed","Fixed","4","4","10/100/1000","-","-","-","-","4","RJ45","-","IP30","DIN Rail","-20°C ~ 70°C"
http://atoponline.com/store/index.php?controller=attachment&id_attachment=203,//media.digikey.com/Photos/ATOP-Technologies/EHG7508-8POE.JPG,EHG7508-8POE-ND,EHG7508-8POE,ATOP Technologies,NETWORK SWITCH-MANAGED 8 PORT,1,0,"599.94000","0","1","EH","Active","Switch - Managed","Fixed","8","8","10/100/1000","-","-","-","-","8","-","-","IP30","DIN Rail","-20°C ~ 70°C"
https://b2b.harting.com/files/download/PRD/PDF_TS/20772083001_100176937DRW004B.pdf,//media.digikey.com/Photos/Harting/MFG_20772083001.jpg,1195-3586-ND,20772083001,HARTING,NETWORK SWITCH-UNMANAGED 8 PORT,1,0,"613.31000","0","1","-","Active","Switch - Unmanaged","Fixed","8","8","10/100","-","-","-","-","-","M12","12 ~ 60VDC","IP40","DIN Rail","-40°C ~ 70°C"
https://b2b.harting.com/files/download/PRD/PDF_TS/24035050020_100625412DRW002A.pdf,//media.digikey.com/Photos/Harting/MFG_24035050020.jpg,1195-5585-ND,24035050020,HARTING,NETWORK SWITCH-UNMANAGED 5 PORT,1,0,"666.32000","0","1","eCon 3000","Active","Switch - Unmanaged","Fixed","5","5","10/100","-","-","-","-","4","RJ45","18 ~ 60VDC","IP30","DIN Rail","-40°C ~ 70°C"
http://www.atop.com.cn/atop/mw/cufiles/files/download_dm/iapl_dm/DM_EH7520.pdf,//media.digikey.com/Photos/ATOP-Technologies/EH7520.JPG,EH7520-4G-8POE-4SFP-ND,EH7520-4G-8POE-4SFP,ATOP Technologies,NETWORK SWITCH-MANAGED 24 PORT,1,0,"705.08000","0","1","EH","Active","Switch - Managed","Fixed + SFP","24","20","10/100/1000","Up to 4","SFP","4","SFP, Gigabit","8","RJ45, SFP","-","IP30","DIN Rail","-20°C ~ 70°C"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2832933.pdf,//media.digikey.com/Photos/Phoenix%20Photos/MFG_2832933.jpg,277-3124-ND,2832933,Phoenix Contact,NETWORK SWITCH-UNMANAGED 8 PORT,1,234,"739.01000","0","1","-","Active","Switch - Unmanaged","Fixed","8","6","10/100","2","100BASE-FX (Multimode)","-","-","-","RJ45, SC","18.5 ~ 30.2VDC","IP20","-","0°C ~ 55°C"
