Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Interface","Number of Ports"
https://www.digi.com/pdf/prd_ds_portservertsmei.pdf,//media.digikey.com/Photos/Digi%20Int'l%20Photos/70001807%20.jpg,602-1412-ND,70001807,Digi International,ETHERNET TO SER RS-232/422/485,36,0,"569.00000","0","1","PortServer™ TS","Active","Ethernet to Serial","RS-232/422/485","4"
http://advdownload.advantech.com/productfile/PIS/BB-ESR901/Product%20-%20Datasheet/ESR90x-2213ds20171227101614.pdf,//media.digikey.com/Photos/B&B%20Electronics/MFG_ESR90x-SERIES.jpg,1165-1167-ND,BB-ESR904,"B&B SmartWorx, Inc.",ETHERNET TO SER RS-232/422/485,43,147,"651.99000","0","1","Vlinx™","Active","Ethernet to Serial","RS-232/422/485","4"
http://www.echelon.com/assets/blt7e3c7d675fc4c757/078-0345-01F_SmartServer_2.2_Users_Guide.pdf,//media.digikey.com/Photos/Echelon%20Photos/72101R-432_Front.jpg,1499-1050-ND,72101R-433,Echelon Corporation,ETHERNET TO SERIAL RS-232/RS-485,25,0,"767.98000","0","1","SmartServer 2.2 FT","Active","Ethernet to Serial","RS-232, RS-485","2"
http://www.echelon.com/assets/blt7e3c7d675fc4c757/078-0345-01F_SmartServer_2.2_Users_Guide.pdf,//media.digikey.com/Photos/Echelon%20Photos/72101R-442_Front.jpg,1499-1051-ND,72101R-443,Echelon Corporation,ETHERNET TO SERIAL RS-232/RS-485,35,0,"850.85000","0","1","SmartServer 2.2 FT","Active","Ethernet to Serial","RS-232, RS-485","2"
https://www.digi.com/pdf/ds_connectportts816.pdf,//media.digikey.com/Photos/Digi%20Int'l%20Photos/70002329-Primary.jpg,602-1514-ND,70002329,Digi International,ETHERNET TO SER RS-232/422/485,26,0,"1192.01000","0","1","ConnectPort® TS","Active","Ethernet to Serial","RS-232/422/485","8"
https://www.digi.com/pdf/ds_connectportts816.pdf,//media.digikey.com/Photos/Digi%20Int'l%20Photos/MFG_70002388.jpg,602-1534-ND,70002388,Digi International,ETHERNET TO SERIAL RS-232,46,0,"1362.00000","0","1","ConnectPort® TS","Active","Ethernet to Serial","RS-232","16"
https://www.digi.com/pdf/ds_connectportts816.pdf,//media.digikey.com/Photos/Digi%20Int'l%20Photos/MFG_70002534.jpg,602-1565-ND,70002534,Digi International,ETHERNET TO SER RS-232/422/485,26,0,"1699.01000","0","1","ConnectPort® TS","Active","Ethernet to Serial","RS-232/422/485","16"
https://www.digi.com/pdf/prd_usb_anywhereusb.pdf,//media.digikey.com/Photos/Digi%20Int%27l%20Photos/MFG_AW-USB-14.JPG,602-1567-ND,AW-USB-14,Digi International,ETHERNET TO USB RS-232,47,0,"1821.01000","0","1","AnywhereUSB®/14","Active","Ethernet to USB","RS-232","14"
http://ftp1.digi.com/support/documentation/90001013-88.pdf,//media.digikey.com/Photos/Digi%20Int'l%20Photos/70002405.jpg,602-1535-ND,70002405,Digi International,ETHERNET TO SER RS-232/422/485,30,0,"1936.01000","0","1","ConnectPort® LTS","Active","Ethernet to Serial","RS-232/422/485","16"
//media.digikey.com/pdf/Data%20Sheets/Multi-Tech%20Systems%20PDFs/SocketEthernet%20IP.pdf,//media.digikey.com/Photos/Multi-Tech%20Photos/MT100SEM-IP.R1-SP.JPG,591-1173-ND,MT100SEM-IP.R1-SP,Multi-Tech Systems Inc.,SERV/SER TO ETHERNET PC BOARD MT,103,0,"34.88000","0","1","SocketEthernet IP®","Active","Server, Serial to Ethernet","PC Board Mount","1"
