Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Type","Configuration","Copper Ports","Copper Type","Fiber Ports","Fiber Type","SFP/XFP Ports","Features","Distance","MTU","Voltage - Input","Connector Type","Mounting Type","Ingress Protection","Operating Temperature"
http://www.bb-elec.ru/shared/files/201609/3_2618.pdf,//media.digikey.com/Photos/B&B%20Electronics/MFG_856-176xy%20Series.jpg,856-17646-ND,856-17646,"B&B SmartWorx, Inc.","IE-MINIFIBERLINX-II/TELCO, TP-TX",0,0,"589.50000","0","1","Bulk","IE-MiniFiberLinX-II","Active","Managed","Fixed","1","10/100","1","100BASE-FX (Singlemode)","-","SNMP Manageable","60km","1916","12 ~ 48VDC","RJ45, SC","Chassis Mount","-","-45°C ~ 85°C"
-,-,854-10658-ND,854-10658,"B&B SmartWorx, Inc.",MINIMC MOD TP-TX/FX-CWDM-SM,0,0,"597.00000","0","1","-","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
-,-,854-10659-ND,854-10659,"B&B SmartWorx, Inc.",MINIMC MOD TP-TX/FX-CWDM-SM,0,0,"597.00000","0","1","-","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
-,-,854-10660-ND,854-10660,"B&B SmartWorx, Inc.",MINIMC MOD TP-TX/FX-CWDM-SM,0,0,"597.00000","0","1","-","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
-,-,854-10661-ND,854-10661,"B&B SmartWorx, Inc.",MINIMC MOD TP-TX/FX-CWDM-SM,0,0,"597.00000","0","1","-","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
-,-,854-10662-ND,854-10662,"B&B SmartWorx, Inc.",MINIMC MOD TP-TX/FX-CWDM-SM,0,0,"597.00000","0","1","-","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
-,-,854-10663-ND,854-10663,"B&B SmartWorx, Inc.",MINIMC MOD TP-TX/FX-CWDM-SM,0,0,"597.00000","0","1","-","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
-,-,854-10664-ND,854-10664,"B&B SmartWorx, Inc.",MINIMC MOD TP-TX/FX-CWDM-SM,0,0,"597.00000","0","1","-","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
-,-,854-10665-ND,854-10665,"B&B SmartWorx, Inc.",MINIMC MOD TP-TX/FX-CWDM-SM,0,0,"597.00000","0","1","-","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
-,-,854-10666-ND,854-10666,"B&B SmartWorx, Inc.",MINIMC MOD TP-TX/FX-CWDM-SM,0,0,"597.00000","0","1","-","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
-,-,854-10667-ND,854-10667,"B&B SmartWorx, Inc.",MINIMC MOD TP-TX/FX-CWDM-SM,0,0,"597.00000","0","1","-","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
-,-,854-10668-ND,854-10668,"B&B SmartWorx, Inc.",MINIMC MOD TP-TX/FX-CWDM-SM,0,0,"597.00000","0","1","-","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
-,-,854-10669-ND,854-10669,"B&B SmartWorx, Inc.",MINIMC MOD TP-TX/FX-CWDM-SM,0,0,"597.00000","0","1","-","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
-,-,854-10670-ND,854-10670,"B&B SmartWorx, Inc.",MINIMC MOD TP-TX/FX-CWDM-SM,0,0,"597.00000","0","1","-","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
-,-,854-10671-ND,854-10671,"B&B SmartWorx, Inc.",MINIMC MOD TP-TX/FX-CWDM-SM,0,0,"597.00000","0","1","-","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
-,-,854-10672-ND,854-10672,"B&B SmartWorx, Inc.",MINIMC MOD TP-TX/FX-CWDM-SM,0,0,"597.00000","0","1","-","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
-,-,854-10673-ND,854-10673,"B&B SmartWorx, Inc.",MINIMC MOD TP-TX/FX-CWDM-SM,0,0,"597.00000","0","1","-","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
http://advdownload.advantech.com/productfile/PIS/BB-857-11811/Product%20-%20Datasheet/PoE&PoE+_Giga-MiniMc_LFPT_5013ds_AB+B20160328212200.pdf,//media.digikey.com/Photos/B&B%20Electronics/MFG_857-119xy%20SERIES.jpg,BB-857-11915-ND,BB-857-11915,"B&B SmartWorx, Inc.",POE GIGA MINIMC 2TX/LX-SM1310,0,2,"600.00000","0","1","Bulk","Giga-MiniMc","Active","Unmanaged","Fixed","2","10/100/1000","1","Gigabit (Singlemode)","-","LFPT","40km","Jumbo","100 ~ 240VAC","RJ45, SC","Chassis Mount","-","0°C ~ 70°C"
http://advdownload.advantech.com/productfile/Downloadfile2/1-1I7DK1G/PoE-PoE-Giga-McBasic-LFPT_0914m.pdf,//media.digikey.com/Photos/B&B%20Electronics/MFG_852-11xyz.jpg,852-11816-ND,852-11816,"B&B SmartWorx, Inc.",POE GIGA MCBASIC 2TX/LX-SM1550,0,0,"600.00000","0","1","Bulk","Giga-McBasic","Active","-","Fixed","2","10/100/1000","1","Gigabit (Singlemode)","-","LFPT","80km","Jumbo","100 ~ 240VAC","RJ45, SC","Chassis Mount","-","0°C ~ 50°C"
http://advdownload.advantech.com/productfile/Downloadfile2/1-1I7DK1G/PoE-PoE-Giga-McBasic-LFPT_0914m.pdf,//media.digikey.com/Photos/B&B%20Electronics/MFG_852-11xyz.jpg,852-11820-ND,852-11820,"B&B SmartWorx, Inc.",POE GIGA MCBASIC 2TX/SSLX-SM,0,0,"600.00000","0","1","Bulk","Giga-McBasic","Active","-","Fixed","2","10/100/1000","1","Gigabit (Singlemode)","-","LFPT","15km","Jumbo","100 ~ 240VAC","RJ45, SC","Chassis Mount","-","0°C ~ 50°C"
-,-,852-10734-ND,852-10734,"B&B SmartWorx, Inc.","POE-MCBASIC, 2TX/SSFX-SM1310/LON",0,0,"600.00000","0","1","-","-","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
http://www.redlion.net/files/138/5245,//media.digikey.com/Photos/Red%20Lion%20Photos/MFG_N-Tron1003GX2.jpg,1003GX2-SX-ND,1003GX2-SX,Red Lion Controls,1003GX2-SX GIGABIT SWITCH,0,0,"600.79000","0","1","Bulk","N-TRON®","Active","Unmanaged","Fixed + SFP","1","10/100/1000","Up to 2","SFP","2 (SFP)","-","Varies","-","10 ~ 30VDC","RJ45, SFP","DIN Rail","-","-40°C ~ 85°C"
