Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Applications","Memory Type","Memory Size","Operating Temperature"
https://datasheets.maximintegrated.com/en/ds/DS1925.pdf,//media.digikey.com/Photos/Maxim%20Photos/DS1925L-F5%23.JPG,DS1925L-F5#-ND,DS1925L-F5#,Maxim Integrated,IBUTTON TEMP LOGGER,86,0,"70.08000","0","1","-","Active","-","-","-","-"
https://datasheets.maximintegrated.com/en/ds/DS1922E.pdf,//media.digikey.com/photos/Dallas%20Semicon%20Photos/DS1990A-F3+.JPG,DS1922E-F5#-ND,DS1922E-F5#,Maxim Integrated,IBUTTON TEMP LOGGER 4KBit F5,0,0,"90.90000","0","1","iButton®","Active","Temperature Logging","NVSRAM (Non-Volatile SRAM)","576B, 8KB","15°C ~ 140°C"
https://datasheets.maximintegrated.com/en/ds/DS9092K.pdf,//media.digikey.com/Photos/Maxim%20Photos/DS9092K%23.jpg,DS9092K#-ND,DS9092K#,Maxim Integrated,KIT IBUTTON STARTER,2,146,"75.86000","0","1","iButton®","Active","-","-","-","-"
https://datasheets.maximintegrated.com/en/ds/DS1921K.pdf,//media.digikey.com/Photos/Maxim%20Photos/DS1921K%23.jpg,DS1921K#-ND,DS1921K#,Maxim Integrated,KIT IBUTTON THERMOCHRON,8,155,"106.25000","0","1","iButton®","Active","Temperature Logging","NVSRAM (Non-Volatile SRAM)","-","-"
https://datasheets.maximintegrated.com/en/ds/DS1920.pdf,//media.digikey.com/Photos/Maxim%20Photos/DS1920-F5+.JPG,DS1920-F5+-ND,DS1920-F5+,Maxim Integrated,IBUTTON TEMPERATURE F5,62,7800,"8.58000","0","1","iButton®","Active","Thermometer","EEPROM","2B","-55°C ~ 100°C"
https://datasheets.maximintegrated.com/en/ds/DS1921H-DS1921Z.pdf,//media.digikey.com/photos/Dallas%20Semicon%20Photos/DS1990A-F3+.JPG,DS1921Z-F5#-ND,DS1921Z-F5#,Maxim Integrated,IBUTTON THERMOCHRON F5,35,2053,"39.06000","0","1","iButton®","Active","Temperature Logging","NVSRAM (Non-Volatile SRAM)","512B, 2KB","-40°C ~ 85°C"
https://datasheets.maximintegrated.com/en/ds/DS1921H-DS1921Z.pdf,//media.digikey.com/photos/Dallas%20Semicon%20Photos/DS1990A-F3+.JPG,DS1921H-F5#-ND,DS1921H-F5#,Maxim Integrated,IBUTTON THERMOCHRON F5,81,3436,"40.93000","0","1","iButton®","Active","Temperature Logging","NVSRAM (Non-Volatile SRAM)","512B, 2KB","-40°C ~ 85°C"
https://datasheets.maximintegrated.com/en/ds/DS1964S.pdf,-,DS1964S-F5+-ND,DS1964S-F5+,Maxim Integrated,IC IBUTTON LOGGER CAN,99,0,"4.07000","0","1","-","Active","-","-","-","-"
https://datasheets.maximintegrated.com/en/ds/DS1904.pdf,//media.digikey.com/photos/Dallas%20Semicon%20Photos/DS1990A-F3+.JPG,DS1904L-F5#-ND,DS1904L-F5#,Maxim Integrated,IBUTTON RTC F5 MICROCAN,0,0,"10.71000","0","1","iButton®","Active","Real Time Clock/Calendar (RTC)","-","-","-40°C ~ 85°C"
https://pdfserv.maximintegrated.com/en/an/AN156.pdf,//media.digikey.com/photos/Dallas%20Semicon%20Photos/DS1990A-F3+.JPG,DS1963S-F5+-ND,DS1963S-F5+,Maxim Integrated,IBUTTON MONETARY SHA-1,18,8983,"9.60000","0","1","iButton®","Active","User/Product Authentication","NVSRAM (Non-Volatile SRAM)","512B","-40°C ~ 85°C"
