Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Memory Size","Memory Type","Type","Speed - Read","Speed - Write","Operating Temperature","Size / Dimension"
http://www.swissbit.com/data/U-46/U-46_fact_sheet.pdf,-,SFUI016GJ1AB2TO-C-GS-2AP-STD-ND,SFUI016GJ1AB2TO-C-GS-2AP-STD,Swissbit,USB FLASH DRIVE 16GB SLC USB 2.0,0,0,"53.98000","0","1","Everbit™ U-46","Active","16GB","FLASH - NAND (SLC)","USB 2.0","39MB/s","28MB/s","0°C ~ 70°C","36.80mm L x 26.65mm W x 2.54mm H"
https://www.swissbit.com/wp-content/uploads/2015/03/swissbit_prduktbroschuere_10_2014_150dpi_v1.pdf,//media.digikey.com/Photos/Swissbit%20NA%20Inc/SFU22048E3BP2TO-I-MS-121-STD.JPG,SFU22048E3BP2TO-C-MS-121-STD-ND,SFU22048E3BP2TO-C-MS-121-STD,Swissbit,USB FLASH DRIVE 2GB SLC USB 2.0,0,0,"55.06000","0","1","unitedCONTRAST II","Active","2GB","FLASH - NAND (SLC)","USB 2.0","32MB/s","23MB/s","0°C ~ 70°C","67.85mm L x 17.97mm W x 8.35mm H"
-,-,VTDU34CC032G-QUA-ND,VTDU34CC032G-QUA,Virtium LLC,USB FLASH DRIVE 32GB SLC 2.0/3.0,0,0,"56.14950","0","20","TuffDrive® USB","Active","32GB","FLASH - NAND (SLC)","USB 2.0, 3.0","-","-","0°C ~ 70°C","45.35mm L x 17.90mm W x 6.20mm H"
//media.digikey.com/pdf/Data%20Sheets/Apacer/APHAzzzzax0xG-xT(M).pdf,-,APHA032GAG0CG-3TM-ND,APHA032GAG0CG-3TM,Apacer Memory America,USB FLASH DRIVE 32GB MLC 2.0/3.0,0,0,"56.65000","0","1","EH353","Active","32GB","FLASH - NAND (MLC)","USB 2.0, 3.0","190MB/s","45MB/s","0°C ~ 70°C","59.00mm L x 18.40mm W x 9.10mm H"
//media.digikey.com/pdf/Data%20Sheets/Apacer/APHAzzzzax0xG-xT(M).pdf,-,APHA032GAK0CG-3TM-ND,APHA032GAK0CG-3TM,Apacer Memory America,USB FLASH DRIVE 32GB MLC 2.0/3.0,0,0,"56.65000","0","1","EH353","Active","32GB","FLASH - NAND (MLC)","USB 2.0, 3.0","190MB/s","45MB/s","0°C ~ 70°C","59.00mm L x 18.40mm W x 9.10mm H"
http://www.swissbit.com/data/U-46/U-46_fact_sheet.pdf,-,SFUI016GJ1AB2TO-I-GS-2AP-STD-ND,SFUI016GJ1AB2TO-I-GS-2AP-STD,Swissbit,USB FLASH DRIVE 16GB SLC USB 2.0,0,0,"57.21000","0","1","Everbit™ U-46","Active","16GB","FLASH - NAND (SLC)","USB 2.0","39MB/s","28MB/s","-40°C ~ 85°C","36.80mm L x 26.65mm W x 2.54mm H"
-,-,VTDU35CC032G-150-ND,VTDU35CC032G-150,Virtium LLC,USB FLASH DRIVE 32GB SLC 2.0/3.0,0,0,"57.26100","0","20","TuffDrive® USB","Active","32GB","FLASH - NAND (SLC)","USB 2.0, 3.0","-","-","0°C ~ 70°C","71.40mm L x 17.50mm W x 8.00mm H"
-,-,SFU32048E1AE1TO-C-QT-1A1-STD-ND,SFU32048E1AE1TO-C-QT-1A1-STD,Swissbit,IND USB FLASH DRIVE U-500K 2 GB,0,0,"57.39000","0","1","U-500K","Active","2GB","FLASH - NAND (SLC)","USB 3.1","175MB/s","90MB/s","0°C ~ 70°C","67.80mm L x 18.00mm H x 8.30mm W"
-,-,SFU3016GE1AE2TO-C-GS-1A1-STD-ND,SFU3016GE1AE2TO-C-GS-1A1-STD,Swissbit,IND USB FLASH DRIVE U-50K 16 GB,0,0,"58.46000","0","1","U-50K","Active","16GB","FLASH - NAND (MLC)","USB 3.1","140MB/s","60MB/s","0°C ~ 70°C","67.80mm L x 18.00mm H x 8.30mm W"
-,-,SFU3008GE1AE2TO-C-GS-1AP-STD-ND,SFU3008GE1AE2TO-C-GS-1AP-STD,Swissbit,IND USB FLASH DRIVE U-56K 8 GB P,0,0,"59.72000","0","1","U-56K","Active","8GB","FLASH - NAND (pSLC)","USB 3.1","175MB/s","110MB/s","0°C ~ 70°C","67.80mm L x 18.00mm H x 8.30mm W"
-,-,SFU32048E1AE1TO-I-QT-1A1-STD-ND,SFU32048E1AE1TO-I-QT-1A1-STD,Swissbit,IND USB FLASH DRIVE U-500K 2 GB,0,0,"61.69000","0","1","U-500K","Active","2GB","FLASH - NAND (SLC)","USB 3.1","175MB/s","90MB/s","-40°C ~ 85°C","67.80mm L x 18.00mm H x 8.30mm W"
