Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Connector Type","Number of Contacts","Gender","Specifications","Mounting Type","Mounting Feature","Termination","Features","Ingress Protection","Operating Temperature","Number of Ports","Current Rating (Amps)","Voltage - Rated","Mating Cycles","Shielding"
//media.digikey.com/pdf/Data%20Sheets/Hirose%20PDFs/UX60S.pdf,//media.digikey.com/photos/Hirose%20Elect%20Photos/UX60SC-MB-5ST(80).JPG,H11671CT-ND,UX60SC-MB-5ST(80),Hirose Electric Co Ltd,CONN RCPT USB2.0 MINI B SMD R/A,23250,0,"0.80000","0","1","Cut Tape (CT)","UX","Active","USB - mini B","5","Receptacle","USB 2.0","Surface Mount, Right Angle","Horizontal","Solder","Solder Retention","-","-30°C ~ 75°C","1","1A","30VAC","5000","Shielded"
//media.digikey.com/pdf/Data%20Sheets/Hirose%20PDFs/UX60S.pdf,//media.digikey.com/photos/Hirose%20Elect%20Photos/UX60SC-MB-5ST(80).JPG,H11671DKR-ND,UX60SC-MB-5ST(80),Hirose Electric Co Ltd,CONN RCPT USB2.0 MINI B SMD R/A,23250,0,"Digi-Reel","0","1","Digi-Reel®","UX","Active","USB - mini B","5","Receptacle","USB 2.0","Surface Mount, Right Angle","Horizontal","Solder","Solder Retention","-","-30°C ~ 75°C","1","1A","30VAC","5000","Shielded"
https://www.hirose.com/product/download/?distributor=digikey&type=2d&lang=en&num=ZX62M-B-5P(30),//media.digikey.com/Photos/Hirose%20Elect%20Photos/ZX62M-B-5P(01).jpg,H125273TR-ND,ZX62M-B-5P(30),Hirose Electric Co Ltd,CONN RCPT USB2.0 MICRO B SMD,19500,0,"0.37500","0","1500","Tape & Reel (TR)","ZX","Active","USB - micro B","5","Receptacle","USB 2.0","Board Edge, Cutout; Surface Mount, Right Angle","Horizontal, Mid Mount","Solder","Pick and Place, Solder Retention","-","-30°C ~ 85°C","1","1.8A","30VAC","10000","Shielded"
https://www.hirose.com/product/download/?distributor=digikey&type=2d&lang=en&num=ZX62M-B-5P(30),//media.digikey.com/Photos/Hirose%20Elect%20Photos/ZX62M-B-5P(01).jpg,H125273CT-ND,ZX62M-B-5P(30),Hirose Electric Co Ltd,CONN RCPT USB2.0 MICRO B SMD,20690,0,"0.80000","0","1","Cut Tape (CT)","ZX","Active","USB - micro B","5","Receptacle","USB 2.0","Board Edge, Cutout; Surface Mount, Right Angle","Horizontal, Mid Mount","Solder","Pick and Place, Solder Retention","-","-30°C ~ 85°C","1","1.8A","30VAC","10000","Shielded"
https://www.hirose.com/product/download/?distributor=digikey&type=2d&lang=en&num=ZX62M-B-5P(30),//media.digikey.com/Photos/Hirose%20Elect%20Photos/ZX62M-B-5P(01).jpg,H125273DKR-ND,ZX62M-B-5P(30),Hirose Electric Co Ltd,CONN RCPT USB2.0 MICRO B SMD,20690,0,"Digi-Reel","0","1","Digi-Reel®","ZX","Active","USB - micro B","5","Receptacle","USB 2.0","Board Edge, Cutout; Surface Mount, Right Angle","Horizontal, Mid Mount","Solder","Pick and Place, Solder Retention","-","-30°C ~ 85°C","1","1.8A","30VAC","10000","Shielded"
https://www.hirose.com/product/download/?distributor=digikey&type=2d&lang=en&num=ZX62-AB-5PA(31),//media.digikey.com/photos/Hirose%20Elect%20Photos/ZX62-AB-5PA(11).JPG,H125279TR-ND,ZX62-AB-5PA(31),Hirose Electric Co Ltd,CONN RCPT USB2.0 MICRO AB SMD RA,28000,0,"0.37700","0","3500","Tape & Reel (TR)","ZX","Active","USB - micro AB","5","Receptacle","USB 2.0","Surface Mount, Right Angle","Bottom Mount, Horizontal","Solder","Pick and Place, Solder Retention","-","-30°C ~ 85°C","1","1A per Contact","30VAC","10000","Shielded"
https://www.hirose.com/product/download/?distributor=digikey&type=2d&lang=en&num=ZX62-AB-5PA(31),//media.digikey.com/photos/Hirose%20Elect%20Photos/ZX62-AB-5PA(11).JPG,H125279CT-ND,ZX62-AB-5PA(31),Hirose Electric Co Ltd,CONN RCPT USB2.0 MICRO AB SMD RA,31443,0,"0.83000","0","1","Cut Tape (CT)","ZX","Active","USB - micro AB","5","Receptacle","USB 2.0","Surface Mount, Right Angle","Bottom Mount, Horizontal","Solder","Pick and Place, Solder Retention","-","-30°C ~ 85°C","1","1A per Contact","30VAC","10000","Shielded"
https://www.hirose.com/product/download/?distributor=digikey&type=2d&lang=en&num=ZX62-AB-5PA(31),//media.digikey.com/photos/Hirose%20Elect%20Photos/ZX62-AB-5PA(11).JPG,H125279DKR-ND,ZX62-AB-5PA(31),Hirose Electric Co Ltd,CONN RCPT USB2.0 MICRO AB SMD RA,31443,0,"Digi-Reel","0","1","Digi-Reel®","ZX","Active","USB - micro AB","5","Receptacle","USB 2.0","Surface Mount, Right Angle","Bottom Mount, Horizontal","Solder","Pick and Place, Solder Retention","-","-30°C ~ 85°C","1","1A per Contact","30VAC","10000","Shielded"
http://www.amphenol-icc.com/media/wysiwyg/files/drawing/10033526.pdf,//media.digikey.com/Photos/FCI%20Photos/10033526-N3212LF.JPG,609-4700-2-ND,10033526-N3212LF,Amphenol ICC (FCI),CONN RCPT MINI USB B 5POS SMD RA,15750,0,"0.38304","0","750","Tape & Reel (TR)","-","Active","USB - mini B","5","Receptacle","-","Surface Mount, Right Angle","Horizontal","Solder","Board Guide, Solder Retention","-","-25°C ~ 85°C","1","1A per Contact","30V","5000","Shielded"
http://www.amphenol-icc.com/media/wysiwyg/files/drawing/10033526.pdf,//media.digikey.com/Photos/FCI%20Photos/10033526-N3212LF.JPG,609-4700-1-ND,10033526-N3212LF,Amphenol ICC (FCI),CONN RCPT MINI USB B 5POS SMD RA,16728,0,"0.75000","0","1","Cut Tape (CT)","-","Active","USB - mini B","5","Receptacle","-","Surface Mount, Right Angle","Horizontal","Solder","Board Guide, Solder Retention","-","-25°C ~ 85°C","1","1A per Contact","30V","5000","Shielded"
