Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Kit Type","Main Purpose","Interconnect System","Suggested Programming Environment","Utilized IC / Part","Included MCU/MPU Board(s)"
http://www.globalspecialties.com/educational-hobby-kits/control-and-indicator-kits/download/1356_60808d9872cffd14901774b0eddc393b.html,//media.digikey.com/photos/BK%20Precision%20Photos/MFG_GSK-804.jpg,BKGSK-804-ND,GSK-804,Global Specialties,DC MOTOR SPEED CONTROL KIT,19,0,"9.25000","0","1","-","Active","Project Kit","DC Speed Control","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/1459_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/1459.jpg,1528-1444-ND,1459,Adafruit Industries LLC,WIRELESS CHARGING KIT 3.3V 500MA,8,0,"9.95000","0","1","-","Active","RF","Wireless Charging Kit","-","-","-","-"
http://www.globalspecialties.com/educational-hobby-kits/solar-leds-and-switches/download/1355_fef0bf0d7bbce700299697076ad2a011.html,//media.digikey.com/Photos/BK%20Precision%20Photos/MFG_GSK-409.jpg,BKGSK-409-ND,GSK-409,Global Specialties,SOUND ACTIVATED SWITCH KIT,6,0,"10.30000","0","1","-","Active","Project Kit","Audio Control","-","-","-","-"
http://www.globalspecialties.com/educational-hobby-kits/control-and-indicator-kits/download/1374_86e61e95e19c69d92940c6c35151542a.html,//media.digikey.com/photos/BK%20Precision%20Photos/MFG_GSK-944.jpg,BKGSK-944-ND,GSK-944,Global Specialties,WATER RESISTANCE ANALYZER KIT,7,0,"11.00000","0","1","-","Active","Project Kit","Water Resistance","-","-","-","-"
http://www.globalspecialties.com/media/k2/attachments/GSK-10_20150515_manual.pdf,//media.digikey.com/Photos/BK%20Precision%20Photos/MFG_GSK-10.jpg,BKGSK-10-ND,GSK-10,Global Specialties,TOUCH CONTROL SWITCH KIT,3,0,"14.00000","0","1","-","Active","Project Kit","Touch Control","-","-","-","-"
https://github.com/Arduinolibrary/DFRobot_Light_chaser/raw/master/User%20manual.pdf,//media.digikey.com/Photos/DFRobot/TOY0060.jpg,1738-1182-ND,TOY0060,DFRobot,LIGHT CHASER ROBOT,3,0,"15.35000","0","1","-","Active","Project Kit","Light Sensor","-","-","-","-"
http://www.globalspecialties.com/educational-hobby-kits/solar-leds-and-switches/download/1370_fc7fb7be0bee6ae0683353816f5739c3.html,//media.digikey.com/photos/BK%20Precision%20Photos/MFG_GSK-1005.jpg,BKGSK-1005-ND,GSK-1005,Global Specialties,BLINKING SOLAR KIT 2 LEDS 4VDC,2,0,"19.00000","0","1","-","Active","Project Kit","Blinking Light, Solar","-","-","-","-"
http://globalspecialties.com/educational-hobby-kits/control-and-indicator-kits/download/1698_7985b9a0a6c086d44950237c9c5fee80.html,//media.digikey.com/photos/BK%20Precision%20Photos/MFG_GSK-819.jpg,BKGSK-819-ND,GSK-819,Global Specialties,BATT CHARGER KIT LITH-ION POLYMR,2,0,"20.00000","0","1","-","Active","Project Kit","Battery Charger, Lithium Ion","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/Benchtop_PwerBrd_Kit_HookupGuide.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_KIT-12867.jpg,1568-1081-ND,KIT-12867,SparkFun Electronics,KIT BENCHTOP POWER BOARD,4,0,"21.95000","0","1","Power Board","Active","Project Kit","Power Supply, ATX","-","-","-","-"
http://www.globalspecialties.com/educational-hobby-kits/solar-leds-and-switches/download/1369_b6340fef93914db86deb3a886a1417a6.html,//media.digikey.com/photos/BK%20Precision%20Photos/MFG_GSK-1004.jpg,BKGSK-1004-ND,GSK-1004,Global Specialties,SOLAR KIT 5 LEDS 4VDC,0,0,"22.00000","0","1","-","Active","Project Kit","Solar Light Indicator","-","-","-","-"
