Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","For Use With/Related Products"
//media.digikey.com/pdf/Data%20Sheets/Pi%20Supply%20PDFs/JBM-017_Web.pdf,//media.digikey.com/Photos/Pi-Supply/MFG_JBM-017.jpg,1910-1049-ND,JBM-017,Pi Supply,JUSTBOOM SMART REMOTE,25,0,"35.00000","0","1","JustBoom","Active","Remote Control","-"
//media.digikey.com/pdf/Data%20Sheets/Makeblock%20PDFs/P1030024_Web.pdf,//media.digikey.com/Photos/Makeblock/MFG_P103002X.jpg,1890-1081-ND,P1030024,"Makeblock Co., LTD.",CODEY ROCKY,24,0,"99.00000","0","1","-","Active","Controller","Codey"
-,//media.digikey.com/Photos/Makeblock/MFG_P103002X.jpg,1890-1082-ND,P1030026,"Makeblock Co., LTD.",CODEY ROCKY W/ BLUETOOTH DONGLE,19,0,"103.00000","0","1","-","Active","Controller","Codey"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/3881_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_3881.jpg,1528-2701-ND,3881,Adafruit Industries LLC,ROTATING DOOR LOCK DC MOTOR,26,0,"2.50000","0","1","-","Active","DC Motor","Arduino"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/4047_Web.pdf,-,1528-2834-ND,4047,Adafruit Industries LLC,HD MAGNET VIEWING FILM - 50X40MM,30,0,"14.95000","0","1","-","Active","Magnet Viewing Film","-"
//media.digikey.com/pdf/Data%20Sheets/Pulse%20Sensor%20PDFs/Pulse_Sensor.pdf,//media.digikey.com/photos/Adafruit%20Industries%20LLC/MFG_1093.jpg,1528-2340-ND,1093,Adafruit Industries LLC,PULSE SENSOR AMPED,28,0,"31.25000","0","1","Original Pulse Sensor","Active","Pulse Sensor","Arduino"
//media.digikey.com/pdf/Data%20Sheets/Seeed%20Technology/110991167_Web.pdf,-,1597-1692-ND,110991167,"Seeed Technology Co., Ltd",PAN/TILT2 SERVO MOTOR KIT FOR PI,24,0,"31.75000","0","1","-","Active","Servo Motor Kit","Pixy2"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/3544_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/3544.jpg,1528-2353-ND,3544,Adafruit Industries LLC,MINIATURE DESKTOP FAN - 12V,20,0,"8.95000","0","1","-","Active","Fan","-"
//media.digikey.com/pdf/Data%20Sheets/SolidRun%20PDFs/RC01_Web.pdf,//media.digikey.com/Photos/SolidRun/MFG_RC01.jpg,RC01-ND,RC01,SolidRun LTD,INFRARED REMOTE CONTROL,6,0,"10.64000","0","1","CuBox-i/HummingBoard","Active","Infrared Remote Control","CuBox-i, HummingBoard, OpenELEC (Kodi)"
//media.digikey.com/pdf/Data%20Sheets/Parallax%20PDFs/29122.pdf,//media.digikey.com/photos/Parallax%20Photos/MFG_29122.jpg,29122-ND,29122,Parallax Inc.,IR REMOTE KIT W/DETECTOR,1,0,"13.82000","0","1","-","Active","Infrared Remote Control","Boe-Bot®"
//media.digikey.com/pdf/Data%20Sheets/DFRobot%20PDFs/SEN0229_Web.pdf,//media.digikey.com/Photos/DFRobot/MFG_SEN0229.jpg,1738-1315-ND,SEN0229,DFRobot,WATER TURBINE GENERATOR (5VDC),22,0,"10.20000","0","1","-","Active","Hydro Generator","-"
https://cdn.sparkfun.com/datasheets/Components/General/TCF1140.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_COM-11899.jpg,COM-11899-ND,COM-11899,SparkFun Electronics,MUSCLE WIRE 0.127MM DIA 305MM,0,0,"1.50000","0","1","Muscle Wire®","Active","Actuator Wire","-"
https://cdn.sparkfun.com/datasheets/Components/General/TCF1140.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_COM-11900.jpg,COM-11900-ND,COM-11900,SparkFun Electronics,MUSCLE WIRE 0.3MM DIA 305MM,0,0,"1.95000","0","1","Muscle Wire®","Active","Actuator Wire","-"
https://cdn.sparkfun.com/datasheets/Components/General/TCF1140.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_COM-12095.jpg,COM-12095-ND,COM-12095,SparkFun Electronics,FLEXINOL WIRE 0.127MM DIA 305MM,0,0,"1.95000","0","1","Flexinol®","Active","Actuator Wire","-"
https://cdn.sparkfun.com/datasheets/Components/General/TCF1140.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_COM-12096.jpg,COM-12096-ND,COM-12096,SparkFun Electronics,FLEXINOL WIRE 0.3MM DIA 305MM,0,0,"2.50000","0","1","Flexinol®","Active","Actuator Wire","-"
//media.digikey.com/pdf/Data%20Sheets/Makeblock%20PDFs/13620_Web.pdf,//media.digikey.com/Photos/Makeblock/MFG_13620.jpg,13620MB-ND,13620,"Makeblock Co., LTD.",IR CONTROLLER V2,0,0,"4.99000","0","8","-","Active","Infrared Remote Control","-"
//media.digikey.com/pdf/Data%20Sheets/Makeblock%20PDFs/59006_Web.pdf,-,59006-ND,59006,"Makeblock Co., LTD.",2M F6 PNEUMATIC TUBE - BLUE,0,0,"4.99000","0","1","-","Active","Air Tube","-"
//media.digikey.com/pdf/Data%20Sheets/Makeblock%20PDFs/59004_Web.pdf,-,59004-ND,59004,"Makeblock Co., LTD.",VACUUM SUCTION CUP CONNECTOR,0,0,"4.99000","0","1","-","Active","Connector Holder","-"
//media.digikey.com/pdf/Data%20Sheets/Makeblock%20PDFs/59003_Web.pdf,-,59003-ND,59003,"Makeblock Co., LTD.",SILICONE AIR TUBE 0507,0,0,"4.99000","0","1","-","Active","Air Tube","-"
//media.digikey.com/pdf/Data%20Sheets/Makeblock%20PDFs/59000_Web.pdf,-,59000MB-ND,59000,"Makeblock Co., LTD.",VACUUM SUCTION CUP - SP-30,0,0,"4.99000","0","1","-","Active","Vacuum Suction Cup","-"
//media.digikey.com/pdf/Data%20Sheets/DFRobot%20PDFs/DFR0107_Web.pdf,-,DFR0107-ND,DFR0107,DFRobot,INFRARED REMOTE FOR ARDUINO,0,0,"7.73000","0","1","-","Active","Infrared Remote Control","Arduino"
//media.digikey.com/pdf/Data%20Sheets/Makeblock%20PDFs/59061_Web.pdf,-,59061-ND,59061,"Makeblock Co., LTD.",PNEUMATIC TWO-WAY BOTTLE CAP,0,0,"7.99000","0","1","-","Active","Pneumatic Bottle Cap","-"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/SEN-14885_Web.pdf,-,SEN-14885-ND,SEN-14885,SparkFun Electronics,NFC LED NAIL STICKER - WHITE (5,0,0,"8.75000","0","1","-","Active","LED Nail Sticker","NFC"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/SEN-14886_Web.pdf,-,SEN-14886-ND,SEN-14886,SparkFun Electronics,NFC LED NAIL STICKER - PINK (5 P,0,0,"8.75000","0","1","-","Active","LED Nail Sticker","NFC"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/SEN-14887_Web.pdf,-,SEN-14887-ND,SEN-14887,SparkFun Electronics,NFC LED NAIL STICKER - GREEN (5,0,0,"8.75000","0","1","-","Active","LED Nail Sticker","NFC"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/SEN-14888_Web.pdf,-,SEN-14888-ND,SEN-14888,SparkFun Electronics,NFC LED NAIL STICKER - RAINBOW (,0,0,"8.75000","0","1","-","Active","LED Nail Sticker","NFC"
https://cdn.sparkfun.com/datasheets/Prototyping/Make_With_Polymorph.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_TOL-10950.jpg,TOL-10950-ND,TOL-10950,SparkFun Electronics,POLYMORPH 250G,0,0,"9.95000","0","1","-","Active","Polymorph","-"
//media.digikey.com/pdf/Data%20Sheets/TinyCircuits%20PDFs/ASM4002_Web.pdf,-,ASM4002-ND,ASM4002,TinyCircuits,TINY PIANO,0,0,"9.95000","0","2","-","Active","Coin Acceptor","ATtiny841"
//media.digikey.com/pdf/Data%20Sheets/TinyCircuits%20PDFs/ASM4003_Web.pdf,-,ASM4003-ND,ASM4003,TinyCircuits,TINY VIOLIN,0,0,"9.95000","0","2","-","Active","Coin Acceptor","ATtiny841"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/KIT-14677_Web.pdf,-,KIT-14677-ND,KIT-14677,SparkFun Electronics,SPARKFUN INFRARED CONTROL KIT,0,0,"9.95000","0","1","-","Active","Infrared Remote Control","-"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/3539_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_3539.jpg,1528-2391-ND,3539,Adafruit Industries LLC,HYDRO DIPPING SHEETS 10PK A4,14,0,"11.95000","0","1","-","Active","Hydro Dipping Sheets","-"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/COM-10234_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_COM-10234.jpg,COM-10234-ND,COM-10234,SparkFun Electronics,PIEZO IGNITER 0.65"" DIA 2FT CBL,0,0,"11.95000","0","1","-","Active","Piezo Igniter","-"
-,//media.digikey.com/Photos/BK%20Precision%20Photos/MFG_LD-1-PB-501.jpg,LD-1-PB-501-ND,LD-1-PB-501,Global Specialties,AC ADAPTER,0,0,"15.00000","0","1","-","Active","AC Adapter","PB-501"
//media.digikey.com/pdf/Data%20Sheets/Pimoroni%20PDFs/LNG004_Web.pdf,-,LNG004-ND,LNG004,Pimoroni Ltd,KEYBOARD,0,0,"18.50143","0","7","-","Active","Keyboard","Arduino"
https://cdn.sparkfun.com/datasheets/Components/General/3.jpg,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_COM-11719.jpg,COM-11719-ND,COM-11719,SparkFun Electronics,COIN ACCEPTOR PROGRAM 3-TYPE,0,0,"20.00000","0","1","-","Active","Coin Acceptor","-"
-,//media.digikey.com/photos/BK%20Precision%20Photos/MFG_RP6V2-EXP.jpg,RP6V2-EXP-ND,RP6V2-EXP,Global Specialties,RP6 EXPANSION PCB,0,0,"22.50000","0","1","-","Active","Expansion PCB","RP6V2 Robot"
http://www.globalspecialties.com/programmable-robotics/assembled-robots/download/1407_b63022a6887060668c854b0c2dfaa108.html,//media.digikey.com/Photos/BK%20Precision%20Photos/MFG_RP6V2_C_RMT.jpg,RP6V2-RMT-ND,RP6V2-RMT,Global Specialties,INFRARED REMOTE CONTROL,0,0,"29.00000","0","1","-","Active","Infrared Remote Control","RP6V2 Robot"
//media.digikey.com/pdf/Data%20Sheets/Makeblock%20PDFs/59060_Web.pdf,-,59060MB-ND,59060,"Makeblock Co., LTD.",PNEUMATIC BOTTLE CAP WITH RELIEF,0,0,"29.99000","0","1","-","Active","Pneumatic Bottle Cap","-"
https://cdn.sparkfun.com/datasheets/Prototyping/Make_With_Polymorph.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_TOL-10951.jpg,TOL-10951-ND,TOL-10951,SparkFun Electronics,POLYMORPH 1000G,0,0,"34.95000","0","1","-","Active","Polymorph","-"
//media.digikey.com/pdf/Data%20Sheets/Pi%20Supply%20PDFs/PIS-0430_Web.pdf,//media.digikey.com/Photos/Pi-Supply/MFG_PIS-0430.jpg,PIS-0430-ND,PIS-0430,Pi Supply,ENERGENIE MI HOME MONITOR,0,0,"36.39000","0","20","Energenie®","Active","Home Monitor","-"
-,//media.digikey.com/photos/BK%20Precision%20Photos/MFG_RP6V2-DSP.jpg,RP6V2-DSP-ND,RP6V2-DSP,Global Specialties,RP6 DISPLAY,0,0,"40.00000","0","1","-","Active","Display","RP6V2 Robot"
https://cdn.sparkfun.com/datasheets/Components/General/6CoinAcc.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_COM-11636.jpg,COM-11636-ND,COM-11636,SparkFun Electronics,COIN ACCEPTOR PROGRAM 6-TYPE,0,0,"44.95000","0","1","-","Active","Coin Acceptor","-"
-,//media.digikey.com/photos/BK%20Precision%20Photos/MFG_ARX-DSP.jpg,ARX-DSP-ND,ARX-DSP,Global Specialties,ASURO DISPLAY,0,0,"45.00000","0","1","-","Active","Display","ARX Robot"
//media.digikey.com/pdf/Data%20Sheets/Pi%20Supply%20PDFs/PIS-0429_Web.pdf,//media.digikey.com/Photos/Pi-Supply/MFG_PIS-0429.jpg,PIS-0429-ND,PIS-0429,Pi Supply,ENERGENIE MI HOME ADAPTER PLUS,0,0,"48.99000","0","20","Energenie®","Active","Home Adapter","-"
http://www.globalspecialties.com/media/k2/attachments/PB-3_datasheet.pdf,//media.digikey.com/Photos/BK%20Precision%20Photos/MFG_PB-3.jpg,PB-3-ND,PB-3,Global Specialties,SOCKET PLATE FOR PB-503/PB-503C,0,0,"64.90000","0","1","-","Active","-","PB-503, PB503C"
http://www.globalspecialties.com/media/k2/attachments/M32_20130401_datasheet.pdf,//media.digikey.com/photos/BK%20Precision%20Photos/MFG_RP6V-M32.jpg,RP6V2-M32-ND,RP6V2-M32,Global Specialties,RP6 EXPANSION SET,0,0,"70.00000","0","1","-","Active","Control Module","RP6V2 Robot"
