Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Title","Author(s)","Publisher","ISBN"
//media.digikey.com/pdf/Data%20Sheets/O'Reilly_PDFs/9781457183225.pdf,//media.digikey.com/Photos/O%27Reilly-Media/9781457183225.JPG,1653-1011-ND,9781457183225,O'Reilly Media,GETTING STARTED WITH FLORA,34,0,"16.99000","0","1","Flora","Active","Book","MAKE: Getting Started with Adafruit FLORA","Becky Stern, Tyler Cooper","Maker Media, Inc.","978-1-4571-8322-5"
//media.digikey.com/pdf/Data%20Sheets/O'Reilly_PDFs/9781457186240.pdf,//media.digikey.com/Photos/O%27Reilly-Media/9781457186240.JPG,1653-1019-ND,9781457186240,O'Reilly Media,RASPBERRY PI AND AVR PROJECTS,13,0,"24.99000","0","1","-","Active","Book","MAKE: Raspberry Pi and AVR Projects","Cefn Hoile, Clare Bowman, Sjoerd Dirk Meijer, Brian Corteil, Lauren Orsin","Maker Media, Inc.","978-1-4571-8624-0"
//media.digikey.com/pdf/Data%20Sheets/O'Reilly_PDFs/9781449334314.pdf,//media.digikey.com/Photos/O'Reilly-Media/MFG_9781449334314.jpg,1653-1009-ND,9781449334314,O'Reilly Media,ENCYCLOPEDIA OF ELEC COMP V3,13,0,"29.99000","0","1","-","Active","Book","MAKE: Encyclopedia of Electronic Components Volume 3","Charles Platt","Maker Media, Inc.","978-1-4493-3431-4"
//media.digikey.com/pdf/Data%20Sheets/O'Reilly_PDFs/9781680450323.pdf,//media.digikey.com/Photos/O%27Reilly-Media/9781680450323.JPG,1653-1001-ND,9781680450323,O'Reilly Media,BEST OF MAKE: VOLUME 2,10,0,"29.99000","0","1","-","Active","Book","Best of Make: Volume 2","The Editors of Make","Maker Media, Inc.","978-1-68045-032-3"
//media.digikey.com/pdf/Data%20Sheets/O'Reilly_PDFs/9781680450262.pdf,//media.digikey.com/Photos/O%27Reilly-Media/9781680450262.JPG,1653-1006-ND,9781680450262,O'Reilly Media,MAKE: ELECTRONICS (2ND EDITION),9,0,"34.99000","0","1","-","Active","Book","MAKE: Electronics (2nd Edition)","Charles Platt","Maker Media, Inc.","978-1-68045-026-2"
//media.digikey.com/pdf/Data%20Sheets/O'Reilly_PDFs/9781457187858.pdf,//media.digikey.com/Photos/O%27Reilly-Media/9781457187858.JPG,1653-1010-ND,9781457187858,O'Reilly Media,MAKE: FPGAS,9,0,"34.99000","0","1","-","Active","Book","MAKE: FPGAs","David Romano","Maker Media, Inc.","978-1-4571-8785-8"
//media.digikey.com/pdf/Data%20Sheets/Pimoroni%20PDFs/BOOK_9781119412007_Web.pdf,//media.digikey.com/Photos/Pimoroni%20Photos/MFG_BOOK-9781119412007.jpg,1778-1164-ND,BK0109,Pimoroni Ltd,"RASPBERRY PI FOR DUMMIES, 3RD ED",18,0,"27.15000","0","1","-","Active","Book","Raspberry Pi For Dummies (3rd Edition)","Sean McManus, Mike Cook","-","-"
-,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/MFG_744018.jpg,732-13678-ND,744018,Wurth Electronics Inc.,TRILOGY OF WIRELESS POWER TRANSF,15,0,"29.00000","0","1","-","Active","Book","Trilogy of Wireless Power Transfer","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/O'Reilly_PDFs/9781680452860.pdf,//media.digikey.com/Photos/O'Reilly-Media/MFG_9781680452860.jpg,1653-1045-ND,9781680452860,O'Reilly Media,ELECTRONICS FOR YOUNG MAKERS BY,35,0,"12.99000","0","1","-","Active","Book","Electronics for Young Makers","Marc de Vinck","O'Reilly Media","9781680452860"
//media.digikey.com/pdf/Data%20Sheets/O'Reilly_PDFs/9781680452532.pdf,//media.digikey.com/Photos/O'Reilly-Media/MFG_9781680452532.jpg,1653-1044-ND,9781680452532,O'Reilly Media,MAKE TOOLS BY CHARLES PLATT,28,0,"24.99000","0","1","-","Active","Book","MAKE: Tools","Charles Platt","O'Reilly Media","9781680452532"
