Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Title","Author(s)","Publisher","ISBN"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/BOK-11131_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_BOK-11131.jpg,BOK-11131-ND,BOK-11131,SparkFun Electronics,"TIMER, OPAMP & OPTOELECTRONIC CI",0,0,"13.75000","0","1","-","Active","Book","Timer, OpAmp & Optoelectronic Circuits & Projects","Forrest M. Mims III","Master Publishing, Inc.","978-0945053293"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/BOK-11132_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_BOK-11132.jpg,BOK-11132-ND,BOK-11132,SparkFun Electronics,SCIENCE AND COMMUNICATION CIRCUI,0,0,"13.75000","0","1","-","Active","Book","Science and Communication Circuits & Projects","Forrest M. Mims III","Master Publishing, Inc.","978-0945053323"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/BOK-11133_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_BOK-11133.jpg,BOK-11133-ND,BOK-11133,SparkFun Electronics,ELECTRONIC SENSOR CIRCUITS & PRO,0,0,"13.75000","0","1","-","Active","Book","Electronic Sensor Circuits & Projects","Forrest M. Mims III","Master Publishing, Inc.","978-0945053316"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/BOK-11134_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_BOK-11134.jpg,BOK-11134-ND,BOK-11134,SparkFun Electronics,"ELECTRONIC FORMULAS, SYMBOLS & C",0,0,"13.75000","0","1","-","Active","Book","Electronic Formulas, Symbols & Circuits","Forrest M. Mims III","Master Publishing, Inc.","978-0945053309"
//media.digikey.com/pdf/Data%20Sheets/McGraw%20Hill%20Ed%20PDFs/1260143244_Web.pdf,//media.digikey.com/Photos/McGraw-Hill%20Education/1260143244.jpg,1751-1021-ND,1260143244,McGraw-Hill Education,BOOK PROGRAMMING ARDUINO 2/E2019,5,0,"15.96000","0","1","-","Active","Book","Programming Arduino Next Steps (2nd Edition)","Simon Monk","McGraw-Hill Education","9781260143249"
-,//media.digikey.com/photos/Parallax%20Photos/MFG_28123.jpg,28123-ND,28123,Parallax Inc.,TEXT WHAT'S A MICROCONTROLLER,0,0,"17.29000","0","1","-","Active","Book","What's a Microcontroller?","Andy Lindsay","Parallax Inc.","9781928982524"
https://www.parallax.com/sites/default/files/downloads/28125-Robotics-With-The-Boe-Bot-v3.0.pdf,//media.digikey.com/photos/Parallax%20Photos/MFG_28125.jpg,28125-ND,28125,Parallax Inc.,TEXT ROBOTICS,0,0,"18.61000","0","1","-","Active","Book","Robotics with the Boe-Bot","Andy Lindsay","Parallax Inc.","9781928982531"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/BOK-11001_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_BOK-11001.jpg,BOK-11001-ND,BOK-11001,SparkFun Electronics,MANGA GUIDE TO ELECTRICITY,0,0,"18.95000","0","1","-","Active","Book","Manga Guide to Electricity","Kazuhiro Fujitaki","No Starch Press","978-1-59327-197-8"
//media.digikey.com/pdf/Data%20Sheets/Parallax%20PDFs/SumoBot-Mini-Sumo_Robotics.pdf,//media.digikey.com/photos/Parallax%20Photos/MFG_122-27400.jpg,122-27400-ND,122-27400,Parallax Inc.,MANUAL FOR SUMOBOT,0,0,"19.94000","0","1","-","Active","Book","Manual for Sumobot","Jon Williams","Parallax Inc.","1-928982-26-3"
-,//media.digikey.com/Photos/BK%20Precision%20Photos/MFG_ARX-BOOK.jpg,ARX-BOOK-ND,ARX-BOOK,Global Specialties,ASURO BOOK VOLUME 1,0,0,"19.95000","0","1","-","Active","Book","More Fun with ASURO Volume 1","Robin Gruber, Jan Grewe","-","-"
//media.digikey.com/pdf/Data%20Sheets/O'Reilly_PDFs/9781680453843.pdf,//media.digikey.com/Photos/O'Reilly-Media/MFG_9781680453843.jpg,1653-1048-ND,9781680453843,O'Reilly Media,GETTING STARTED WITH SOLDERING B,25,0,"19.99000","0","1","-","Active","Book","MAKE: Getting Started with Soldering","Marc de Vinck","O'Reilly Media","9781680453843"
//media.digikey.com/pdf/Data%20Sheets/O'Reilly_PDFs/9781680453027.pdf,//media.digikey.com/Photos/O'Reilly-Media/MFG_9781680453027.jpg,1653-1046-ND,9781680453027,O'Reilly Media,GETTING STARTED WITH THE MICRO:B,22,0,"19.99000","0","1","-","Active","Book","Getting Started with the micro:bit","Wolfram Donat","O'Reilly Media","9781680453027"
//media.digikey.com/pdf/Data%20Sheets/O'Reilly_PDFs/Getting%20Started%20with%20Adafruit%20Circuit%20Playground%20Express.pdf,-,1653-1050-ND,9781680454888,O'Reilly Media,GETTING STARTED ADAFRUIT CIRCUIT,2,0,"19.99000","0","1","-","Active","Book","Getting Started with Adafruit Circuit Playground Express","Mike Barela","Maker Media, Inc.","9781680454888"
-,//media.digikey.com/photos/BK%20Precision%20Photos/MFG_GSC-2312.jpg,GSC-2312-ND,GSC-2312,Global Specialties,ELECTRONIC FUNDAMENTALS LAB SOLU,0,0,"20.00000","0","1","-","Active","Book","Electronics Fundamentals Student Lab Manual Answer Key","-","Global Specialties","-"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/BOK-10764_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_BOK-10764.jpg,BOK-10764-ND,BOK-10764,SparkFun Electronics,GETTING STARTED IN ELECTRONICS,0,0,"20.31000","0","1","-","Active","Book","Getting Started in Electronics","Forrest M. Mims III","Master Publishing, Inc.","978-0945053286"
//media.digikey.com/pdf/Data%20Sheets/Pimoroni%20PDFs/BOOK_9781119439585_Web.pdf,//media.digikey.com/Photos/Pimoroni%20Photos/MFG_BOOK-9781119439585.jpg,1778-1177-ND,BK0301,Pimoroni Ltd,"ADVENTURES IN MINECRAFT, 2ND EDI",0,0,"20.36286","0","7","-","Active","Book","Adventures in Minecraft® (2nd Edition)","Martin O'Hanlon, David Whale","WILEY","-"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/BOK-12730_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_BOK-12730.jpg,BOK-12730-ND,BOK-12730,SparkFun Electronics,RASPBERRY PI HACKS,0,0,"20.63000","0","1","-","Active","Book","Raspberry Pi Hacks","Ruth Suehle, Tom Callaway","O'Reilly Media","978-1-4493-6234-8"
https://www.parallax.com/sites/default/files/downloads/27297-StampWorks-Manual-v2.1.pdf,//media.digikey.com/photos/Parallax%20Photos/MFG_27218.jpg,27218-ND,27218,Parallax Inc.,MANUAL BASIC STAMP VER 2.0,0,0,"20.73000","0","1","BASIC Stamp® 2","Active","Book","Manul Basic Stamp ® Syntax and Reference","Jeff Martin, Jon Williams, Ken Gracey, Aristides Alvarez, Stephanie Lindsay","Parallax Inc.","1-928982-32-8"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/BOK-14861_Web.pdf,-,BOK-14861-ND,BOK-14861,SparkFun Electronics,MAKE YOUR OWN PCBS WITH EAGLE -,0,0,"24.38000","0","1","-","Active","Book","Make Your Own PCBs with Eagle (2nd Edition)","Duncan Amos, Simon Monk","McGraw-Hill/TAB Electronics","978-1-260-01919-3"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/BOK-11730_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_BOK-11730.jpg,BOK-11730-ND,BOK-11730,SparkFun Electronics,SUPER SCRATCH PROGRAMMING ADVENT,0,0,"24.95000","0","1","-","Active","Book","Super Scratch Programming Adventure!","The LEAD Project","No Starch Press","978-1-59327-531-0"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/BOK-10895_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_BOK-10895.jpg,BOK-10895-ND,BOK-10895,SparkFun Electronics,ROBOT BUILDER\'S BONANZA,0,0,"25.00000","0","1","-","Active","Book","Robot Builder's Bonanza","Gordon McComb","McGraw-Hill/TAB Electronics","978-0071750363"
https://www.parallax.com/sites/default/files/downloads/27402-Applied-Robotics-SumoBot-Text-v1.0.pdf,//media.digikey.com/photos/Parallax%20Photos/MFG_27403.jpg,27403-ND,27403,Parallax Inc.,GUIDE APP ROBOTCS W/SUMOBOT V1.0,0,0,"25.92000","0","1","-","Active","Book","Applied Robotics with the SumoBot®","Andy Lindsay","Parallax Inc.","1-928982-34-4"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/BOK-12902_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_BOK-12902.jpg,BOK-12902-ND,BOK-12902,SparkFun Electronics,LEARN TO PROGRAM WITH SCRATCH,0,0,"26.25000","0","1","-","Active","Book","Learn to Program with Scratch","Majed Marji","No Starch Press","978-1-59327-543-3"
//media.digikey.com/pdf/Data%20Sheets/Pimoroni%20PDFs/BOOK_9781119269069_Web.pdf,//media.digikey.com/Photos/Pimoroni%20Photos/MFG_BOOK-9781119269069.jpg,1778-1175-ND,BK0102,Pimoroni Ltd,"ADVENTURES IN RASPBERRY PI, 3RD",0,0,"26.47200","0","5","-","Active","Book","Adventures in Raspberry Pi (3rd Edition)","Carrie Anne Philbin","WILEY","-"
-,//media.digikey.com/photos/BK%20Precision%20Photos/MFG_GSC-DL010.jpg,GSC-DL010-ND,GSC-DL010,Global Specialties,DL-010 MANUAL,0,0,"28.00000","0","1","-","Active","Book","Combinational Logic Design","-","-","-"
-,//media.digikey.com/photos/BK%20Precision%20Photos/MFG_GSC-DL020.jpg,GSC-DL020-ND,GSC-DL020,Global Specialties,DL-020 MANUAL,0,0,"28.00000","0","1","-","Active","Book","Sequential Logic Design","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Parallax%20PDFs/122%E2%80%9032335_Web.pdf,//media.digikey.com/Photos/Parallax%20Photos/MFG_122-32335.jpg,122-32335-ND,122-32335,Parallax Inc.,TEXT ROBOTICS BOEBOT SHIELDBOT,0,0,"28.11000","0","1","-","Active","Book","Robotics with the BOE Shield‐Bot for Arduino","Andy Lindsay","Parallax Inc.","978-1-928-98261-6"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/BOK-10394_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_BOK-10394.jpg,BOK-10394-ND,BOK-10394,SparkFun Electronics,MAKING THINGS MOVE,0,0,"29.95000","0","1","-","Active","Book","Making Things Move","Dustyn Roberts","McGraw-Hill/TAB Electronics","978-0-0717-4167-5"
//media.digikey.com/pdf/Data%20Sheets/O'Reilly_PDFs/mBot%20for%20Makers.pdf,-,1653-1052-ND,9781680452969,O'Reilly Media,MBOT FOR MAKERS,5,0,"29.99000","0","1","-","Active","Book","mBot for Makers","Andrew Carle","Maker Media, Inc.","9781680452969"
-,//media.digikey.com/photos/BK%20Precision%20Photos/MFG_GSC-2302.jpg,GSC-2302-ND,GSC-2302,Global Specialties,ELECTRONIC FUNDAMENTALS INSTRUCT,0,0,"30.00000","0","1","-","Active","Book","Electronics Fundamentals Instructor's Guide","-","Global Specialties","-"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/BOK-10324_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_BOK-10324.jpg,BOK-10324-ND,BOK-10324,SparkFun Electronics,BUILDING WIRELESS SENSOR NETWORK,0,0,"30.00000","0","1","-","Active","Book","Building Wireless Sensor Networks","Robert Faludi","O'Reilly Media","978-0596807733"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/BOK-10626_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_BOK-10626.jpg,BOK-10626-ND,BOK-10626,SparkFun Electronics,MAKE: ARDUINO BOTS AND GADGETS,0,0,"30.00000","0","1","-","Active","Book","MAKE: Arduino Bots and Gadgets","Kimmo Karvinen, Tero Karvinen","O'Reilly Media, Make Media","978-1-4493-8971-0"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/BOK-12006_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_BOK-12006.jpg,BOK-12006-ND,BOK-12006,SparkFun Electronics,"INVENT TO LEARN: MAKING, TINKERI",0,0,"35.00000","0","1","-","Active","Book","Invent To Learn: Making, Tinkering, and Engineering in the Class","Sylvia Libow Martinez, Gary S. Stager, Ph.D.","Constructing Modern Knowledge Press","978-0-9891-5110-8"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/BOK-12019_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_BOK-12019.jpg,BOK-12019-ND,BOK-12019,SparkFun Electronics,SEW ELECTRIC,0,0,"36.88000","0","1","-","Active","Book","Sew Electric","Leah Buechley, Kanjun Qiu","HLT Press","978-0-9897-9560-9"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/BOK-13090_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_BOK-13090.jpg,BOK-13090-ND,BOK-13090,SparkFun Electronics,SHORT CIRCUITS: CRAFTING E-PUPPE,0,0,"37.44000","0","1","-","Active","Book","Short Circuits: Crafting e-Puppets with DIY Electronics","Kylie Peppler, Katie Salen Tekinbas, Melissa Gresalfi, Rafi Santo","MIT Press","978-0-2620-2783-0"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/BOK-11170_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_BOK-11170.jpg,BOK-11170-ND,BOK-11170,SparkFun Electronics,ARDUINO COOKBOOK - SECOND EDITIO,0,0,"38.75000","0","1","-","Active","Book","Arduino Cookbook (2nd Edition)","Michael Margolis","O'Reilly Media","978-1-4493-1387-6"
-,//media.digikey.com/Photos/EPC/MFG_GaN%20Book_Front%20Cover_CN.jpg,917-1032-ND,GAN FET BOOK SIMPLIFIED CHINESE VERSION,EPC,TEXT GAN TRANSISTORS,0,0,"39.95000","0","15","eGaN®","Active","Book","GaN Transistors for Efficient Power Conversion","Alex Lidow, Johan Strydom, Michael de Rooij, Yanping Ma","Power Conversion Publications","-"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/BOK-09458_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_BOK-09613.jpg,BOK-09613-ND,BOK-09613,SparkFun Electronics,PRACTICAL ARDUINO,0,0,"39.95000","0","1","-","Active","Book","Practical Arduino","Jonathan Oxer, Hugh Blemings","Apress","978-1430224778"
"//media.digikey.com/pdf/Data%20Sheets/O'Reilly_PDFs/Making%20Things%20Talk,%203rd%20Edition.pdf",-,1653-1053-ND,9781680452150,O'Reilly Media,"MAKING THINGS TALK, 3E",5,0,"39.99000","0","1","-","Active","Book","Making Things Talk (3rd Edition)","Tom Igoe","Maker Media, Inc.","9781680452150"
https://dam-assets.fluke.com/s3fs-public/6002304_0000_ENG_K_W.PDF,-,BOOK-ITP-ND,BOOK-ITP,Fluke Electronics,INTRODUCTION TO THERMOGRAPHY PRI,0,0,"39.99000","0","5","-","Active","Book","Introduction to Thermography Principles","-","American Technical Publishers, Inc","-"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/BOK-09458_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_BOK-09458.jpg,BOK-09458-ND,BOK-09458,SparkFun Electronics,ELECTRICAL ENGINEERING 101 - (3R,0,0,"40.00000","0","1","-","Active","Book","Electrical Engineering 101 (3rd Edition)","Darren Ashby","Newnes","978-0123860019"
//media.digikey.com/pdf/Data%20Sheets/Digilent%20PDFs/593-006_Web.pdf,"//media.digikey.com/Photos/Digilent,%20Inc/MFG_593-006.JPG",593-006-ND,593-006,"Digilent, Inc.",THE ZYNQ BOOK,0,0,"41.25000","0","1","-","Active","Book","The Zynq Book","Louise H. Crockett, Ross A. Elliot, Martin A. Enderwitz, Robert W. Stewart","Strathclyde Academic Media","978-0992978709"
//media.digikey.com/pdf/Data%20Sheets/Pi%20Supply%20PDFs/PIS-0530_Web.pdf,//media.digikey.com/Photos/Pi-Supply/MFG_PIS-0530.JPG,PIS-0530-ND,PIS-0530,Pi Supply,BUILDING THE WEB OF THINGS BOOK,0,0,"42.00000","0","15","-","Active","Book","Building The Web of Things","Dominique D. Guinard, Vlad M. Trifa","Manning Publications","9781617292682"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/BOK-13089_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_BOK-13089.jpg,BOK-13089-ND,BOK-13089,SparkFun Electronics,SOFT CIRCUITS: CRAFTING E-FASHIO,0,0,"44.94000","0","1","-","Active","Book","Soft Circuits: Crafting e-Fashion with DIY Electronics","Kylie Peppler, Katie Salen Tekinbas, Melissa Gresalfi, Rafi Santo","MIT Press","978-0-2620-2784-7"
https://www.parallax.com/sites/default/files/downloads/32316-Propeller-MGH-Ch5-XBee_0.pdf,-,32316-ND,32316,Parallax Inc.,PROG & CUST PROPELLER BOOK,0,0,"44.99000","0","1","-","Active","Book","Programming and Customizing the Multicore Propeller™ Microcontroller","Shane Avery, Chip Gracey, Vern Graner, Martin Hebel, Joshua Hintze, André LaMothe, Andy Lindsay, Jeff Martin, Hanno Sander","McGraw-Hill Education","9780071664509"
//media.digikey.com/pdf/Data%20Sheets/O'Reilly_PDFs/9781491953402.pdf,//media.digikey.com/Photos/O'Reilly-Media/MFG_9781491953402.jpg,1653-1042-ND,9781491953402,O'Reilly Media,ELECTRONICS COOKBOOK BY SIMON MO,5,0,"49.99000","0","1","-","Active","Book","Electronics Cookbook","Simon Monk","O'Reilly Media","9781491953402"
-,//media.digikey.com/photos/BK%20Precision%20Photos/MFG_GSC-2301.jpg,GSC-2301-ND,GSC-2301,Global Specialties,ELECTRONIC FUNDAMENTALS STUDENT,0,0,"50.00000","0","1","-","Active","Book","Electronics Fundamentals Student Text","-","Global Specialties","-"
-,//media.digikey.com/photos/BK%20Precision%20Photos/MFG_GSC-2311.jpg,GSC-2311-ND,GSC-2311,Global Specialties,ELECTRONIC FUNDAMENTALS LAB MANU,0,0,"50.00000","0","1","-","Active","Book","Electronics Fundamentals Student Lab Manual","-","Global Specialties","-"
-,//media.digikey.com/photos/BK%20Precision%20Photos/MFG_GSC-3200.jpg,GSC-3200-ND,GSC-3200,Global Specialties,DIGITAL ELECTRONICS STUDENT TEXT,0,0,"50.00000","0","1","-","Active","Book","Digital Electronics Student Text","Enoch Hwang, Ph. D.","-","-"
-,//media.digikey.com/photos/BK%20Precision%20Photos/MFG_GSC-3201.jpg,GSC-3201-ND,GSC-3201,Global Specialties,DIGITAL ELECTRONICS INSTRUCTOR G,0,0,"50.00000","0","1","-","Active","Book","Digital Electronics Instructor's Guide","Enoch Hwang, Ph. D.","-","-"
-,//media.digikey.com/photos/BK%20Precision%20Photos/MFG_GSC-DL030.jpg,GSC-DL030-ND,GSC-DL030,Global Specialties,DL-030 MANUAL,0,0,"50.00000","0","1","-","Active","Book","Microprocessor Design Trainer","Enoch Hwang, Ph. D.","-","-"
-,-,MIXED-SIGNL-DSP-HB-ND,MIXED-SIGNL-DSP-HB,Analog Devices Inc.,DATABOOK DESIGN TECHNIQUES,0,0,"51.11000","0","1","-","Active","Book","Mixed Signal and DSP Design Techniques","Analog Devices, inc","Newnes","9780750676113"
-,-,H/S-DES-TECH-HDBK-ND,H/S-DES-TECH-HDBK,Analog Devices Inc.,HANDBOOK DESIGN TECHNIQUES,0,0,"51.11000","0","1","-","Active","Book","-","-","-","-"
-,-,PRACT-DES-TECH-P/T-ND,PRACT-DES-TECH-P/T,Analog Devices Inc.,PRACT DES TECH PWR/THERMAL MGMT,0,0,"51.11000","0","1","-","Active","Book","Practical Design Techniques for Power and Thermal Management","Walt Kester","Analog Devices, Inc","9780916550196"
-,-,PWRSUPPLYBOOK-ND,PWRSUPPLYBOOK,Texas Instruments,POWER SUPPLY REFERENCE BOOK,0,0,"69.96200","0","5","-","Active","Book","Analog Engineer's Pocket Reference","-","-","-"
http://globalspecialties.com/programmable-robotics/arx-stem-video-based-curriculum/download/1492_1bfbd8008aae9bf67c3768f13f13bd05.html,//media.digikey.com/Photos/BK%20Precision%20Photos/MFG_ARX-SSB.jpg,ARX-SSB-ND,ARX-SSB,Global Specialties,ARX STUDENT BOOK,0,0,"75.00000","0","1","-","Active","Book","Exploring Robotics with ARX ASURO Robot","Grant Plowman, Linda Nichols-Plowman","-","-"
http://globalspecialties.com/programmable-robotics/arx-stem-video-based-curriculum/download/1493_8b04970dc858bd2bb70c44308e78c5f4.html,//media.digikey.com/Photos/BK%20Precision%20Photos/MFG_ARX-SSBL.jpg,ARX-SSBL-ND,ARX-SSBL,Global Specialties,ARX STUDENT BOOK,0,0,"150.00000","0","1","-","Active","Book","Exploring Robotics with ARX ASURO Robot","Grant Plowman, Linda Nichols-Plowman","-","-"
http://globalspecialties.com/programmable-robotics/arx-stem-video-based-curriculum/download/1496_2632766ce402ac7da51d76532e14e253.html,//media.digikey.com/Photos/BK%20Precision%20Photos/MFG_ARX-TP1.jpg,ARX-TP1-ND,ARX-TP1,Global Specialties,ARX TEACHER BOOK,0,0,"300.00000","0","1","-","Active","Book","Exploring Robotics with ARX ASURO Robot","Grant Plowman, Linda Nichols-Plowman","-","-"
-,//media.digikey.com/Photos/BK%20Precision%20Photos/MFG_ARX-TPLAB.jpg,ARX-TPLAB-ND,ARX-TPLAB,Global Specialties,ARX TEACHER BOOK,0,0,"3600.00000","0","1","-","Active","Book","Exploring Robotics with ARX ASURO Robot","Grant Plowman, Linda Nichols-Plowman","-","-"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/3834_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_3834.jpg,3834-ND,3834,Adafruit Industries LLC,LOVE TO CODE: VOLUME 1,0,0,"6.19000","0","1","-","Active","Book","MAKE: Love to Code Volume 1","Jie Qi","-","-"
-,-,9781680455403-ND,9781680455403,O'Reilly Media,BREADBOARD BOTS,0,0,"9.99000","0","1","-","Active","Book","Breadboard Bots!","Sean Michael Ragan","Maker Media, Inc.","9781680455403"
//media.digikey.com/pdf/Data%20Sheets/O'Reilly_PDFs/How%20to%20Make%20a%20Robot.pdf,-,9781680454697-ND,9781680454697,O'Reilly Media,HOW TO MAKE A ROBOT,0,0,"9.99000","0","1","-","Active","Book","How to Make a Robot","Gordon McComb","Maker Media, Inc.","9781680454697"
//media.digikey.com/pdf/Data%20Sheets/O'Reilly_PDFs/Easy%20Electronics.pdf,-,9781680454482-ND,9781680454482,O'Reilly Media,EASY ELECTRONICS,0,0,"9.99000","0","1","-","Active","Book","Easy Electronics","Charles Platt","Maker Media, Inc.","9781680454482"
//media.digikey.com/pdf/Data%20Sheets/O'Reilly_PDFs/Jumpstarting%20the%20Arduino%20101.pdf,-,9781680454550-ND,9781680454550,O'Reilly Media,JUMPSTARTING THE ARDUINO 101,0,0,"12.99000","0","1","-","Active","Book","Jumpstarting the Arduino 101","Yi ning Shi","Maker Media, Inc.","9781680454550"
//media.digikey.com/pdf/Data%20Sheets/McGraw%20Hill%20Ed%20PDFs/0071830251_Web.pdf,//media.digikey.com/Photos/McGraw-Hill%20Education/MFG_0071830251.jpg,1751-1008-ND,0071830251,McGraw-Hill Education,BOOK: PROGRAMMING ARDUINO,3,0,"15.96000","0","1","-","Obsolete","Book","Programming Arduino Next Steps","Simon Monk","McGraw-Hill Education","9780071830256"
//media.digikey.com/pdf/Data%20Sheets/McGraw%20Hill%20Ed%20PDFs/1259588335_Web.pdf,//media.digikey.com/Photos/McGraw-Hill%20Education/MFG_1259588335.jpg,1751-1014-ND,1259588335,McGraw-Hill Education,BOOK: PROGRAM THE INTEL EDISON,0,0,"15.96000","0","1","-","Active","Book","Programming the Intel Edison","Donald Norris","McGraw-Hill Education","9781259588334"
//media.digikey.com/pdf/Data%20Sheets/O'Reilly_PDFs/9781457183089.pdf,//media.digikey.com/Photos/O%27Reilly-Media/9781457183089.JPG,1653-1015-ND,9781457183089,O'Reilly Media,GETTING STARTED WITH GALILEO,3,0,"17.99000","0","1","-","Active","Book","MAKE: Getting Started with Intel Galileo","Matt Richardson","Maker Media, Inc.","978-1-4571-8308-9"
//media.digikey.com/pdf/Data%20Sheets/McGraw%20Hill%20Ed%20PDFs/1259640582_Web.pdf,//media.digikey.com/Photos/McGraw-Hill%20Education/MFG_1259640582.jpg,1751-1015-ND,1259640582,McGraw-Hill Education,BOOK: RASP PI ELECT PROJECTS,4,0,"19.95000","0","1","-","Active","Book","Raspberry Pi Electronics Projects for the Evil Genius","Donald Norris","McGraw-Hill Education","9781259640582"
//media.digikey.com/pdf/Data%20Sheets/McGraw%20Hill%20Ed%20PDFs/1259861465_Web.pdf,//media.digikey.com/Photos/McGraw-Hill%20Education/MFG_1259861465.jpg,1751-1002-ND,1259861465,McGraw-Hill Education,BOOK: DIY DRONES,2,0,"19.95000","0","1","-","Active","Book","DIY Drones for the Evil Genius","Ian Cinnamon, Romi Kadri, Fitz Tepper","McGraw-Hill Education","9781259861468"
//media.digikey.com/pdf/Data%20Sheets/McGraw%20Hill%20Ed%20PDFs/0071817727_Web.pdf,//media.digikey.com/Photos/McGraw-Hill%20Education/MFG_0071817727.jpg,1751-1007-ND,0071817727,McGraw-Hill Education,BOOK: 30 ARDUINO PROJECTS,2,0,"19.95000","0","1","-","Active","Book","30 Arduino Projects for the Evil Genius (2nd Edition)","Simon Monk","McGraw-Hill Education","9780071817721"
//media.digikey.com/pdf/Data%20Sheets/McGraw%20Hill%20Ed%20PDFs/0071755675_Web.pdf,//media.digikey.com/Photos/McGraw-Hill%20Education/MFG_0071755675.jpg,1751-1001-ND,0071755675,McGraw-Hill Education,BOOK:15 DANGEROUSLY MAD PROJECTS,1,0,"19.95000","0","1","-","Active","Book","15 Dangerously Mad Projects for the Evil Genius","Simon Monk","McGraw-Hill Education","9780071755672"
//media.digikey.com/pdf/Data%20Sheets/O'Reilly_PDFs/9781680451771.pdf,//media.digikey.com/Photos/O'Reilly-Media/MFG_9781680451771.jpg,1653-1035-ND,9781680451771,O'Reilly Media,MAKE: TECH DIY,3,0,"19.99000","0","1","-","Active","Book","MAKE: Tech DIY","Ji Sun Lee, Jaymes Dec","Maker Media, Inc.","978-1-68045-177-1"
//media.digikey.com/pdf/Data%20Sheets/O'Reilly_PDFs/9781680451238.pdf,//media.digikey.com/Photos/O'Reilly-Media/MFG_9781680451238.jpg,1653-1032-ND,9781680451238,O'Reilly Media,FAMILY PROJECTS FOR SMART OBJECT,1,0,"19.99000","0","1","-","Active","Book","MAKE: Family Projects for Smart Objects","John Keefe","Maker Media, Inc.","978-1-68045-123-8"
//media.digikey.com/pdf/Data%20Sheets/McGraw%20Hill%20Ed%20PDFs/0071790675_Web.pdf,//media.digikey.com/Photos/McGraw-Hill%20Education/MFG_0071790675.jpg,1751-1005-ND,0071790675,McGraw-Hill Education,BOOK: TAB BOOK OF ARDUINO PROJ,4,0,"23.94000","0","1","-","Active","Book","The TAB Book of Arduino Projects","Simon Monk","McGraw-Hill Education","9780071790673"
