Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Tape Width - Max"
https://www.botron.com/wp-content/uploads/2007/10/b1601-spec.pdf,-,2071-B1602-ND,B1602,Botron Company Inc.,B1602 WHITE ESD SAFE MANUAL TAPE,24,0,"61.15000","0","1","-","Active","Desktop","1.00"" (25.40mm)"
https://www.botron.com/wp-content/uploads/2007/10/b1601-spec.pdf,-,2071-B1603-ND,B1603,Botron Company Inc.,B1603 WHITE ESD SAFE MANUAL TAPE,18,0,"71.33000","0","1","-","Active","Desktop","1.00"" (25.40mm)"
//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/3m_packaing_solutions_scotch_tape_dispensers.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_HB900.jpg,3M15551-ND,HB900,3M,TAPE DISPENSER 1"" WIDE 3"" CORE,23,0,"18.07000","0","1","-","Active","Desktop Dispenser with Knife","1.00"" (25.40mm)"
//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/3m_packaing_solutions_scotch_tape_dispensers.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_H320.jpg,3M161550-ND,H320,3M,BOX SEALING TAPE DISPENSER,18,0,"16.40000","0","1","Scotch®","Active","Hand Held Dispenser, Plastic","2.00"" (50.80mm)"
-,-,3M161069-ND,C-25,3M,SCOTCH HEAVY DUTY DISPENSER C25,1,0,"39.82000","0","1","-","Active","-","-"
-,-,3M162584-ND,C23,3M,SCOTCH HEAVY DUTY DISPENSER C23,4,0,"56.95000","0","1","-","Active","-","-"
-,//media.digikey.com/Photos/3M%20Photos/MFG_P56.jpg,3M161989-ND,P56,3M,SCOTCH MAINLINE DISPENSER P56 6,4,0,"57.81000","0","1","-","Active","-","-"
-,-,3M161068-ND,C-22,3M,SCOTCH HEAVY DUTY DISPENSER C22,0,0,"84.03000","0","1","-","Active","-","-"
-,-,3M161752-ND,M-900,3M,SCOTCH BOX SEALING TAPE MANUAL D,1,0,"1052.61000","0","1","-","Active","-","-"
-,-,3M161750-ND,M82,3M,SCOTCH DEFINITE LENGTH DISPENSER,1,0,"1275.29000","0","1","-","Active","-","-"
-,-,3MC60-ND,C60,3M,SCOTCH DESKTOP TAPE DISPENSER C6,0,0,"3.13167","0","12","-","Active","-","-"
-,-,C60-BK-ND,C60-BK,3M,SCOTCH DESKTOP TAPE DISPENSER C6,0,0,"3.13167","0","12","-","Active","-","-"
-,//media.digikey.com/Photos/3M%20Photos/MFG_C-38.jpg,C-38-ND,C-38,3M,SCOTCH DESKTOP TAPE DISPENSER C-,0,0,"3.52833","0","12","-","Active","Desktop","0.75"" (19.05mm) 3/4"""
-,//media.digikey.com/Photos/3M%20Photos/MFG_C-40.jpg,C-40-ND,C-40,3M,SCOTCH DELUXE DESK TAPE DISPENSE,0,0,"12.32583","0","12","-","Active","Desktop","0.75"" (19.05mm) 3/4"""
-,-,3MH-127-ND,H-127,3M,SCOTCH HAND TAPE DISPENSER H-127,0,0,"12.56000","0","1","-","Active","-","-"
-,-,DP-300-RD-ND,DP-300-RD,3M,SCOTCH PACKAGING TAPE HAND DISPE,0,0,"14.43667","0","6","-","Active","-","-"
//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/3m_packaing_solutions_scotch_tape_dispensers.pdf,-,HB933-ND,HB933,3M,TAPE DISPENSER HAND 3"" WIDE,0,0,"28.22000","0","6","Tartan™","Active","Hand Held Dispenser, Metal","3.00"" (76.20mm)"
-,//media.digikey.com/Photos/3M%20Photos/MFG_ATG-752-APPLICATOR.jpg,ATG-752-APPLICATOR-ND,ATG-752-APPLICATOR,3M,ADH TRANSFER TAPE ATG APPLICATOR,0,0,"41.11000","0","1","*","Active","-","-"
//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/3m_packaing_solutions_scotch_tape_dispensers.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_H38.jpg,H38-ND,H38,3M,STRETCHABLE TAPE DISPENSER,0,0,"68.92833","0","6","Scotch®","Active","Hand Held Dispenser, Plastic","1.50"" (36.00mm) 1 1/2"""
-,-,M727-ND,M727,3M,SCOTCH POUCH TAPE DISPENSER M727,0,0,"85.71500","0","6","-","Active","-","-"
-,//media.digikey.com/Photos/3M%20Photos/MFG_375-DISPENSER.jpg,375-DISPENSER-ND,375-DISPENSER,3M,BOX SEALING TAPE W/DISPENSER,0,0,"98.65667","0","3","375","Active","Hand Held Dispenser, Plastic","2.00"" (50.80mm)"
-,-,M707-ND,M707,3M,SCOTCH LABEL PROTECTION DISPENSE,0,0,"138.27500","0","6","-","Active","-","-"
http://documents.protektivepak.com/PDF/47037.pdf,-,47037-ND,47037,Desco,TAPE DISPENSER 3.7""W DESKTOP,0,0,"141.02000","0","1","-","Active","Desktop","3.70"" (94.0mm)"
-,-,LS950-ND,LS950,3M,SCOTCH LAMINATING DISPENSER W/CA,0,0,"167.35000","0","1","-","Active","-","-"
-,-,M-797-ND,M-797,3M,SCOTCH ADJUSTABLE TAPE DISPENSER,0,0,"237.51000","0","1","-","Active","-","-"
-,-,LS1000-ND,LS1000,3M,SCOTCH LAMINATING DISPENSER W/CA,0,0,"263.28000","0","1","-","Active","-","-"
-,-,LS960VAD-ND,LS960VAD,3M,SCOTCH LAMINATING DISPENSER W/CA,0,0,"288.39000","0","1","-","Active","-","-"
-,-,PN6865-ND,PN6865,3M,SCOTCH APRON TAPER,0,0,"330.43000","0","1","-","Active","-","-"
-,-,LS1000VAD-ND,LS1000VAD,3M,SCOTCH LAMINATING DISPENSER W/CA,0,0,"380.52000","0","1","-","Active","-","-"
-,-,PN6866-ND,PN6866,3M,SCOTCH APRON TAPER,0,0,"505.10000","0","1","-","Active","-","-"
http://multimedia.3m.com/mws/media/806515O/3mtm-lane-marking-applicator-m77-instruction-and-parts-list.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_M-77.jpg,M-77-ND,M-77,3M,TAPE DISPENSER 4""W LANE APPLCTR,0,0,"642.29000","0","1","-","Active","Lane Applicator","4.00"" (101.6mm)"
-,-,PN6781-ND,PN6781,3M,SCOTCH CART MASKER 06781 1 PER C,0,0,"785.99000","0","1","-","Active","-","-"
-,-,S634-ND,S634,3M,SCOTCH FILAMENT TAPE BOX SEALER,0,0,"1032.17000","0","1","-","Active","-","-"
http://documents.desco.com/PDF/81281.pdf,-,81281-ND,81281,Desco,DISPENSER TAPE 2"" WIDE 3"" CORE,0,0,"Obsolete","0","1","-","Obsolete","Desktop for Antistatic","2.00"" (50.80mm)"
http://www.descoindustries.com/pdf/47036.pdf,-,47036-ND,47036,Desco,DISPENSER TAPE 2"" WIDE 3"" CORE,0,0,"Discontinued at Digi-Key","0","1","-","Discontinued at Digi-Key","Desktop for Antistatic","2.00"" (50.80mm)"
-,-,H120-ND,H120,3M,APPLICATOR METAL 1"" WIDE MAX,0,0,"Obsolete","0","7","Scotch®","Obsolete","Hand Held Dispenser, Metal","1.00"" (25.40mm)"
-,-,ATG-752-DISPENSER-ND,ATG-752-DISPENSER,3M,ADH TRANSFER TAPE ATG DISPENSER,0,0,"Obsolete","0","1","-","Obsolete","Handheld","-"
