Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Width","Length"
http://multimedia.3m.com/mws/media/397029O/radiant-light-films-for-labelling-applications.pdf,-,3MCM5921.5""X1.5""-25-ND,3M CM592 1.5"" X 1.5""-25,3M (TC),3M CM592 RADIANT LIGHT FILM - 1.,0,0,"14.16800","0","5","-","Active","Radiant Light Film","1.50"" (38.10mm)","1.50"" (38.1mm)"
http://multimedia.3m.com/mws/media/397029O/radiant-light-films-for-labelling-applications.pdf,-,3MCM5920.5""X4""-25-ND,3M CM592 0.5"" X 4""-25,3M (TC),3M CM592 RADIANT LIGHT FILM - 0.,0,0,"14.25600","0","5","-","Active","Radiant Light Film","0.50"" (12.70mm)","4.00"" (101.6mm)"
http://multimedia.3m.com/mws/media/397029O/radiant-light-films-for-labelling-applications.pdf,-,3MCM59210""X1.25""-5-ND,3M CM592 10"" X 1.25""-5,3M (TC),3M CM592 RADIANT LIGHT FILM - 10,0,0,"14.27800","0","5","-","Active","Radiant Light Film","10.00"" (254.00mm)","1.25"" (31.75mm)"
http://multimedia.3m.com/mws/media/397029O/radiant-light-films-for-labelling-applications.pdf,-,3MCM5920.75""X3""-25-ND,3M CM592 0.75"" X 3""-25,3M (TC),3M CM592 RADIANT LIGHT FILM - 0.,0,0,"14.38800","0","5","-","Active","Radiant Light Film","0.75"" (19.05mm)","3.00"" (76.2mm)"
http://multimedia.3m.com/mws/media/397029O/radiant-light-films-for-labelling-applications.pdf,-,3MCM5920.5""X6""-25-ND,3M CM592 0.5"" X 6""-25,3M (TC),3M CM592 RADIANT LIGHT FILM - 0.,0,0,"14.65200","0","5","-","Active","Radiant Light Film","0.50"" (12.70mm)","6.00"" (152.4mm)"
http://multimedia.3m.com/mws/media/397029O/radiant-light-films-for-labelling-applications.pdf,-,3MCM5922""X1.25""-25-ND,3M CM592 2"" X 1.25""-25,3M (TC),3M CM592 RADIANT LIGHT FILM - 2"",0,0,"14.65200","0","5","-","Active","Radiant Light Film","2.00"" (50.80mm)","1.25"" (31.75mm)"
http://multimedia.3m.com/mws/media/397029O/radiant-light-films-for-labelling-applications.pdf,-,3MCM5926""X1.25""-10-ND,3M CM592 6"" X 1.25""-10,3M (TC),3M CM592 RADIANT LIGHT FILM - 6"",0,0,"15.31250","0","4","-","Active","Radiant Light Film","6.00"" (152.40mm)","1.25"" (31.75mm)"
http://multimedia.3m.com/mws/media/397029O/radiant-light-films-for-labelling-applications.pdf,-,3MCM5920.5""X5""-25-ND,3M CM592 0.5"" X 5""-25,3M (TC),3M CM592 RADIANT LIGHT FILM - 0.,0,0,"15.37750","0","4","-","Active","Radiant Light Film","0.50"" (12.70mm)","5.00"" (127.0mm)"
http://multimedia.3m.com/mws/media/397029O/radiant-light-films-for-labelling-applications.pdf,-,3MCM5921.5""X2""-25-ND,3M CM592 1.5"" X 2""-25,3M (TC),3M CM592 RADIANT LIGHT FILM - 1.,0,0,"15.53250","0","4","-","Active","Radiant Light Film","1.50"" (38.10mm)","2.00"" (50.8mm)"
http://multimedia.3m.com/mws/media/397029O/radiant-light-films-for-labelling-applications.pdf,-,3MCM5923""X1.25""-25-ND,3M CM592 3"" X 1.25""-25,3M (TC),3M CM592 RADIANT LIGHT FILM - 3"",0,0,"15.66400","0","5","-","Active","Radiant Light Film","3.00"" (76.20mm)","1.25"" (31.75mm)"
http://multimedia.3m.com/mws/media/397029O/radiant-light-films-for-labelling-applications.pdf,-,3MCM5920.75""X4""-25-ND,3M CM592 0.75"" X 4""-25,3M (TC),3M CM592 RADIANT LIGHT FILM - 0.,0,0,"15.92750","0","4","-","Active","Radiant Light Film","0.75"" (19.05mm)","4.00"" (101.6mm)"
http://multimedia.3m.com/mws/media/397029O/radiant-light-films-for-labelling-applications.pdf,-,3MCM5928""X1.25""-10-ND,3M CM592 8"" X 1.25""-10,3M (TC),3M CM592 RADIANT LIGHT FILM - 8"",0,0,"16.06000","0","4","-","Active","Radiant Light Film","8.00"" (203.20mm)","1.25"" (31.75mm)"
http://multimedia.3m.com/mws/media/397029O/radiant-light-films-for-labelling-applications.pdf,-,3MCM5922""X2""-25-ND,3M CM592 2"" X 2""-25,3M (TC),3M CM592 RADIANT LIGHT FILM - 2"",0,0,"16.34500","0","4","-","Active","Radiant Light Film","2.00"" (50.80mm)","2.00"" (50.8mm)"
http://multimedia.3m.com/mws/media/397029O/radiant-light-films-for-labelling-applications.pdf,-,3MCM592CIRCLE-0.5""-250-ND,3M CM592 CIRCLE-0.5""-250,3M (TC),3M CM592 RADIANT LIGHT FILM - 0.,0,0,"16.54500","0","4","-","Active","Radiant Light Film","0.50"" (12.70mm) Dia","-"
http://multimedia.3m.com/mws/media/397029O/radiant-light-films-for-labelling-applications.pdf,-,3MCM5920.75""X5""-25-ND,3M CM592 0.75"" X 5""-25,3M (TC),3M CM592 RADIANT LIGHT FILM - 0.,0,0,"16.67500","0","4","-","Active","Radiant Light Film","0.75"" (19.05mm)","5.00"" (127.0mm)"
http://multimedia.3m.com/mws/media/397029O/radiant-light-films-for-labelling-applications.pdf,-,3MCM5920.5""X7""-25-ND,3M CM592 0.5"" X 7""-25,3M (TC),3M CM592 RADIANT LIGHT FILM - 0.,0,0,"17.02750","0","4","-","Active","Radiant Light Film","0.50"" (12.70mm)","7.00"" (177.8mm)"
http://multimedia.3m.com/mws/media/397029O/radiant-light-films-for-labelling-applications.pdf,-,3MCM5921""X4""-25-ND,3M CM592 1"" X 4""-25,3M (TC),3M CM592 RADIANT LIGHT FILM - 1"",0,0,"17.02750","0","4","-","Active","Radiant Light Film","1.00"" (25.40mm)","4.00"" (101.6mm)"
http://multimedia.3m.com/mws/media/397029O/radiant-light-films-for-labelling-applications.pdf,-,3MCM5929""X1.25""-10-ND,3M CM592 9"" X 1.25""-10,3M (TC),3M CM592 RADIANT LIGHT FILM - 9"",0,0,"17.99500","0","4","-","Active","Radiant Light Film","9.00"" (228.60mm)","1.25"" (31.75mm)"
http://multimedia.3m.com/mws/media/397029O/radiant-light-films-for-labelling-applications.pdf,-,3MCM5921.5""X3""-25-ND,3M CM592 1.5"" X 3""-25,3M (TC),3M CM592 RADIANT LIGHT FILM - 1.,0,0,"18.37000","0","4","-","Active","Radiant Light Film","1.50"" (38.10mm)","3.00"" (76.2mm)"
http://multimedia.3m.com/mws/media/397029O/radiant-light-films-for-labelling-applications.pdf,-,3MCM5920.5""X8""-25-ND,3M CM592 0.5"" X 8""-25,3M (TC),3M CM592 RADIANT LIGHT FILM - 0.,0,0,"19.38250","0","4","-","Active","Radiant Light Film","0.50"" (12.70mm)","8.00"" (203.2mm)"
http://multimedia.3m.com/mws/media/397029O/radiant-light-films-for-labelling-applications.pdf,-,3MCM5920.75""X6""-25-ND,3M CM592 0.75"" X 6""-25,3M (TC),3M CM592 RADIANT LIGHT FILM - 0.,0,0,"19.88750","0","4","-","Active","Radiant Light Film","0.75"" (19.05mm)","6.00"" (152.4mm)"
http://multimedia.3m.com/mws/media/397029O/radiant-light-films-for-labelling-applications.pdf,-,3MCM5924""X1.25""-25-ND,3M CM592 4"" X 1.25""-25,3M (TC),3M CM592 RADIANT LIGHT FILM - 4"",0,0,"20.54750","0","4","-","Active","Radiant Light Film","4.00"" (101.60mm)","1.25"" (31.75mm)"
http://multimedia.3m.com/mws/media/397029O/radiant-light-films-for-labelling-applications.pdf,-,3MCM5920.75""X7""-25-ND,3M CM592 0.75"" X 7""-25,3M (TC),3M CM592 RADIANT LIGHT FILM - 0.,0,0,"20.98000","0","4","-","Active","Radiant Light Film","0.75"" (19.05mm)","7.00"" (177.8mm)"
http://multimedia.3m.com/mws/media/397029O/radiant-light-films-for-labelling-applications.pdf,-,3MCM5921""X5""-25-ND,3M CM592 1"" X 5""-25,3M (TC),3M CM592 RADIANT LIGHT FILM - 1"",0,0,"21.07500","0","4","-","Active","Radiant Light Film","1.00"" (25.40mm)","5.00"" (127.0mm)"
http://multimedia.3m.com/mws/media/397029O/radiant-light-films-for-labelling-applications.pdf,-,3MCM5922""X3""-25-ND,3M CM592 2"" X 3""-25,3M (TC),3M CM592 RADIANT LIGHT FILM - 2"",0,0,"21.62000","0","4","-","Active","Radiant Light Film","2.00"" (50.80mm)","3.00"" (76.2mm)"
http://multimedia.3m.com/mws/media/397029O/radiant-light-films-for-labelling-applications.pdf,-,3MCM5920.5""X9""-25-ND,3M CM592 0.5"" X 9""-25,3M (TC),3M CM592 RADIANT LIGHT FILM - 0.,0,0,"21.73500","0","4","-","Active","Radiant Light Film","0.50"" (12.70mm)","9.00"" (228.6mm)"
http://multimedia.3m.com/mws/media/397029O/radiant-light-films-for-labelling-applications.pdf,-,3MCM5920.5""X10""-25-ND,3M CM592 0.5"" X 10""-25,3M (TC),3M CM592 RADIANT LIGHT FILM - 0.,0,0,"21.90000","0","4","-","Active","Radiant Light Film","0.50"" (12.70mm)","10.00"" (254.0mm)"
http://multimedia.3m.com/mws/media/397029O/radiant-light-films-for-labelling-applications.pdf,-,3MCM5921.5""X4""-25-ND,3M CM592 1.5"" X 4""-25,3M (TC),3M CM592 RADIANT LIGHT FILM - 1.,0,0,"21.90000","0","4","-","Active","Radiant Light Film","1.50"" (38.10mm)","4.00"" (101.6mm)"
http://multimedia.3m.com/mws/media/397029O/radiant-light-films-for-labelling-applications.pdf,-,1.5-5-CM592-ND,1.5-5-CM592,3M (TC),3M CM592 RADIANT LIGHT FILM - 1.,0,0,"22.81900","0","10","-","Active","Radiant Light Film","1.50"" (38.10mm)","15' (4.6m) 5 yds"
http://multimedia.3m.com/mws/media/397029O/radiant-light-films-for-labelling-applications.pdf,-,3MCM5921""X6""-25-ND,3M CM592 1"" X 6""-25,3M (TC),3M CM592 RADIANT LIGHT FILM - 1"",0,0,"22.84000","0","4","-","Active","Radiant Light Film","1.00"" (25.40mm)","6.00"" (152.4mm)"
http://multimedia.3m.com/mws/media/397029O/radiant-light-films-for-labelling-applications.pdf,-,3MCM5925""X1.25""-25-ND,3M CM592 5"" X 1.25""-25,3M (TC),3M CM592 RADIANT LIGHT FILM - 5"",0,0,"23.12000","0","4","-","Active","Radiant Light Film","5.00"" (127.00mm)","1.25"" (31.75mm)"
http://multimedia.3m.com/mws/media/397029O/radiant-light-films-for-labelling-applications.pdf,-,3MCM5920.75""X8""-25-ND,3M CM592 0.75"" X 8""-25,3M (TC),3M CM592 RADIANT LIGHT FILM - 0.,0,0,"23.90000","0","4","-","Active","Radiant Light Film","0.75"" (19.05mm)","8.00"" (203.2mm)"
http://multimedia.3m.com/mws/media/397029O/radiant-light-films-for-labelling-applications.pdf,-,3MCM5921""X7""-25-ND,3M CM592 1"" X 7""-25,3M (TC),3M CM592 RADIANT LIGHT FILM - 1"",0,0,"26.52000","0","3","-","Active","Radiant Light Film","1.00"" (25.40mm)","7.00"" (177.8mm)"
http://multimedia.3m.com/mws/media/397029O/radiant-light-films-for-labelling-applications.pdf,-,3MCM5920.75""X9""-25-ND,3M CM592 0.75"" X 9""-25,3M (TC),3M CM592 RADIANT LIGHT FILM - 0.,0,0,"26.82000","0","3","-","Active","Radiant Light Film","0.75"" (19.05mm)","9.00"" (228.6mm)"
http://multimedia.3m.com/mws/media/397029O/radiant-light-films-for-labelling-applications.pdf,-,3MCM5921.5""X5""-25-ND,3M CM592 1.5"" X 5""-25,3M (TC),3M CM592 RADIANT LIGHT FILM - 1.,0,0,"27.12000","0","3","-","Active","Radiant Light Film","1.50"" (38.10mm)","5.00"" (127.0mm)"
http://multimedia.3m.com/mws/media/397029O/radiant-light-films-for-labelling-applications.pdf,-,3MCM592CIRCLE-0.75""-250-ND,3M CM592 CIRCLE-0.75""-250,3M (TC),3M CM592 RADIANT LIGHT FILM - 0.,0,0,"27.70000","0","3","-","Active","Radiant Light Film","0.75"" (19.05mm) Dia","-"
http://multimedia.3m.com/mws/media/397029O/radiant-light-films-for-labelling-applications.pdf,-,3MCM5922""X4""-25-ND,3M CM592 2"" X 4""-25,3M (TC),3M CM592 RADIANT LIGHT FILM - 2"",0,0,"28.36000","0","3","-","Active","Radiant Light Film","2.00"" (50.80mm)","4.00"" (101.6mm)"
http://multimedia.3m.com/mws/media/397029O/radiant-light-films-for-labelling-applications.pdf,-,3MCM5921""X8""-25-ND,3M CM592 1"" X 8""-25,3M (TC),3M CM592 RADIANT LIGHT FILM - 1"",0,0,"28.69000","0","3","-","Active","Radiant Light Film","1.00"" (25.40mm)","8.00"" (203.2mm)"
http://multimedia.3m.com/mws/media/397029O/radiant-light-films-for-labelling-applications.pdf,-,3MCM5920.75""X10""-25-ND,3M CM592 0.75"" X 10""-25,3M (TC),3M CM592 RADIANT LIGHT FILM - 0.,0,0,"29.74000","0","3","-","Active","Radiant Light Film","0.75"" (19.05mm)","10.00"" (254.0mm)"
http://multimedia.3m.com/mws/media/397029O/radiant-light-films-for-labelling-applications.pdf,-,3MCM5923""X3""-25-ND,3M CM592 3"" X 3""-25,3M (TC),3M CM592 RADIANT LIGHT FILM - 3"",0,0,"29.85000","0","3","-","Active","Radiant Light Film","3.00"" (76.20mm)","3.00"" (76.2mm)"
http://multimedia.3m.com/mws/media/397029O/radiant-light-films-for-labelling-applications.pdf,-,3MCM5921.5""X6""-25-ND,3M CM592 1.5"" X 6""-25,3M (TC),3M CM592 RADIANT LIGHT FILM - 1.,0,0,"30.72333","0","3","-","Active","Radiant Light Film","1.50"" (38.10mm)","6.00"" (152.4mm)"
http://multimedia.3m.com/mws/media/397029O/radiant-light-films-for-labelling-applications.pdf,-,3MCM5921""X9""-25-ND,3M CM592 1"" X 9""-25,3M (TC),3M CM592 RADIANT LIGHT FILM - 1"",0,0,"32.18667","0","3","-","Active","Radiant Light Film","1.00"" (25.40mm)","9.00"" (228.6mm)"
http://multimedia.3m.com/mws/media/397029O/radiant-light-films-for-labelling-applications.pdf,-,3MCM5922""X5""-25-ND,3M CM592 2"" X 5""-25,3M (TC),3M CM592 RADIANT LIGHT FILM - 2"",0,0,"33.36333","0","3","-","Active","Radiant Light Film","2.00"" (50.80mm)","5.00"" (127.0mm)"
http://multimedia.3m.com/mws/media/397029O/radiant-light-films-for-labelling-applications.pdf,-,3MCM5921""X10""-25-ND,3M CM592 1"" X 10""-25,3M (TC),3M CM592 RADIANT LIGHT FILM - 1"",0,0,"35.68333","0","3","-","Active","Radiant Light Film","1.00"" (25.40mm)","10.00"" (254.0mm)"
http://multimedia.3m.com/mws/media/397029O/radiant-light-films-for-labelling-applications.pdf,-,3MCM5921.5""X7""-25-ND,3M CM592 1.5"" X 7""-25,3M (TC),3M CM592 RADIANT LIGHT FILM - 1.,0,0,"35.68333","0","3","-","Active","Radiant Light Film","1.50"" (38.10mm)","7.00"" (177.8mm)"
http://multimedia.3m.com/mws/media/397029O/radiant-light-films-for-labelling-applications.pdf,-,3MCM5923""X4""-25-ND,3M CM592 3"" X 4""-25,3M (TC),3M CM592 RADIANT LIGHT FILM - 3"",0,0,"37.11667","0","3","-","Active","Radiant Light Film","3.00"" (76.20mm)","4.00"" (101.6mm)"
http://multimedia.3m.com/mws/media/397029O/radiant-light-films-for-labelling-applications.pdf,-,3MCM5922""X6""-25-ND,3M CM592 2"" X 6""-25,3M (TC),3M CM592 RADIANT LIGHT FILM - 2"",0,0,"37.65667","0","3","-","Active","Radiant Light Film","2.00"" (50.80mm)","6.00"" (152.4mm)"
