Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Tape Type","Adhesive","Backing, Carrier","Thickness","Thickness - Adhesive","Thickness - Backing, Carrier","Width","Length","Color","Usage","Temperature Range"
http://multimedia.3m.com/mws/media/104064O/high-performance-adhesive-transfer-tapes-with-3m-adhesive-200mp.pdf,//media.digikey.com/Photos/3M%20Photos/1%5E2-5-468MP.jpg,3M9722-ND,1/2-5-468MP,3M (TC),TAPE ADHSV TRNSFR CLR 1/2""X 5YDS,956,0,"3.68000","0","1","Roll","468MP","Active","Adhesive Transfer","Acrylic, 200MP","Polycoated Kraft Liner","0.0093"" (9.3 mils, 0.236mm)","0.0051"" (5.1 mils, 0.130mm)","0.0042"" (4.2 mils, 0.107mm)","0.50"" (12.70mm) 1/2""","15' (4.6m) 5 yds","Clear","Attachment, High Temperature Applications","-40°F ~ 300°F (-40°C ~ 149°C)"
http://multimedia.3m.com/mws/media/104792O/scotch-super-33-vinyl-electrical-tape-pdf-27-3kb.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_33+SUPER.jpg,3M156004-ND,33+SUPER-3/4X20FT,3M,TAPE ELECTRICAL BLK 3/4""X 6.7YDS,143,0,"3.80000","0","1","Roll","Scotch® Super 33+","Active","Electrical","Rubber","PVC (Poly Vinyl Chloride)","0.0070"" (7.0 mils, 0.178mm)","-","-","0.75"" (19.05mm) 3/4""","20' (6.1m) 6.7 yds","Black","Electrically Insulating","176°F (80°C)"
"//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/9492,95MP,MPF,FL,B.pdf",//media.digikey.com/Photos/3M%20Photos/1%5E2-5-9495MP.jpg,3M9734-ND,1/2-5-9495MP,3M (TC),TAPE DBL COATED CLEAR 1/2""X 5YDS,433,0,"4.15000","0","1","Roll","9495MP","Active","Double Coated, Double Sided","Acrylic, 200MP","Polyester Film","0.0057"" (5.7 mils, 0.145mm)","0.0029"" (2.9 mils, 0.074mm)","0.0028"" (2.8 mils, 0.071mm)","0.50"" (12.70mm) 1/2""","15' (4.6m) 5 yds","Clear","Holding, Joining, Mounting","-"
http://multimedia.3m.com/mws/media/104064O/high-performance-adhesive-transfer-tapes-with-3m-adhesive-200mp.pdf,//media.digikey.com/Photos/3M%20Photos/3%5E4-5-467MP.JPG,3M9731-ND,3/4-5-467MP,3M (TC),TAPE ADHSV TRNSFR CLR 3/4""X 5YDS,130,0,"4.35000","0","1","Roll","467MP","Active","Adhesive Transfer","Acrylic, 200MP","Polycoated Kraft Liner","0.0065"" (6.5 mils, 0.165mm)","0.0023"" (2.3 mils, 0.058mm)","0.0042"" (4.2 mils, 0.107mm)","0.75"" (19.05mm) 3/4""","15' (4.6m) 5 yds","Clear","Attachment, High Temperature Applications","-40°F ~ 300°F (-40°C ~ 149°C)"
http://multimedia.3m.com/mws/media/771683O/3mtm-double-coated-tapes-9474le-9495le.pdf,//media.digikey.com/Photos/3M%20Photos/1%5E2-5-9495LE.jpg,3M9746-ND,1/2-5-9495LE,3M (TC),TAPE DBL COATED CLEAR 1/2""X 5YDS,536,0,"5.73000","0","1","Roll","9495LE","Active","Double Coated, Double Sided","Acrylic, 300LSE","Carrier - Polyester, Liner - Polycoated Kraft","0.0067"" (6.7 mils, 0.170mm)","0.0062"" (6.2 mils, 0.157mm)","0.0005"" (0.5 mils, 0.013mm)","0.50"" (12.70mm) 1/2""","15' (4.6m) 5 yds","Clear","Holding, Joining, Mounting","70°F ~ 100°F (21°C ~ 38°C)"
http://multimedia.3m.com/mws/media/99973O/masking-tape-2307.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_2307-xxMMX55M.jpg,3M157281-ND,2307-24MMX55M,3M,TAPE MASKING NAT 15/16""X 60YDS,102,0,"5.94000","0","1","Roll","2307","Active","Masking","Rubber","Crepe Paper","0.0052"" (5.2 mils, 0.132mm)","-","-","0.94"" (24.00mm) 15/16""","180' (55.0m) 60 yds","Natural","Paint Masking","200°F (93°C) - 30 minutes"
http://multimedia.3m.com/mws/media/326683O/vhbtm-adhesive-transfer-tapes-f9460pc-f9469pc-f9473pc.pdf,//media.digikey.com/Photos/3M%20Photos/1%5E2-5-F9460PC.jpg,3M10370-ND,1/2-5-F9460PC,3M (TC),TAPE ADHSV TRNSFR CLR 1/2""X 5YDS,133,0,"6.07000","0","1","Roll","VHB™ F9460PC","Active","Adhesive Transfer","Acrylic, 100MP","Polycoated Kraft Liner","0.0060"" (6.0 mils, 0.152mm)","0.0020"" (2.0 mils, 0.051mm)","0.0040"" (4.0 mils, 0.102mm)","0.50"" (12.70mm) 1/2""","15' (4.6m) 5 yds","Clear","Attachment, High Temperature Applications","300°F (149°C)"
http://multimedia.3m.com/mws/media/37390O/3m-polyester-film-electrical-tape-56.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_56-72YD.jpg,3M159698-ND,56-YELLOW-1/4""X72YD*,3M,TAPE MASKING YELLOW 1/4""X 72YDS,375,0,"6.23000","0","1","Roll","56","Active","Masking","Rubber","Polyester Film","0.0023"" (2.3 mils, 0.058mm)","0.0013"" (1.3 mils, 0.033mm)","0.0010"" (1.0 mils, 0.025mm)","0.25"" (6.35mm) 1/4""","216' (66.0m) 72 yds","Yellow","Insulating","266°F (130°C) Max"
http://multimedia.3m.com/mws/media/771683O/3mtm-double-coated-tapes-9474le-9495le.pdf,//media.digikey.com/Photos/3M%20Photos/12X12-6-9495LE.jpg,3M9744-ND,12X12-6-9495LE,3M (TC),TAPE DBL COATED CLEAR 12""X 12"",272,0,"7.02000","0","1","Bulk","9495LE","Active","Double Coated, Double Sided","Acrylic, 300LSE","Carrier - Polyester, Liner - Polycoated Kraft","0.0067"" (6.7 mils, 0.170mm)","0.0062"" (6.2 mils, 0.157mm)","0.0005"" (0.5 mils, 0.013mm)","12.00"" (304.80mm)","12.00"" (304.80mm)","Clear","Holding, Joining, Mounting","70°F ~ 100°F (21°C ~ 38°C)"
http://multimedia.3m.com/mws/media/104792O/scotch-super-33-vinyl-electrical-tape-pdf-27-3kb.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_33+SUPER.jpg,3M157293-ND,33+SUPER-3/4X52FT,3M,TAPE ELECTRICAL BLK 3/4""X 17.3YD,257,0,"7.08000","0","1","Roll","Scotch® Super 33+","Active","Electrical","Rubber","PVC (Poly Vinyl Chloride)","0.0070"" (7.0 mils, 0.178mm)","-","-","0.75"" (19.05mm) 3/4""","52' (15.8m) 17.3 yds","Black","Electrically Insulating","176°F (80°C)"
