Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Number of Layers","Length","Width","Thickness - Theoretical","Size","Substrate","Suspension"
-,"//media.digikey.com/Photos/Kennedy%20Labs,%20a%20division%20of%20Hub%20Incorporated/KLG-CUFOAM-1010-CU.JPG",1767-1042-ND,KLG-CUFOAM-1010-CU,"Kennedy Labs, a division of Hub Incorporated",GRAPHENE ON COPPER FOAM 10MM2,3,0,"70.70000","0","1","-","Active","-","-","-","-","-","-","-","-"
-,"//media.digikey.com/Photos/Kennedy%20Labs,%20a%20division%20of%20Hub%20Incorporated/KLG-GG8-4G.jpg",1767-1029-ND,KLG-OGI4-5ML,"Kennedy Labs, a division of Hub Incorporated","GRAPHENE INK, DILUTED IN OIL BAS",5,0,"110.09000","0","1","*","Active","-","-","-","-","-","-","-","-"
https://www.kennedylabs.tech/download/KLG-GOPA-1,"//media.digikey.com/photos/Kennedy%20Labs,%20a%20division%20of%20Hub%20Incorporated/MFG_KLG-GOPA-1.jpg",1767-1020-ND,KLG-GOPA-1,"Kennedy Labs, a division of Hub Incorporated","GRAPHENE OXIDE PASTE, 25% GO, 5",1,0,"252.50000","0","1","-","Active","Graphene Oxide Paste","-","-","-","-","5g","-","Deionized Water, HCL"
-,"//media.digikey.com/Photos/Kennedy%20Labs,%20a%20division%20of%20Hub%20Incorporated/KLG-WGI4-35ML.jpg",1767-1032-ND,KLG-WGI4-35ML,"Kennedy Labs, a division of Hub Incorporated",GRAPHENE INKJET DILUTED INK 35ML,1,0,"382.79000","0","1","-","Active","Graphene Ink","-","-","-","-","35mL","-","Water Based Solvent"
-,-,1767-1028-ND,KLG-WGI2-35ML,"Kennedy Labs, a division of Hub Incorporated",GNP GRAPHENE INK H2O BASED 35ML,1,0,"594.89000","0","1","*","Active","-","-","-","-","-","-","-","-"
-,"//media.digikey.com/Photos/Kennedy%20Labs,%20a%20division%20of%20Hub%20Incorporated/KLG-WGI4-35ML.jpg",1767-1030-ND,KLG-OGI4-35ML,"Kennedy Labs, a division of Hub Incorporated","GRAPHENE INK, DILUTED IN OIL BAS",1,0,"594.89000","0","1","*","Active","-","-","-","-","-","-","-","-"
-,-,1767-1044-ND,KL-HBN-1020-SI,"Kennedy Labs, a division of Hub Incorporated",CVD FILM OF HEXAGONAL BORON NITR,13,0,"629.99000","0","1","*","Active","-","-","-","-","-","-","-","-"
-,"//media.digikey.com/Photos/Kennedy%20Labs,%20a%20division%20of%20Hub%20Incorporated/KLG-S4040-PPR-45UM.JPG",1767-1023-ND,KLG-S4040-PPR-45UM,"Kennedy Labs, a division of Hub Incorporated",GRAPHENE THERMAL SPREAD SUB 25MM,1,0,"14.14000","0","1","*","Active","-","-","-","-","-","-","-","-"
-,-,1767-1024-ND,KLG-S4040-PPR-250UM,"Kennedy Labs, a division of Hub Incorporated",GNP GRAPHENE THERMAL SPREAD 25MM,0,0,"19.19000","0","25","*","Active","-","-","-","-","-","-","-","-"
-,-,1767-1047-ND,KL-HBN2-100100-18CU,"Kennedy Labs, a division of Hub Incorporated",4""X4"" CVD MONOLAYER HBN ON COPPE,1,0,"631.25000","0","1","*","Active","-","-","-","-","-","-","-","-"
-,-,1767-1039-ND,KLG-HBN2-1010-18CU,"Kennedy Labs, a division of Hub Incorporated",MONOLAYER GRAPHENE BORON 10MM2,0,0,"1248.61000","0","1","-","Active","-","-","-","-","-","-","-","-"
