Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Voltage - Input","Output","Type","Size / Dimension","Mounting Type"
//media.digikey.com/pdf/Data%20Sheets/JKL%20PDFs/NDL_Series.pdf,"//media.digikey.com/photos/JKL/NDL-201,202,203,NDL-204,205.jpg",289-1028-ND,NDL-201,JKL Components Corp.,INVERTER 10-19CM2 FOR EL LAMP,0,0,"Obsolete","0","100","-","Obsolete","3 ~ 5.5V","70 V ~ 90 V","Electroluminescent (EL) Backlighting","1.24"" L x 0.83"" W x 0.35"" H (31.6mm x 21mm x 9mm)","Through Hole"
//media.digikey.com/pdf/Data%20Sheets/JKL%20PDFs/NDL_Series.pdf,"//media.digikey.com/photos/JKL/NDL-201,202,203,NDL-204,205.jpg",289-1029-ND,NDL-202,JKL Components Corp.,INVERTER 19-38CM2 FOR EL LAMP,0,0,"Obsolete","0","500","-","Obsolete","3 ~ 5.5V","70 V ~ 90 V","Electroluminescent (EL) Backlighting","1.24"" L x 0.83"" W x 0.35"" H (31.6mm x 21mm x 9mm)","Through Hole"
//media.digikey.com/pdf/Data%20Sheets/JKL%20PDFs/NDL_Series.pdf,"//media.digikey.com/photos/JKL/NDL-201,202,203,NDL-204,205.jpg",289-1030-ND,NDL-203,JKL Components Corp.,INVERTER 25-43CM2 FOR EL LAMP,0,0,"Obsolete","0","500","-","Obsolete","3 ~ 5.5V","70 V ~ 90 V","Electroluminescent (EL) Backlighting","1.24"" L x 0.83"" W x 0.35"" H (31.6mm x 21mm x 9mm)","Through Hole"
//media.digikey.com/pdf/Data%20Sheets/JKL%20PDFs/NDL_Series.pdf,"//media.digikey.com/photos/JKL/NDL-201,202,203,NDL-204,205.jpg",289-1031-ND,NDL-204,JKL Components Corp.,INVERTER 41-70CM2 FOR EL LAMP,0,0,"Obsolete","0","500","-","Obsolete","3 ~ 5.5V","70 V ~ 90 V","Electroluminescent (EL) Backlighting","1.24"" L x 0.83"" W x 0.35"" H (31.6mm x 21mm x 9mm)","Through Hole"
//media.digikey.com/pdf/Data%20Sheets/JKL%20PDFs/NDL_Series.pdf,"//media.digikey.com/photos/JKL/NDL-201,202,203,NDL-204,205.jpg",289-1032-ND,NDL-205,JKL Components Corp.,INVERTER 50-83CM2 FOR EL LAMP,0,0,"Obsolete","0","500","-","Obsolete","3 ~ 5.5V","70 V ~ 90 V","Electroluminescent (EL) Backlighting","1.24"" L x 0.83"" W x 0.35"" H (31.6mm x 21mm x 9mm)","Through Hole"
//media.digikey.com/pdf/Data%20Sheets/JKL%20PDFs/NDL_Series.pdf,//media.digikey.com/photos/JKL/NDL-217.jpg,289-1033-ND,NDL-217,JKL Components Corp.,INVERTER 100-170CM2 FOR EL LAMP,0,0,"Obsolete","0","500","-","Obsolete","3 ~ 5.5V","80 V ~ 120 V","Electroluminescent (EL) Backlighting","0.93"" L x 0.93"" W x 0.75"" H (23.5mm x 23.5mm x 19mm)","Through Hole"
//media.digikey.com/pdf/Data%20Sheets/JKL%20PDFs/BXA-12562-6M.pdf,//media.digikey.com/photos/JKL/BXA-12562-6M.jpg,289-1034-ND,BXA-12562-6M,JKL Components Corp.,INVERTER 1000V 6MA SGL CCFL LAMP,0,0,"Obsolete","0","500","-","Obsolete","12V","1000V","CCFL and UV Lamps","3.31"" L x 0.83"" W x 0.24"" H (84mm x 21mm x 6mm)","Chassis Mount"
//media.digikey.com/pdf/Data%20Sheets/JKL%20PDFs/BXA-12564-6M.pdf,//media.digikey.com/photos/JKL/BXA-12564-6M.jpg,289-1035-ND,BXA-12564-6M,JKL Components Corp.,INVERTER 1000V 6MA SGL CCFL LAMP,0,0,"Obsolete","0","500","-","Obsolete","12V","1000V","CCFL and UV Lamps","3.31"" L x 0.83"" W x 0.24"" H (84mm x 21mm x 6mm)","Chassis Mount"
//media.digikey.com/pdf/Data%20Sheets/JKL%20PDFs/BXA-12565-6M.pdf,//media.digikey.com/photos/JKL/BXA-12565-6M.jpg,289-1036-ND,BXA-12565-6M,JKL Components Corp.,INVERTER 1000V 6MA SGL CCFL LAMP,0,0,"Obsolete","0","500","-","Obsolete","12V","1000V","CCFL and UV Lamps","3.74"" L x 0.71"" W x 0.26"" H (95mm x 18mm x 6.5mm)","Chassis Mount"
//media.digikey.com/pdf/Data%20Sheets/JKL%20PDFs/BXA-502.pdf,//media.digikey.com/photos/JKL/BXA-502.jpg,289-1047-ND,BXA-502,JKL Components Corp.,INVERTER 650V SGL FOR CCFL LAMP,0,0,"Obsolete","0","100","-","Obsolete","5V","650V","CCFL and UV Lamps","1.02"" L x 0.51"" W x 0.20"" H (26mm x 13mm x 5mm)","Chassis Mount"
