Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","For Use With/Related Products","Color","Size / Dimension"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/3330_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_3330.jpg,1528-1903-ND,3330,Adafruit Industries LLC,LCD LIGHT VALVE,231,0,"7.50000","0","1","-","Active","LCD Light Valve","-","-","3.8"" L x 1.5"" W (96.50mm x 38.00mm)"
//media.digikey.com/pdf/Data%20Sheets/Pimoroni%20PDFs/COM2400_COM2401_Web.pdf,//media.digikey.com/Photos/Pimoroni%20Photos/MFG_COM2401.JPG,1778-1141-ND,COM2401,Pimoroni Ltd,LCD DISPLAY LCD LIGHT VALVE,118,0,"6.79000","0","1","-","Active","LCD Light Valve","LCD Display","-","3.78"" L x 1.89"" W (96.00mm x 48.00mm)"
//media.digikey.com/pdf/Data%20Sheets/PRD%20Plastics%20PDFs/Lens%20Filters.pdf,//media.digikey.com/photos/PRD%20Plastics%20Photos/6203040.jpg,PRD360G-ND,6203040,PRD Plastics,LED DISPLAY LENS GREEN,1469,0,"2.52000","0","1","-","Active","Lens","LED Display","Green Lens","3.6"" (91.44mm)"
//media.digikey.com/pdf/Data%20Sheets/PRD%20Plastics%20PDFs/LED%20LCD.pdf,//media.digikey.com/photos/PRD%20Plastics%20Photos/6301060.jpg,PRD180LPG-ND,6301060,PRD Plastics,LED DISPLAY BEZEL BLK W/GRN LENS,693,0,"3.63000","0","1","-","Active","Bezel with Lens","LED Display","Black, Green Lens","1.8"" (45.8mm)"
//media.digikey.com/pdf/Data%20Sheets/PRD%20Plastics%20PDFs/LED%20LCD.pdf,//media.digikey.com/photos/PRD%20Plastics%20Photos/6302040.jpg,PRD250LPS-ND,6302040,PRD Plastics,LED DISPLAY BZL BLK W/SMOKE LENS,582,0,"4.05000","0","1","-","Active","Bezel with Lens","LED Display","Black, Smoke Lens","2.5"" (63.5mm)"
//media.digikey.com/pdf/Data%20Sheets/PRD%20Plastics%20PDFs/6102010.pdf,//media.digikey.com/photos/PRD%20Plastics%20Photos/6102010.jpg,PRD250B-ND,6102010,PRD Plastics,LCD DISPLAY BEZEL BLACK 3PC,559,0,"2.73000","0","1","-","Active","Bezel","LCD Display","Black","2.5"" (63.5mm)"
http://www.4dsystems.com.au/productpages/gen4-BEZEL/downloads/gen4-BEZEL_datasheet_R_1_0.pdf,//media.digikey.com/Photos/4D-Systems-Pty-Ltd/MFG_GEN4-BEZEL.jpg,1613-1400-ND,GEN4-BEZEL-35B,4D Systems Pty Ltd,LCD DISPLAY BEZEL BLACK,42,0,"10.19000","0","1","-","Active","Bezel","LCD Display","Black","4.55"" L x 3.07"" W (115.50mm x 78.00mm)"
http://www.4dsystems.com.au/productpages/gen4-BEZEL/downloads/gen4-BEZEL_datasheet_R_1_0.pdf,//media.digikey.com/Photos/4D-Systems-Pty-Ltd/MFG_GEN4-BEZEL.jpg,1613-1403-ND,GEN4-BEZEL-70B,4D Systems Pty Ltd,LCD DISPLAY BEZEL BLACK,8,0,"15.29000","0","1","-","Active","Bezel","LCD Display","Black","7.80"" L x 5.04"" W (198.00mm x 128.00mm)"
//media.digikey.com/pdf/Data%20Sheets/PRD%20Plastics%20PDFs/Lens%20Filters.pdf,//media.digikey.com/photos/PRD%20Plastics%20Photos/6201010.jpg,PRD180C-ND,6201010,PRD Plastics,LCD DISPLAY LENS CLEAR,491,0,"2.07000","0","1","-","Active","Lens","LCD Display","Clear Lens","1.8"" (45.8mm)"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/3627_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_3627.jpg,1528-2516-ND,3627,Adafruit Industries LLC,LCD DISPLAY LCD LIGHT VALVE,58,0,"2.95000","0","1","-","Active","LCD Light Valve","LCD Display","-","1.42"" L x 1.42"" W (36.00mm x 36.00mm)"
//media.digikey.com/pdf/Data%20Sheets/PRD%20Plastics%20PDFs/6103010.pdf,//media.digikey.com/photos/PRD%20Plastics%20Photos/6103010.jpg,PRD360B-ND,6103010,PRD Plastics,LCD DISPLAY BEZEL BLACK 5PC,840,0,"3.15000","0","1","-","Active","Bezel","LCD Display","Black","3.6"" (91.44mm)"
http://www.4dsystems.com.au/productpages/BEZEL-43PT/downloads/BEZEL-43PT_datasheet_R_1_2.pdf,//media.digikey.com/photos/4D-Systems-Pty-Ltd/4DBEZEL-43B_Primary.jpg,1613-1008-ND,4DBEZEL-43B,4D Systems Pty Ltd,LCD DISPLAY BEZEL BLACK,49,0,"10.19000","0","1","-","Active","Bezel","LCD Display","Black","-"
http://www.lcd-module.de/eng/pdf/grafik/ediptft32-ae.pdf,//media.digikey.com/Photos/Electronic%20Assembly%20GmbH%20photos/EA-0FP322-32SW.jpg,1481-1018-ND,EA 0FP322-32SW,Display Visions,LED DISPLAY BEZEL BLACK,8,0,"46.28000","0","1","-","Active","Bezel","LED Display","Black","3.937"" Dia x 3.307"" L (100.00mm x 84.00mm)"
http://multimedia.3m.com/mws/media/380913O/3m-microtouch-c1500ss-features-data-sheet.pdf,//media.digikey.com/Photos/3M%20Photos/29368.jpg,3M10403-ND,29368,3M Touch Systems,LCD DISPLAY BEZEL BLACK,7,0,"117.60000","0","1","-","Active","Bezel","LCD Display","Black","15.5"" x 12.52"" (394mm x 317.9mm)"
-,//media.digikey.com/Photos/Matrix%20Orbital%20Photos/BEZ-202C-V1-W-KIT.jpg,635-1104-ND,BEZ-202C-V1-W-KIT,Matrix Orbital,LCD DISPLAY BEZEL BLACK,99,0,"19.87000","0","1","-","Active","Bezel","LCD Display","Black","5.787"" L x 1.653"" W (147.00mm x 42.00mm)"
-,//media.digikey.com/Photos/Matrix%20Orbital%20Photos/BEZ-204A-V1-W-KIT.jpg,635-1106-ND,BEZ-204A-V1-W-KIT,Matrix Orbital,LCD DISPLAY BEZEL BLACK,97,0,"19.87000","0","1","-","Active","Bezel","LCD Display","Black","5.078"" L x 2.716"" W (129.00mm x 69.00mm)"
