Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Type","Current - DC Forward (If) (Max)","Radiant Intensity (Ie) Min @ If","Wavelength","Voltage - Forward (Vf) (Typ)","Viewing Angle","Orientation","Operating Temperature","Mounting Type","Package / Case"
https://dammedia.osram.info/media/resource/hires/osram-dam-2496162/SFH%204253.pdf,//media.digikey.com/Photos/Osram%20Opto%20Photos/MFG_SFH-4253-Z.jpg,475-2868-2-ND,SFH 4253-Z,OSRAM Opto Semiconductors Inc.,EMITTER IR 860NM 70MA 3.20MM SMD,40000,0,"0.21800","0","2000","Tape & Reel (TR)","TOPLED","Active","Infrared (IR)","70mA","6.3mW/sr @ 70mA","860nm","1.6V","120°","Top View","-40°C ~ 100°C (TA)","Surface Mount","3.20mm L x 2.80mm W x 1.90mm H"
https://dammedia.osram.info/media/resource/hires/osram-dam-2496162/SFH%204253.pdf,//media.digikey.com/Photos/Osram%20Opto%20Photos/MFG_SFH-4253-Z.jpg,475-2868-1-ND,SFH 4253-Z,OSRAM Opto Semiconductors Inc.,EMITTER IR 860NM 70MA 3.20MM SMD,40327,0,"0.72000","0","1","Cut Tape (CT)","TOPLED","Active","Infrared (IR)","70mA","6.3mW/sr @ 70mA","860nm","1.6V","120°","Top View","-40°C ~ 100°C (TA)","Surface Mount","3.20mm L x 2.80mm W x 1.90mm H"
https://dammedia.osram.info/media/resource/hires/osram-dam-2496162/SFH%204253.pdf,//media.digikey.com/Photos/Osram%20Opto%20Photos/MFG_SFH-4253-Z.jpg,475-2868-6-ND,SFH 4253-Z,OSRAM Opto Semiconductors Inc.,EMITTER IR 860NM 70MA 3.20MM SMD,40327,0,"Digi-Reel","0","1","Digi-Reel®","TOPLED","Active","Infrared (IR)","70mA","6.3mW/sr @ 70mA","860nm","1.6V","120°","Top View","-40°C ~ 100°C (TA)","Surface Mount","3.20mm L x 2.80mm W x 1.90mm H"
http://www.vishay.com/docs/81074/tsks540.pdf,//media.digikey.com/photos/Vishay%20Photos/TSKS5400S.JPG,TSKS5400S-ASZTB-ND,TSKS5400S-ASZ,Vishay Semiconductor Opto Division,EMITTER IR 950NM 100MA,32000,0,"0.21975","0","2000","Tape & Box (TB)","-","Active","Infrared (IR)","100mA","2mW/sr @ 100mA","950nm","1.3V","30°","Side View","-25°C ~ 85°C (TA)","Through Hole, Right Angle","Radial"
http://www.vishay.com/docs/81074/tsks540.pdf,//media.digikey.com/photos/Vishay%20Photos/TSKS5400S.JPG,TSKS5400S-ASZCT-ND,TSKS5400S-ASZ,Vishay Semiconductor Opto Division,EMITTER IR 950NM 100MA,33314,0,"0.73000","0","1","Cut Tape (CT)","-","Active","Infrared (IR)","100mA","2mW/sr @ 100mA","950nm","1.3V","30°","Side View","-25°C ~ 85°C (TA)","Through Hole, Right Angle","Radial"
http://www.vishay.com/docs/83498/vsmb2948sl.pdf,//media.digikey.com/Photos/Vishay%20Semiconductors/VSMB%20Right%20Angle%20Gull%20Wing%20SMD.JPG,VSMB2948SLTR-ND,VSMB2948SL,Vishay Semiconductor Opto Division,EMITTER IR 940NM 100MA SMD,18000,0,"0.23100","0","3000","Tape & Reel (TR)","-","Active","Infrared (IR)","100mA","20mW/sr @ 100mA","940nm","1.35V","50°","Side View","-40°C ~ 85°C (TA)","Surface Mount, Right Angle","2-SMD, Gull Wing"
http://www.vishay.com/docs/83498/vsmb2948sl.pdf,//media.digikey.com/Photos/Vishay%20Semiconductors/VSMB%20Right%20Angle%20Gull%20Wing%20SMD.JPG,VSMB2948SLCT-ND,VSMB2948SL,Vishay Semiconductor Opto Division,EMITTER IR 940NM 100MA SMD,18345,0,"0.82000","0","1","Cut Tape (CT)","-","Active","Infrared (IR)","100mA","20mW/sr @ 100mA","940nm","1.35V","50°","Side View","-40°C ~ 85°C (TA)","Surface Mount, Right Angle","2-SMD, Gull Wing"
http://www.vishay.com/docs/83498/vsmb2948sl.pdf,//media.digikey.com/Photos/Vishay%20Semiconductors/VSMB%20Right%20Angle%20Gull%20Wing%20SMD.JPG,VSMB2948SLDKR-ND,VSMB2948SL,Vishay Semiconductor Opto Division,EMITTER IR 940NM 100MA SMD,18345,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","Infrared (IR)","100mA","20mW/sr @ 100mA","940nm","1.35V","50°","Side View","-40°C ~ 85°C (TA)","Surface Mount, Right Angle","2-SMD, Gull Wing"
https://dammedia.osram.info/media/resource/hires/osram-dam-2496195/SFH%204053.pdf,"//media.digikey.com/photos/Osram%20Opto%20Photos/MFG_SPH-40(4,5)3.jpg",475-2945-2-ND,SFH 4053,OSRAM Opto Semiconductors Inc.,EMITTER IR 860NM 70MA 0402,30000,0,"0.23139","0","3000","Tape & Reel (TR)","CHIPLED","Active","Infrared (IR)","70mA","7mW/sr @ 70mA","860nm","1.6V","140°","Top View","-40°C ~ 85°C (TA)","Surface Mount","0402 (1005 Metric)"
https://dammedia.osram.info/media/resource/hires/osram-dam-2496195/SFH%204053.pdf,"//media.digikey.com/photos/Osram%20Opto%20Photos/MFG_SPH-40(4,5)3.jpg",475-2945-1-ND,SFH 4053,OSRAM Opto Semiconductors Inc.,EMITTER IR 860NM 70MA 0402,36457,0,"0.82000","0","1","Cut Tape (CT)","CHIPLED","Active","Infrared (IR)","70mA","7mW/sr @ 70mA","860nm","1.6V","140°","Top View","-40°C ~ 85°C (TA)","Surface Mount","0402 (1005 Metric)"
