Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Configuration","Color","Size / Dimension","Contents"
https://cdn.sparkfun.com/datasheets/Components/EL/ELWire-Chasing-TechnicalData.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_COM-12927.jpg,1568-1435-ND,COM-12927,SparkFun Electronics,EL WIRE - FLUORESCENT GREEN 3M (,2,0,"9.95000","0","1","-","Active","EL Wire (Flow Effect)","Green","9.84' (3m)","-"
https://www.sparkfun.com/datasheets/Components/LED/Technical%20Information%20of%20Flexible%20Neon%20wire.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_COM-10197.jpg,1568-1390-ND,COM-10197,SparkFun Electronics,EL WIRE - WHITE 3M,1,0,"9.95000","0","1","-","Active","EL Wire","White","9.84' (3m)","-"
http://cdn.sparkfun.com/datasheets/Components/General/ELPanelSpecification.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_COM-10800.jpg,1568-1434-ND,COM-10800,SparkFun Electronics,EL PANEL - BLUE-GREEN (10X10CM),2,0,"15.00000","0","1","-","Active","EL Panel","Green","3.937"" L x 3.937"" W (100.00mm x 100.00mm)","-"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/416_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_416.jpg,1528-1240-ND,416,Adafruit Industries LLC,ELECTROLUMINESC STRIP 100CM WHT,10,0,"8.95000","0","1","-","Active","EL Tape","White","3.28' (1m)","-"
https://www.sparkfun.com/datasheets/Components/LED/Technical%20Information%20of%20Flexible%20Neon%20wire.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_COM-10199.jpg,1568-1432-ND,COM-10199,SparkFun Electronics,EL WIRE - BLUE-GREEN 3M,1,0,"9.95000","0","1","-","Active","EL Wire","Green","9.84' (3m)","-"
https://cdn.sparkfun.com/datasheets/Components/EL/ELWire-Chasing-TechnicalData.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_COM-12925.jpg,1568-1678-ND,COM-12925,SparkFun Electronics,EL WIRE - BLUE 3M (CHASING),8,0,"9.95000","0","1","-","Active","EL Wire (Flow Effect)","Blue","9.84' (3m)","-"
https://cdn.sparkfun.com/datasheets/Components/EL/ELWire-Chasing-TechnicalData.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_COM-12928.jpg,1568-1680-ND,COM-12928,SparkFun Electronics,EL WIRE - PURPLE 3M (CHASING),8,0,"9.95000","0","1","-","Active","EL Wire (Flow Effect)","Purple","9.84' (3m)","-"
https://cdn.sparkfun.com/datasheets/Components/EL/ELWire-Chasing-TechnicalData.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_COM-12931.jpg,1568-1683-ND,COM-12931,SparkFun Electronics,EL WIRE - RED 3M (CHASING),8,0,"9.95000","0","1","-","Active","EL Wire (Flow Effect)","Red","9.84' (3m)","-"
https://cdn.sparkfun.com/datasheets/Components/EL/ELWire-Chasing-TechnicalData.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_COM-12929.jpg,1568-1681-ND,COM-12929,SparkFun Electronics,EL WIRE - WHITE 3M (CHASING),6,0,"9.95000","0","1","-","Active","EL Wire (Flow Effect)","White","9.84' (3m)","-"
https://cdn.sparkfun.com/datasheets/Components/EL/ELWire-Chasing-TechnicalData.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_COM-12932.jpg,1568-1684-ND,COM-12932,SparkFun Electronics,EL WIRE - YELLOW 3M (CHASING),5,0,"9.95000","0","1","-","Active","EL Wire (Flow Effect)","Yellow","9.84' (3m)","-"
https://cdn.sparkfun.com/datasheets/Components/EL/ELWire-Chasing-TechnicalData.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_COM-12926.jpg,1568-1679-ND,COM-12926,SparkFun Electronics,EL WIRE - GREEN 3M (CHASING),4,0,"9.95000","0","1","-","Active","EL Wire (Flow Effect)","Green","9.84' (3m)","-"
https://cdn.sparkfun.com/datasheets/Components/EL/ELWire-Chasing-TechnicalData.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_COM-12930.jpg,1568-1682-ND,COM-12930,SparkFun Electronics,EL WIRE - BLUE-GREEN 3M (CHASING,4,0,"9.95000","0","1","-","Active","EL Wire (Flow Effect)","Green","9.84' (3m)","-"
