Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Touchscreen","Voltage - Input","Voltage - Output","Size / Dimension","Interface","Operating Temperature"
"//media.digikey.com/pdf/Data%20Sheets/Digital%20View%20Inc%20PDFs/4167200,7201,7202-XX.pdf",-,586-1005-ND,4167201-XX,Digital View Inc.,LCD DRVR BRD PUSHBUTTON,0,0,"Obsolete","0","1","-","Obsolete","-","12V","3.3V, 5V, 12V","4.2"" L x 3.6"" W (107mm x 92mm)","Pushbutton","-"
//media.digikey.com/pdf/Data%20Sheets/Digital%20View%20Inc%20PDFs/4169300-XX.pdf,-,586-1006-ND,4169300-XX,Digital View Inc.,LCD DRVR BRD PUSHBUTTON,0,0,"Obsolete","0","1","-","Obsolete","-","12V","3.3V, 5V, 12V, 18V","4.2"" L x 3.6"" W (107mm x 92mm)","Pushbutton","0°C ~ 60°C"
"//media.digikey.com/pdf/Data%20Sheets/Digital%20View%20Inc%20PDFs/4167200,7201,7202-XX.pdf",-,4167200-XX-ND,4167200-XX,Digital View Inc.,LCD DRVR BRD PUSHBUTTON,0,0,"Obsolete","0","1","-","Obsolete","-","12V","3.3V, 5V","4.2"" L x 3.6"" W (107mm x 92mm)","Pushbutton","-"
http://www.digitalview.com/media/manuals/AL-1280-manual.pdf,-,586-1012-ND,4169300XX-3,Digital View Inc.,LCD DRVR BRD PUSHBUTTON,0,0,"Obsolete","0","1","-","Obsolete","-","12V","3.3V, 5V, 12V, 18V","4.2"" L x 3.6"" W (107mm x 92mm)","Pushbutton","0°C ~ 60°C"
-,-,4168800-XX-ND,4168800-XX,Digital View Inc.,LCD DRVR BRD INFRARED/PUSHBUTTON,0,0,"Obsolete","0","1","-","Obsolete","-","12V","3.3V, 5V, 12V","7"" L x 4.74"" W (179mm x 120.4mm)","Infrared, Pushbutton, RS-232","0°C ~ 60°C"
-,-,416212500-3-ND,416212500-3,Digital View Inc.,LCD DRVR BRD VIDEO CONTRLR BOARD,0,0,"Obsolete","0","2","-","Obsolete","-","-","-","-","-","-"
http://www.digitalview.com/media/manuals/ALR-1400_-3X_-4X_manual_V1.80.00.pdf,//media.digikey.com/Photos/Digital%20View%20Photos/4171000XX-3.jpg,586-1016-ND,417100041-3,Digital View Inc.,LCD DRVR BRD PUSHBUTTON/SERIAL,0,0,"Obsolete","0","1","-","Obsolete","-","12V, 24V","3.3V, 5V, 12V, 18V","4.2"" L x 3.6"" W (107mm x 92mm)","Pushbutton, Serial","0°C ~ 60°C"
"//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/EX11%2057xxUC,%2077xxUC.pdf",//media.digikey.com/photos/3M%20Photos/EXII-7710UC.jpg,3M5539-ND,EXII-7710UC,3M,LCD DRVR BRD CAPACITIVE USB,0,0,"Obsolete","0","100","MicroTouch™ Controller EX","Obsolete","Capacitive","-","-","-","USB","-"
http://multimedia.3m.com/mws/media/704160O/3mtm-microtouchtm-sc-series-controller-data-sheet.pdf,//media.digikey.com/photos/3M%20Photos/SC401U.jpg,3M5541-ND,SC401U,3M,LCD DRVR BRD 4WIRE RESISTIVE USB,0,0,"Obsolete","0","50","SC400","Obsolete","4 Wire Resistive","5V","-","2.67"" L x 1.30"" W (67.8mm x 33mm)","USB","0°C ~ 65°C"
http://multimedia.3m.com/mws/media/704160O/3mtm-microtouchtm-sc-series-controller-data-sheet.pdf,//media.digikey.com/photos/3M%20Photos/SC402S.jpg,3M5542-ND,SC402S,3M,LCD DRVR BRD 4WIRE RESISTV RS232,0,0,"Obsolete","0","50","SC400","Obsolete","4 Wire Resistive","5V, 12V","-","2.72"" L x 1.57"" W (69.1mm x 39.9mm)","RS-232","0°C ~ 65°C"
http://multimedia.3m.com/mws/media/704160O/3mtm-microtouchtm-sc-series-controller-data-sheet.pdf,//media.digikey.com/photos/3M%20Photos/SC501U.jpg,3M5543-ND,SC501U,3M,LCD DRVR BRD 5WIRE RESISTIVE USB,0,0,"Obsolete","0","50","SC500","Obsolete","5 Wire Resistive","5V","-","2.85"" L x 1.30"" W (72.4mm x 33mm)","USB","0°C ~ 65°C"
http://multimedia.3m.com/mws/media/704160O/3mtm-microtouchtm-sc-series-controller-data-sheet.pdf,//media.digikey.com/photos/3M%20Photos/SC502S.jpg,3M5544-ND,SC502S,3M,LCD DRVR BRD 5WIRE RESISTV RS232,0,0,"Obsolete","0","50","SC500","Obsolete","5 Wire Resistive","5V, 12V","-","2.77"" L x 1.57"" W (70.4mm x 39.9mm)","RS-232","0°C ~ 65°C"
http://multimedia.3m.com/mws/media/704160O/3mtm-microtouchtm-sc-series-controller-data-sheet.pdf,//media.digikey.com/photos/3M%20Photos/SC801U.jpg,3M5545-ND,SC801U,3M,LCD DRVR BRD 8WIRE RESISTIVE USB,0,0,"Obsolete","0","50","SC800","Obsolete","8 Wire Resistive","5V","-","2.75"" L x 1.30"" W (69.9mm x 33mm)","USB","0°C ~ 65°C"
http://multimedia.3m.com/mws/media/704160O/3mtm-microtouchtm-sc-series-controller-data-sheet.pdf,//media.digikey.com/photos/3M%20Photos/SC802S.jpg,3M5546-ND,SC802S,3M,LCD DRVR BRD 8WIRE RESISTV RS232,0,0,"Obsolete","0","50","SC800","Obsolete","8 Wire Resistive","5V, 12V","-","2.82"" L x 39.9"" W (71.6mm x 39.9mm)","RS-232","0°C ~ 65°C"
http://www.digitalview.com/media/brochures/SP-1600%20brochure.pdf,//media.digikey.com/photos/Digital%20View%20Photos/4169900XX-3.jpg,586-1019-ND,4169900XX-3,Digital View Inc.,LCD DRVR BRD INFRARED/PUSHBUTTON,0,0,"Obsolete","0","1","-","Obsolete","-","12V, 24V","3.3V, 5V, 12V, 18V","7"" L x 4.74"" W (179mm x 120.4mm)","Infrared, Pushbutton, Serial","-"
"//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/EX11%2057xxUC,%2077xxUC.pdf",-,3M5766-ND,EXII-7719UC,3M,LCD DRVR BRD CAPACITIVE USB,0,0,"Obsolete","0","1","MicroTouch™ Controller EX","Obsolete","Capacitive","-","-","-","USB","-"
