Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Configuration","Number of LEDs","Color","Controller Type","Utilized LED","Interface","Mounting Type","Size / Dimension"
https://cdn-learn.adafruit.com/downloads/pdf/adafruit-dotstar-leds.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_2734.jpg,2734-ND,2734,Adafruit Industries LLC,ADDRESS LED MATRIX SERIAL RGB,0,0,"49.95000","0","1","Dotstar","Active","Matrix","64 (8 x 8)","Red, Green, Blue (RGB)","-","APA102","Serial (Shift Register)","User Defined","80mm L x 80mm W"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/1547_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_1547.jpg,1528-2104-ND,1547,Adafruit Industries LLC,ADDRESS LED STRIP SPI RGB 2080MM,0,0,"49.95000","0","1","-","Active","Strip (White)","20","Red, Green, Blue (RGB)","-","WS2801 (5050)","SPI","User Defined","2080.00mm L"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/1376_Web.pdf,-,1528-2779-ND,2536,Adafruit Industries LLC,NEOPIXEL DIGITAL RGB LED STRIP -,0,0,"50.85000","0","1","Neopixel","Active","Strip (White)","90","Red, Green, Blue (RGB)","-","SK6812 or WS2812","Serial (Shift Register)","User Defined","3000.00mm L"
https://cdn-shop.adafruit.com/datasheets/APA102.pdf,-,1528-2861-ND,2573,Adafruit Industries LLC,DOTSTAR DIGITAL LED STRIP - BLAC,0,0,"59.90000","0","1","Dotstar","Active","Strip","-","Red, Green, Blue (RGB)","-","APA102C","Serial","-","-"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/1376_Web.pdf,-,1528-2778-ND,2535,Adafruit Industries LLC,NEOPIXEL DIGITAL RGB LED STRIP -,0,0,"67.80000","0","1","Neopixel","Active","Strip (White)","120","Red, Green, Blue (RGB)","-","SK6812 or WS2812","Serial (Shift Register)","User Defined","4000.00mm L"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/1461_Web.pdf,-,1528-2774-ND,2506,Adafruit Industries LLC,NEOPIXEL DIGITAL RGB LED STRIP -,0,0,"74.85000","0","1","Neopixel","Active","Strip (Black)","180","Red, Green, Blue (RGB)","-","SK6812 or WS2812","Serial (Shift Register)","User Defined","3000.00mm L"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/1138_Web.pdf,-,1528-2781-ND,2539,Adafruit Industries LLC,NEOPIXEL DIGITAL RGB LED STRIP -,0,0,"74.85000","0","1","Neopixel","Active","Strip (White)","180","Red, Green, Blue (RGB)","-","SK6812 or WS2812","Serial (Shift Register)","User Defined","3000.00mm L"
https://cdn-shop.adafruit.com/product-files/1138/SK6812+LED+datasheet+.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_2949.jpg,1528-1641-ND,2949,Adafruit Industries LLC,ADDRESS LED STRIP SERIAL RGB 5M,0,0,"84.75000","0","1","Neopixel","Active","Strip (White)","150","Red, Green, Blue (RGB)","-","SK6812 (3535)","Serial (Shift Register)","User Defined","5000.00mm L"
https://cdn-shop.adafruit.com/product-files/1138/SK6812+LED+datasheet+.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_2954.jpg,1528-1642-ND,2954,Adafruit Industries LLC,ADDRESS LED STRIP SERIAL RGB 5M,0,0,"84.75000","0","1","Neopixel","Active","Strip (Black)","150","Red, Green, Blue (RGB)","-","SK6812 (3535)","Serial (Shift Register)","User Defined","5000.00mm L"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/2832_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/2832.JPG,1528-1543-ND,2832,Adafruit Industries LLC,ADDRESS LED STRIP SERIAL RGBW 5M,0,0,"89.75000","0","1","Neopixel","Active","Strip (White)","150","Red, Green, Blue, White (RGBW)","-","SK6812 (5050)","Serial (Shift Register)","User Defined","5000.00mm L"
