Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Composition","Diameter","Melting Point","Flux Type","Wire Gauge","Process","Form","Shelf Life","Shelf Life Start","Storage/Refrigeration Temperature"
https://tdsna.henkel.com/NA/UT/HNAUTTDS.nsf/web/3FE451C4CABFAFFD852578790050C190/$File/LOCTITE%20C%20400-EN.pdf,//media.digikey.com/Photos/Multicore/MM01054.jpg,82-119-ND,450314,Multicore,63/37 400 2% .022DIA 23AWG,77,0,"41.93000","0","1","C400","Active","Wire Solder","Sn63Pb37 (63/37)","0.022"" (0.56mm)","361°F (183°C)","No-Clean","23 AWG, 24 SWG","Leaded","Spool, 1 lb (454 g)","-","-","-"
https://www.kester.com/downloads?Command=Core_Download&EntryId=958,//media.digikey.com/photos/Kester%20Photos/24-6337-8817.jpg,KE1399-ND,24-6337-8817,Kester Solder,SOLDER NO-CLEAN 14AWG 63/37 1LB,64,0,"41.98000","0","1","245","Active","Wire Solder","Sn63Pb37 (63/37)","0.062"" (1.57mm)","361°F (183°C)","No-Clean","14 AWG, 16 SWG","Leaded","Spool, 1 lb (454 g)","-","-","50°F ~ 104°F (10°C ~ 40°C)"
http://www.chipquik.com/datasheets/SMD2SWLF.012 100g.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_SMD2SWLF_012%5E20100g.jpg,SMD2SWLF.012100G-ND,SMD2SWLF.012 100G,Chip Quik Inc.,LF SOLDER WIRE 99.3/0.7 TIN/COPP,19,0,"42.99000","0","1","SMD2","Active","Wire Solder","Sn99.3Cu0.7 (99.3/0.7)","0.012"" (0.31mm)","441°F (227°C)","No-Clean, Water Soluble","28 AWG, 30 SWG","Lead Free","Spool, 3.53 oz (100g)","-","-","-"
https://www.kester.com/downloads?Command=Core_Download&EntryId=1018,//media.digikey.com/photos/Kester%20Photos/24-6337-9713.jpg,KE1200-ND,24-6337-9713,Kester Solder,SOLDER RMA FLUX 20AWG 63/37 1LB,64,0,"44.97000","0","1","285","Active","Wire Solder","Sn63Pb37 (63/37)","0.031"" (0.79mm)","361°F (183°C)","Rosin Mildly Activated (RMA)","20 AWG, 22 SWG","Leaded","Spool, 1 lb (454 g)","-","-","50°F ~ 104°F (10°C ~ 40°C)"
http://www.mgchemicals.com/downloads/catalogs/Solder%20products%20catalog%20Web.pdf,//media.digikey.com/Photos/MG%20Chemicals%20Photos/MFG_4865-454G.jpg,473-1108-ND,4865-454G,MG Chemicals,SOLDER NO-CLEAN 63/37 1 LB,31,0,"45.26000","0","1","4860","Active","Wire Solder","Sn63Pb37 (63/37)","0.032"" (0.81mm)","361°F (183°C)","No-Clean","20 AWG, 21 SWG","Leaded","Spool, 1 lb (454 g)","-","-","-"
http://www.mgchemicals.com/downloads/catalogs/Solder%20products%20catalog%20Web.pdf,//media.digikey.com/Photos/MG%20Chemicals%20Photos/MFG_4875-454G.jpg,473-1110-ND,4875-454G,MG Chemicals,SOLDER NO-CLEAN 60/40 1 LB,28,0,"45.26000","0","1","4870","Active","Wire Solder","Sn60Pb40 (60/40)","0.032"" (0.81mm)","361 ~ 376°F (183 ~ 191°C)","No-Clean","20 AWG, 21 SWG","Leaded","Spool, 1 lb (454 g)","-","-","-"
http://www.mgchemicals.com/downloads/catalogs/Solder%20products%20catalog%20Web.pdf,//media.digikey.com/Photos/MG%20Chemicals%20Photos/MFG_4884-454G.jpg,473-1156-ND,4884-454G,MG Chemicals,SOLDER RA 63/37 .025"" 1 LBS,24,0,"45.26000","0","1","4880","Active","Wire Solder","Sn63Pb37 (63/37)","0.025"" (0.64mm)","361°F (183°C)","Rosin Activated (RA)","22 AWG, 23 SWG","Leaded","Spool, 1 lb (454 g)","-","-","-"
http://www.mgchemicals.com/downloads/catalogs/Solder%20products%20catalog%20Web.pdf,//media.digikey.com/Photos/MG%20Chemicals%20Photos/4895-454G.jpg,473-1114-ND,4895-454G,MG Chemicals,SOLDER RA 60/40 .032"" 1 LB,15,0,"45.26000","0","1","4890","Active","Wire Solder","Sn60Pb40 (60/40)","0.032"" (0.81mm)","361 ~ 376°F (183 ~ 191°C)","Rosin Activated (RA)","20 AWG, 21 SWG","Leaded","Spool, 1 lb (454 g)","-","-","-"
http://www.mgchemicals.com/downloads/catalogs/Solder%20products%20catalog%20Web.pdf,//media.digikey.com/Photos/MG%20Chemicals%20Photos/MFG_4885-454G.jpg,473-1112-ND,4885-454G,MG Chemicals,SOLDER RA 63/37 .032"" 1 LBS,2,0,"45.26000","0","1","4880","Active","Wire Solder","Sn63Pb37 (63/37)","0.032"" (0.81mm)","361°F (183°C)","Rosin Activated (RA)","20 AWG, 21 SWG","Leaded","Spool, 1 lb (454 g)","-","-","-"
http://www.chipquik.com/datasheets/SMD3SW.031 1LB.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_SMD3SW.031-1LB.jpg,SMD3SW.0311LB-ND,SMD3SW.031 1LB,Chip Quik Inc.,SOLDER WIRE 62/36/2 TIN/LEAD/SIL,16,0,"45.85000","0","1","SMD3","Active","Wire Solder","Sn62Pb36Ag2 (62/36/2)","0.031"" (0.79mm)","354°F (179°C)","No-Clean, Water Soluble","20 AWG, 22 SWG","Leaded","Spool, 1 lb (454 g)","-","-","-"
https://www.kester.com/downloads?Command=Core_Download&EntryId=1072,//media.digikey.com/photos/Kester%20Photos/24-6040-0018.JPG,KE1116-ND,24-6040-0018,Kester Solder,SOLDER RA FLUX 22AWG 60/40 1LB,80,0,"46.38000","0","1","44","Active","Wire Solder","Sn60Pb40 (60/40)","0.025"" (0.64mm)","361 ~ 374°F (183 ~ 190°C)","Rosin Activated (RA)","22 AWG, 23 SWG","Leaded","Spool, 1 lb (454 g)","-","-","50°F ~ 104°F (10°C ~ 40°C)"
https://www.kester.com/downloads?Command=Core_Download&EntryId=958,//media.digikey.com/photos/Kester%20Photos/24-6337-8809.jpg,KE1404-ND,24-6337-8809,Kester Solder,SOLDER NO-CLEAN 22AWG 63/37 1LB,67,0,"47.39000","0","1","245","Active","Wire Solder","Sn63Pb37 (63/37)","0.025"" (0.64mm)","361°F (183°C)","No-Clean","22 AWG, 23 SWG","Leaded","Spool, 1 lb (454 g)","-","-","50°F ~ 104°F (10°C ~ 40°C)"
https://www.kester.com/downloads?Command=Core_Download&EntryId=1072,//media.digikey.com/photos/Kester%20Photos/24-6337-0018.jpg,KE1109-ND,24-6337-0018,Kester Solder,SOLDER RA FLUX 22AWG 63/37 1LB,52,0,"48.02000","0","1","44","Active","Wire Solder","Sn63Pb37 (63/37)","0.025"" (0.64mm)","361°F (183°C)","Rosin Activated (RA)","22 AWG, 23 SWG","Leaded","Spool, 1 lb (454 g)","-","-","50°F ~ 104°F (10°C ~ 40°C)"
http://www.chipquik.com/datasheets/TS391AX250.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_TS391AX250.jpg,TS391AX250-ND,TS391AX250,Chip Quik Inc.,THERMALLY STABLE SOLDER PASTE NO,21,0,"54.95000","0","1","-","Active","Solder Paste","Sn63Pb37 (63/37)","-","361°F (183°C)","No-Clean","-","Leaded","Jar, 8.8 oz (250g)","12 Months","Date of Manufacture","68°F ~ 77°F (20°C ~ 25°C)"
https://www.kester.com/downloads?Command=Core_Download&EntryId=958,//media.digikey.com/photos/Kester%20Photos/24-6337-8834.jpg,KE1409-ND,24-6337-8834,Kester Solder,SOLDER NO-CLEAN 24AWG 63/37 1LB,33,0,"55.84000","0","1","245","Active","Wire Solder","Sn63Pb37 (63/37)","0.020"" (0.51mm)","361°F (183°C)","No-Clean","24 AWG, 25 SWG","Leaded","Spool, 1 lb (454 g)","-","-","50°F ~ 104°F (10°C ~ 40°C)"
https://www.kester.com/downloads?Command=Core_Download&EntryId=958,//media.digikey.com/photos/Kester%20Photos/KESTER%20SOLDER-%2024-6337-8806.jpg,KE1405-ND,24-6337-8806,Kester Solder,SOLDER NO-CLEAN 27AWG 63/37 1LB,47,0,"59.75000","0","1","245","Active","Wire Solder","Sn63Pb37 (63/37)","0.015"" (0.38mm)","361°F (183°C)","No-Clean","27 AWG, 28 SWG","Leaded","Spool, 1 lb (454 g)","-","-","50°F ~ 104°F (10°C ~ 40°C)"
http://www.mgchemicals.com/downloads/tds/tds-4900.pdf,//media.digikey.com/Photos/MG%20Chemicals%20Photos/MFG_4900-227G.jpg,473-1115-ND,4900-227G,MG Chemicals,SOLDER LF SN96 21GAUGE .5LBS,10,0,"59.88000","0","1","4900","Active","Wire Solder","Sn96.5Ag3Cu0.5 (96.5/3/0.5)","0.032"" (0.81mm)","423 ~ 430°F (217 ~ 221°C)","No-Clean","20 AWG, 21 SWG","Lead Free","Spool, 8 oz (227g), 1/2 lb","-","-","65°F ~ 80°F (18°C ~ 27°C)"
