Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Number of Positions","Pitch","Outer Dimension","Inner Dimension","Thermal Center Pad","Material"
http://www.chipquik.com/datasheets/PA0096-S.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/PA0096-S.JPG,PA0096-S-ND,PA0096-S,Chip Quik Inc.,STENCIL VQFP-64 .5MM,16,0,"11.59000","0","1","Proto-Advantage PA","Active","TQFP","64","0.020"" (0.50mm)","1.300"" L x 0.900"" W (33.02mm x 22.86mm)","0.394"" L x 0.394"" W (10.00mm x 10.00mm)","-","Stainless Steel"
http://www.chipquik.com/datasheets/IPC0029-S.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_IPC0029-S.JPG,IPC0029-S-ND,IPC0029-S,Chip Quik Inc.,QFN-48 STENCIL,12,0,"11.59000","0","1","Proto-Advantage IPC","Active","QFN/LFCSP","48","0.020"" (0.50mm)","1.300"" L x 0.900"" W (33.02mm x 22.86mm)","0.276"" L x 0.276"" W (7.00mm x 7.00mm)","0.157"" L x 0.157"" W (4.00mm x 4.00mm)","Stainless Steel"
http://www.chipquik.com/datasheets/PA0109-S.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_PA0109-S.JPG,PA0109-S-ND,PA0109-S,Chip Quik Inc.,VQFP-100/TQFP-100 STENCIL,8,0,"11.59000","0","1","Proto-Advantage PA","Active","TQFP","100","0.020"" (0.50mm)","1.300"" L x 0.900"" W (33.02mm x 22.86mm)","0.551"" L x 0.551"" W (14.00mm x 14.00mm)","-","Stainless Steel"
http://www.chipquik.com/datasheets/IPC0020-S.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_IPC0020-S.JPG,IPC0020-S-ND,IPC0020-S,Chip Quik Inc.,STENCIL 5X5 MM .5MM,4,0,"11.59000","0","1","Proto-Advantage IPC","Active","QFN/LFCSP","32","0.020"" (0.50mm)","1.300"" L x 0.900"" W (33.02mm x 22.86mm)","0.197"" L x 0.197"" W (5.00mm x 5.00mm)","0.122"" L x 0.122"" W (3.10mm x 3.10mm)","Stainless Steel"
http://www.chipquik.com/datasheets/PA0063-S.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/PA0063-S.JPG,PA0063-S-ND,PA0063-S,Chip Quik Inc.,STENCIL QFN-20 .5MM,21,0,"11.59000","0","1","Proto-Advantage PA","Active","QFN/LFCSP","20","0.020"" (0.50mm)","1.300"" L x 0.900"" W (33.02mm x 22.86mm)","0.157"" L x 0.157"" W (4.00mm x 4.00mm)","-","Stainless Steel"
http://www.chipquik.com/datasheets/PA0110-S.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/PA0110-S.JPG,PA0110-S-ND,PA0110-S,Chip Quik Inc.,STENCIL TQFP-80 .5MM,10,0,"11.59000","0","1","Proto-Advantage PA","Active","TQFP","80","0.020"" (0.50mm)","1.300"" L x 0.900"" W (33.02mm x 22.86mm)","0.472"" L x 0.472"" W (12.00mm x 12.00mm)","-","Stainless Steel"
http://www.chipquik.com/datasheets/PA0093-S.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/PA0093-S.JPG,PA0093-S-ND,PA0093-S,Chip Quik Inc.,STENCIL LQFP-44 .8MM,5,0,"11.59000","0","1","Proto-Advantage PA","Active","TQFP","44","0.031"" (0.80mm)","1.300"" L x 0.900"" W (33.02mm x 22.86mm)","0.394"" L x 0.394"" W (10.00mm x 10.00mm)","-","Stainless Steel"
http://www.chipquik.com/datasheets/PA0034-S.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/PA0034-S.JPG,PA0034-S-ND,PA0034-S,Chip Quik Inc.,STENCIL TSSOP-16 .65MM,6,0,"11.59000","0","1","Proto-Advantage PA","Active","TSSOP","16","0.026"" (0.65mm)","1.300"" L x 0.900"" W (33.02mm x 22.86mm)","-","-","Stainless Steel"
http://www.chipquik.com/datasheets/PA0001-S.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_PA0001-S.JPG,PA0001-S-ND,PA0001-S,Chip Quik Inc.,SOIC-8 STENCIL,6,0,"11.59000","0","1","Proto-Advantage PA","Active","SOIC","8","0.050"" (1.27mm)","1.300"" L x 0.900"" W (33.02mm x 22.86mm)","-","-","Stainless Steel"
http://www.chipquik.com/datasheets/PA0091-S.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_PA0091-S.JPG,PA0091-S-ND,PA0091-S,Chip Quik Inc.,STENCIL TQFP-32 .8MM,5,0,"11.59000","0","1","Proto-Advantage PA","Active","TQFP","32","0.031"" (0.80mm)","1.300"" L x 0.900"" W (33.02mm x 22.86mm)","0.276"" L x 0.276"" W (7.00mm x 7.00mm)","-","Stainless Steel"
