Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Form","Shelf Life","Shelf Life Start","Storage/Refrigeration Temperature","Shipping Info"
//media.digikey.com/pdf/Data%20Sheets/Multicore%20PDFs/Flux_Cleaner_Pens.pdf,-,760088-ND,760088,Multicore,FLUX - NO CLEAN PEN,0,0,"8.02536","0","1400","-","Not For New Designs","Flux - No Clean","Pen, 0.34 oz (9.64g)","12 Months","Date of Manufacture","-","-"
http://www.mgchemicals.com/downloads/appguide/appguide1205.pdf,//media.digikey.com/photos/MG%20Chemicals%20Photos/4140-P.jpg,473-1034-ND,4140-P,MG Chemicals,PEN FLUX REMOVER .34OZ W/TIP,12,0,"9.64000","0","1","-","Obsolete","Flux Remover - Rosin, Non-Rosin, No Clean, Ionic","Pen, 0.34 oz (9.64g)","60 Months","Date of Manufacture","-4°F ~ 104°F (-20°C ~ 40°C)","Due to possible restrictions, a change in ship method may be required."
http://www.mgchemicals.com/downloads/tds/tds-836-p.pdf,//media.digikey.com/Photos/MG%20Chemicals%20Photos/MFG_83x-P.jpg,836-P-ND,836-P,MG Chemicals,FLUX - NO CLEAN PEN 0.34 OZ,5,0,"12.16000","0","1","-","Active","Flux - No Clean","Pen, 0.34 oz (9.64g)","24 Months","Date of Manufacture","65°F ~ 80°F (18°C ~ 27°C)","-"
http://www.mgchemicals.com/downloads/tds/tds-837-p.pdf,//media.digikey.com/Photos/MG%20Chemicals%20Photos/MFG_83x-P.jpg,837-P-ND,837-P,MG Chemicals,FLUX - WATER SOLUBLE PEN 0.34 OZ,0,0,"13.03400","0","5","-","Active","Flux - Organic, Water-Soluble, Liquid","Pen, 0.34 oz (9.64g)","24 Months","Date of Manufacture","65°F ~ 80°F (18°C ~ 27°C)","-"
https://www.chemtronics.com/content/msds/CW8700TDS.pdf,//media.digikey.com/Photos/Chemtronics/MFG_CW8700.jpg,CW8700-ND,CW8700,Chemtronics,FLUX - NO CLEAN SYRINGE 0.12OZ,0,0,"21.38500","0","12","CircuitWorks®","Active","Flux - No Clean, Lead Free, Tacky Solder","Syringe, 0.12 oz (3.5g)","24 Months","Date of Manufacture","-","-"
https://www.chemtronics.com/content/msds/TDS_ES1035.pdf,//media.digikey.com/Photos/Chemtronics/MFG_ES1035.jpg,ES1035-ND,ES1035,Chemtronics,FLUX REMOVER 10 OZ AEROSOL,0,0,"29.44000","0","12","-","Active","Flux Remover - Rosin, Non-Rosin, No Clean, Ionic","Aerosol, 10 oz (283.50g)","60 Months","Date of Manufacture","-","-"
-,-,1124309-ND,1124309,LOCTITE,LOCTITE MF300 1GAL BTL,0,0,"36.22750","0","4","-","Active","Flux - No Clean","Container, 1 gal","24 Months","Date of Manufacture","59°F ~ 86°F (15°C ~ 30°C)","-"
https://tdsna.henkel.com/NA/UT/HNAUTTDS.nsf/web/F87C492E0733944D8525786A006A2463/$File/LOCTITE%20HF%20108%20RWF.pdf,-,1721030-ND,1721030,Multicore,FLUX - LEAD FREE,0,0,"37.65333","0","54","-","Active","Flux - Lead Free","-","12 Months","Date of Manufacture","-","-"
https://tdsna.henkel.com/NA/UT/HNAUTTDS.nsf/web/7DF0428950DB1B6685257674004F9996/$File/TFN7008-EN.pdf,-,1334251-ND,1334251,Multicore,FLUX - NO CLEAN,0,0,"57.22700","0","10","-","Active","Flux - No Clean, Tacky Solder","-","6 Months","Date of Manufacture","-","-"
https://www.techspray.com/content/msds/TS-1520_ENG_TDS.pdf,-,1520-G-ND,1520-G,Techspray,ECO-DFLUXER SMT200,0,0,"88.33000","0","1","ECO-dFluxer™","Active","Flux Remover - No Clean","Container, 1 gal","60 Months","Date of Manufacture","-","-"
https://tdsna.henkel.com/NA/UT/HNAUTTDS.nsf/web/3120ED0D04F7E8BA882571870000DCA4/$File/LOCTITE%20WS%20300.pdf,-,891672-ND,891672,Multicore,FLUX - WATER SOLUBLE LEAD FREE,0,0,"107.02700","0","10","-","Not For New Designs","Flux - Lead Free, Water-Soluble","-","6 Months","Date of Manufacture","-","-"
-,-,1124342-ND,1124342,LOCTITE,LOCTITE MF300 5GAL BOX,0,0,"130.21000","0","1","-","Active","Flux - No Clean","Container, 5 gal","24 Months","Date of Manufacture","59°F ~ 86°F (15°C ~ 30°C)","-"
