Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Form","Shelf Life","Shelf Life Start","Storage/Refrigeration Temperature","Shipping Info"
http://www.chipquik.com/datasheets/SMD29130CC.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/SMD29130CC.jpg,SMD29130CC-ND,SMD29130CC,Chip Quik Inc.,TACK FLUX 30CC W/HANDLE & TIP,186,0,"36.95000","0","1","CHIPQUIK®","Active","Flux - No Clean, Tacky Solder","Syringe, 1.06 oz (30g), 30cc","24 Months","Date of Manufacture","37°F ~ 77°F (3°C ~ 25°C)","-"
https://www.chemtronics.com/content/msds/TDS_ES7200.pdf,//media.digikey.com/Photos/Chemtronics/MFG_ES7208B.jpg,ES7208B-ND,ES7208B,Chemtronics,FLUX-OFF BRUSH CLEAN AEROSOL,112,0,"55.56000","0","1","Flux-Off® CZ","Active","Flux Remover - Rosin, No-Clean, Ionic","Aerosol, 5 oz (141.75g)","60 Months","Date of Manufacture","-","Due to possible restrictions, a change in ship method may be required."
http://www.chipquik.com/datasheets/CQ2LF.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_CQ2LF.JPG,CQ2LF-ND,CQ2LF,Chip Quik Inc.,FLUX - WATER SOLUBLE PEN 0.34 OZ,149,0,"7.95000","0","1","CHIPQUIK®","Active","Flux - Water-Soluble, Lead Free, Liquid","Pen, 0.34 oz (9.64g)","24 Months","Date of Manufacture","37°F ~ 77°F (3°C ~ 25°C)","-"
https://www.kester.com/downloads?Command=Core_Download&EntryId=3921,//media.digikey.com/photos/Kester%20Photos/83-1000-0951.jpg,KE1804-ND,83-1000-0951,Kester Solder,FLUX PEN FORMULA 951 NO CLEAN,186,0,"12.23000","0","1","Flux Pen® 951","Active","Flux - No Clean","Pen, 0.34 oz (9.64g)","12 Months","Date of Manufacture","50°F ~ 77°F (10°C ~ 25°C)","Due to possible restrictions, a change in ship method may be required."
https://www.chemtronics.com/content/msds/TDS_CW8300.pdf,//media.digikey.com/photos/ITW%20Chemtronics%20Photos/CW8300.JPG,CW8300-ND,CW8300,Chemtronics,DISPENSING PEN FLUX .32OZ,212,0,"13.28000","0","1","CircuitWorks®","Active","Flux - Organic, Water-Soluble, Liquid","Pen, 0.32 oz (9g)","24 Months","Date of Manufacture","-","Due to possible restrictions, a change in ship method may be required."
https://www.mgchemicals.com/downloads/tds/tds-835-p.pdf,//media.digikey.com/Photos/MG%20Chemicals%20Photos/MFG_835-P.jpg,473-1033-ND,835-P,MG Chemicals,PEN RA ROSIN FLUX .34OZ W/TIP,163,0,"13.30000","0","1","-","Active","Flux - Rosin Activated (RA)","Pen, 0.34 oz (9.64g)","36 Months","Date of Manufacture","65°F ~ 80°F (18°C ~ 27°C)","Due to possible restrictions, a change in ship method may be required."
"//media.digikey.com/pdf/Data%20Sheets/ITW%20Chemtronics/CW9100,CW9200.pdf",//media.digikey.com/photos/ITW%20Chemtronics%20Photos/CW9100.jpg,CW9100-ND,CW9100,Chemtronics,FLUX REMOVER PEN FOR NO-CLEAN,120,0,"15.11000","0","1","CircuitWorks®","Active","Flux Remover - No Clean","Pen, 0.32 oz (9g)","60 Months","Date of Manufacture","-","Due to possible restrictions, a change in ship method may be required."
https://www.chemtronics.com/content/msds/TDS_CW9400.pdf,//media.digikey.com/photos/ITW%20Chemtronics%20Photos/CW9400.jpg,CW9400-ND,CW9400,Chemtronics,FLUX REMOVING PEN LEAD-FREE,166,0,"15.68000","0","1","CircuitWorks®","Active","Flux Remover - Lead Free","Pen, 0.32 oz (9g)","60 Months","Date of Manufacture","-","Due to possible restrictions, a change in ship method may be required."
https://www.chemtronics.com/content/msds/CW8500TDS.pdf,//media.digikey.com/photos/ITW%20Chemtronics%20Photos/CW8500.JPG,CW8500-ND,CW8500,Chemtronics,NO-CLEAN TACKY FLUX W/SYRINGE,125,0,"22.75000","0","1","CircuitWorks®","Active","Flux - No Clean, Tacky Solder","Syringe, 0.12 oz (3.5g)","24 Months","Date of Manufacture","-","-"
http://www.chipquik.com/datasheets/SMD29175G.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/SMD29175G.JPG,SMD29175G-ND,SMD29175G,Chip Quik Inc.,TACK FLUX 75 GRAM,56,0,"63.95000","0","1","CHIPQUIK®","Active","Flux - No Clean, Tacky Solder","Jar, 2.65 oz (75g)","24 Months","Date of Manufacture","37°F ~ 77°F (3°C ~ 25°C)","-"
http://www.chipquik.com/datasheets/CQNTRM.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_CQNTRM.jpg,CQNTRM-ND,CQNTRM,Chip Quik Inc.,FLUX REMOVER (NON-FLAMMABLE) IN,43,0,"7.95000","0","1","CHIPQUIK®","Active","Flux Remover - Lead Free","Pen, 0.34 oz (9.64g)","24 Months","Date of Manufacture","37°F ~ 77°F (3°C ~ 25°C)","-"
-,//media.digikey.com/photos/MG%20Chemicals%20Photos/MFG_835-100ML.jpg,473-1411-ND,835-100ML,MG Chemicals,LIQUID ROSIN FLUX,37,0,"10.18000","0","1","-","Active","Flux - Rosin Activated (RA)","Bottle, 4.2 oz (119.07g)","60 Months","Date of Manufacture","65°F ~ 80°F (18°C ~ 27°C)","-"
https://www.kester.com/downloads?Command=Core_Download&EntryId=3536,//media.digikey.com/photos/Kester%20Photos/83-1000-0186.jpg,KE1803-ND,83-1000-0186,Kester Solder,FLUX PEN FORMULA 186 RMA,48,0,"12.21000","0","1","Flux Pen® 186","Active","Flux - Rosin Mildly Activated (RMA)","Pen, 0.34 oz (9.64g)","24 Months","Date of Manufacture","50°F ~ 77°F (10°C ~ 25°C)","Due to possible restrictions, a change in ship method may be required."
http://www.chipquik.com/datasheets/SMD291ST8CC.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/SMD291ST8CC.jpg,SMD291ST8CC-ND,SMD291ST8CC,Chip Quik Inc.,TACK FLUX IN 8CC SQUEEZE TUBE,38,0,"12.95000","0","1","CHIPQUIK®","Active","Flux - No Clean, Tacky Solder","Tube, 0.28 oz (8g), 8cc","24 Months","Date of Manufacture","37°F ~ 77°F (3°C ~ 25°C)","-"
"//media.digikey.com/pdf/Data%20Sheets/ITW%20Chemtronics/CW9100,CW9200.pdf",//media.digikey.com/photos/ITW%20Chemtronics%20Photos/CW9200.jpg,CW9200-ND,CW9200,Chemtronics,FLUX REMOVER PEN FOR ROSIN,76,0,"14.50000","0","1","CircuitWorks®","Active","Flux Remover - Rosin Activated (RA)","Pen, 0.28 oz (8g)","60 Months","Date of Manufacture","-","Due to possible restrictions, a change in ship method may be required."
http://www.chipquik.com/datasheets/CQ4LF-1.0.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_CQ4LF-1.0.JPG,CQ4LF-1.0-ND,CQ4LF-1.0,Chip Quik Inc.,LIQUID FLUX NO-CLEAN IN 30ML (1.,22,0,"14.95000","0","1","CHIPQUIK®","Active","Flux - No Clean, Water-Soluble, Liquid","Bottle, 1 oz (28.35g)","24 Months","Date of Manufacture","37°F ~ 77°F (3°C ~ 25°C)","-"
-,//media.digikey.com/photos/MG%20Chemicals%20Photos/MFG_413B-425G.jpg,473-1384-ND,413B-425G,MG Chemicals,HEAVY DUTY FLUX REMOVER,23,0,"20.43000","0","1","-","Active","Flux Remover - Rosin, Non-Rosin, No Clean, Ionic","Aerosol, 16.8 oz (476.27g)","60 Months","Date of Manufacture","-4°F ~ 104°F (-20°C ~ 40°C)","-"
http://www.mgchemicals.com/downloads/appguide/appguide1205.pdf,//media.digikey.com/photos/MG%20Chemicals%20Photos/MFG_4140-1L.jpg,473-1371-ND,4140-1L,MG Chemicals,FLUX REMOVER PC BOARD,14,0,"22.71000","0","1","-","Active","Flux Remover - Rosin, Non-Rosin, No Clean, Ionic","Bottle, 1 qt","60 Months","Date of Manufacture","-4°F ~ 104°F (-20°C ~ 40°C)","-"
http://www.aclstaticide.com/datasheets/8624%20TDS_15.pdf,//media.digikey.com/Photos/ACL%20Staticide%20Photos/MFG_8624.jpg,ST1067-ND,8624,ACL Staticide Inc,FLUX REMOVER CAN 12 OZ,39,0,"24.60000","0","1","-","Active","Flux Remover - Rosin, Non-Rosin, No Clean, Ionic","Aerosol, 12 oz (340.19g)","36 Months","-","Ambient Temperature","Due to possible restrictions, a change in ship method may be required."
https://tdsna.henkel.com/NA/UT/HNAUTTDS.nsf/web/B29DF824D5FB5A03882571870000DBBA/$File/MP200%20RWF-EN.pdf,//media.digikey.com/Photos/Multicore/M00449.jpg,82-144-ND,519430,Multicore,MP200 RWF SOLDER FLUX NO CLEAN,93,0,"30.31000","0","1","MP200","Active","Flux - No Clean, Tacky Solder","Syringe, 0.35 oz (10g), 10cc","6 Months","Date of Manufacture","-","Ships with Cold Pack. To ensure customer satisfaction and product integrity, air shipment is recommended."
https://www.techspray.com/content/msds/TS-1651_ENG_TDS.pdf,//media.digikey.com/Photos/Techspray/MFG_1651-16S.jpg,1873-1105-ND,1651-16S,Techspray,PRECISION V FLUX REMOVER & MAINT,46,0,"38.69000","0","1","Precision-V","Active","Flux Remover - Lead Free","Aerosol, 16 oz (453.59g)","-","-","-","Due to possible restrictions, a change in ship method may be required."
http://www.chipquik.com/datasheets/SMD4300TF30.pdf,//media.digikey.com/photos/Chip%20Quik%20Photos/MFG_SMD4300TF30.jpg,SMD4300TF30-ND,SMD4300TF30,Chip Quik Inc.,TACK FLUX IN 30CC SYRINGE NO-CLE,30,0,"39.95000","0","1","CHIPQUIK®","Active","Flux - No Clean, Lead Free, Tacky Solder","Syringe, 1.06 oz (30g), 30cc","24 Months","Date of Manufacture","37°F ~ 77°F (3°C ~ 25°C)","-"
https://www.chemtronics.com/content/msds/TDS_ES6200.pdf,//media.digikey.com/Photos/Chemtronics/MFG_ES6200.jpg,ES6200-ND,ES6200,Chemtronics,FLUX-OFF VZ AEROSOL 12OZ,66,0,"45.43000","0","1","Flux-Off® VZ","Active","Flux Remover - Rosin, No-Clean, Ionic","Aerosol, 13.53 oz (383.57g)","60 Months","Date of Manufacture","-","Due to possible restrictions, a change in ship method may be required."
http://www.chipquik.com/datasheets/CQ4LF-16.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_CQ4LF-16.JPG,CQ4LF-16-ND,CQ4LF-16,Chip Quik Inc.,LIQUID FLUX NO-CLEAN IN 16OZ BOT,6,0,"57.95000","0","1","CHIPQUIK®","Active","Flux - No Clean, Lead Free","Bottle, 16 oz (453.59g)","24 Months","Date of Manufacture","37°F ~ 77°F (3°C ~ 25°C)","-"
http://www.chipquik.com/datasheets/SMD430075G.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_SMD430075G.JPG,SMD430075G-ND,SMD430075G,Chip Quik Inc.,FLUX - WATER SOLUBLE CAN 2.64 OZ,11,0,"64.95000","0","1","CHIPQUIK®","Active","Flux - No Clean, Water-Soluble","Jar, 2.65 oz (75g)","24 Months","Date of Manufacture","37°F ~ 77°F (3°C ~ 25°C)","-"
http://www.chipquik.com/datasheets/SMD291150G.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/SMD291150G.JPG,SMD291150G-ND,SMD291150G,Chip Quik Inc.,TACK FLUX 150 GRAM,19,0,"103.95000","0","1","CHIPQUIK®","Active","Flux - No Clean, Tacky Solder","Jar, 5.29 oz (150g)","24 Months","Date of Manufacture","37°F ~ 77°F (3°C ~ 25°C)","-"
http://www.chipquik.com/datasheets/CQ4LF-128.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_CQ4LF-128.JPG,CQ4LF-128-ND,CQ4LF-128,Chip Quik Inc.,LIQUID FLUX NO-CLEAN IN 1 GALLON,2,0,"145.95000","0","1","CHIPQUIK®","Active","Flux - No Clean, Lead Free","Jug, 128 oz (3.62kg)","24 Months","Date of Manufacture","37°F ~ 77°F (3°C ~ 25°C)","-"
-,//media.digikey.com/Photos/ACL%20Staticide%20Photos/MFG_8620.jpg,ST1066-ND,8620,ACL Staticide Inc,FLUX REMOVER CAN 12 OZ,11,0,"31.50000","0","1","-","Active","Flux Remover - Rosin, Non-Rosin, No Clean, Ionic","Aerosol, 12 oz (340.19g)","36 Months","-","Ambient Temperature","Due to possible restrictions, a change in ship method may be required."
https://www.chemtronics.com/content/msds/TDS_ES7200.pdf,//media.digikey.com/Photos/Chemtronics/MFG_ES7200.jpg,ES7200-ND,ES7200,Chemtronics,FLUX-OFF CZ AEROSOL 12OZ,76,0,"100.13000","0","1","Flux-Off® CZ","Active","Flux Remover - Rosin, Non-Rosin, No Clean, Ionic","Aerosol, 12 oz (340.19g)","60 Months","Date of Manufacture","-","Due to possible restrictions, a change in ship method may be required."
http://www.chipquik.com/datasheets/SMD4300150G.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_SMD4300150G.JPG,SMD4300150G-ND,SMD4300150G,Chip Quik Inc.,FLUX - WATER SOLUBLE CAN 5.92OZ,2,0,"104.95000","0","1","CHIPQUIK®","Active","Flux - No Clean, Water-Soluble","Jar, 5.29 oz (150g)","24 Months","Date of Manufacture","37°F ~ 77°F (3°C ~ 25°C)","-"
http://www.chipquik.com/datasheets/SMD291NL150G.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_SMD291NL150G.JPG,SMD291NL150G-ND,SMD291NL150G,Chip Quik Inc.,FLUX - NO CLEAN LF CAN 5.29 OZ,3,0,"105.95000","0","1","CHIPQUIK®","Active","Flux - No Clean, Lead Free, Tacky Solder","Jar, 5.29 oz (150g)","24 Months","Date of Manufacture","37°F ~ 77°F (3°C ~ 25°C)","-"
http://www.chipquik.com/datasheets/SMDLT150G.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_SMDLT150G.JPG,SMDLT150G-ND,SMDLT150G,Chip Quik Inc.,FLUX - NO CLEAN LF CAN 5.29 OZ,7,0,"107.95000","0","1","CHIPQUIK®","Active","Flux - No Clean, Lead Free, Tacky Solder","Jar, 5.29 oz (150g)","24 Months","Date of Manufacture","37°F ~ 77°F (3°C ~ 25°C)","-"
-,//media.digikey.com/Photos/OC-White-Co/BON-102A.JPG,1844-1104-ND,BON-102A,O.C. White Co.,PEN FLUX DISP BRUSH TIP 7/PK,8,0,"121.80000","0","1","Bonkote™","Active","Flux - Water-Soluble","Cartridge, 7cc (7 Pack)","-","-","-","-"
http://www.chipquik.com/datasheets/CQ2LF-128.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_CQ2LF-128.JPG,CQ2LF-128-ND,CQ2LF-128,Chip Quik Inc.,LIQUID FLUX WATER-WASHABLE IN 1,4,0,"245.95000","0","1","CHIPQUIK®","Active","Flux - Rosin Activated (RA), Lead Free, Water-Soluble, Liquid","Jug, 128 oz (3.62kg)","24 Months","Date of Manufacture","37°F ~ 77°F (3°C ~ 25°C)","-"
-,-,1893165-ND,1893165,LOCTITE,LOCTITE HF108 RWF EFD 10CC SYRIN,13,0,"28.56000","0","1","-","Active","-","-","-","-","-","-"
https://www.mgchemicals.com/downloads/tds/tds-4140a-p.pdf,//media.digikey.com/Photos/MG%20Chemicals%20Photos/MFG_4140A-P.jpg,473-1267-ND,4140A-P,MG Chemicals,FLUX REMOVER PEN- CARB COMPLIANT,24,0,"9.64000","0","1","-","Active","Flux Remover - Rosin, Non-Rosin, No Clean, Ionic","Pen, 0.34 oz (9.64g)","60 Months","Date of Manufacture","-4°F ~ 104°F (-20°C ~ 40°C)","Due to possible restrictions, a change in ship method may be required."
