Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Tip - Type","Tip - Shape","Height","Width","Length","Diameter","Tip - Chip Size","Temperature Range","For Use With/Related Products"
http://www.weller-toolsus.com/MagentoShare/media/mannuals/ATG-1712%20Weller%20Rework%20Brochure.pdf,//media.digikey.com/Photos/Apex%20Tool%20Photos/0054485199.jpg,T0054485199N-ND,T0054485199N,Apex Tool Group,TIP XNT A CHISEL 1.6MM,233,0,"8.50000","0","1","Weller®, XNT","Active","Rework","Chisel","0.016"" (0.40mm)","0.063"" (1.60mm)","1.102"" (28.00mm)","-","-","-","WP65"
-,//media.digikey.com/photos/Cooper%20Industries%20Photos/0054470499.JPG,T0054470499N-ND,T0054470499N,Apex Tool Group,TIP CHISEL XTB 2.4MM X 0.8MM,454,0,"14.30000","0","1","Weller®, XT","Active","Soldering","Chisel","0.031"" (0.80mm)","0.094"" (2.40mm)","1.417"" (36.00mm)","-","-","-","WP120"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=T0054460399N,//media.digikey.com/photos/Cooper%20Industries%20Photos/0054460399.jpg,T0054460399N-ND,T0054460399N,Apex Tool Group,TIP RT3 CHISEL TIP 1.3MM,303,0,"25.50000","0","1","Weller®, RT","Active","Soldering","Chisel","0.016"" (0.40mm)","0.050"" (1.28mm)","-","-","-","-","WMRP, WMRP-MS, WXMP, WXMP-MS"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=T0054460299N,//media.digikey.com/photos/Cooper%20Industries%20Photos/0054460299.jpg,T0054460299N-ND,T0054460299N,Apex Tool Group,TIP RT2 POINT TIP 0.8MM,208,0,"25.50000","0","1","Weller®, RT","Active","Soldering","Conical","-","-","-","0.031"" (0.80mm) OD","-","-","WMRP, WMRP-MS, WXMP, WXMP-MS"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=T0054460199N,//media.digikey.com/photos/Cooper%20Industries%20Photos/0054460199.jpg,T0054460199N-ND,T0054460199N,Apex Tool Group,TIP RT1 NEEDLE TIP,844,0,"26.00000","0","1","Weller®, WMRP","Active","Soldering","Needle","-","-","-","0.008"" (0.20mm) OD","-","-","WMRP, WMRP-MS, WXMP, WXMP-MS"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=T0054460499N,//media.digikey.com/photos/Cooper%20Industries%20Photos/0054460499.jpg,T0054460499N-ND,T0054460499N,Apex Tool Group,TIP RT4 CHISEL TIP 1.5MM,166,0,"26.00000","0","1","Weller®, RT","Active","Soldering","Chisel","0.016"" (0.40mm)","0.060"" (1.52mm)","-","-","-","-","WMRP, WMRP-MS, WXMP, WXMP-MS"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=T0054461299N,//media.digikey.com/Photos/Apex%20Tool%20Photos/T0054461299.jpg,T0054461299N-ND,T0054461299N,Apex Tool Group,TIP RT1SC MIC CHISL CARTRDG-WMRP,787,0,"38.40000","0","1","Weller®, RT","Active","Soldering","Chisel","0.059"" (1.50mm)","0.016"" (0.40mm)","-","-","-","-","WMRP, WMRP-MS, WXMP, WXMP-MS"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=T0054465299N,//media.digikey.com/Photos/Apex%20Tool%20Photos/0054465299.JPG,T0054465299N-ND,T0054465299N,Apex Tool Group,TIP SET FOR WMRT 0.7 X 0.4MM,219,0,"55.00000","0","1","Weller®, RTW","Active","Tweezer","Chisel","0.016"" (0.40mm)","0.028"" (0.70mm)","-","-","-","-","WMRT, WMRT-MS, WXMT"
-,//media.digikey.com/Photos/Apex%20Tool%20Photos/ETAB.jpg,ETAB-ND,ETAB,Apex Tool Group,TIP SCREWDRIVER 1/16"" BULK,889,0,"3.80000","0","1","Weller®, ET","Active","Soldering","Screwdriver","0.031"" (0.80mm)","0.062"" (1.57mm)","0.625"" (15.88mm)","-","-","-","EC1201, PES50, PES51"
https://media-weller.de/weller/data/ebooks/epaper-Weller_Catalogue_2016-17_EN/index.html,//media.digikey.com/Photos/Apex%20Tool%20Photos/PTS8.JPG,PTS8-ND,PTS8,Apex Tool Group,TIP REPLACEMENT .015"" 800 DEG,547,0,"3.80000","0","1","Weller®, PT","Active","Soldering","Conical","-","-","1.000"" (25.40mm)","0.015"" (0.38mm) OD","-","800°F (427°C)","TC201, TCP"
https://media-weller.de/weller/data/ebooks/epaper-Weller_Catalogue_2016-17_EN/index.html,//media.digikey.com/Photos/Apex%20Tool%20Photos/PTA7.JPG,PTA7-ND,PTA7,Apex Tool Group,TIP REPLACEMENT .062"" 700 DEG,539,0,"3.80000","0","1","Weller®, PT","Active","Soldering","Screwdriver","0.031"" (0.80mm)","0.062"" (1.57mm)","0.625"" (15.88mm)","-","-","700°F (371°C)","TC201, TCP"
https://media-weller.de/weller/data/ebooks/epaper-Weller_Catalogue_2016-17_EN/index.html,//media.digikey.com/Photos/Apex%20Tool%20Photos/PTS7.JPG,PTS7-ND,PTS7,Apex Tool Group,TIP REPLACEMENT .015"" 700 DEG,331,0,"3.80000","0","1","Weller®, PT","Active","Soldering","Conical","-","-","1.000"" (25.40mm)","0.015"" (0.38mm) OD","-","700°F (371°C)","TC201, TCP"
https://media-weller.de/weller/data/ebooks/epaper-Weller_Catalogue_2016-17_EN/index.html,//media.digikey.com/Photos/Apex%20Tool%20Photos/PTA8.JPG,PTA8-ND,PTA8,Apex Tool Group,TIP REPLACEMENT .062"" 800 DEG,312,0,"3.80000","0","1","Weller®, PT","Active","Soldering","Screwdriver","0.031"" (0.80mm)","0.062"" (1.57mm)","0.625"" (15.88mm)","-","-","800°F (427°C)","TC201, TCP"
https://media-weller.de/weller/data/ebooks/epaper-Weller_Catalogue_2016-17_EN/index.html,//media.digikey.com/Photos/Apex%20Tool%20Photos/PTB8.jpg,PTB8-ND,PTB8,Apex Tool Group,TIP SCREWDRIVER 0.093,239,0,"3.80000","0","1","Weller®, PT","Active","Soldering","Screwdriver","0.020"" (0.50mm)","0.094"" (2.40mm)","0.620"" (15.75mm)","-","-","800°F (427°C)","TC201, TCP"
https://media-weller.de/weller/data/ebooks/epaper-Weller_Catalogue_2016-17_EN/index.html,//media.digikey.com/Photos/Apex%20Tool%20Photos/PTP7.jpg,PTP7-ND,PTP7,Apex Tool Group,CONICAL TIP,177,0,"3.80000","0","1","Weller®, PT","Active","Soldering","Conical","-","-","0.620"" (15.75mm)","0.031"" (0.80mm) OD","-","700°F (371°C)","TC201, TCP"
https://media-weller.de/weller/data/ebooks/epaper-Weller_Catalogue_2016-17_EN/index.html,//media.digikey.com/photos/Cooper%20Industries%20Photos/PTK8.JPG,PTK8-ND,PTK8,Apex Tool Group,TIP REPLACEMENT SOLDERING 800 DE,176,0,"3.80000","0","1","Weller®, PT","Active","Soldering","Screwdriver","0.026"" (0.66mm)","0.047"" (1.19mm)","1.000"" (25.40mm)","-","-","800°F (427°C)","TC201, TCP"
-,//media.digikey.com/Photos/Apex%20Tool%20Photos/PTF8.JPG,TPTF8-ND,TPTF8,Apex Tool Group,TIP REPLACEMENT .031"" 800 DEG,169,0,"3.80000","0","1","Weller®, PT","Active","Soldering","Conical","-","-","-","0.031"" (0.80mm) OD","-","800°F (427°C)","TC201, TCP"
https://media-weller.de/weller/data/ebooks/epaper-Weller_Catalogue_2016-17_EN/index.html,//media.digikey.com/Photos/Apex%20Tool%20Photos/ETOB.jpg,ETOB-ND,ETOB,Apex Tool Group,TIP LONG CONICAL 1/32"" BULK,165,0,"3.80000","0","1","Weller®, ET","Active","Soldering","Conical","-","-","1.000"" (25.40mm)","0.031"" (0.80mm) OD","-","-","EC1201, PES50, PES51"
