Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Tip - Type","Tip - Shape","Height","Width","Length","Diameter","Tip - Chip Size","Temperature Range","For Use With/Related Products"
-,//media.digikey.com/photos/Apex%20Tool%20Photos/LTC.JPG,T0054440799N-ND,T0054440799N,Apex Tool Group,TIP CHISEL 0.126 FOR WSP80,682,0,"5.00000","0","1","Weller®, LT","Active","Soldering","-","-","-","-","-","-","-","WP80, WSP80"
-,//media.digikey.com/Photos/Apex%20Tool%20Photos/LTF.jpg,T0054440899N-ND,T0054440899N,Apex Tool Group,TIP SOLDERING LTF 1.2MM A,155,0,"5.00000","0","1","Weller®, LT","Active","Soldering","Chisel","-","0.047"" (1.19mm)","0.492"" (12.50mm)","-","-","-","WP80, WSP80"
-,//media.digikey.com/Photos/Apex%20Tool%20Photos/LTM.JPG,T0054441599N-ND,T0054441599N,Apex Tool Group,.126 X .79 CHISEL TIP FOR WSP80,109,0,"5.00000","0","1","Weller®, LT","Active","Soldering","Chisel","0.047"" (1.19mm)","0.125"" (3.18mm)","0.787"" (20.00mm)","-","-","-","WP80, WSP80"
-,//media.digikey.com/Photos/Apex%20Tool%20Photos/ST4.JPG,TST4-ND,TST4,Apex Tool Group,TIP REPLACEMENT SCREWDRVR .187"",102,0,"5.10000","0","1","Weller®, ST","Active","Soldering","Screwdriver","-","0.187"" (4.75mm)","0.750"" (19.05mm)","-","-","-","SP40L, SP40N, WLC100, WP25, WP40, WP35"
-,//media.digikey.com/Photos/Apex%20Tool%20Photos/LTD.JPG,T0054440999N-ND,T0054440999N,Apex Tool Group,TIP CHISEL 0.181 FOR WSP80,292,0,"5.20000","0","1","Weller®, LT","Active","Soldering","-","-","-","-","-","-","-","WP80, WSP80"
https://media-weller.de/weller/data/ebooks/epaper-Weller_Catalogue_2016-17_EN/index.html,//media.digikey.com/Photos/Apex%20Tool%20Photos/ST3.JPG,TST3-ND,TST3,Apex Tool Group,SOLDERING TIP,124,0,"5.20000","0","1","Weller®, ST","Active","Soldering","Screwdriver","-","-","-","-","-","-","SP40L, SP40N, WLC100, WP25, WP40, WP35"
//media.digikey.com/pdf/Data%20Sheets/American%20Hakko%20Products/T18-D16.tif,//media.digikey.com/photos/Hakko/T18-D16.JPG,1691-1174-ND,T18-D16,"American Hakko Products, Inc.","TIP,1.6D,FX-8801/907/900M/913",497,0,"5.67000","0","1","T18","Active","Soldering","Chisel","0.020"" (0.50mm)","0.063"" (1.60mm)","0.571"" (14.50mm)","-","-","-","900M, 907, 913, FX-600, FX-8801"
//media.digikey.com/pdf/Data%20Sheets/American%20Hakko%20Products/T18-D24.tif,//media.digikey.com/photos/Hakko/T18-D24.JPG,1691-1175-ND,T18-D24,"American Hakko Products, Inc.","TIP,2.4D,FX-8801/907/900M/913",360,0,"5.67000","0","1","T18","Active","Soldering","Chisel","0.020"" (0.50mm)","0.094"" (2.40mm)","0.571"" (14.50mm)","-","-","-","900M, 907, 913, FX-600, FX-8801"
-,//media.digikey.com/Photos/Apex%20Tool%20Photos/MT1.jpg,MT1AT-ND,MT1,Apex Tool Group,WELLER SOLDER TIP 4MM QTY 2,174,0,"5.70000","0","1","Weller®, MT","Active","Soldering","Conical","-","-","-","0.031"" (0.80mm) OD","-","700°F (371°C)","SP23, SP25"
//media.digikey.com/pdf/Data%20Sheets/American%20Hakko%20Products/Product_European.pdf,//media.digikey.com/Photos/Hakko/T18-BL.JPG,1691-1166-ND,T18-BL,"American Hakko Products, Inc.","TIP,LB,FX-8801/907/900M/913",547,0,"6.47000","0","1","T18","Active","Soldering","Conical","-","-","0.886"" (22.50mm)","0.008"" (0.20mm) OD","-","-","Hakko 703, 900, 907, 913, 928, 936, 937, FX-888"
-,//media.digikey.com/Photos/Apex%20Tool%20Photos/T0054442899.jpg,T0054442899N-ND,T0054442899N,Apex Tool Group,TIP SOLDERING LT4X 1.2MM A,153,0,"6.90000","0","1","Weller®, LT","Active","Soldering","Chisel, Bent","-","0.047"" (1.19mm)","0.677"" (17.20mm)","-","-","-","WP80, WSP80"
-,//media.digikey.com/Photos/Apex%20Tool%20Photos/LT1LX.jpg,T0054442499N-ND,T0054442499N,Apex Tool Group,TIP SOLDERING LT1LX 0.2MM A,137,0,"6.90000","0","1","Weller®, LT","Active","Soldering","Conical, Bent","-","-","1.000"" (25.40mm)","0.008"" (0.20mm) OD","-","-","WP80, WSP80"
-,//media.digikey.com/Photos/Apex%20Tool%20Photos/LTAX.jpg,T0054442799N-ND,T0054442799N,Apex Tool Group,TIP SOLDERING LTAX 1.6MM A,106,0,"6.90000","0","1","Weller®, LT","Active","Soldering","Chisel","-","0.063"" (1.60mm)","0.492"" (12.50mm)","-","-","-","WP80, WSP80"
http://www.weller-toolsus.com/MagentoShare/media/mannuals/ATG-1712%20Weller%20Rework%20Brochure.pdf,//media.digikey.com/Photos/Apex%20Tool%20Photos/0054485099.jpg,T0054485099N-ND,T0054485099N,Apex Tool Group,TIP XNT 1 MICRO 0.5MM,255,0,"8.50000","0","1","Weller®, XNT","Active","Rework","Conical","-","-","1.063"" (27.00mm)","0.020"" (0.50mm) OD","-","-","WP65"
http://www.weller-toolsus.com/MagentoShare/media/mannuals/ATG-1712%20Weller%20Rework%20Brochure.pdf,//media.digikey.com/Photos/Apex%20Tool%20Photos/0054485299.jpg,T0054485299N-ND,T0054485299N,Apex Tool Group,TIP XNT 1S MICRO 0.20MM,146,0,"8.50000","0","1","Weller®, XNT","Active","Rework","Round","-","-","1.122"" (28.50mm)","0.008"" (0.20mm) OD","-","-","WP65"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=T0054442699,//media.digikey.com/Photos/Apex%20Tool%20Photos/T0054442699.jpg,T0054442699-ND,T0054442699,Apex Tool Group,TIP SOLDER ROUND BENT .30 X 19.2,120,0,"9.20000","0","1","Weller®, LT","Active","Soldering","Round 30°","0.016"" (0.40mm)","-","0.866"" (22.00mm)","-","-","-","Weller® FE 75, LR 21, WP 80, WSP 80"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=T0054485999,//media.digikey.com/Photos/Apex%20Tool%20Photos/0054485999.JPG,T0054485999-ND,T0054485999,Apex Tool Group,TIP XNT H CHISEL 0.8MM,102,0,"9.40000","0","1","Weller®, XNT","Not For New Designs","Rework","Chisel","0.016"" (0.40mm)","0.031"" (0.80mm)","1.102"" (28.00mm)","-","-","-","WP65"
-,//media.digikey.com/Photos/Apex%20Tool%20Photos/LT1X.JPG,T0054442599N-ND,T0054442599N,Apex Tool Group,TIP BENT ROUND 0.016 FOR WSP80,172,0,"9.90000","0","1","Weller®, LT","Active","Soldering","Round","-","-","0.370"" (9.40mm)","0.016"" (0.40mm) OD","-","-","WP80, WSP80"
//media.digikey.com/pdf/Data%20Sheets/American%20Hakko%20Products/Product_European.pdf,//media.digikey.com/Photos/Hakko/T15-D12.jpg,1691-1129-ND,T15-D12,"American Hakko Products, Inc.","TIP,CHISEL,1.2 X 10MM,FM-2027",733,0,"10.47000","0","1","T15","Active","Soldering","Chisel","0.020"" (0.50mm)","0.047"" (1.19mm)","0.394"" (10.00mm)","-","-","-","FM-203, FM-204, FM-205, FM-206, FX-951"
//media.digikey.com/pdf/Data%20Sheets/American%20Hakko%20Products/Product_European.pdf,//media.digikey.com/Photos/Hakko/T15-D24.JPG,1691-1132-ND,T15-D24,"American Hakko Products, Inc.","TIP,CHISEL,2.4 X 10MM,FM-2027",511,0,"10.47000","0","1","T15","Active","Soldering","Chisel","0.020"" (0.50mm)","0.094"" (2.40mm)","0.394"" (10.00mm)","-","-","-","FM-203, FM-204, FM-205, FM-206, FX-951"
//media.digikey.com/pdf/Data%20Sheets/American%20Hakko%20Products/Product_European.pdf,//media.digikey.com/Photos/Hakko/T15-D08.JPG,1691-1128-ND,T15-D08,"American Hakko Products, Inc.","TIP,CHISEL,0.8 X 9.5MM,FM-2027",411,0,"10.47000","0","1","T15","Active","Soldering","Chisel","0.020"" (0.50mm)","0.031"" (0.80mm)","0.374"" (9.50mm)","-","-","-","FM-203, FM-204, FM-205, FM-206, FX-951"
//media.digikey.com/pdf/Data%20Sheets/American%20Hakko%20Products/Product_European.pdf,//media.digikey.com/Photos/Hakko/T15-D16.JPG,1691-1130-ND,T15-D16,"American Hakko Products, Inc.","TIP,CHISEL,1.6 X 10MM,FM-2027",367,0,"10.47000","0","1","T15","Active","Soldering","Chisel","0.020"" (0.50mm)","0.063"" (1.60mm)","0.394"" (10.00mm)","-","-","-","FM-203, FM-204, FM-205, FM-206, FX-951"
//media.digikey.com/pdf/Data%20Sheets/American%20Hakko%20Products/Product_European.pdf,//media.digikey.com/Photos/Hakko/T15-D4.jpg,1691-1134-ND,T15-D4,"American Hakko Products, Inc.","TIP,CHISEL,4 X 7.5MM,FM-2027",334,0,"10.47000","0","1","T15","Active","Soldering","Chisel","0.020"" (0.50mm)","0.157"" (4.00mm)","0.335"" (8.50mm)","-","-","-","FM-203, FM-204, FM-205, FM-206, FX-951"
//media.digikey.com/pdf/Data%20Sheets/American%20Hakko%20Products/Product_European.pdf,//media.digikey.com/Photos/Hakko/T15-D52.JPG,1691-1135-ND,T15-D52,"American Hakko Products, Inc.","TIP,CHISEL,5.2 X 8MM,FM-2027",109,0,"10.47000","0","1","T15","Active","Soldering","Chisel","0.047"" (1.19mm)","0.205"" (5.20mm)","0.315"" (8.00mm)","-","-","-","FM-203, FM-204, FM-205, FM-206, FX-951"
http://www.weller-toolsus.com/MagentoShare/media/mannuals/ATG-1712%20Weller%20Rework%20Brochure.pdf,//media.digikey.com/Photos/Apex%20Tool%20Photos/NT1S.JPG,NT1SN-ND,NT1SN,Apex Tool Group,TIP SOLDER MICRO DIM .01"" .333""L,199,0,"11.90000","0","1","Weller®, NT","Active","Soldering","Chisel","-","-","0.333"" (8.45mm)","0.010"" (0.25mm) OD","-","-","WMP"
http://www.weller-toolsus.com/MagentoShare/media/mannuals/ATG-1712%20Weller%20Rework%20Brochure.pdf,//media.digikey.com/Photos/Apex%20Tool%20Photos/NTA.JPG,NTAN-ND,NTAN,Apex Tool Group,TIP SOLDER CHISEL DIM .063X.331"",160,0,"11.90000","0","1","Weller®, NT","Active","Soldering","Chisel","0.016"" (0.40mm)","0.063"" (1.60mm)","0.331"" (8.40mm)","-","-","-","WMP"
http://www.weller-toolsus.com/MagentoShare/media/mannuals/ATG-1712%20Weller%20Rework%20Brochure.pdf,//media.digikey.com/Photos/Apex%20Tool%20Photos/NT1.JPG,NT1N-ND,NT1N,Apex Tool Group,TIP SOLDER MICRO DIM .01"" .291""L,158,0,"11.90000","0","1","Weller®, NT","Active","Soldering","Chisel","-","-","0.291"" (7.40mm)","0.010"" (0.25mm) OD","-","-","WMP"
-,//media.digikey.com/photos/Apex%20Tool%20Photos/0054470699.JPG,T0054470699N-ND,T0054470699N,Apex Tool Group,TIP CHISEL XTD 0.8MM FOR WP120,198,0,"14.30000","0","1","Weller®, XT","Active","Soldering","Chisel","0.031"" (0.80mm)","0.181"" (4.60mm)","1.358"" (34.50mm)","-","-","-","WP120"
-,//media.digikey.com/Photos/Apex%20Tool%20Photos/0054471399.JPG,T0054471399N-ND,T0054471399N,Apex Tool Group,TIP CHISEL XTH .016/.031 X 1.437,193,0,"14.30000","0","1","Weller®, XT","Active","Soldering","Conical","-","-","1.437"" (36.50mm)","0.031"" (0.80mm) OD","-","-","WP120"
-,//media.digikey.com/photos/Cooper%20Industries%20Photos/0054470199.JPG,T0054470199N-ND,T0054470199N,Apex Tool Group,TIP CHISEL XTAL 1.6MM X 1.0MM,113,0,"14.30000","0","1","Weller®, XT","Active","Soldering","Chisel","0.039"" (1.00mm)","0.063"" (1.60mm)","1.555"" (39.50mm)","-","-","-","WP120"
http://www.weller-toolsus.com/MagentoShare/media/mannuals/ATG-1712%20Weller%20Rework%20Brochure.pdf,//media.digikey.com/photos/Cooper%20Industries%20Photos/DX112.jpg,T0051314299N-ND,T0051314299N,Apex Tool Group,DESOLDER TIP FOR DXV80 2.3X1.0MM,208,0,"15.50000","0","1","Weller®, DX","Active","Desoldering","Tiplet","-","-","0.325"" (8.26mm)","0.039"" (1.00mm) ID, 0.091"" (2.30mm) OD","-","-","DS80, DSV80"
-,//media.digikey.com/Photos/Apex%20Tool%20Photos/EPH101.jpg,EPH101-ND,EPH101,Apex Tool Group,TIP REPLACEMENT MICROPOINT .015"",163,0,"15.50000","0","1","Weller®, EPH","Active","Soldering","Conical","-","-","0.437"" (11.10mm)","0.016"" (0.40mm) OD","-","-","EC3001, EC1301, EC1302A, EC1302B"
http://www.weller-toolsus.com/MagentoShare/media/mannuals/ATG-1712%20Weller%20Rework%20Brochure.pdf,//media.digikey.com/photos/Cooper%20Industries%20Photos/DX114.jpg,T0051314499N-ND,T0051314499N,Apex Tool Group,DESOLDER TIP FOR DXV80 3.3X1.8MM,137,0,"15.50000","0","1","Weller®, DX","Active","Desoldering","Tiplet","-","-","0.325"" (8.26mm)","0.071"" (1.80mm) ID, 0.130"" (3.30mm) OD","-","-","DS80, DSV80"
http://www.weller-toolsus.com/MagentoShare/media/mannuals/ATG-1712%20Weller%20Rework%20Brochure.pdf,//media.digikey.com/Photos/Apex%20Tool%20Photos/0054486299.jpg,T0054486299N-ND,T0054486299N,Apex Tool Group,TIP XNT 1SC CHISEL 0.4X0.15MM,134,0,"16.40000","0","1","Weller®, XNT","Active","Rework","Chisel","0.006"" (0.15mm)","0.016"" (0.40mm)","1.063"" (27.00mm)","-","-","-","WP65"
//media.digikey.com/pdf/Data%20Sheets/American%20Hakko%20Products/Product_European.pdf,//media.digikey.com/Photos/Hakko/T15-DL32.JPG,1691-1136-ND,T15-DL32,"American Hakko Products, Inc.","TIP,CHISEL,3.2 X 10MM,FM-2027",345,0,"16.77000","0","1","T15","Active","Soldering","Chisel","0.020"" (0.50mm)","0.126"" (3.20mm)","0.394"" (10.00mm)","-","-","-","FM-203, FM-204, FM-205, FM-206, FX-951"
//media.digikey.com/pdf/Data%20Sheets/American%20Hakko%20Products/Product_European.pdf,//media.digikey.com/Photos/Hakko/T15-J02.JPG,1691-1142-ND,T15-J02,"American Hakko Products, Inc.","TIP,BENT,R0.2MM/30 X 3.5MM X 12M",254,0,"16.77000","0","1","T15","Active","Soldering","Bent 30°","-","-","-","0.008"" (0.20mm) OD","-","-","FM-202, FM-203, FM-204, FM-206, FP-101, FP-102, FX-951"
//media.digikey.com/pdf/Data%20Sheets/American%20Hakko%20Products/Product_European.pdf,//media.digikey.com/Photos/Hakko/T15-ILS.JPG,1691-1141-ND,T15-ILS,"American Hakko Products, Inc.","TIP,CONICAL,SLIM,R0.1 X 13.5MM,F",236,0,"16.77000","0","1","T15","Active","Soldering","Conical","-","0.006"" (0.15mm)","0.531"" (13.50mm)","-","-","-","FM-203, FM-204, FM-205, FM-206, FX-951"
//media.digikey.com/pdf/Data%20Sheets/American%20Hakko%20Products/Product_European.pdf,//media.digikey.com/Photos/Hakko/T15-BLL.jpg,1691-1123-ND,T15-BLL,"American Hakko Products, Inc.","TIP,CONICAL,R0.2 X 15MM, FM-2027",158,0,"16.77000","0","1","T15","Active","Soldering","Conical","-","-","0.591"" (15.00mm)","0.008"" (0.20mm) OD","-","-","FM-203, FM-204, FM-205, FM-206, FX-951"
//media.digikey.com/pdf/Data%20Sheets/American%20Hakko%20Products/Product_European.pdf,//media.digikey.com/Photos/Hakko/N61-10.jpg,1691-1217-ND,N61-10,"American Hakko Products, Inc.","NOZZLE,1.6MM,FR-4101/4102",124,0,"18.57000","0","1","N61","Active","Desoldering","Nozzle","-","-","-","0.063"" (1.60mm) ID, 0.118"" (3.00mm) OD","-","-","FR-410, FR-4101, FR-4102"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=T0054460599N,//media.digikey.com/Photos/Apex%20Tool%20Photos/0054460599.JPG,T0054460599N-ND,T0054460599N,Apex Tool Group,TIP RT5 CHISEL BENT 30 DEG 0.8MM,135,0,"25.50000","0","1","Weller®, RT","Active","Soldering","Chisel","0.016"" (0.40mm)","0.031"" (0.80mm)","-","-","-","-","WMRP, WMRP-MS, WXMP, WXMP-MS"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=T0054460899N,//media.digikey.com/Photos/Apex%20Tool%20Photos/T0054460899.jpg,T0054460899N-ND,T0054460899N,Apex Tool Group,TIP RT8 CHISEL CARTRIDGE - WMRP,135,0,"25.50000","0","1","Weller®, RT","Active","Soldering","Chisel","0.016"" (0.40mm)","0.087"" (2.20mm)","-","-","-","-","WMRP, WMRP-MS, WXMP, WXMP-MS"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=T0054460799N,//media.digikey.com/photos/Cooper%20Industries%20Photos/0054460799.JPG,T0054460799N-ND,T0054460799N,Apex Tool Group,TIP RT7 KNIFE TIP 45 DEG 2.2MM,113,0,"26.70000","0","1","Weller®, RT","Active","Soldering","Knife","-","0.087"" (2.20mm)","-","-","-","-","WMRP, WMRP-MS, WXMP, WXMP-MS"
//media.digikey.com/pdf/Data%20Sheets/American%20Hakko%20Products/Product_European.pdf,//media.digikey.com/Photos/Hakko/N3-10.JPG,1691-1092-ND,N3-10,"American Hakko Products, Inc.","NOZZLE,1.0MM,FM-2024",144,0,"49.97000","0","1","N3","Active","Desoldering","Nozzle","-","-","0.421"" (10.70mm)","0.039"" (1.00mm) ID, 0.087"" (2.20mm) OD","-","-","FM-2024, FM-205"
-,//media.digikey.com/photos/Cooper%20Industries%20Photos/MT302.jpg,MT302-ND,MT302,Apex Tool Group,TIP CONICAL .015DIA X.200 FOR MT,94,0,"83.00000","0","1","Weller®, MT","Active","Soldering","Conical","-","-","0.200"" (5.08mm)","0.015"" (0.38mm) OD","-","-","MT1500"
//media.digikey.com/pdf/Data%20Sheets/American%20Hakko%20Products/Product_European.pdf,//media.digikey.com/Photos/Hakko/T15-1401.JPG,1691-1108-ND,T15-1401,"American Hakko Products, Inc.","TIP,BLADE,10.4MM LONG,FM-2027",142,0,"87.17000","0","1","T15","Active","Soldering","Spatula","0.079"" (2.00mm)","0.409"" (10.40mm)","0.283"" (7.20mm)","-","-","-","FM-203, FM-204, FM-205, FM-206, FX-951"
//media.digikey.com/pdf/Data%20Sheets/American%20Hakko%20Products/T18-D32.tif,//media.digikey.com/photos/Hakko/T18-D32.JPG,1691-1176-ND,T18-D32,"American Hakko Products, Inc.","TIP,3.2D,FX-8801/907/900M/913",255,0,"5.67000","0","1","T18","Active","Soldering","Chisel","0.020"" (0.50mm)","0.126"" (3.20mm)","0.571"" (14.50mm)","-","-","-","900M, 907, 913, FX-600, FX-8801"
//media.digikey.com/pdf/Data%20Sheets/American%20Hakko%20Products/T18-D12.tif,//media.digikey.com/Photos/Hakko/T18-D12.JPG,1691-1173-ND,T18-D12,"American Hakko Products, Inc.","TIP,1.2D,FX-8801/907/900M/913",142,0,"5.67000","0","1","T18","Active","Soldering","Chisel","0.028"" (0.70mm)","0.047"" (1.19mm)","0.571"" (14.50mm)","-","-","-","900M, 907, 913, FX-600, FX-8801"
//media.digikey.com/pdf/Data%20Sheets/American%20Hakko%20Products/Product_European.pdf,//media.digikey.com/Photos/Hakko/T18-B.JPG,1691-1165-ND,T18-B,"American Hakko Products, Inc.","TIP,B,FX-8801/907/900M/913",140,0,"5.67000","0","1","T18","Active","Soldering","Conical","-","-","0.571"" (14.50mm)","0.020"" (0.50mm) OD","-","-","Hakko 703, 900, 907, 913, 928, 936, 937, FX-888"
//media.digikey.com/pdf/Data%20Sheets/American%20Hakko%20Products/T18-DL12.tif,//media.digikey.com/Photos/Hakko/T18-DL12.JPG,1691-1177-ND,T18-DL12,"American Hakko Products, Inc.","TIP,1.2LD,FX-8801/907/900M/913",171,0,"6.47000","0","1","T18","Active","Soldering","Chisel","0.028"" (0.70mm)","0.047"" (1.19mm)","0.886"" (22.50mm)","-","-","-","900M, 907, 913, FX-600, FX-8801"
https://s3-us-west-2.amazonaws.com/hakko-production-images/staging/full/ProductSpec/sT18-D08.gif,//media.digikey.com/Photos/Hakko/T18-D08.JPG,1691-1172-ND,T18-D08,"American Hakko Products, Inc.","TIP,0.8D,FX-8801/907/900M/913",260,0,"6.57000","0","1","T18","Active","Soldering","Chisel","0.024"" (0.60mm)","0.031"" (0.80mm)","0.571"" (14.50mm)","-","-","-","900M, 907, 913, FX-600, FX-8801"
//media.digikey.com/pdf/Data%20Sheets/American%20Hakko%20Products/T18-S9.tif,//media.digikey.com/Photos/Hakko/T18-S9.JPG,1691-1187-ND,T18-S9,"American Hakko Products, Inc.","TIP,3/64IN. D,FX-8801/907/900M/9",252,0,"6.57000","0","1","T18","Active","Soldering","Chisel","0.016"" (0.40mm)","0.047"" (1.19mm)","0.610"" (15.50mm)","-","-","-","900M, 907, 913, FX-600, FX-8801"
https://media-weller.de/weller/data/ebooks/epaper-Weller_Catalogue_2016-17_EN/index.html,//media.digikey.com/Photos/Apex%20Tool%20Photos/0054445199.jpg,T0054445199N-ND,T0054445199N,Apex Tool Group,TIP REPLACEMENT CHISEL 6.7MM,148,0,"9.20000","0","1","Weller®, LHT","Active","Soldering","Chisel","0.079"" (2.00mm)","0.197"" (5.00mm)","-","-","-","-","WSP150"
//media.digikey.com/pdf/Data%20Sheets/American%20Hakko%20Products/T18-K.tif,//media.digikey.com/Photos/Hakko/T18-K.JPG,1691-1182-ND,T18-K,"American Hakko Products, Inc.","TIP,K,FX-8801/907/900M/913",194,0,"9.67000","0","1","T18","Active","Soldering","Knife 45°","0.079"" (2.00mm)","0.197"" (5.00mm)","0.551"" (14.00mm)","-","-","-","900M, 907, 913, FX-600, FX-8801"
//media.digikey.com/pdf/Data%20Sheets/American%20Hakko%20Products/Product_European.pdf,//media.digikey.com/Photos/Hakko/T15-DL52.JPG,1691-1138-ND,T15-DL52,"American Hakko Products, Inc.","TIP,CHISEL,5.2 X 12MM,FM-2027",306,0,"16.77000","0","1","T15","Active","Soldering","Chisel","0.047"" (1.19mm)","0.205"" (5.20mm)","0.512"" (13.00mm)","-","-","-","FM-203, FM-204, FM-205, FM-206, FX-951"
http://www.weller-toolsus.com/MagentoShare/media/mannuals/Soldering_Tip_Brochure.pdf,-,T0054486699N-ND,T0054486699N,Apex Tool Group,XNT L SOLDERING TIP 2.0MM,180,0,"8.70000","0","1","*","Active","-","-","-","-","-","-","-","-","-"
https://www.hakkousa.com/files/index/download/id/18340/,-,1691-1314-ND,T35-02KU,"American Hakko Products, Inc.",MICRO KNIFE TIP FOR USE WITH FX-,150,0,"41.47000","0","1","T35","Active","Soldering","Knife","0.080"" (2.03mm)","0.060"" (1.50mm)","0.250"" (6.35mm)","-","-","752°F (400°C)","FX-1002"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=T0054465199N,//media.digikey.com/photos/Cooper%20Industries%20Photos/0054465199.JPG,T0054465199N-ND,T0054465199N,Apex Tool Group,TIP SET FOR WMRT 0.4MM,94,0,"55.00000","0","1","Weller®, RTW","Active","Tweezer","Conical","-","-","-","0.008"" (0.20mm) OD","-","-","WMRT, WMRT-MS, WXMT"
https://media-weller.de/weller/data/ebooks/epaper-Weller_Catalogue_2016-17_EN/index.html,//media.digikey.com/Photos/Apex%20Tool%20Photos/PTC7.JPG,PTC7-ND,PTC7,Apex Tool Group,TIP REPLACEMENT .125"" 700 DEG,79,0,"3.80000","0","1","Weller®, PT","Active","Soldering","Screwdriver","0.027"" (0.69mm)","0.125"" (3.18mm)","0.625"" (15.88mm)","-","-","700°F (371°C)","TC201, TCP"
https://media-weller.de/weller/data/ebooks/epaper-Weller_Catalogue_2016-17_EN/index.html,//media.digikey.com/Photos/Apex%20Tool%20Photos/PTJ8.jpg,PTJ8-ND,PTJ8,Apex Tool Group,TIP REPLACEMENT 800 DEGREE,53,0,"3.80000","0","1","Weller®, PT","Active","Soldering","Conical, Flat","0.033"" (0.84mm)","0.047"" (1.19mm)","0.625"" (15.88mm)","-","-","800°F (427°C)","TC201, TCP"
https://media-weller.de/weller/data/ebooks/epaper-Weller_Catalogue_2016-17_EN/index.html,//media.digikey.com/Photos/Apex%20Tool%20Photos/PTO7.jpg,PTO7-ND,PTO7,Apex Tool Group,TIP LONG CONICAL 1/32"" 700F,63,0,"3.90000","0","1","Weller®, PT","Active","Soldering","Conical","0.031"" (0.80mm)","0.044"" (1.12mm)","1.000"" (25.40mm)","-","-","700°F (371°C)","TC201, TCP"
-,//media.digikey.com/Photos/Apex%20Tool%20Photos/LTAS.jpg,T0054440499N-ND,T0054440499N,Apex Tool Group,TIP SOLDERING LTAS 1.6MM A,31,0,"5.00000","0","1","Weller®, LT","Active","Soldering","Chisel","-","0.063"" (1.60mm)","-","0.063"" (1.60mm)","-","-","WP80, WSP80"
-,//media.digikey.com/Photos/Apex%20Tool%20Photos/MT2.jpg,MT2AT-ND,MT2,Apex Tool Group,MT2 CRD SCREWDRIVER TIP QTY 2,37,0,"5.70000","0","1","Weller®, MT","Active","Soldering","Chisel","-","0.157"" (4.00mm)","-","-","-","700°F (371°C)","SP23, SP25"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=T0054441499,//media.digikey.com/Photos/Apex%20Tool%20Photos/TLTL.jpg,T0054441499-ND,T0054441499,Apex Tool Group,TIP SOLDERING LTL 2.0MM A,41,0,"5.80000","0","1","*","Active","-","-","-","-","-","-","-","-","-"
https://media-weller.de/weller/data/ebooks/epaper-Weller_Catalogue_2016-17_EN/index.html,//media.digikey.com/Photos/Apex%20Tool%20Photos/MP131.jpg,MP131-ND,MP131,Apex Tool Group,TIP CONICAL 1/64"" FOR WM120,56,0,"8.00000","0","1","Weller®, MP","Active","Soldering","Conical","-","-","0.437"" (11.10mm)","0.015"" (0.38mm) OD","-","800°F (427°C)","WM120"
http://www.weller-toolsus.com/MagentoShare/media/mannuals/ATG-1712%20Weller%20Rework%20Brochure.pdf,//media.digikey.com/Photos/Apex%20Tool%20Photos/0054485699.JPG,T0054485699N-ND,T0054485699N,Apex Tool Group,TIP XNT 6 CHISEL 1.6MM,87,0,"8.50000","0","1","Weller®, XNT","Not For New Designs","Rework","Chisel","0.016"" (0.40mm)","0.063"" (1.60mm)","1.161"" (29.50mm)","-","-","-","WP65"
http://www.weller-toolsus.com/MagentoShare/media/mannuals/ATG-1712%20Weller%20Rework%20Brochure.pdf,//media.digikey.com/Photos/Apex%20Tool%20Photos/0054485599.JPG,T0054485599N-ND,T0054485599N,Apex Tool Group,TIP XNT 4 CHISEL 1.2MM,78,0,"8.50000","0","1","Weller®, XNT","Active","Rework","Sloped 45°","0.047"" (1.19mm)","-","-","-","-","-","WP65"
http://www.weller-toolsus.com/MagentoShare/media/mannuals/ATG-1712%20Weller%20Rework%20Brochure.pdf,//media.digikey.com/Photos/Apex%20Tool%20Photos/0054485799.JPG,T0054485799N-ND,T0054485799N,Apex Tool Group,TIP XNT B CHISEL 2.4MM,77,0,"8.50000","0","1","Weller®, XNT","Active","Rework","Chisel","0.031"" (0.80mm)","0.094"" (2.40mm)","1.063"" (27.00mm)","-","-","-","WP65"
http://www.weller-toolsus.com/MagentoShare/media/mannuals/ATG-1712%20Weller%20Rework%20Brochure.pdf,//media.digikey.com/Photos/Apex%20Tool%20Photos/0054485899.jpg,T0054485899N-ND,T0054485899N,Apex Tool Group,TIP XNT C CHISEL 3.2MM,63,0,"8.50000","0","1","Weller®, XNT","Active","Rework","Chisel","0.031"" (0.80mm)","0.125"" (3.18mm)","1.063"" (27.00mm)","-","-","-","WP65"
