Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Size","For Use With/Related Products","Specifications"
-,-,A1042AH-ND,A1042,"American Hakko Products, Inc.","SPONGE,CLEANING,631/936/937/C114",0,0,"3.57000","0","1","-","Active","-","-","-","-"
-,-,A1386AH-ND,A1386,"American Hakko Products, Inc.","SPONGE,CLEANING,950,C1313",0,0,"3.57000","0","1","-","Active","-","-","-","-"
-,-,A1559AH-ND,A1559,"American Hakko Products, Inc.","SPONGE,CLEANING,FH-800",0,0,"4.17000","0","1","-","Active","-","-","-","-"
-,-,A1561AH-ND,A1561,"American Hakko Products, Inc.","WIRE,CLEANING,FH-800",0,0,"4.17000","0","1","-","Active","-","-","-","-"
-,-,599-029/P-ND,599-029/P,"American Hakko Products, Inc.","WIRE,CLEANING,FH200-83/05/01,633",0,0,"4.47000","0","1","-","Active","-","-","-","-"
-,-,B3474-ND,B3474,"American Hakko Products, Inc.","CLEANER,RUBBER,FH-800",0,0,"5.27000","0","1","-","Active","-","-","-","-"
-,-,599B/P-ND,599B/P,"American Hakko Products, Inc.","CLEANER,TIP,599B,GLD",0,0,"9.47000","0","1","-","Active","-","-","-","-"
-,-,FS100-01/P-ND,FS100-01/P,"American Hakko Products, Inc.","PASTE,10 GRAM,FT-700,FS-100,GLD",0,0,"10.47000","0","1","-","Active","-","-","-","-"
-,-,FT710-04-ND,FT710-04,"American Hakko Products, Inc.","CLEANER,TIP,W/RECEPTACLE A & B,F",0,0,"177.77000","0","1","-","Active","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Easy%20Braid%20PDFs/Esay%20Braid%20Catalog.pdf,//media.digikey.com/photos/Easy%20Braid%20Photos/S1227-O.jpg,EB1001-ND,S1227-O-T,MENDA/EasyBraid,SLDR SPNG 2.7X1.2"" CTR HOLE 1PK,0,0,"Obsolete","0","10","Solder Soakers™","Obsolete","Sponge","2.70"" L x 1.20"" W (68.6mm x 30.5mm)","Soldering Irons, Workstands","Single Center Hole"
-,//media.digikey.com/photos/Cooper%20Industries%20Photos/0051382499.jpg,0051382499-ND,0051382499,Apex Tool Group,SOLDER SCOUR PAD MTL BRSS WL 2PK,0,0,"Obsolete","0","1","Weller®","Obsolete","Wire Scouring Pad","-","-","Metal Brass Wool"
-,//media.digikey.com/Photos/Easy%20Braid%20Photos/EBBC-10.jpg,EB1239-ND,EBBC-10,MENDA/EasyBraid,SOLDER SCOURPAD MTL BRSS WL 10PK,0,0,"Discontinued at Digi-Key","0","1","EB","Discontinued at Digi-Key","Wire Scouring Pad","-","-","Metal Brass Wool"
-,-,S1227-O-M-ND,S1227-O-M,MENDA/EasyBraid,SLDR SPNG 2.7X1.2"" CTR HOL 1000P,0,0,"Obsolete","0","1000","Solder Soakers™","Obsolete","Sponge","2.70"" L x 1.20"" W (68.6mm x 30.5mm)","Soldering Irons, Workstands","Single Center Hole"
-,-,S2026-S-M-ND,S2026-S-M,MENDA/EasyBraid,SLDR SPONGE 2.6X2"" SLITS 1000PK,0,0,"Obsolete","0","1000","Solder Soakers™","Obsolete","Sponge","2.60"" L x 2.00"" W (66.0mm x 50.8mm)","Soldering Irons, Workstands","Multiple Slits"
-,//media.digikey.com/Photos/Easy%20Braid%20Photos/S2235-O-M.jpg,S2235-O-M-ND,S2235-O-M,MENDA/EasyBraid,SLDR SPNG 3.5X2.2"" CTR HOL 1000P,0,0,"Obsolete","0","1000","Solder Soakers™","Obsolete","Sponge","3.50"" L x 2.20"" W (88.9mm x 55.9mm)","Soldering Irons, Workstands","Single Center Hole"
-,-,S2626-O-M-ND,S2626-O-M,MENDA/EasyBraid,SLDR SPNG 2.6X2.6"" CTR HOL 1000P,0,0,"Obsolete","0","1000","Solder Soakers™","Obsolete","Sponge","2.60"" L x 2.60"" W (66.0mm x 66.0mm)","Soldering Irons, Workstands","Single Center Hole"
-,-,S3030R-M-ND,S3030R-O-M,MENDA/EasyBraid,SLDR SPNG 3"" DIA CTR HOL 1000PK,0,0,"Obsolete","0","1000","Solder Soakers™","Obsolete","Sponge","3.00"" Dia (76.2mm)","Soldering Irons, Workstands","Single Center Hole"
-,-,S4017-O-M-ND,S4017-O-M,MENDA/EasyBraid,SLDR SPNG 4X1.7"" CNTRHOLE 1000PK,0,0,"Obsolete","0","1000","Solder Soakers™","Obsolete","Sponge","4.00"" L x 1.70"" W (101.6mm x 43.1mm)","Soldering Irons, Workstands","Single Center Hole"
-,//media.digikey.com/Photos/Easy%20Braid%20Photos/EB-TC-2.jpg,EB1348-ND,EB-TC-2,MENDA/EasyBraid,SOLDER TIP TINNER (ACTIVATOR),0,0,"Discontinued at Digi-Key","0","1","-","Discontinued at Digi-Key","Tip Tinner (Activator)","-","-","-"
-,-,S2325-O-T-ND,S2325-O-T,MENDA/EasyBraid,SLDR SPNG 2.5X2.3"" CTR HOL 10PK,0,0,"Obsolete","0","100","Solder Soakers™","Obsolete","Sponge","2.50"" L x 2.30"" W (63.5mm x 58.4mm)","Soldering Irons, Workstands","Single Center Hole"
//media.digikey.com/pdf/Data%20Sheets/Easy%20Braid%20PDFs/EDS-KIT.pdf,-,EDS-CP-1-ND,EDS-CP-1,MENDA/EasyBraid,SLDR SCOURPAD W/CHAMBR LINER 5PK,0,0,"Discontinued at Digi-Key","0","1","-","Discontinued at Digi-Key","Wire Scouring Pad","-","ESD-KIT","Chamber Liner Included"
-,-,EDS-FW-1-ND,EDS-FW-1,MENDA/EasyBraid,SOLDER SCOURING PAD,0,0,"Discontinued at Digi-Key","0","1","-","Discontinued at Digi-Key","Wire Scouring Pad","-","-","-"
-,-,SPG-10-ND,SPG-10,MENDA/EasyBraid,SLDR SPNG 3.2X2.1"" CTR HOLE 10PK,0,0,"Discontinued at Digi-Key","0","1","-","Discontinued at Digi-Key","Sponge","3.20"" L x 2.10"" W (81.2mm x 53.3mm)","Soldering Irons, Workstands","Single Center Hole"
//media.digikey.com/pdf/Data%20Sheets/ITW%20Chemtronics/Product_Catalog_App_Guide.pdf,//media.digikey.com/Photos/Chemtronics/MFG_CS-33.jpg,CS-33-ND,CS-33,Techspray,SLDR SPNG 4.49X2.76"" PLAIN 10PK,0,0,"Obsolete","0","10","Plato®","Obsolete","Sponge","4.49"" L x 2.76"" W (114.0mm x 70.0mm)","Soldering Irons, Workstands","No Holes"
//media.digikey.com/pdf/Data%20Sheets/ITW%20Chemtronics/Product_Catalog_App_Guide.pdf,//media.digikey.com/Photos/Chemtronics/MFG_CS-40.jpg,CS-40-ND,CS-40,Techspray,SOLDER SPONGE CNTR HOLE 10PK,0,0,"Obsolete","0","10","Plato®","Obsolete","Sponge","-","Soldering Irons, Workstands","Single Center Hole"
https://www.techspray.com/Content/Images/uploaded/Documents/PLATO%20170S%20Brochure.pdf,//media.digikey.com/Photos/Chemtronics/MFG_CS-44M.jpg,CS-44M-ND,CS-44M,Techspray,SOLDER SPONGE 2.72X2.72"" SC 10PK,0,0,"Obsolete","0","10","Plato®","Obsolete","Sponge","2.72"" L x 2.72"" W (69.0mm x 69.0mm)","Soldering Irons, Workstands","Swiss Cheese Style"
//media.digikey.com/pdf/Data%20Sheets/ITW%20Chemtronics/Product_Catalog_App_Guide.pdf,//media.digikey.com/Photos/Chemtronics/MFG_CS-888S.jpg,CS-888S-ND,CS-888S,Techspray,SOLDER SPONGE,0,0,"Obsolete","0","1","Plato®","Obsolete","Sponge","-","-","-"
-,-,5738-ND,5738,Kester Solder,DISC TINNING OIL,0,0,"Obsolete","0","4","-","Obsolete","Tip Cleaner","-","-","-"
-,//media.digikey.com/Photos/Seeed%20Technology%20Ltd/MFG_114990039.jpg,114990039-ND,114990039,"Seeed Technology Co., Ltd",IRON CLEANER,0,0,"Obsolete","0","8","-","Obsolete","-","-","-","-"
