Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Size","For Use With/Related Products","Specifications"
http://documents.easybraidco.com/PDF/Solder-Sponge-Center-Hole.pdf,//media.digikey.com/Photos/Menda-EasyBraid/MFG_S2222-O.jpg,EB1572-ND,S2222-O-T,MENDA/EasyBraid,SLDR SPNG 2.2X2.2"" CTR HOLE,48,0,"2.01000","0","1","Solder Soakers™","Active","Sponge","2.20"" L x 2.20"" W (55.8mm x 55.8mm)","Soldering Irons, Workstands","Single Center Hole"
http://documents.easybraidco.com/PDF/Solder-Sponge-Slits.pdf,//media.digikey.com/photos/Easy%20Braid%20Photos/S2026-S.jpg,EB1003-ND,S2026-S-T,MENDA/EasyBraid,SOLDER SPONGE 2.6X2"" SLITS,977,0,"2.05000","0","1","Solder Soakers™","Active","Sponge","2.60"" L x 2.00"" W (66.0mm x 50.8mm)","Soldering Irons, Workstands","Multiple Slits"
http://documents.easybraidco.com/PDF/Solder-Sponge-Plain.pdf,//media.digikey.com/Photos/Menda-EasyBraid/MFG_S3020-P.jpg,EB1574-ND,S3020-P-T,MENDA/EasyBraid,SOLDER SPONGE 3X2"" PLAIN 1/PC,54,0,"2.16000","0","1","Solder Soakers™","Active","Sponge","3.00"" L x 2.00"" W (76.2mm x 50.8mm)","Soldering Irons, Workstands","No Holes"
http://documents.easybraidco.com/PDF/Solder-Sponge-Center-Hole.pdf,//media.digikey.com/photos/Easy%20Braid%20Photos/S2235-O.jpg,EB1004-ND,S2235-O-T,MENDA/EasyBraid,SLDR SPNG 3.5X2.2"" CTR HOLE 1PK,82,0,"2.39000","0","1","Solder Soakers™","Active","Sponge","3.50"" L x 2.20"" W (88.9mm x 55.9mm)","Soldering Irons, Workstands","Single Center Hole"
https://www.techspray.com/Content/Images/uploaded/Documents/PLATO%20170S%20Brochure.pdf,//media.digikey.com/Photos/Chemtronics/MFG_CS-47.jpg,CS-47-ND,CS-47,Techspray,SLDR SPNG 3.19X2.09"" CTR HOL,69,0,"2.44000","0","1","Plato®","Active","Sponge","3.19"" L x 2.09"" W (81.0mm x 53.0mm)","Soldering Irons, Workstands","Single Center Hole"
https://www.techspray.com/Content/Images/uploaded/Documents/PLATO%20170S%20Brochure.pdf,//media.digikey.com/Photos/Chemtronics/MFG_CS-36.jpg,CS-36-ND,CS-36,Techspray,SLDR SPNG 3.5X2.24"" CTR HOL,48,0,"3.26000","0","1","Plato®","Active","Sponge","3.50"" L x 2.24"" W (89.0mm x 57.0mm)","Soldering Irons, Workstands","Single Center Hole"
//media.digikey.com/pdf/Data%20Sheets/MG%20Chemicals%20PDFs/4910-28G.pdf,//media.digikey.com/Photos/MG%20Chemicals%20Photos/4910-28G.jpg,473-1099-ND,4910-28G,MG Chemicals,SOLDER TIP TINNER (ACTIVATOR)1PC,34,0,"12.68000","0","1","-","Active","Tip Tinner (Activator)","-","-","-"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=WPB1,//media.digikey.com/photos/Cooper%20Industries%20Photos/WPB1.JPG,WPB1-ND,WPB1,Apex Tool Group,SOLDER POLISHING BAR 5X1.25"",75,0,"14.40000","0","1","Weller®","Active","Polishing Bar","5.00"" L x 1.25"" W (127.0mm x 31.8mm)","Soldering Irons, Workstands","-"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=T0051512599,//media.digikey.com/Photos/Apex%20Tool%20Photos/0051512599.jpg,T0051512599-ND,T0051512599,Apex Tool Group,SOLDER SCOUR PAD MTL BRSS WL 2PK,29,0,"16.10000","0","1","Weller®","Active","Wire Scouring Pad","-","Soldering Irons, Workstands","Metal Brass Wool"
http://www.weller-toolsus.com/MagentoShare/media/mannuals/ATG-1712%20Weller%20Rework%20Brochure.pdf,//media.digikey.com/photos/Cooper%20Industries%20Photos/0051512499.jpg,T0051512499-ND,T0051512499,Apex Tool Group,SOLDER SCOUR PAD MTL BRSS WL 2PK,30,0,"21.80000","0","1","Weller®","Active","Wire Scouring Pad","-","Soldering Irons, Workstands","Metal Brass Wool"
