Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","For Use With/Related Products","Includes"
https://media-weller.de/weller/data/ebooks/epaper-Weller_Catalogue_2016-17_EN/index.html,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_KDS816.jpg,KDS816-ND,KDS816,Apex Tool Group,SYRINGE HOLDER STAND,0,0,"31.30000","0","1","-","Active","Syringe","KDS808, KDS834 and KDS824 Series Shot Meters","-"
https://media-weller.de/weller/data/ebooks/epaper-Weller_Catalogue_2016-17_EN/index.html,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_9800.jpg,9800AT-ND,9800,Apex Tool Group,SOLDERING IRON HOLDER MICRO,0,0,"32.50000","0","1","-","Active","Iron","Micro-Size Soldering Irons","Sponge"
-,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_PH1301ESD.jpg,PH1301ESD-ND,PH1301ESD,Apex Tool Group,MINI IRON HOLDER ESD SAFE,0,0,"39.50000","0","1","-","Active","Iron","Weller® EC1302A, WM120","Sponge"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=T0051504299N,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_T0051504299.jpg,T0051504299N-ND,T0051504299N,Apex Tool Group,AK 51 SUPPORT FOR WTA 50,0,0,"52.00000","0","1","-","Active","Tweezer","WTA 50 Tweezers","Sponge"
-,-,T0058757898N-ND,T0058757898N,Apex Tool Group,HOLDER RECLINED FOR HAP 3,0,0,"65.00000","0","1","-","Active","-","-","-"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=T0051515399N,//media.digikey.com/Photos/Cooper%20Industries%20Photos/MFG_T0051515399.jpg,T0051515399N-ND,T0051515399N,Apex Tool Group,HOLDER & SPONGE WDH40-DESLD IRON,1,0,"89.00000","0","1","Weller®","Active","Iron, Desoldering","DXV80","Sponge"
-,-,T0051517799-ND,T0051517799,Apex Tool Group,WSR 203 SAFETY REST FOR WMRT,0,0,"95.00000","0","1","Weller®","Active","Tweezer","WMRT","Sponge and Brass Cleaning Pad"
-,-,T0051517999-ND,T0051517999,Apex Tool Group,WSR 205 SAFETY REST FOR WMRP,0,0,"96.00000","0","1","Weller®","Active","Iron","WMRP","Sponge and Brass Cleaning Pad"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=T0051516299N,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_T0051516x99.jpg,T0051516299N-ND,T0051516299N,Apex Tool Group,HOLDER STOP&GO W/SPONGE WHD20T,0,0,"103.00000","0","1","Weller®","Active","Iron","WMP","Sponge"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=T0051515499N,-,T0051515499N-ND,T0051515499N,Apex Tool Group,STAND SS STORE NOZZLE WRK REWORK,0,0,"104.00000","0","1","Weller®","Active","Rework","WRK Rework Kit","-"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=T0051517299N,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_T0051517299.jpg,T0051517299N-ND,T0051517299N,Apex Tool Group,WDH 70 SAFETY REST FOR WXDP 120,0,0,"117.00000","0","1","-","Active","Iron","Weller® WXDP120, DSX120","-"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=T0051515899N,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_0051515899.jpg,T0051515899N-ND,T0051515899N,Apex Tool Group,SAFETY REST WDH31 WP200 & WXP200,0,0,"119.00000","0","1","Weller®, WDH31","Active","Iron","WP200, WXP200 Pencils","Brass Cleaning Pad"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=T0051517199N,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_T0051517199.jpg,T0051517199N-ND,T0051517199N,Apex Tool Group,WDH 51 SAFETY REST FOR WXMP,0,0,"123.00000","0","1","-","Active","Iron","WXMP","Brass Cleaning Pad"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=T0051516172N,-,T0051516172N-ND,T0051516172N,Apex Tool Group,WDH 10T OPTO STOP/GO SUPPORT,0,0,"162.00000","0","1","-","Active","-","-","-"
-,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_T0051504599.jpg,T0051504599N-ND,T0051504599N,Apex Tool Group,AK 10 SUPPORT ANTISTATIC,0,0,"177.00000","0","1","-","Not For New Designs","Iron","-","-"
-,-,603-022-ND,603-022,"American Hakko Products, Inc.","HOLDER,HEAD,IRON,603",0,0,"3.47000","0","1","-","Active","-","-","-"
-,-,602-ND,602,"American Hakko Products, Inc.","HOLDER,IRON,602",0,0,"8.77000","0","1","-","Active","-","-","-"
-,-,B1469-ND,B1469,"American Hakko Products, Inc.","HOLDER,SPRING,900S",0,0,"9.57000","0","1","-","Active","-","-","-"
-,-,B3251-ND,B3251,"American Hakko Products, Inc.","BASE,IRON HOLDER,W/RUBBER FOOT,F",0,0,"10.27000","0","1","-","Active","-","-","-"
-,-,606-022-ND,606-022,"American Hakko Products, Inc.","HOLDER,HEAD,IRON,606",0,0,"11.57000","0","1","-","Active","-","-","-"
