Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Abrasive Material","Abrasive Grade","Abrasive Grit","Micron Size","Color","Width","Length","Diameter","Applications"
http://multimedia.3m.com/mws/media/686656O/3mtm-industrial-products-for-welding-catalog.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_surface%20conditioning%203-4in.jpg,3M160208-ND,61500141793,3M,SURFACE CONDITION DISC TR 3"",150,0,"3.11000","0","1","*","Active","Disc","-","-","-","-","-","-","-","-","-"
http://multimedia.3m.com/mws/media/276100O/3mtm-lapping-film-aluminum-oxide.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_30MIC-3M266X-TP-SHEET-8.5X11%5E%5E.jpg,3M158837-ND,30MIC 3M266X TP SHEET 8.5X11"",3M,LAPPING FILM ALUM OXIDE 11""X8.5"",129,0,"3.11000","0","1","266X","Active","Lapping Film","Aluminum Oxide","-","-","30µ","Green","8.50"" (215.90mm)","11.00"" (279.40mm)","-","Fiber Optic Connector Polishing"
http://multimedia.3m.com/mws/media/686656O/3mtm-industrial-products-for-welding-catalog.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_61500141785.jpg,3M160207-ND,61500141785,3M,SURFACE CONDITION DISC TR 3"",125,0,"3.11000","0","1","*","Active","Disc","-","-","-","-","-","-","-","-","-"
http://multimedia.3m.com/mws/media/686656O/3mtm-industrial-products-for-welding-catalog.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_surface%20conditioning%203-4in.jpg,3M160209-ND,61500141801,3M,SURFACE CONDITION DISC TR 3"",125,0,"3.11000","0","1","*","Active","Disc","-","-","-","-","-","-","-","-","-"
http://multimedia.3m.com/mws/media/686656O/3mtm-industrial-products-for-welding-catalog.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_clean%20and%20finish%20disc%20olive.jpg,3M160266-ND,61500153301,3M,CLEAN & FINISH DISC 5""XNH 1=1PC,210,0,"3.12000","0","1","Scotch-Brite™","Active","Disc","-","-","-","-","-","-","-","-","-"
http://multimedia.3m.com/mws/media/686656O/3mtm-industrial-products-for-welding-catalog.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_production%20clean%20finish%20disc%20red.jpg,3M160300-ND,61500189412,3M,PRODUCTION CLEAN&FINISH DISC 5"",150,0,"3.18000","0","1","*","Active","Disc","-","-","-","-","-","-","-","-","-"
http://multimedia.3m.com/mws/media/686656O/3mtm-industrial-products-for-welding-catalog.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_cut%20and%20polish%20unitized%20wheel.jpg,3M159807-ND,61500035045,3M,CUT&POLISH UNITIZED WHEEL 5A FIN,118,0,"3.22000","0","1","*","Active","Unitized Wheel","-","-","-","-","-","-","-","-","-"
http://multimedia.3m.com/mws/media/686656O/3mtm-industrial-products-for-welding-catalog.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_surface%20conditioning%20disc%20gray.jpg,3M160210-ND,61500141819,3M,SURFACE CONDITION DISC TR 3"",200,0,"3.39000","0","1","*","Active","Disc","-","-","-","-","-","-","-","-","-"
-,//media.digikey.com/Photos/3M%20Photos/MFG_7485.JPG,3M158254-ND,07485,3M,SCOTCH-BRITE ROLOC SURFACE 1=1PC,275,0,"3.47000","0","1","*","Active","Disc","-","-","-","-","-","-","-","-","-"
http://multimedia.3m.com/mws/media/686656O/3mtm-industrial-products-for-welding-catalog.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_61500094026.jpg,3M160171-ND,61500137700,3M,HI STRNGTH DISC 6X1/2"" A VFN,200,0,"3.59000","0","1","*","Active","Disc","-","-","-","-","-","-","-","-","-"
http://multimedia.3m.com/mws/media/686656O/3mtm-industrial-products-for-welding-catalog.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_surface%20conditioning%20disc%20brown.jpg,3M160212-ND,61500141835,3M,SE SURFACE CONDITION DISC TR 3"",200,0,"3.62000","0","1","*","Active","Disc","-","-","-","-","-","-","-","-","-"
http://multimedia.3m.com/mws/media/686656O/3mtm-industrial-products-for-welding-catalog.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_surface%20conditioning%20disc%204-5in%20red.jpg,3M160021-ND,61500121217,3M,SURFACE DISC 4-1/2""XNH A MED,150,0,"3.79000","0","1","*","Active","Disc","-","-","-","-","-","-","-","-","-"
http://multimedia.3m.com/mws/media/686656O/3mtm-industrial-products-for-welding-catalog.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_6150012xxxx.jpg,3M159996-ND,61500120482,3M,HVYDUTYHANDPAD 7440B 6X9"" 1=1PC,160,0,"3.97000","0","1","*","Active","Hand Pad","-","-","-","-","-","-","-","-","-"
http://multimedia.3m.com/mws/media/686656O/3mtm-industrial-products-for-welding-catalog.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_surface%20conditioning%20disc%204-5in%20brown.jpg,3M160022-ND,61500121225,3M,SURFACE DISC 4-1/2""XNH A CRS,150,0,"4.30000","0","1","*","Active","Disc","-","-","-","-","-","-","-","-","-"
http://multimedia.3m.com/mws/media/686656O/3mtm-industrial-products-for-welding-catalog.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_surface%20conditioning%20disc%20no%20hole.jpg,3M160342-ND,61500193299,3M,SL SURFACE CONDITION DISC TR 4"",102,0,"4.42000","0","1","*","Active","Disc","-","-","-","-","-","-","-","-","-"
http://multimedia.3m.com/mws/media/686656O/3mtm-industrial-products-for-welding-catalog.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_surface%20conditioning%20disc%204-5in%20red.jpg,3M160018-ND,61500121183,3M,SURFACE DISC 5""XNH A MED,150,0,"4.52000","0","1","*","Active","Disc","-","-","-","-","-","-","-","-","-"
-,//media.digikey.com/Photos/3M%20Photos/MFG_61500094026.jpg,3M159790-ND,61500026069,3M,HI STRNGTH DISC 4X1/4"" A MED,122,0,"4.68000","0","1","*","Active","Disc","-","-","-","-","-","-","-","-","-"
http://multimedia.3m.com/mws/media/248230O/3mtm-lapping-film-865x-for-final-polishing-of-fiber-optic-conn.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_3M863XW-DISC-5%5E%5E.jpg,3M157725-ND,3M863XW DISC 5"",3M,LAPPING FILM SILICON DIOXIDE 5"",258,0,"4.80000","0","1","863XW","Active","Lapping Film","Silicon Dioxide","-","-","-","-","-","-","5.00"" (127.00mm)","Fiber Optic Connector Polishing"
http://multimedia.3m.com/mws/media/686656O/3mtm-industrial-products-for-welding-catalog.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_surface%20conditioning%20disc%204-5in%20brown.jpg,3M160011-ND,61500121118,3M,SURFACE DISC 5""XNH A CRS,150,0,"4.90000","0","1","*","Active","Disc","-","-","-","-","-","-","-","-","-"
http://multimedia.3m.com/mws/media/629883O/3m-scotch-brite-surface-conditioning-wheels.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_61500099272.jpg,3M159949-ND,61500099272,3M,EXL UNITIZED WHEEL TR 2"" 6A MED,120,0,"5.95000","0","1","Scotch-Brite™","Active","Unitized Wheel","-","-","-","-","-","-","-","-","-"
http://multimedia.3m.com/mws/media/276103O/3mtm-polishing-film-291x-298x-491x-498x-591x-598x.pdf,//media.digikey.com/Photos/3M%20Photos/598X.jpg,3M159718-ND,598X,3M,POLISHING FILM CERIUM OXIDE,217,0,"6.00000","0","1","-","Active","Polishing Film","Cerium Oxide","-","-","-","-","-","-","-","Fiber Optic Connector Polishing"
http://multimedia.3m.com/mws/media/686656O/3mtm-industrial-products-for-welding-catalog.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_61500292xxx-red.jpg,3M160364-ND,61500292604,3M,LT GRIND&BLEND DISC 4-1/2"" A CRS,149,0,"6.01000","0","1","Scotch-Brite™","Active","Disc","-","-","-","-","-","-","-","-","-"
http://multimedia.3m.com/mws/media/686656O/3mtm-industrial-products-for-welding-catalog.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_61500175783.jpg,3M160276-ND,61500175791,3M,SR RDIAL BRSTLEDISC 3X3/8"" 1=1PC,120,0,"6.57000","0","1","*","Active","Radial Bristle Disc","-","-","-","-","-","-","-","-","-"
http://multimedia.3m.com/mws/media/686656O/3mtm-industrial-products-for-welding-catalog.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_2in%20bristle%20disc.jpg,3M160152-ND,61500129830,3M,BRISTLE DISC 1X5/8"" 50,160,0,"6.66000","0","1","*","Active","Bristle Disc","-","-","-","-","-","-","-","-","-"
http://multimedia.3m.com/mws/media/686656O/3mtm-industrial-products-for-welding-catalog.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_615001%20Disc.jpg,3M160153-ND,61500129913,3M,BRISTLE DISC 1X5/8"" 1=1PC,160,0,"6.66000","0","1","*","Active","Bristle Disc","-","-","-","-","-","-","-","-","-"
http://multimedia.3m.com/mws/media/686656O/3mtm-industrial-products-for-welding-catalog.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_61500094026.jpg,3M160177-ND,61500137767,3M,HI STRNGTH DISC 6X1/2"" A MED,200,0,"6.78000","0","1","*","Active","Disc","-","-","-","-","-","-","-","-","-"
http://multimedia.3m.com/mws/media/248230O/3mtm-lapping-film-865x-for-final-polishing-of-fiber-optic-conn.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_3M865X-DISC-5%5E%5E.jpg,3M162496-ND,3M865X DISC 5"",3M,LAPPING FILM SILICON DIOXIDE 5"",488,0,"6.83000","0","1","865X","Active","Lapping Film","Silicon Dioxide","-","-","-","-","-","-","5.00"" (127.00mm)","Fiber Optic Connector Polishing"
http://multimedia.3m.com/mws/media/248230O/3mtm-lapping-film-865x-for-final-polishing-of-fiber-optic-conn.pdf,//media.digikey.com/Photos/3M%20Photos/3M863XW%20LF%206X6%20IN.JPG,3M10811-ND,3M863XW LF 6X6 IN,3M,LAPP FILM SILICON DIOXIDE 6""X6"",470,0,"6.88000","0","1","863XW","Active","Lapping Film","Silicon Dioxide","-","-","-","-","6.00"" (152.40mm)","6.00"" (152.40mm)","-","Fiber Optic Connector Polishing"
http://multimedia.3m.com/mws/media/276100O/3mtm-lapping-film-aluminum-oxide.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_12MIC-3M266X-TP-DISC-12%5E%5E.jpg,3M162797-ND,12MIC 3M266X TP DISC 12"",3M,LAPPING FILM ALUMINUM OXIDE 12"",800,0,"7.04000","0","1","266X","Active","Lapping Film","Aluminum Oxide","-","-","12µ","Yellow","-","-","12.00"" (304.80mm)","Fiber Optic Connector Polishing"
-,//media.digikey.com/Photos/3M%20Photos/MFG_DP-UR-2%5EX1%5E4%5E-NH-8C-CRS+.jpg,3M161154-ND,DP-UR-2""X1/4""-NH 8C CRS+,3M,SCOTCH-BRITE ROLOC DEBURR AND FI,120,0,"7.40000","0","1","*","Active","Unitized Wheel","-","-","-","-","-","-","-","-","-"
http://multimedia.3m.com/mws/media/926868O/3mtm-industrial-products-for-metalworking-catalog.pdf,-,3M160651-ND,82238,3M,GREEN CORPS CUT-OFF WHEEL,150,0,"8.41000","0","1","-","Active","Cut-Off Wheel","-","-","-","-","-","-","-","-","-"
-,//media.digikey.com/Photos/3M%20Photos/MFG_1994.jpg,3M158118-ND,01994,3M,GREEN CORPS CUT-OFF WHEEL,200,0,"9.82000","0","1","-","Active","Cut-Off Wheel","-","-","-","-","-","-","-","-","-"
http://multimedia.3m.com/mws/media/245184O/3mtm-diamond-lapping-film-600x-series.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_1MIC-3M661X-SHEET-3X8%5E%5E.jpg,3M157637-ND,1MIC 3M661X SHEET 3X8"",3M,LAPPING FILM DIAMOND 8""X 3"",242,0,"10.17000","0","1","661X","Active","Lapping Film","Diamond","-","-","1µ","Lavender","3.00"" (76.20mm)","8.00"" (203.20mm)","-","Fiber Optic Connector Polishing"
-,//media.digikey.com/Photos/3M%20Photos/MFG_7745.jpg,3M160575-ND,7745,3M,CLEAR BLEND PREP SCUFF 1=1ROLL,120,0,"30.03000","0","1","-","Active","-","-","-","-","-","-","-","-","-","-"
http://multimedia.3m.com/mws/media/686656O/3mtm-industrial-products-for-welding-catalog.pdf,//media.digikey.com/Photos/3M%20Photos/radial%20bristle%20discs%20grade%2050.jpg,3M160242-ND,61500151560,3M,RADIAL BRISTLE DISC 1X1/8"" 1=1PK,130,0,"36.18000","0","1","Scotch-Brite™","Active","Radial Bristle Disc","-","-","-","-","-","-","-","-","-"
http://multimedia.3m.com/mws/media/686656O/3mtm-industrial-products-for-welding-catalog.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_radial-bristle-discs-grade-220.jpg,3M160219-ND,61500147998,3M,RADIAL BRISTLE DISC 3/4"" 1=48PC,196,0,"57.36000","0","1","*","Active","Radial Bristle Disc","-","-","-","-","-","-","-","-","-"
-,//media.digikey.com/Photos/3M%20Photos/5931ES.jpg,3M162603-ND,5931ES,3M,EMERY CLOTH SANDPAPER 5931ES 3-2,50,0,"3.04000","0","1","-","Active","Emery Cloth","-","-","-","-","-","-","-","-","-"
http://multimedia.3m.com/mws/media/276100O/3mtm-lapping-film-aluminum-oxide.pdf,//media.digikey.com/Photos/3M%20Photos/2MIC%203M254X%20LF%20AO%202MIL%20TR3%205%20IN.JPG,3M10791-ND,2MIC 3M254X LF AO 2MIL TR3 5 IN,3M,LAPPING FILM ALUMINUM OXIDE 5"",512,0,"0.87000","0","1","254X","Active","Lapping Film","Aluminum Oxide","-","-","2µ","Teal","-","-","5.00"" (127.00mm)","Fiber Optic Connector Polishing"
http://multimedia.3m.com/mws/media/276100O/3mtm-lapping-film-aluminum-oxide.pdf,//media.digikey.com/Photos/3M%20Photos/30MIC%203M261X%20LF%20AO%203MIL%205%20IN.JPG,3M10794-ND,30MIC 3M261X LF AO 3MIL 5 IN,3M,LAPPING FILM ALUMINUM OXIDE 5"",410,0,"0.97000","0","1","261X","Active","Lapping Film","Aluminum Oxide","-","-","30µ","Green","-","-","5.00"" (127.00mm)","Fiber Optic Connector Polishing"
http://multimedia.3m.com/mws/media/276100O/3mtm-lapping-film-aluminum-oxide.pdf,//media.digikey.com/Photos/3M%20Photos/5MIC%203M261X%20LF%20AO%203MIL%205%20IN.JPG,3M10795-ND,5MIC 3M261X LF AO 3MIL 5 IN,3M,LAPPING FILM ALUMINUM OXIDE 5"",151,0,"0.97000","0","1","261X","Active","Lapping Film","Aluminum Oxide","-","-","5µ","Brown","-","-","5.00"" (127.00mm)","Fiber Optic Connector Polishing"
http://multimedia.3m.com/mws/media/276100O/3mtm-lapping-film-aluminum-oxide.pdf,//media.digikey.com/Photos/3M%20Photos/12MIC%203M266X%20LF%20AO%203MIL%20TP%204IN.JPG,3M10799-ND,12MIC 3M266X LF AO 3MIL TP 4IN,3M,LAPPING FILM ALUMINUM OXIDE 4"",140,0,"0.99000","0","1","266X","Active","Lapping Film","Aluminum Oxide","-","-","12µ","Yellow","-","-","4.00"" (101.60mm)","Fiber Optic Connector Polishing"
http://multimedia.3m.com/mws/media/276100O/3mtm-lapping-film-aluminum-oxide.pdf,//media.digikey.com/Photos/3M%20Photos/1MIC%203M262X%20LF%20AO%203MIL%20TF%205%20IN.JPG,3M10796-ND,1MIC 3M262X LF AO 3MIL TF 5 IN,3M,LAPPING FILM ALUMINUM OXIDE 5"",706,0,"1.01000","0","1","262X","Active","Lapping Film","Aluminum Oxide","-","-","1µ","Green","-","-","5.00"" (127.00mm)","Fiber Optic Connector Polishing"
http://multimedia.3m.com/mws/media/276100O/3mtm-lapping-film-aluminum-oxide.pdf,//media.digikey.com/Photos/3M%20Photos/3MIC%203M261X%20LF%20AO%203MIL%205%20IN.JPG,3M10793-ND,3MIC 3M261X LF AO 3MIL 5 IN,3M,LAPPING FILM ALUMINUM OXIDE 5"",110,0,"1.03000","0","1","261X","Active","Lapping Film","Aluminum Oxide","-","-","3µ","Pink","-","-","5.00"" (127.00mm)","Fiber Optic Connector Polishing"
http://multimedia.3m.com/mws/media/276100O/3mtm-lapping-film-aluminum-oxide.pdf,//media.digikey.com/Photos/3M%20Photos/.05MIC%203M263X%20LF%20AO%203MIL%20TP%205%20IN.JPG,3M10797-ND,.05MIC 3M263X LF AO 3MIL TP 5 IN,3M,LAPPING FILM ALUMINUM OXIDE 5"",460,0,"1.04000","0","1","263X","Active","Lapping Film","Aluminum Oxide","-","-","0.05µ","White","-","-","5.00"" (127.00mm)","Fiber Optic Connector Polishing"
https://multimedia.3m.com/mws/media/276102O/3mtm-lapping-film-461x-462x-463x-466x-468x-468xy-468xw.pdf,//media.digikey.com/Photos/3M%20Photos/15MIC%203M461X%20LF%20SC%203MIL%20TC%205%20IN.JPG,3M10803-ND,15MIC 3M461X LF SC 3MIL TC 5 IN,3M,LAPPING FILM SILICON CARBIDE 5"",602,0,"1.11000","0","1","461X","Active","Lapping Film","Silicon Carbide","-","-","15µ","Gray","-","-","5.00"" (127.00mm)","Fiber Optic Connector Polishing"
http://multimedia.3m.com/mws/media/276100O/3mtm-lapping-film-aluminum-oxide.pdf,//media.digikey.com/Photos/3M%20Photos/.3MIC%203M261X%20LF%20AO%203MIL%205%20IN.JPG,3M10792-ND,.3MIC 3M261X LF AO 3MIL 5 IN,3M,LAPPING FILM DIAMOND 5"",119,0,"1.15000","0","1","261X","Active","Lapping Film","Diamond","-","-","0.3µ","White","-","-","5.00"" (127.00mm)","Fiber Optic Connector Polishing"
https://multimedia.3m.com/mws/media/276102O/3mtm-lapping-film-461x-462x-463x-466x-468x-468xy-468xw.pdf,//media.digikey.com/Photos/3M%20Photos/468X-3MIC-5%5E.JPG,3M156283-ND,468X-3MIC-5"",3M,LAP FILM SILICON CARBIDE 5"" DIA,347,0,"1.39000","0","1","468X","Active","Lapping Film","Silicon Carbide","-","-","3µ","Gray","-","-","5.00"" (127.00mm)","Fiber Optic Connector Polishing"
https://multimedia.3m.com/mws/media/276104O/3mtm-wetordrytm-polishing-paper-281q-286q-481q-486q.pdf,//media.digikey.com/Photos/3M%20Photos/Wetordry-Series.JPG,3M156295-ND,281Q-1MIC,3M,POLISH FILM ALUM OXIDE 11 X 8.5"",125,0,"1.98000","0","1","Wetordry™","Active","Polishing Film","Aluminum Oxide","-","-","1µ","-","8.50"" (215.90mm)","11.00"" (279.40mm)","-","Fiber Optic Connector Polishing"
https://multimedia.3m.com/mws/media/276104O/3mtm-wetordrytm-polishing-paper-281q-286q-481q-486q.pdf,//media.digikey.com/Photos/3M%20Photos/Wetordry-Series.JPG,3M156298-ND,281Q-9MIC,3M,POLISH FILM ALUM OXIDE 11 X 8.5"",49,0,"1.98000","0","1","Wetordry™","Active","Polishing Film","Aluminum Oxide","-","-","9µ","-","8.50"" (215.90mm)","11.00"" (279.40mm)","-","Fiber Optic Connector Polishing"
