Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Type","Chemical Component","Applications","Size","Shipping Info"
https://www.chemtronics.com/content/msds/TDS_ES1015.pdf,//media.digikey.com/Photos/Chemtronics/ES1015.jpg,ES1015-ND,ES1015,Chemtronics,DUSTER ELECTRONICS 10 OZ,85,0,"18.59000","0","1","Aerosol Can","Ultrajet®","Active","Duster","-","Electronics","10 oz","Due to possible restrictions, a change in ship method may be required."
https://www.techspray.com/content/msds/TS-1671_ENG_TDS.pdf,//media.digikey.com/Photos/Techspray/MFG_1671-15S.jpg,1873-1107-ND,1671-15S,Techspray,DUSTER,46,0,"20.66000","0","1","Aerosol Can","-","Active","Duster","-","Electronics","15 oz","Due to possible restrictions, a change in ship method may be required."
http://www.mgchemicals.com/downloads/pdf/dustercomparo.pdf,//media.digikey.com/Photos/MG%20Chemicals%20Photos/MFG_402A-450G.jpg,473-1192-ND,402A-450G,MG Chemicals,DUSTER ELECTRONICS 16 OZ,62,0,"21.01000","0","1","Aerosol Can","Super Duster™ 134","Active","Duster","-","Electronics","16 oz","Due to possible restrictions, a change in ship method may be required."
https://www.techspray.com/content/msds/TS-1747_ENG_TDS.pdf,//media.digikey.com/Photos/Techspray/MFG_1747-10S.jpg,1873-1009-ND,1747-10S,Techspray,ANTI-STATIC FREEZER,74,0,"21.63000","0","1","Aerosol Can","-","Active","Freeze Spray","-","Electronics","10 oz","Due to possible restrictions, a change in ship method may be required."
https://www.techspray.com/content/msds/TS-1672_ENG_TDS.pdf,//media.digikey.com/Photos/Techspray/MFG_1672-15S.jpg,1873-1108-ND,1672-15S,Techspray,FREEZER,50,0,"22.17000","0","1","Aerosol Can","-","Active","Freeze Spray","-","Electronics","15 oz","Due to possible restrictions, a change in ship method may be required."
https://www.chemtronics.com/content/msds/TDS_ES1050.pdf,//media.digikey.com/Photos/Chemtronics/ES1050.jpg,ES1050-ND,ES1050,Chemtronics,FREEZE SPRAY ELECTRONICS 10 OZ,47,0,"24.68000","0","1","Aerosol Can","Freez-It®","Active","Freeze Spray","-","Electronics","10 oz","Due to possible restrictions, a change in ship method may be required."
http://multimedia.3m.com/mws/media/533536O/3mtm-novectm-electronic-degreaser.pdf?fn=NovecElecDegr_6000948.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_NOVEC-ELECTRONIC-DEGREASER.jpg,3M155810-ND,NOVEC ELECTRONIC DEGREASER,3M,DEGREASER ELECTRONICS 12 OZ,51,0,"26.65000","0","1","Aerosol Can","NOVEC™","Active","Degreaser","-","Electronics","12 oz","Due to possible restrictions, a change in ship method may be required."
http://multimedia.3m.com/mws/media/533529O/3mtm-novectm-contact-cleaner-plus.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_NOVEC-CONTACT-CLEANER-PLUS.jpg,3M155809-ND,NOVEC CONTACT CLEANER PLUS,3M,CLEANER DEGREASER ELECT 11 OZ,67,0,"29.97000","0","1","Aerosol Can","NOVEC™","Active","Cleaner, Degreaser","-","Electronics","11 oz","Due to possible restrictions, a change in ship method may be required."
https://www.chemtronics.com/content/msds/DEL1692TDS.pdf,//media.digikey.com/Photos/Chemtronics/DEL1692.JPG,DEL1692-ND,DEL1692,Chemtronics,SOLVENT ELECTRONICS 12 OZ,95,0,"31.04000","0","1","Aerosol Can","Flux-Off® Delta","Active","Solvent","-","Electronics","12 oz","Due to possible restrictions, a change in ship method may be required."
https://www.techspray.com/content/msds/TS-1630_ENG_TDS.pdf,//media.digikey.com/Photos/Techspray/MFG_1630-16S.jpg,1873-1101-ND,1630-16S,Techspray,G3 BLUE SHOWER CLEANER/DEGREASER,46,0,"32.65000","0","1","Aerosol Can","Blue Shower®","Active","Cleaner","-","General Purpose","16 oz","Due to possible restrictions, a change in ship method may be required."
https://www.techspray.com/content/msds/TS-1632_ENG_TDS.pdf,//media.digikey.com/Photos/Techspray/MFG_1632-16S.jpg,1873-1000-ND,1632-16S,Techspray,G3 CONTACT CLEANER,59,0,"32.70000","0","1","Aerosol Can","-","Active","Cleaner","-","Contacts","16 oz","Due to possible restrictions, a change in ship method may be required."
http://multimedia.3m.com/mws/media/758987O/3mtm-novectm-contact-cleaner-lubricant.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_NOVEC-CONTACT-CLEANER%5ELUBRICANT.jpg,3M155808-ND,NOVEC CONTACT CLEANER/LUBRICANT,3M,CLEANER LUBRICANT ELECT 12 OZ,32,0,"34.31000","0","1","Aerosol Can","NOVEC™","Active","Cleaner, Lubricant","-","Electronics","12 oz","Due to possible restrictions, a change in ship method may be required."
-,//media.digikey.com/Photos/OK%20Industries%20-%20Jonard%20Photos/FW-5.jpg,K634-ND,FW-5,Jonard Tools,WIPES PRESAT FIBER OPTICS 5 PC,32,0,"10.50000","0","1","Bulk","-","Active","Wipes, Pre-Saturated","Isopropyl Alcohol","Fiber Optics","-","-"
https://www.chemtronics.com/content/msds/TDS_ES1626.pdf,//media.digikey.com/Photos/Chemtronics/MFG_ES1626.jpg,ES1626-ND,ES1626,Chemtronics,CLEANER LUBE ELECTRONICS 11 OZ,28,0,"16.18000","0","1","Aerosol Can","DPL®","Active","Cleaner, Lubricant","-","Electronics","11 oz","Due to possible restrictions, a change in ship method may be required."
https://www.chemtronics.com/content/msds/TDS_ES1217.pdf,//media.digikey.com/Photos/Chemtronics/MFG_ES1017.jpg,ES1017-ND,ES1017,Chemtronics,DUSTER ELECTRONICS 10 OZ,64,0,"18.41000","0","1","Aerosol Can","Ultrajet®","Active","Duster","-","Electronics","10 oz","Due to possible restrictions, a change in ship method may be required."
https://www.chemtronics.com/content/msds/TDS_Max-Kleen%20TriV.pdf,//media.digikey.com/Photos/Chemtronics/VVV2279.JPG,VVV2279-ND,VVV2279,Chemtronics,SOLVENT ELECTRONICS 20 OZ,56,0,"19.92000","0","1","Aerosol Can","Max Kleen® Tri-V™","Active","Solvent","-","Electronics","20 oz","Due to possible restrictions, a change in ship method may be required."
http://www.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_ProtectiveEquipment.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_51425.JPG,1742-1095-ND,51425,"Klein Tools, Inc.",WIPES PRE-SAT HAND CLEANER 9X12"",7,0,"21.47000","0","1","Dispenser","Klein Kleaners®","Active","Wipes, Pre-Saturated","Citrus Base","Hand Cleaning, Sanitizing","9"" x 12""","-"
https://www.chemtronics.com/content/msds/TDS_ES1056.pdf,//media.digikey.com/Photos/Chemtronics/MFG_ES1056.jpg,ES1056-ND,ES1056,Chemtronics,FREEZE SPRAY ELECTRONICS 10 OZ,12,0,"22.68000","0","1","Aerosol Can","Arctic Storm™","Active","Freeze Spray","-","Electronics","10 oz","Due to possible restrictions, a change in ship method may be required."
