Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Transistor Type","Applications","Voltage - Rated","Current Rating (Amps)","Mounting Type","Package / Case","Supplier Device Package"
https://assets.nexperia.com/documents/data-sheet/BCV62.pdf,//media.digikey.com/Renders/Diodes%20Renders/SOT143.jpg,1727-5366-2-ND,"BCV62A,215",Nexperia USA Inc.,TRANS PNP 30V 100MA DUAL SOT143B,15000,0,"0.18846","0","3000","Tape & Reel (TR)","-","Active","2 PNP (Dual) Current Mirror","Current Mirror","30V","100mA","Surface Mount","TO-253-4, TO-253AA","SOT-143B"
https://assets.nexperia.com/documents/data-sheet/BCV62.pdf,//media.digikey.com/Renders/Diodes%20Renders/SOT143.jpg,1727-5366-1-ND,"BCV62A,215",Nexperia USA Inc.,TRANS PNP 30V 100MA DUAL SOT143B,17802,0,"0.55000","0","1","Cut Tape (CT)","-","Active","2 PNP (Dual) Current Mirror","Current Mirror","30V","100mA","Surface Mount","TO-253-4, TO-253AA","SOT-143B"
https://assets.nexperia.com/documents/data-sheet/BCV62.pdf,//media.digikey.com/Renders/Diodes%20Renders/SOT143.jpg,1727-5366-6-ND,"BCV62A,215",Nexperia USA Inc.,TRANS PNP 30V 100MA DUAL SOT143B,17802,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","2 PNP (Dual) Current Mirror","Current Mirror","30V","100mA","Surface Mount","TO-253-4, TO-253AA","SOT-143B"
https://assets.nexperia.com/documents/data-sheet/BCV61.pdf,//media.digikey.com/Renders/Diodes%20Renders/SOT143.jpg,1727-4897-2-ND,"BCV61A,215",Nexperia USA Inc.,TRANS NPN 30V 100MA DUAL SOT143B,3000,0,"0.20150","0","3000","Tape & Reel (TR)","-","Active","2 NPN (Dual) Current Mirror","Current Mirror","30V","100mA","Surface Mount","TO-253-4, TO-253AA","SOT-143B"
https://assets.nexperia.com/documents/data-sheet/BCV61.pdf,//media.digikey.com/Renders/Diodes%20Renders/SOT143.jpg,1727-4897-1-ND,"BCV61A,215",Nexperia USA Inc.,TRANS NPN 30V 100MA DUAL SOT143B,4643,0,"0.59000","0","1","Cut Tape (CT)","-","Active","2 NPN (Dual) Current Mirror","Current Mirror","30V","100mA","Surface Mount","TO-253-4, TO-253AA","SOT-143B"
https://assets.nexperia.com/documents/data-sheet/BCV61.pdf,//media.digikey.com/Renders/Diodes%20Renders/SOT143.jpg,1727-4897-6-ND,"BCV61A,215",Nexperia USA Inc.,TRANS NPN 30V 100MA DUAL SOT143B,4643,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","2 NPN (Dual) Current Mirror","Current Mirror","30V","100mA","Surface Mount","TO-253-4, TO-253AA","SOT-143B"
https://assets.nexperia.com/documents/data-sheet/BCV62.pdf,//media.digikey.com/Renders/Diodes%20Renders/SOT143.jpg,1727-4901-2-ND,"BCV62C,215",Nexperia USA Inc.,TRANS PNP 30V 100MA DUAL SOT143B,3000,0,"0.23599","0","3000","Tape & Reel (TR)","-","Active","2 PNP (Dual) Current Mirror","Current Mirror","30V","100mA","Surface Mount","TO-253-4, TO-253AA","SOT-143B"
https://assets.nexperia.com/documents/data-sheet/BCV62.pdf,//media.digikey.com/Renders/Diodes%20Renders/SOT143.jpg,1727-4901-1-ND,"BCV62C,215",Nexperia USA Inc.,TRANS PNP 30V 100MA DUAL SOT143B,5817,0,"0.69000","0","1","Cut Tape (CT)","-","Active","2 PNP (Dual) Current Mirror","Current Mirror","30V","100mA","Surface Mount","TO-253-4, TO-253AA","SOT-143B"
https://assets.nexperia.com/documents/data-sheet/BCV62.pdf,//media.digikey.com/Renders/Diodes%20Renders/SOT143.jpg,1727-4901-6-ND,"BCV62C,215",Nexperia USA Inc.,TRANS PNP 30V 100MA DUAL SOT143B,5817,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","2 PNP (Dual) Current Mirror","Current Mirror","30V","100mA","Surface Mount","TO-253-4, TO-253AA","SOT-143B"
http://www.aldinc.com/pdf/ALD810025.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/16%20SOIC.jpg,1014-1259-5-ND,ALD810025SCL,Advanced Linear Devices Inc.,MOSFET QUAD SAB 10.6V 16SOIC,488,0,"3.81000","0","1","Tube","SAB™","Active","4 N-Channel","Supercapacitor Auto Balancing","10.6V","80mA","Surface Mount","16-SOIC (0.154"", 3.90mm Width)","16-SOIC"
https://www.onsemi.com/pub/Collateral/UMC2NT1-D.PDF,//media.digikey.com/Renders/On%20Semi%20Renders/7SZ_SOT%E2%88%92353_419A%E2%88%9202.jpg,UMC5NT1GOSTR-ND,UMC5NT1G,ON Semiconductor,TRANS BRT NPN/PNP DUAL SOT-353,18000,33000,"0.05120","0","3000","Tape & Reel (TR)","-","Active","1 NPN, 1 PNP - Pre-Biased (Dual)","-","50V","100mA","Surface Mount","5-TSSOP, SC-70-5, SOT-353","SC-88A (SC-70-5/SOT-353)"
https://www.onsemi.com/pub/Collateral/UMC2NT1-D.PDF,//media.digikey.com/Renders/On%20Semi%20Renders/7SZ_SOT%E2%88%92353_419A%E2%88%9202.jpg,UMC5NT1GOSCT-ND,UMC5NT1G,ON Semiconductor,TRANS BRT NPN/PNP DUAL SOT-353,18780,33000,"0.30000","0","1","Cut Tape (CT)","-","Active","1 NPN, 1 PNP - Pre-Biased (Dual)","-","50V","100mA","Surface Mount","5-TSSOP, SC-70-5, SOT-353","SC-88A (SC-70-5/SOT-353)"
