Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Filter Type","Number of Lines","Impedance @ Frequency","Inductance @ Frequency","Current Rating (Max)","DC Resistance (DCR) (Max)","Voltage Rating - DC","Voltage Rating - AC","Operating Temperature","Ratings","Approvals","Features","Mounting Type","Size / Dimension","Height (Max)","Package / Case"
https://katalog.we-online.de/pbs/datasheet/744232222.pdf,"//media.digikey.com/Renders/Wurth%20Electronics%20Renders/Horizontal,%204%20PC%20Pad%20(3.2mm%20x%201.6%20mm).jpg",732-1474-1-ND,744232222,Wurth Electronics Inc.,CMC 200MA 2LN 2.2 KOHM SMD,40632,0,"1.23000","0","1","Cut Tape (CT)","WE-CNSW","Active","Signal Line","2","2.2 kOhms @ 100MHz","-","200mA","1.2Ohm","50V","-","-40°C ~ 125°C","-","-","-","Surface Mount","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.083"" (2.10mm)","Horizontal, 4 PC Pad"
https://katalog.we-online.de/pbs/datasheet/744232222.pdf,"//media.digikey.com/Renders/Wurth%20Electronics%20Renders/Horizontal,%204%20PC%20Pad%20(3.2mm%20x%201.6%20mm).jpg",732-1474-6-ND,744232222,Wurth Electronics Inc.,CMC 200MA 2LN 2.2 KOHM SMD,40632,0,"Digi-Reel","0","1","Digi-Reel®","WE-CNSW","Active","Signal Line","2","2.2 kOhms @ 100MHz","-","200mA","1.2Ohm","50V","-","-40°C ~ 125°C","-","-","-","Surface Mount","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.083"" (2.10mm)","Horizontal, 4 PC Pad"
https://katalog.we-online.de/pbs/datasheet/744230121.pdf,"//media.digikey.com/Renders/Wurth%20Electronics%20Renders/Horizontal,%204%20PC%20Pad.jpg",732-2583-2-ND,744230121,Wurth Electronics Inc.,CMC 450MA 2LN 120 OHM SMD,24000,0,"0.82301","0","2000","Tape & Reel (TR)","WE-CNSW","Active","Signal Line","2","120 Ohms @ 100MHz","-","450mA","175mOhm","50V","-","-40°C ~ 105°C","-","-","-","Surface Mount","0.063"" L x 0.033"" W (1.60mm x 0.85mm)","0.047"" (1.20mm)","Horizontal, 4 PC Pad"
https://katalog.we-online.de/pbs/datasheet/744230121.pdf,"//media.digikey.com/Renders/Wurth%20Electronics%20Renders/Horizontal,%204%20PC%20Pad.jpg",732-2583-1-ND,744230121,Wurth Electronics Inc.,CMC 450MA 2LN 120 OHM SMD,25059,0,"1.23000","0","1","Cut Tape (CT)","WE-CNSW","Active","Signal Line","2","120 Ohms @ 100MHz","-","450mA","175mOhm","50V","-","-40°C ~ 105°C","-","-","-","Surface Mount","0.063"" L x 0.033"" W (1.60mm x 0.85mm)","0.047"" (1.20mm)","Horizontal, 4 PC Pad"
https://katalog.we-online.de/pbs/datasheet/744230121.pdf,"//media.digikey.com/Renders/Wurth%20Electronics%20Renders/Horizontal,%204%20PC%20Pad.jpg",732-2583-6-ND,744230121,Wurth Electronics Inc.,CMC 450MA 2LN 120 OHM SMD,25059,0,"Digi-Reel","0","1","Digi-Reel®","WE-CNSW","Active","Signal Line","2","120 Ohms @ 100MHz","-","450mA","175mOhm","50V","-","-40°C ~ 105°C","-","-","-","Surface Mount","0.063"" L x 0.033"" W (1.60mm x 0.85mm)","0.047"" (1.20mm)","Horizontal, 4 PC Pad"
https://katalog.we-online.de/pbs/datasheet/744230251.pdf,"//media.digikey.com/Renders/Wurth%20Electronics%20Renders/Horizontal,%204%20PC%20Pad.jpg",732-2585-2-ND,744230251,Wurth Electronics Inc.,CMC 350MA 2LN 250 OHM SMD,20000,0,"0.82301","0","2000","Tape & Reel (TR)","WE-CNSW","Active","Signal Line","2","250 Ohms @ 100MHz","-","350mA","280mOhm","50V","-","-40°C ~ 105°C","-","-","-","Surface Mount","0.063"" L x 0.033"" W (1.60mm x 0.85mm)","0.047"" (1.20mm)","Horizontal, 4 PC Pad"
https://katalog.we-online.de/pbs/datasheet/744230251.pdf,"//media.digikey.com/Renders/Wurth%20Electronics%20Renders/Horizontal,%204%20PC%20Pad.jpg",732-2585-1-ND,744230251,Wurth Electronics Inc.,CMC 350MA 2LN 250 OHM SMD,23389,0,"1.23000","0","1","Cut Tape (CT)","WE-CNSW","Active","Signal Line","2","250 Ohms @ 100MHz","-","350mA","280mOhm","50V","-","-40°C ~ 105°C","-","-","-","Surface Mount","0.063"" L x 0.033"" W (1.60mm x 0.85mm)","0.047"" (1.20mm)","Horizontal, 4 PC Pad"
https://katalog.we-online.de/pbs/datasheet/744230251.pdf,"//media.digikey.com/Renders/Wurth%20Electronics%20Renders/Horizontal,%204%20PC%20Pad.jpg",732-2585-6-ND,744230251,Wurth Electronics Inc.,CMC 350MA 2LN 250 OHM SMD,23389,0,"Digi-Reel","0","1","Digi-Reel®","WE-CNSW","Active","Signal Line","2","250 Ohms @ 100MHz","-","350mA","280mOhm","50V","-","-40°C ~ 105°C","-","-","-","Surface Mount","0.063"" L x 0.033"" W (1.60mm x 0.85mm)","0.047"" (1.20mm)","Horizontal, 4 PC Pad"
https://katalog.we-online.de/pbs/datasheet/744230900.pdf,"//media.digikey.com/Renders/Wurth%20Electronics%20Renders/Horizontal,%204%20PC%20Pad.jpg",732-2582-2-ND,744230900,Wurth Electronics Inc.,CMC 550MA 2LN 90 OHM SMD,4000,0,"0.82301","0","2000","Tape & Reel (TR)","WE-CNSW","Active","Signal Line","2","90 Ohms @ 100MHz","-","550mA","145mOhm","50V","-","-40°C ~ 105°C","-","-","-","Surface Mount","0.063"" L x 0.033"" W (1.60mm x 0.85mm)","0.047"" (1.20mm)","Horizontal, 4 PC Pad"
https://katalog.we-online.de/pbs/datasheet/744230900.pdf,"//media.digikey.com/Renders/Wurth%20Electronics%20Renders/Horizontal,%204%20PC%20Pad.jpg",732-2582-1-ND,744230900,Wurth Electronics Inc.,CMC 550MA 2LN 90 OHM SMD,5705,0,"1.23000","0","1","Cut Tape (CT)","WE-CNSW","Active","Signal Line","2","90 Ohms @ 100MHz","-","550mA","145mOhm","50V","-","-40°C ~ 105°C","-","-","-","Surface Mount","0.063"" L x 0.033"" W (1.60mm x 0.85mm)","0.047"" (1.20mm)","Horizontal, 4 PC Pad"
