Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Type","Filter Order","Technology","Number of Channels","Center / Cutoff Frequency","Attenuation Value","Resistance - Channel (Ohms)","Current","Values","ESD Protection","Operating Temperature","Applications","Voltage - Rated","Mounting Type","Package / Case","Size / Dimension","Height"
//media.digikey.com/pdf/Data%20Sheets/Murata%20PDFs/DSS1NB3_Spec.pdf,//media.digikey.com/Photos/Murata%20Photos/DSS1%20SERIES.jpg,490-9788-1-ND,DSS1NB32A121Q91A,Murata Electronics North America,FILTER LC(T) 120PF TH,2922,0,"0.30000","0","1","Cut Tape (CT)","EMIFIL®, DSS1","Active","Low Pass","3rd","LC (T-Type)","1","-","-","-","6A","C = 120pF","No","-40°C ~ 85°C","General Purpose","100V","Through Hole","Radial - 3 Leads","0.335"" L x 0.138"" W (8.50mm x 3.50mm)","0.295"" (7.50mm)"
//media.digikey.com/pdf/Data%20Sheets/Murata%20PDFs/DSS1NB3_Spec.pdf,//media.digikey.com/Photos/Murata%20Photos/DSS1%20SERIES.jpg,490-9796-3-ND,DSS1NB32A152Q91A,Murata Electronics North America,FILTER LC(T) 1500PF TH,1500,0,"0.14030","0","1500","Tape & Box (TB)","EMIFIL®, DSS1","Active","Low Pass","3rd","LC (T-Type)","1","-","-","-","6A","C = 1500pF","No","-40°C ~ 85°C","General Purpose","100V","Through Hole","Radial - 3 Leads","0.335"" L x 0.138"" W (8.50mm x 3.50mm)","0.295"" (7.50mm)"
//media.digikey.com/pdf/Data%20Sheets/Murata%20PDFs/DSS1NB3_Spec.pdf,//media.digikey.com/Photos/Murata%20Photos/DSS1%20SERIES.jpg,490-9796-1-ND,DSS1NB32A152Q91A,Murata Electronics North America,FILTER LC(T) 1500PF TH,2922,0,"0.30000","0","1","Cut Tape (CT)","EMIFIL®, DSS1","Active","Low Pass","3rd","LC (T-Type)","1","-","-","-","6A","C = 1500pF","No","-40°C ~ 85°C","General Purpose","100V","Through Hole","Radial - 3 Leads","0.335"" L x 0.138"" W (8.50mm x 3.50mm)","0.295"" (7.50mm)"
//media.digikey.com/pdf/Data%20Sheets/Murata%20PDFs/DSS1NB3_Spec.pdf,//media.digikey.com/Photos/Murata%20Photos/DSS1%20SERIES.jpg,490-9784-3-ND,DSS1NB32A330Q91A,Murata Electronics North America,FILTER LC(T) 33PF TH,1500,0,"0.14030","0","1500","Tape & Box (TB)","EMIFIL®, DSS1","Active","Low Pass","3rd","LC (T-Type)","1","-","-","-","6A","C = 33pF","No","-40°C ~ 85°C","General Purpose","100V","Through Hole","Radial - 3 Leads","0.335"" L x 0.138"" W (8.50mm x 3.50mm)","0.295"" (7.50mm)"
//media.digikey.com/pdf/Data%20Sheets/Murata%20PDFs/DSS1NB3_Spec.pdf,//media.digikey.com/Photos/Murata%20Photos/DSS1%20SERIES.jpg,490-9784-1-ND,DSS1NB32A330Q91A,Murata Electronics North America,FILTER LC(T) 33PF TH,2346,0,"0.30000","0","1","Cut Tape (CT)","EMIFIL®, DSS1","Active","Low Pass","3rd","LC (T-Type)","1","-","-","-","6A","C = 33pF","No","-40°C ~ 85°C","General Purpose","100V","Through Hole","Radial - 3 Leads","0.335"" L x 0.138"" W (8.50mm x 3.50mm)","0.295"" (7.50mm)"
https://product.tdk.com/info/en/catalog/datasheets/3tf_commercial_signal_mem1608p_en.pdf,//media.digikey.com/Renders/TDK%20Renders/MEM%20Series%200603.jpg,445-8965-2-ND,MEM1608P75R0,TDK Corporation,FILTER LC(PI) 75MHZ SMD,4000,0,"0.17000","0","4000","Tape & Reel (TR)","MEM","Active","Low Pass","3rd","LC (Pi)","1","75MHz (Cutoff)","20dB @ 300MHz ~ 2GHz","-","100mA","-","No","-40°C ~ 85°C","Data Lines for Mobile Devices","10V","Surface Mount","0603 (1608 Metric), 3 PC Pad","0.063"" L x 0.032"" W (1.60mm x 0.80mm)","0.028"" (0.70mm)"
https://product.tdk.com/info/en/catalog/datasheets/3tf_commercial_signal_mem1608p_en.pdf,//media.digikey.com/Renders/TDK%20Renders/MEM%20Series%200603.jpg,445-8965-1-ND,MEM1608P75R0,TDK Corporation,FILTER LC(PI) 75MHZ SMD,6000,0,"0.39000","0","1","Cut Tape (CT)","MEM","Active","Low Pass","3rd","LC (Pi)","1","75MHz (Cutoff)","20dB @ 300MHz ~ 2GHz","-","100mA","-","No","-40°C ~ 85°C","Data Lines for Mobile Devices","10V","Surface Mount","0603 (1608 Metric), 3 PC Pad","0.063"" L x 0.032"" W (1.60mm x 0.80mm)","0.028"" (0.70mm)"
https://product.tdk.com/info/en/catalog/datasheets/3tf_commercial_signal_mem1608p_en.pdf,//media.digikey.com/Renders/TDK%20Renders/MEM%20Series%200603.jpg,445-8965-6-ND,MEM1608P75R0,TDK Corporation,FILTER LC(PI) 75MHZ SMD,6000,0,"Digi-Reel","0","1","Digi-Reel®","MEM","Active","Low Pass","3rd","LC (Pi)","1","75MHz (Cutoff)","20dB @ 300MHz ~ 2GHz","-","100mA","-","No","-40°C ~ 85°C","Data Lines for Mobile Devices","10V","Surface Mount","0603 (1608 Metric), 3 PC Pad","0.063"" L x 0.032"" W (1.60mm x 0.80mm)","0.028"" (0.70mm)"
https://product.tdk.com/info/en/catalog/datasheets/3tf_commercial_signal_mem1608d_en.pdf,//media.digikey.com/Renders/TDK%20Renders/MEM%20Series%200603.jpg,445-8959-2-ND,MEM1608D401R,TDK Corporation,FILTER LC(T) 400MHZ SMD,4000,0,"0.17000","0","4000","Tape & Reel (TR)","MEM","Active","Low Pass","2nd","LC (T-Type)","1","400MHz (Cutoff)","-","-","200mA","-","No","-40°C ~ 85°C","Data Lines for Mobile Devices","6.3V","Surface Mount","0603 (1608 Metric), 3 PC Pad","0.063"" L x 0.032"" W (1.60mm x 0.80mm)","0.028"" (0.70mm)"
https://product.tdk.com/info/en/catalog/datasheets/3tf_commercial_signal_mem1608d_en.pdf,//media.digikey.com/Renders/TDK%20Renders/MEM%20Series%200603.jpg,445-8959-1-ND,MEM1608D401R,TDK Corporation,FILTER LC(T) 400MHZ SMD,7711,0,"0.39000","0","1","Cut Tape (CT)","MEM","Active","Low Pass","2nd","LC (T-Type)","1","400MHz (Cutoff)","-","-","200mA","-","No","-40°C ~ 85°C","Data Lines for Mobile Devices","6.3V","Surface Mount","0603 (1608 Metric), 3 PC Pad","0.063"" L x 0.032"" W (1.60mm x 0.80mm)","0.028"" (0.70mm)"
