Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Filter Type","Number of Lines","Impedance @ Frequency","Current Rating (Max)","DC Resistance (DCR) (Max)","Ratings","Operating Temperature","Package / Case","Mounting Type","Height (Max)","Size / Dimension","Features"
https://katalog.we-online.de/pbs/datasheet/742792780.pdf,//media.digikey.com/Renders/Wurth%20Electronics%20Renders/0402.jpg,732-1569-6-ND,742792780,Wurth Electronics Inc.,FERRITE BEAD 220 OHM 0402 1LN,30334,0,"Digi-Reel","0","1","Digi-Reel®","WE-CBF","Active","Signal Line","1","220 Ohms @ 100MHz","300mA","350mOhm","-","-55°C ~ 125°C","0402 (1005 Metric)","Surface Mount","0.022"" (0.55mm)","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","-"
https://katalog.we-online.de/pbs/datasheet/742792603.pdf,//media.digikey.com/Renders/Wurth%20Electronics%20Renders/0603(1608).jpg,732-1590-2-ND,742792603,Wurth Electronics Inc.,FERRITE BEAD 28 OHM 0603 1LN,12000,0,"0.09500","0","4000","Tape & Reel (TR)","WE-CBF","Active","Signal Line","1","28 Ohms @ 100MHz","4A","30mOhm","-","-55°C ~ 125°C","0603 (1608 Metric)","Surface Mount","0.039"" (1.00mm)","0.063"" L x 0.032"" W (1.60mm x 0.80mm)","-"
https://katalog.we-online.de/pbs/datasheet/742792603.pdf,//media.digikey.com/Renders/Wurth%20Electronics%20Renders/0603(1608).jpg,732-1590-1-ND,742792603,Wurth Electronics Inc.,FERRITE BEAD 28 OHM 0603 1LN,15444,0,"0.17000","0","1","Cut Tape (CT)","WE-CBF","Active","Signal Line","1","28 Ohms @ 100MHz","4A","30mOhm","-","-55°C ~ 125°C","0603 (1608 Metric)","Surface Mount","0.039"" (1.00mm)","0.063"" L x 0.032"" W (1.60mm x 0.80mm)","-"
https://katalog.we-online.de/pbs/datasheet/742792603.pdf,//media.digikey.com/Renders/Wurth%20Electronics%20Renders/0603(1608).jpg,732-1590-6-ND,742792603,Wurth Electronics Inc.,FERRITE BEAD 28 OHM 0603 1LN,15444,0,"Digi-Reel","0","1","Digi-Reel®","WE-CBF","Active","Signal Line","1","28 Ohms @ 100MHz","4A","30mOhm","-","-55°C ~ 125°C","0603 (1608 Metric)","Surface Mount","0.039"" (1.00mm)","0.063"" L x 0.032"" W (1.60mm x 0.80mm)","-"
https://katalog.we-online.de/pbs/datasheet/742792097.pdf,//media.digikey.com/Renders/Wurth%20Electronics%20Renders/0805(2012).jpg,732-4649-2-ND,742792097,Wurth Electronics Inc.,FERRITE BEAD 1.5 KOHM 0805 1LN,164000,0,"0.14300","0","4000","Tape & Reel (TR)","WE-CBF","Active","Signal Line","1","1.5 kOhms @ 100MHz","1A","300mOhm","-","-55°C ~ 125°C","0805 (2012 Metric)","Surface Mount","0.043"" (1.10mm)","0.079"" L x 0.047"" W (2.00mm x 1.20mm)","-"
https://katalog.we-online.de/pbs/datasheet/742792097.pdf,//media.digikey.com/Renders/Wurth%20Electronics%20Renders/0805(2012).jpg,732-4649-1-ND,742792097,Wurth Electronics Inc.,FERRITE BEAD 1.5 KOHM 0805 1LN,168465,0,"0.22000","0","1","Cut Tape (CT)","WE-CBF","Active","Signal Line","1","1.5 kOhms @ 100MHz","1A","300mOhm","-","-55°C ~ 125°C","0805 (2012 Metric)","Surface Mount","0.043"" (1.10mm)","0.079"" L x 0.047"" W (2.00mm x 1.20mm)","-"
https://katalog.we-online.de/pbs/datasheet/742792097.pdf,//media.digikey.com/Renders/Wurth%20Electronics%20Renders/0805(2012).jpg,732-4649-6-ND,742792097,Wurth Electronics Inc.,FERRITE BEAD 1.5 KOHM 0805 1LN,168465,0,"Digi-Reel","0","1","Digi-Reel®","WE-CBF","Active","Signal Line","1","1.5 kOhms @ 100MHz","1A","300mOhm","-","-55°C ~ 125°C","0805 (2012 Metric)","Surface Mount","0.043"" (1.10mm)","0.079"" L x 0.047"" W (2.00mm x 1.20mm)","-"
https://katalog.we-online.de/pbs/datasheet/742792023.pdf,//media.digikey.com/Renders/Wurth%20Electronics%20Renders/0805(2012).jpg,732-1613-2-ND,742792023,Wurth Electronics Inc.,FERRITE BEAD 120 OHM 0805 1LN,84000,0,"0.14300","0","4000","Tape & Reel (TR)","WE-CBF","Active","Signal Line","1","120 Ohms @ 100MHz","3A","30mOhm","-","-55°C ~ 125°C","0805 (2012 Metric)","Surface Mount","0.043"" (1.10mm)","0.079"" L x 0.047"" W (2.00mm x 1.20mm)","-"
https://katalog.we-online.de/pbs/datasheet/742792023.pdf,//media.digikey.com/Renders/Wurth%20Electronics%20Renders/0805(2012).jpg,732-1613-1-ND,742792023,Wurth Electronics Inc.,FERRITE BEAD 120 OHM 0805 1LN,85391,0,"0.22000","0","1","Cut Tape (CT)","WE-CBF","Active","Signal Line","1","120 Ohms @ 100MHz","3A","30mOhm","-","-55°C ~ 125°C","0805 (2012 Metric)","Surface Mount","0.043"" (1.10mm)","0.079"" L x 0.047"" W (2.00mm x 1.20mm)","-"
https://katalog.we-online.de/pbs/datasheet/742792023.pdf,//media.digikey.com/Renders/Wurth%20Electronics%20Renders/0805(2012).jpg,732-1613-6-ND,742792023,Wurth Electronics Inc.,FERRITE BEAD 120 OHM 0805 1LN,85391,0,"Digi-Reel","0","1","Digi-Reel®","WE-CBF","Active","Signal Line","1","120 Ohms @ 100MHz","3A","30mOhm","-","-55°C ~ 125°C","0805 (2012 Metric)","Surface Mount","0.043"" (1.10mm)","0.079"" L x 0.047"" W (2.00mm x 1.20mm)","-"
https://katalog.we-online.de/pbs/datasheet/742792031.pdf,//media.digikey.com/Renders/Wurth%20Electronics%20Renders/0805(2012).jpg,732-4638-2-ND,742792031,Wurth Electronics Inc.,FERRITE BEAD 300 OHM 0805 1LN,60000,0,"0.14300","0","4000","Tape & Reel (TR)","WE-CBF","Active","Signal Line","1","300 Ohms @ 100MHz","3A","50mOhm","-","-55°C ~ 125°C","0805 (2012 Metric)","Surface Mount","0.043"" (1.10mm)","0.079"" L x 0.047"" W (2.00mm x 1.20mm)","-"
https://katalog.we-online.de/pbs/datasheet/742792031.pdf,//media.digikey.com/Renders/Wurth%20Electronics%20Renders/0805(2012).jpg,732-4638-1-ND,742792031,Wurth Electronics Inc.,FERRITE BEAD 300 OHM 0805 1LN,62054,0,"0.22000","0","1","Cut Tape (CT)","WE-CBF","Active","Signal Line","1","300 Ohms @ 100MHz","3A","50mOhm","-","-55°C ~ 125°C","0805 (2012 Metric)","Surface Mount","0.043"" (1.10mm)","0.079"" L x 0.047"" W (2.00mm x 1.20mm)","-"
https://katalog.we-online.de/pbs/datasheet/742792031.pdf,//media.digikey.com/Renders/Wurth%20Electronics%20Renders/0805(2012).jpg,732-4638-6-ND,742792031,Wurth Electronics Inc.,FERRITE BEAD 300 OHM 0805 1LN,62054,0,"Digi-Reel","0","1","Digi-Reel®","WE-CBF","Active","Signal Line","1","300 Ohms @ 100MHz","3A","50mOhm","-","-55°C ~ 125°C","0805 (2012 Metric)","Surface Mount","0.043"" (1.10mm)","0.079"" L x 0.047"" W (2.00mm x 1.20mm)","-"
