Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Frequency - Center","Impedance","Insertion Loss","Bandwidth","Ripple","Number of Poles","Operating Temperature","Mounting Type","Package / Case","Size / Dimension","Height (Max)"
http://www.ecsxtal.com/store/pdf/mono crystal filters.pdf,//media.digikey.com/photos/ECS%20Photos/ECS-10.7%20B%20SERIES.jpg,X704-ND,ECS-10.7-15B,ECS Inc.,MONO XTAL 10.7MHZ 4P 2PC 2.5DB,587,500,"5.66000","0","1","Bulk","-","Active","10.7MHz","3 kOhms","2.5dB","15kHz","1dB","4","-20°C ~ 70°C","Through Hole","HC-49/U","0.437"" L x 0.185"" W (11.10mm x 4.70mm)","0.441"" (11.20mm)"
http://www.ecsxtal.com/store/pdf/mono crystal filters.pdf,//media.digikey.com/photos/ECS%20Photos/ECS-10.7%20B%20SERIES.jpg,X702-ND,ECS-10.7-7.5B,ECS Inc.,MONO XTAL 10.7MHZ 4P 2PC 2.5DB,149,0,"9.99000","0","1","Bulk","-","Active","10.7MHz","1.8 kOhms","2.5dB","7.5kHz","1dB","4","-20°C ~ 70°C","Through Hole","HC-49/U","0.437"" L x 0.185"" W (11.10mm x 4.70mm)","0.441"" (11.20mm)"
http://www.ecsxtal.com/store/pdf/mono crystal filters.pdf,//media.digikey.com/photos/ECS%20Photos/ECS-21K%20A%20SERIES.jpg,X711-ND,ECS-21K-30A,ECS Inc.,MONO XTAL 21.4MHZ 2P 1.5DB TH,132,0,"4.05000","0","1","Bulk","-","Active","21.4MHz","1.5 kOhms","1.5dB","30kHz","0.5dB","2","-20°C ~ 70°C","Through Hole","HC-49/U","0.437"" L x 0.185"" W (11.10mm x 4.70mm)","0.441"" (11.20mm)"
http://www.ecsxtal.com/store/pdf/mono crystal filters.pdf,//media.digikey.com/photos/ECS%20Photos/ECS-21K%20B%20SERIES.jpg,X712-ND,ECS-21K-30B,ECS Inc.,MONO XTAL 21.4MHZ 4P 2PC 2DB TH,104,450,"4.35000","0","1","Bulk","-","Active","21.4MHz","1.8 kOhms","2dB","30kHz","1dB","4","-20°C ~ 70°C","Through Hole","UM-1","-","-"
http://www.ecsxtal.com/store/pdf/mono crystal filters.pdf,//media.digikey.com/photos/ECS%20Photos/ECS-21K%20A%20SERIES.jpg,X707-ND,ECS-21K-7.5A,ECS Inc.,MONO XTAL 21.4MHZ 2P 2DB TH,127,700,"4.05000","0","1","Bulk","-","Active","21.4MHz","1.5 kOhms","2dB","7.5kHz","0.5dB","2","-20°C ~ 70°C","Through Hole","HC-49/U","0.437"" L x 0.185"" W (11.10mm x 4.70mm)","0.441"" (11.20mm)"
http://www.ecsxtal.com/store/pdf/ecs_96smf21.4.pdf,//media.digikey.com/photos/ECS%20Photos/ECS-96SMF.jpg,X713TR-ND,ECS-96SMF21A15,ECS Inc.,MONO XTAL 21.4MHZ 2P 2DB SMD,0,1000,"3.29000","0","1000","Tape & Reel (TR)","ECS-96SMF","Active","21.4MHz","1.5 kOhms","2dB","15kHz","1dB","2","-30°C ~ 80°C","Surface Mount","6-SMD, No Lead","0.276"" L x 0.197"" W (7.00mm x 5.00mm)","0.059"" (1.50mm)"
http://www.ecsxtal.com/store/pdf/ecs_96smf21.4.pdf,//media.digikey.com/photos/ECS%20Photos/ECS-96SMF.jpg,X713CT-ND,ECS-96SMF21A15,ECS Inc.,MONO XTAL 21.4MHZ 2P 2DB SMD,497,1000,"6.98000","0","1","Cut Tape (CT)","ECS-96SMF","Active","21.4MHz","1.5 kOhms","2dB","15kHz","1dB","2","-30°C ~ 80°C","Surface Mount","6-SMD, No Lead","0.276"" L x 0.197"" W (7.00mm x 5.00mm)","0.059"" (1.50mm)"
http://www.ecsxtal.com/store/pdf/ecs_96smf21.4.pdf,//media.digikey.com/photos/ECS%20Photos/ECS-96SMF.jpg,X713DKR-ND,ECS-96SMF21A15,ECS Inc.,MONO XTAL 21.4MHZ 2P 2DB SMD,497,1000,"Digi-Reel","0","1","Digi-Reel®","ECS-96SMF","Active","21.4MHz","1.5 kOhms","2dB","15kHz","1dB","2","-30°C ~ 80°C","Surface Mount","6-SMD, No Lead","0.276"" L x 0.197"" W (7.00mm x 5.00mm)","0.059"" (1.50mm)"
http://www.ecsxtal.com/store/pdf/ecs_96smf21.4.pdf,//media.digikey.com/photos/ECS%20Photos/ECS-96SMF21A30.JPG,X717TR-ND,ECS-96SMF21A30,ECS Inc.,MONO XTAL 21.4MHZ 2P 2DB SMD,0,0,"3.87800","0","500","Tape & Reel (TR)","ECS-96SMF","Active","21.4MHz","2 kOhms","2dB","30kHz","1dB","2","-30°C ~ 80°C","Surface Mount","6-SMD, No Lead","0.276"" L x 0.197"" W (7.00mm x 5.00mm)","0.059"" (1.50mm)"
http://www.ecsxtal.com/store/pdf/ecs_96smf21.4.pdf,//media.digikey.com/photos/ECS%20Photos/ECS-96SMF21A30.JPG,X717CT-ND,ECS-96SMF21A30,ECS Inc.,MONO XTAL 21.4MHZ 2P 2DB SMD,335,0,"8.23000","0","1","Cut Tape (CT)","ECS-96SMF","Active","21.4MHz","2 kOhms","2dB","30kHz","1dB","2","-30°C ~ 80°C","Surface Mount","6-SMD, No Lead","0.276"" L x 0.197"" W (7.00mm x 5.00mm)","0.059"" (1.50mm)"
