Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Frequency","Impedance","Bandwidth","Insertion Loss","Filter Type","Mounting Type","Package / Case","Size / Dimension","Height (Max)"
https://www.murata.com/~/media/webrenewal/support/library/catalog/products/filter/cerafil/p51e.ashx?la=en-us,//media.digikey.com/photos/Murata%20Photos/SFECF%20SERIES.jpg,490-4680-1-ND,SFECF10M7FA00-R0,Murata Electronics North America,FILTER 10.7 MHZ 280 KHZ BAND SMD,6530,0,"1.87000","0","1","Cut Tape (CT)","CERAFIL®, SFECF","Active","10.7MHz Center","330Ohm","280kHz","3dB","FM","Surface Mount","1412 (3531 Metric), 6 PC Pad","0.136"" L x 0.122"" W (3.45mm x 3.10mm)","0.055"" (1.40mm)"
https://www.murata.com/~/media/webrenewal/support/library/catalog/products/filter/cerafil/p51e.ashx?la=en-us,//media.digikey.com/photos/Murata%20Photos/SFECF%20SERIES.jpg,490-4680-6-ND,SFECF10M7FA00-R0,Murata Electronics North America,FILTER 10.7 MHZ 280 KHZ BAND SMD,6530,0,"Digi-Reel","0","1","Digi-Reel®","CERAFIL®, SFECF","Active","10.7MHz Center","330Ohm","280kHz","3dB","FM","Surface Mount","1412 (3531 Metric), 6 PC Pad","0.136"" L x 0.122"" W (3.45mm x 3.10mm)","0.055"" (1.40mm)"
https://www.murata.com/~/media/webrenewal/support/library/catalog/products/filter/cerafil/p05e.ashx,//media.digikey.com/Photos/Murata%20Photos/CDSCB-Series.jpg,490-1240-2-ND,CDSCB10M7GA119-R0,Murata Electronics North America,FM 10.7MHZ DISCRIM FOR TRF6901/3,2000,0,"0.67024","0","2000","Tape & Reel (TR)","CDSCB","Active","10.7MHz Center","-","500kHz","3dB","Discriminator","Surface Mount","1808 (4520 Metric), 2 PC Pad","0.177"" L x 0.079"" W (4.50mm x 2.00mm)","0.039"" (1.00mm)"
https://www.murata.com/~/media/webrenewal/support/library/catalog/products/filter/cerafil/p05e.ashx,//media.digikey.com/Photos/Murata%20Photos/CDSCB-Series.jpg,490-1240-1-ND,CDSCB10M7GA119-R0,Murata Electronics North America,FM 10.7MHZ DISCRIM FOR TRF6901/3,3422,0,"1.43000","0","1","Cut Tape (CT)","CDSCB","Active","10.7MHz Center","-","500kHz","3dB","Discriminator","Surface Mount","1808 (4520 Metric), 2 PC Pad","0.177"" L x 0.079"" W (4.50mm x 2.00mm)","0.039"" (1.00mm)"
https://www.murata.com/~/media/webrenewal/support/library/catalog/products/filter/cerafil/p05e.ashx,//media.digikey.com/Photos/Murata%20Photos/CDSCB-Series.jpg,490-1240-6-ND,CDSCB10M7GA119-R0,Murata Electronics North America,FM 10.7MHZ DISCRIM FOR TRF6901/3,3422,0,"Digi-Reel","0","1","Digi-Reel®","CDSCB","Active","10.7MHz Center","-","500kHz","3dB","Discriminator","Surface Mount","1808 (4520 Metric), 2 PC Pad","0.177"" L x 0.079"" W (4.50mm x 2.00mm)","0.039"" (1.00mm)"
https://www.murata.com/~/media/webrenewal/support/library/catalog/products/filter/cerafil/p51e.ashx?la=en-us,//media.digikey.com/photos/Murata%20Photos/SFECF%20SERIES.jpg,490-4681-2-ND,SFECF10M7GA00-R0,Murata Electronics North America,FILTER 10.7 MHZ 230 KHZ BAND SMD,2000,0,"0.56729","0","2000","Tape & Reel (TR)","CERAFIL®, SFECF","Active","10.7MHz Center","330Ohm","230kHz","3.5dB","FM","Surface Mount","1412 (3531 Metric), 6 PC Pad","0.136"" L x 0.122"" W (3.45mm x 3.10mm)","0.055"" (1.40mm)"
https://www.murata.com/~/media/webrenewal/support/library/catalog/products/filter/cerafil/p51e.ashx?la=en-us,//media.digikey.com/photos/Murata%20Photos/SFECF%20SERIES.jpg,490-4681-1-ND,SFECF10M7GA00-R0,Murata Electronics North America,FILTER 10.7 MHZ 230 KHZ BAND SMD,0,0,"Discontinued at Digi-Key","0","1","Cut Tape (CT)","CERAFIL®, SFECF","Discontinued at Digi-Key","10.7MHz Center","330Ohm","230kHz","3.5dB","FM","Surface Mount","1412 (3531 Metric), 6 PC Pad","0.136"" L x 0.122"" W (3.45mm x 3.10mm)","0.055"" (1.40mm)"
https://www.murata.com/~/media/webrenewal/support/library/catalog/products/filter/cerafil/p51e.ashx?la=en-us,//media.digikey.com/photos/Murata%20Photos/SFECF%20SERIES.jpg,490-4681-6-ND,SFECF10M7GA00-R0,Murata Electronics North America,FILTER 10.7 MHZ 230 KHZ BAND SMD,0,0,"Digi-Reel","0","1","Digi-Reel®","CERAFIL®, SFECF","Discontinued at Digi-Key","10.7MHz Center","330Ohm","230kHz","3.5dB","FM","Surface Mount","1412 (3531 Metric), 6 PC Pad","0.136"" L x 0.122"" W (3.45mm x 3.10mm)","0.055"" (1.40mm)"
//media.digikey.com/pdf/Data%20Sheets/Murata%20PDFs/CDSCB10M7GA135-R0_.pdf,//media.digikey.com/Photos/Murata%20Photos/CDSCB-Series.jpg,490-4726-2-ND,CDSCB10M7GA135-R0,Murata Electronics North America,DISCR SMD FOR MELEXIS TH711XX,6000,0,"0.67024","0","2000","Tape & Reel (TR)","CDSCB","Active","10.7MHz Center","-","155kHz","3dB","Discriminator","Surface Mount","1808 (4520 Metric), 2 PC Pad","0.177"" L x 0.079"" W (4.50mm x 2.00mm)","0.039"" (1.00mm)"
//media.digikey.com/pdf/Data%20Sheets/Murata%20PDFs/CDSCB10M7GA135-R0_.pdf,//media.digikey.com/Photos/Murata%20Photos/CDSCB-Series.jpg,490-4726-1-ND,CDSCB10M7GA135-R0,Murata Electronics North America,DISCR SMD FOR MELEXIS TH711XX,8687,0,"1.43000","0","1","Cut Tape (CT)","CDSCB","Active","10.7MHz Center","-","155kHz","3dB","Discriminator","Surface Mount","1808 (4520 Metric), 2 PC Pad","0.177"" L x 0.079"" W (4.50mm x 2.00mm)","0.039"" (1.00mm)"
//media.digikey.com/pdf/Data%20Sheets/Murata%20PDFs/CDSCB10M7GA135-R0_.pdf,//media.digikey.com/Photos/Murata%20Photos/CDSCB-Series.jpg,490-4726-6-ND,CDSCB10M7GA135-R0,Murata Electronics North America,DISCR SMD FOR MELEXIS TH711XX,8687,0,"Digi-Reel","0","1","Digi-Reel®","CDSCB","Active","10.7MHz Center","-","155kHz","3dB","Discriminator","Surface Mount","1808 (4520 Metric), 2 PC Pad","0.177"" L x 0.079"" W (4.50mm x 2.00mm)","0.039"" (1.00mm)"
https://www.murata.com/en-us/products/productdata/8796784558110/S0280E.pdf,//media.digikey.com/photos/Murata%20Photos/SFSCE10M7WF05-R0.JPG,490-4677-2-ND,SFSCE10M7WF05-R0,Murata Electronics North America,FILTER 10.7 MHZ 325 KHZ BAND SMD,1500,0,"2.32500","0","1500","Tape & Reel (TR)","SFSCE","Active","10.7MHz Center","470Ohm","325kHz","6dB","FM","Surface Mount","1715 (4538 Metric), 4 PC Pad","0.177"" L x 0.150"" W (4.50mm x 3.80mm)","0.039"" (1.00mm)"
https://www.murata.com/en-us/products/productdata/8796784558110/S0280E.pdf,//media.digikey.com/photos/Murata%20Photos/SFSCE10M7WF05-R0.JPG,490-4677-1-ND,SFSCE10M7WF05-R0,Murata Electronics North America,FILTER 10.7 MHZ 325 KHZ BAND SMD,3633,0,"4.79000","0","1","Cut Tape (CT)","SFSCE","Active","10.7MHz Center","470Ohm","325kHz","6dB","FM","Surface Mount","1715 (4538 Metric), 4 PC Pad","0.177"" L x 0.150"" W (4.50mm x 3.80mm)","0.039"" (1.00mm)"
https://www.murata.com/en-us/products/productdata/8796784558110/S0280E.pdf,//media.digikey.com/photos/Murata%20Photos/SFSCE10M7WF05-R0.JPG,490-4677-6-ND,SFSCE10M7WF05-R0,Murata Electronics North America,FILTER 10.7 MHZ 325 KHZ BAND SMD,3633,0,"Digi-Reel","0","1","Digi-Reel®","SFSCE","Active","10.7MHz Center","470Ohm","325kHz","6dB","FM","Surface Mount","1715 (4538 Metric), 4 PC Pad","0.177"" L x 0.150"" W (4.50mm x 3.80mm)","0.039"" (1.00mm)"
-,//media.digikey.com/Renders/Murata%20Renders/ZRB-SERIES-0402.jpg,LFB182G45CG8D300-ND,LFB182G45CG8D300,Murata Electronics North America,FILTER BANDPASS 2.45GHZ 0603,4000,0,"0.13090","0","4000","-","*","Active","-","-","-","-","-","-","-","-","-"
https://product.tdk.com/info/en/documents/data_sheet/rf_lpf_dea070960lt-4006b1_en.pdf,//media.digikey.com/Renders/TDK%20Renders/DEA07x9x0LT-400xB1.jpg,445-173062-1-ND,DEA070960LT-4006B1,TDK Corporation,CER FILTER 892MHZ LOW PASS,9838,0,"0.72000","0","1","Cut Tape (CT)","DEA","Active","892MHz Center","-","136MHz","-","Low Pass","Surface Mount","0202 (0505 Metric), 4 PC Pad","0.026"" L x 0.020"" W (0.65mm x 0.50mm)","0.012"" (0.30mm)"
//media.digikey.com/pdf/Data%20Sheets/Johanson%20Technology/0400FA18A0400.pdf,//media.digikey.com/photos/Johanson%20Tech%20Photos/0400FA18A0400E.JPG,712-1113-2-ND,0400FA18A0400E,Johanson Technology Inc.,FILTER ARRAY EMI,0,0,"Obsolete","0","3000","Tape & Reel (TR)","-","Obsolete","400MHz Cut Off","50Ohm","350MHz","20dB","FM","Surface Mount","1206 (3216 Metric), 10 PC Pad","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.043"" (1.10mm)"
//media.digikey.com/pdf/Data%20Sheets/Johanson%20Technology/0400FA18A0400.pdf,//media.digikey.com/photos/Johanson%20Tech%20Photos/0400FA18A0400E.JPG,712-1113-1-ND,0400FA18A0400E,Johanson Technology Inc.,FILTER ARRAY EMI,2911,0,"0.99000","0","1","Cut Tape (CT)","-","Obsolete","400MHz Cut Off","50Ohm","350MHz","20dB","FM","Surface Mount","1206 (3216 Metric), 10 PC Pad","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.043"" (1.10mm)"
//media.digikey.com/pdf/Data%20Sheets/Johanson%20Technology/0400FA18A0400.pdf,//media.digikey.com/photos/Johanson%20Tech%20Photos/0400FA18A0400E.JPG,712-1113-6-ND,0400FA18A0400E,Johanson Technology Inc.,FILTER ARRAY EMI,2911,0,"Digi-Reel","0","1","Digi-Reel®","-","Obsolete","400MHz Cut Off","50Ohm","350MHz","20dB","FM","Surface Mount","1206 (3216 Metric), 10 PC Pad","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.043"" (1.10mm)"
https://www.murata.com/en-eu/products/productdata/8796793438238/L0180E.pdf,//media.digikey.com/photos/Murata%20Photos/SFECF%20SERIES.jpg,490-4678-2-ND,SFECF10M7DF00-R0,Murata Electronics North America,FILTER 10.7 MHZ 150 KHZ BAND SMD,0,0,"0.71213","0","2000","Tape & Reel (TR)","CERAFIL®, SFECF","Active","10.7MHz Center","330Ohm","150kHz","6dB","FM","Surface Mount","1412 (3531 Metric), 6 PC Pad","0.136"" L x 0.122"" W (3.45mm x 3.10mm)","0.055"" (1.40mm)"
https://www.murata.com/en-eu/products/productdata/8796793438238/L0180E.pdf,//media.digikey.com/photos/Murata%20Photos/SFECF%20SERIES.jpg,490-4678-1-ND,SFECF10M7DF00-R0,Murata Electronics North America,FILTER 10.7 MHZ 150 KHZ BAND SMD,866,0,"2.30000","0","1","Cut Tape (CT)","CERAFIL®, SFECF","Active","10.7MHz Center","330Ohm","150kHz","6dB","FM","Surface Mount","1412 (3531 Metric), 6 PC Pad","0.136"" L x 0.122"" W (3.45mm x 3.10mm)","0.055"" (1.40mm)"
https://www.murata.com/en-eu/products/productdata/8796793438238/L0180E.pdf,//media.digikey.com/photos/Murata%20Photos/SFECF%20SERIES.jpg,490-4678-6-ND,SFECF10M7DF00-R0,Murata Electronics North America,FILTER 10.7 MHZ 150 KHZ BAND SMD,866,0,"Digi-Reel","0","1","Digi-Reel®","CERAFIL®, SFECF","Active","10.7MHz Center","330Ohm","150kHz","6dB","FM","Surface Mount","1412 (3531 Metric), 6 PC Pad","0.136"" L x 0.122"" W (3.45mm x 3.10mm)","0.055"" (1.40mm)"
https://www.murata.com/~/media/webrenewal/support/library/catalog/products/filter/cerafil/p50e.ashx,//media.digikey.com/Photos/Murata%20Photos/SFSKA5M50CF00-R3.JPG,490-8574-2-ND,SFSKA5M50CF00-R3,Murata Electronics North America,FILTER 5.5MHZ 60KHZ BAND SMD,0,0,"1.03725","0","3000","Tape & Reel (TR)","CERAFIL®, SFSKA","Active","5.5MHz Center","600Ohm","60kHz","6dB","Discriminator","Surface Mount","6-SMD, No Lead","0.335"" L x 0.150"" W (8.50mm x 3.80mm)","0.079"" (2.00mm)"
https://www.murata.com/~/media/webrenewal/support/library/catalog/products/filter/cerafil/p50e.ashx,//media.digikey.com/Photos/Murata%20Photos/SFSKA5M50CF00-R3.JPG,490-8574-1-ND,SFSKA5M50CF00-R3,Murata Electronics North America,FILTER 5.5MHZ 60KHZ BAND SMD,1372,0,"2.36000","0","1","Cut Tape (CT)","CERAFIL®, SFSKA","Active","5.5MHz Center","600Ohm","60kHz","6dB","Discriminator","Surface Mount","6-SMD, No Lead","0.335"" L x 0.150"" W (8.50mm x 3.80mm)","0.079"" (2.00mm)"
https://www.murata.com/~/media/webrenewal/support/library/catalog/products/filter/cerafil/p50e.ashx,//media.digikey.com/Photos/Murata%20Photos/SFSKA5M50CF00-R3.JPG,490-8574-6-ND,SFSKA5M50CF00-R3,Murata Electronics North America,FILTER 5.5MHZ 60KHZ BAND SMD,1372,0,"Digi-Reel","0","1","Digi-Reel®","CERAFIL®, SFSKA","Active","5.5MHz Center","600Ohm","60kHz","6dB","Discriminator","Surface Mount","6-SMD, No Lead","0.335"" L x 0.150"" W (8.50mm x 3.80mm)","0.079"" (2.00mm)"
https://www.murata.com/~/media/webrenewal/support/library/catalog/products/filter/cerafil/p51e.ashx?la=en-us,//media.digikey.com/photos/Murata%20Photos/SFECF%20SERIES.jpg,490-4679-2-ND,SFECF10M7EA00-R0,Murata Electronics North America,FILTER 10.7 MHZ 330 KHZ BAND SMD,0,0,"0.60112","0","2000","Tape & Reel (TR)","CERAFIL®, SFECF","Active","10.7MHz Center","330Ohm","330kHz","3dB","FM","Surface Mount","1412 (3531 Metric), 6 PC Pad","0.136"" L x 0.122"" W (3.45mm x 3.10mm)","0.055"" (1.40mm)"
https://www.murata.com/~/media/webrenewal/support/library/catalog/products/filter/cerafil/p51e.ashx?la=en-us,//media.digikey.com/photos/Murata%20Photos/SFECF%20SERIES.jpg,490-4679-1-ND,SFECF10M7EA00-R0,Murata Electronics North America,FILTER 10.7 MHZ 330 KHZ BAND SMD,64,0,"1.94000","0","1","Cut Tape (CT)","CERAFIL®, SFECF","Active","10.7MHz Center","330Ohm","330kHz","3dB","FM","Surface Mount","1412 (3531 Metric), 6 PC Pad","0.136"" L x 0.122"" W (3.45mm x 3.10mm)","0.055"" (1.40mm)"
