Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Filter Type","Configuration","Voltage - Rated DC","Voltage - Rated AC","Voltage - Rated AC (Phase to Ground/Neutral)","Voltage - Rated AC (Phase to Phase)","Current","Frequency - Operating","Applications","Approvals","Operating Temperature","Mounting Type","Termination Style","Inductance"
http://www.deltaww.com/filecenter/products/download/01/0102/datasheet/DS_FL75L07.pdf,//media.digikey.com/Photos/Delta%20Photos/FL75L07A.jpg,603-1256-2-ND,FL75L07A,Delta Electronics,LINE FILTER 75VAC 7A SMD,700,0,"10.58650","0","100","Delphi","Active","DC","Two Stage","-","75V","-","-","7A","-","General Purpose","cUL, UL, VDE","-40°C ~ 115°C","Surface Mount","SMD (SMT) Tab","-"
http://www.deltaww.com/filecenter/products/download/01/0102/datasheet/DS_FL75L07.pdf,//media.digikey.com/Photos/Delta%20Photos/FL75L07A.jpg,603-1256-1-ND,FL75L07A,Delta Electronics,LINE FILTER 75VAC 7A SMD,789,0,"16.98000","0","1","Delphi","Active","DC","Two Stage","-","75V","-","-","7A","-","General Purpose","cUL, UL, VDE","-40°C ~ 115°C","Surface Mount","SMD (SMT) Tab","-"
http://www.deltaww.com/filecenter/products/download/01/0102/datasheet/DS_FL75L07.pdf,//media.digikey.com/Photos/Delta%20Photos/FL75L07A.jpg,603-1256-6-ND,FL75L07A,Delta Electronics,LINE FILTER 75VAC 7A SMD,789,0,"Digi-Reel","0","1","Delphi","Active","DC","Two Stage","-","75V","-","-","7A","-","General Purpose","cUL, UL, VDE","-40°C ~ 115°C","Surface Mount","SMD (SMT) Tab","-"
https://www.schaffner.com/products/download/product/datasheet/fn-405-pcb-mounting-filter/,//media.digikey.com/photos/Schaffner%20EMC%20Photos/FN405-0.5-02.JPG,817-1187-ND,FN405-0.5-02,Schaffner EMC Inc.,LINE FILTER 250VAC 500MA TH,559,0,"10.66000","0","1","FN 405","Active","Single Phase","Single Stage","-","250V","-","-","500mA","DC ~ 400Hz","General Purpose","CSA, ENEC, UR","-25°C ~ 100°C","Through Hole","PC Pins","24mH"
https://www.schaffner.com/products/download/product/datasheet/fn-405-pcb-mounting-filter/,//media.digikey.com/photos/Schaffner%20EMC%20Photos/FN405-1-02.JPG,817-1188-ND,FN405-1-02,Schaffner EMC Inc.,LINE FILTER 250VAC 1A TH,395,0,"10.78000","0","1","FN 405","Active","Single Phase","Single Stage","-","250V","-","-","1A","DC ~ 400Hz","General Purpose","CSA, ENEC, UR","-25°C ~ 100°C","Through Hole","PC Pins","10mH"
https://www.schaffner.com/products/download/product/datasheet/fn-406-ultra-compact-emc-filter/,//media.digikey.com/photos/Schaffner%20EMC%20Photos/FN406-1-02.JPG,817-1193-ND,FN406-1-02,Schaffner EMC Inc.,LINE FILTER 250VAC 1A TH,3503,1500,"11.06000","0","1","FN 406","Active","Single Phase","Single Stage","-","250V","-","-","1A","DC ~ 400Hz","General Purpose","CSA, ENEC, UR","-25°C ~ 100°C","Through Hole","PC Pins","12mH"
https://www.schaffner.com/products/download/product/datasheet/fn-402-low-cost-pcb-filter/,//media.digikey.com/photos/Schaffner%20EMC%20Photos/FN402-1-02.JPG,817-1182-ND,FN402-1-02,Schaffner EMC Inc.,LINE FILTER 250VAC 1A TH,679,1000,"11.13000","0","1","FN 402","Active","Single Phase","Single Stage","-","250V","-","-","1A","DC ~ 400Hz","General Purpose","CSA, ENEC, UR","-25°C ~ 100°C","Through Hole","PC Pins","10mH"
https://www.schaffner.com/products/download/product/datasheet/fn-406-ultra-compact-emc-filter/,//media.digikey.com/photos/Schaffner%20EMC%20Photos/FN406-3-02.JPG,817-1194-ND,FN406-3-02,Schaffner EMC Inc.,LINE FILTER 250VAC 3A TH,1785,0,"11.14000","0","1","FN 406","Active","Single Phase","Single Stage","-","250V","-","-","3A","DC ~ 400Hz","General Purpose","CSA, ENEC, UR","-25°C ~ 100°C","Through Hole","PC Pins","2.5mH"
"//media.digikey.com/pdf/Data%20Sheets/Lineage%20Power/FLT007A0Z,A0-SRZ.pdf",//media.digikey.com/Photos/Lineage%20Photos/FLT007A0-SRZ.jpg,555-1154-2-ND,FLT007A0-SRZ,ABB Embedded Power,LINE FILTER 75VDC 7A SMD,2580,0,"11.60493","0","140","FLT","Active","DC","Two Stage","75V","-","-","-","7A","-","General Purpose","CE, CSA, UL, VDE","-40°C ~ 85°C","Surface Mount","SMD (SMT) Tab","-"
"//media.digikey.com/pdf/Data%20Sheets/Lineage%20Power/FLT007A0Z,A0-SRZ.pdf",//media.digikey.com/Photos/Lineage%20Photos/FLT007A0-SRZ.jpg,555-1154-1-ND,FLT007A0-SRZ,ABB Embedded Power,LINE FILTER 75VDC 7A SMD,2604,0,"19.02000","0","1","FLT","Active","DC","Two Stage","75V","-","-","-","7A","-","General Purpose","CE, CSA, UL, VDE","-40°C ~ 85°C","Surface Mount","SMD (SMT) Tab","-"
"//media.digikey.com/pdf/Data%20Sheets/Lineage%20Power/FLT007A0Z,A0-SRZ.pdf",//media.digikey.com/Photos/Lineage%20Photos/FLT007A0-SRZ.jpg,555-1154-6-ND,FLT007A0-SRZ,ABB Embedded Power,LINE FILTER 75VDC 7A SMD,2604,0,"Digi-Reel","0","1","FLT","Active","DC","Two Stage","75V","-","-","-","7A","-","General Purpose","CE, CSA, UL, VDE","-40°C ~ 85°C","Surface Mount","SMD (SMT) Tab","-"
http://www.qualtekusa.com/images/EMI_Filters/pdf/85105005.pdf,//media.digikey.com/Photos/Qualtek%20Photos/851-05%5E005.JPG,Q460-ND,851-05/005,Qualtek,LINE FILTER 115/250VAC 5A CHAS,1737,0,"11.94000","0","1","851","Active","Single Phase","Single Stage","-","115V, 250V","-","-","5A","50/60Hz","General Purpose","CSA, UR, VDE","-25°C ~ 85°C","Chassis Mount","Quick Connect","2.9mH"
http://www.qualtekusa.com/images/EMI_Filters/pdf/85103003.pdf,//media.digikey.com/Photos/Qualtek%20Photos/851-03%5E003.JPG,Q458-ND,851-03/003,Qualtek,LINE FILTER 115/250VAC 3A CHAS,1979,0,"12.52000","0","1","851","Active","Single Phase","Single Stage","-","115V, 250V","-","-","3A","50/60Hz","General Purpose","CSA, UR, VDE","-25°C ~ 85°C","Chassis Mount","Quick Connect","2.8mH"
http://www.qualtekusa.com/images/EMI_Filters/pdf/85105006.pdf,//media.digikey.com/photos/Qualtek%20Photos/851-05^006.JPG,Q461-ND,851-05/006,Qualtek,LINE FILTER 115/250VAC 5A CHAS,1905,0,"13.04000","0","1","851","Active","Single Phase","Single Stage","-","115V, 250V","-","-","5A","50/60Hz","General Purpose","CSA, UR, VDE","-25°C ~ 85°C","Chassis Mount","Wire Leads","2.9mH"
https://www.schaffner.com/products/download/product/datasheet/fn-2010-general-purpose-emcemi-filter/,//media.digikey.com/photos/Schaffner%20EMC%20Photos/FN2010-1-06.JPG,817-1242-ND,FN2010-3-06,Schaffner EMC Inc.,LINE FILTER 250VAC 3A CHASS MNT,1660,0,"13.96000","0","1","FN 2010","Active","Single Phase","Single Stage","-","250V","-","-","3A","DC ~ 400Hz","General Purpose","CSA, ENEC, UR","-25°C ~ 100°C","Chassis Mount","Quick Connect","2.5mH"
https://www.schaffner.com/products/download/product/datasheet/fn-2010-general-purpose-emcemi-filter/,//media.digikey.com/photos/Schaffner%20EMC%20Photos/FN2010-1-06.JPG,817-1246-ND,FN2010-10-06,Schaffner EMC Inc.,LINE FILTER 250VAC 10A CHASS MNT,190,60,"14.53000","0","1","FN 2010","Active","Single Phase","Single Stage","-","250V","-","-","10A","DC ~ 400Hz","General Purpose","CSA, ENEC, UR","-25°C ~ 100°C","Chassis Mount","Quick Connect","800µH"
https://www.curtisind.com/wp-content/uploads/F1100-F1150-F1199-RFI-Filters.pdf,//media.digikey.com/photos/Curtis%20Industries%20Photos/f1199aa02.JPG,364-1049-ND,F1199AA02,Curtis Industries,LINE FILTER 250VAC 2A CHASS MNT,548,0,"15.20000","0","1","F1199","Active","Single Phase","Single Stage","-","250V","-","-","2A","50/60Hz","General Purpose","CE, CSA, TUV, UR","-","Chassis Mount","Quick Connect","-"
http://www.deltaww.com/filecenter/Products/download/04/0406/general_one/DK.pdf,//media.digikey.com/Photos/Delta%20Photos/16DKCG5B.JPG,1144-1100-ND,16DKCG5B,Delta Electronics,LINE FILTER 115/250VAC 16A CHASS,431,0,"15.58000","0","1","DK","Active","Single Phase","Single Stage","-","115V, 250V","-","-","16A","50/60Hz","General Purpose","CSA, UR, VDE","-25°C ~ 100°C","Chassis Mount","Quick Connect","650µH"
"//media.digikey.com/pdf/Data%20Sheets/Lineage%20Power/FLT007A0Z,A0-SRZ.pdf",//media.digikey.com/Photos/Lineage%20Photos/FLT007A0Z.jpg,555-1156-ND,FLT007A0Z,ABB Embedded Power,LINE FILTER 75VDC 7A TH,8114,0,"15.66000","0","1","FLT","Active","Single Phase","Two Stage","75V","-","-","-","7A","-","General Purpose","CE, CSA, UL, VDE","-40°C ~ 85°C","Through Hole","PC Pins","-"
https://www.curtisind.com/wp-content/uploads/F1100-F1150-F1199-RFI-Filters.pdf,//media.digikey.com/photos/Curtis%20Industries%20Photos/F1199AA10.JPG,364-1052-ND,F1199AA10,Curtis Industries,LINE FILTER 250VAC 10A CHASS MNT,255,0,"15.82000","0","1","F1199","Active","Single Phase","Single Stage","-","250V","-","-","10A","50/60Hz","General Purpose","CE, CSA, TUV, UR","-","Chassis Mount","Quick Connect","-"
https://www.schaffner.com/products/download/product/datasheet/fn-2020-general-purpose-emi-filter/,//media.digikey.com/photos/Schaffner%20EMC%20Photos/FN2020-3-06.JPG,817-1260-ND,FN2020-3-06,Schaffner EMC Inc.,LINE FILTER 250VAC 3A CHASS MNT,2568,240,"16.00000","0","1","FN 2020","Active","Single Phase","Single Stage","-","250V","-","-","3A","DC ~ 400Hz","General Purpose","CSA, ENEC, UR","-25°C ~ 100°C","Chassis Mount","Quick Connect","2.5mH"
https://www.schaffner.com/products/download/product/datasheet/fn-2020-general-purpose-emi-filter/,//media.digikey.com/photos/Schaffner%20EMC%20Photos/FN2020-6-06.JPG,817-1262-ND,FN2020-6-06,Schaffner EMC Inc.,LINE FILTER 250VAC 6A CHASS MNT,1363,60,"16.30000","0","1","FN 2020","Active","Single Phase","Single Stage","-","250V","-","-","6A","DC ~ 400Hz","General Purpose","CSA, ENEC, UR","-25°C ~ 100°C","Chassis Mount","Quick Connect","1mH"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=5VB1&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/5VB1.JPG,CCM1303-ND,5VB1,TE Connectivity Corcom Filters,LINE FILTER 250VAC 5A CHASS MNT,334,0,"16.38000","0","1","B","Active","Single Phase","Single Stage","-","250V","-","-","5A","50/60Hz","General Purpose","CSA, UR, VDE","-10°C ~ 40°C","Chassis Mount","Quick Connect","516µH"
https://www.schaffner.com/products/download/product/datasheet/fn-2030-general-purpose-emcemi-filter-with-high-attenuation-performance/,//media.digikey.com/photos/Schaffner%20EMC%20Photos/FN2030-10-06.JPG,817-1275-ND,FN2030-10-06,Schaffner EMC Inc.,LINE FILTER 250VAC 10A CHASS MNT,172,0,"16.38000","0","1","FN 2030","Active","Single Phase","Single Stage","-","250V","-","-","10A","DC ~ 400Hz","General Purpose","CSA, ENEC, UR","-25°C ~ 100°C","Chassis Mount","Quick Connect","8mH"
https://belfuse.com/resources/datasheets/powersolutions/ds-bps-f&fc-series.pdf,//media.digikey.com/photos/Power-One%20Photos/Power-One-FC100V10A-G.jpg,179-2283-ND,FC100V10A-G,Bel Power Solutions,LINE FILTER 100VDC 10A TH,697,0,"16.43000","0","1","FC","Active","Single Phase","Single Stage","100V","-","-","-","10A","-","General Purpose","-","-40°C ~ 100°C","Through Hole","PC Pins","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=2VB3&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/2VB3.jpg,CCM1311-ND,2VB3,TE Connectivity Corcom Filters,LINE FILTER 250VAC 2A CHASS MNT,408,0,"16.53000","0","1","B","Active","Single Phase","Single Stage","-","250V","-","-","2A","50/60Hz","General Purpose","CSA, UR, VDE","-10°C ~ 40°C","Chassis Mount","Wire Leads","539µH"
http://www.deltaww.com/filecenter/Products/download/04/0406/general_two/DR.pdf,//media.digikey.com/photos/Delta%20Photos/10DRCG5.JPG,603-1137-ND,10DRCG5,Delta Electronics,LINE FILTER 115/250VAC 10A CHASS,2812,0,"16.72000","0","1","DR","Active","Single Phase","Two Stage","-","115V, 250V","-","-","10A","50/60Hz","General Purpose","CSA, UR, VDE","-25°C ~ 100°C","Chassis Mount","Quick Connect","1mH"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=6EH1&DocType=Customer+Drawing&DocLang=English,"//media.digikey.com/photos/Tyco%20Corcom%20Photos/1VB1,2VB1,6EH1.jpg",CCM1608-ND,6609012-3,TE Connectivity Corcom Filters,LINE FILTER 250VAC 6A CHASS MNT,174,0,"16.92000","0","1","H","Active","Single Phase","Single Stage","-","250V","-","-","6A","50/60Hz","General Purpose","CSA, UR, VDE","-10°C ~ 40°C","Chassis Mount","Quick Connect","465µH"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=10VB3&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/photos/Tyco%20Photos/Tyco%20Electronics%20Corcom-10VB3.jpg,CCM1314-ND,10VB3,TE Connectivity Corcom Filters,LINE FILTER 250VAC 10A CHASS MNT,902,0,"17.39000","0","1","B","Active","Single Phase","Single Stage","-","250V","-","-","10A","50/60Hz","General Purpose","CSA, UR, VDE","-10°C ~ 40°C","Chassis Mount","Wire Leads","495µH"
//media.digikey.com/pdf/Data%20Sheets/Lineage%20Power/FLTR75V05.pdf,//media.digikey.com/Photos/GE%20Energy/FLTR75V05Z.JPG,555-1103-ND,FLTR75V05Z,ABB Embedded Power,LINE FILTER 75VDC 5A TH,1300,0,"17.17000","0","1","FLT","Active","Single Phase","Two Stage","75V","-","-","-","5A","-","General Purpose","-","-40°C ~ 100°C","Through Hole","PC Pins","-"
https://www.schaffner.com/products/download/product/datasheet/fn-2010-general-purpose-emcemi-filter/,//media.digikey.com/photos/Schaffner%20EMC%20Photos/FN2010-1-06.JPG,817-1252-ND,FN2010-20-06,Schaffner EMC Inc.,LINE FILTER 250VAC 20A CHASS MNT,365,0,"17.24000","0","1","FN 2010","Active","Single Phase","Single Stage","-","250V","-","-","20A","DC ~ 400Hz","General Purpose","CSA, ENEC, UR","-25°C ~ 100°C","Chassis Mount","Quick Connect","600µH"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1654001_CORCOM_PRODUCT_GUIDE_EBP_EDP_EOP&DocType=CS&DocLang=English,//media.digikey.com/photos/Tyco%20Photos/3EDP.JPG,CCM1365-ND,3EDP,TE Connectivity Corcom Filters,LINE FILTER 250VAC 3A TH,1054,0,"17.31000","0","1","EDP","Active","Single Phase","Single Stage","-","250V","-","-","3A","50/60Hz","General Purpose","CSA, UR, VDE","-10°C ~ 40°C","Through Hole","PC Pins","-"
https://www.schaffner.com/products/download/product/datasheet/fn-2030-general-purpose-emcemi-filter-with-high-attenuation-performance/,//media.digikey.com/photos/Schaffner%20EMC%20Photos/FN2030-3-06.JPG,817-1281-ND,FN2030-3-06,Schaffner EMC Inc.,LINE FILTER 250VAC 3A CHASS MNT,563,0,"18.07000","0","1","FN 2030","Active","Single Phase","Single Stage","-","250V","-","-","3A","DC ~ 400Hz","General Purpose","CSA, ENEC, UR","-25°C ~ 100°C","Chassis Mount","Quick Connect","14mH"
https://www.schaffner.com/products/download/product/datasheet/fn-2030-general-purpose-emcemi-filter-with-high-attenuation-performance/,//media.digikey.com/photos/Schaffner%20EMC%20Photos/FN2030-6-06.JPG,817-1283-ND,FN2030-6-06,Schaffner EMC Inc.,LINE FILTER 250VAC 6A CHASS MNT,181,0,"18.61000","0","1","FN 2030","Active","Single Phase","Single Stage","-","250V","-","-","6A","DC ~ 400Hz","General Purpose","CSA, ENEC, UR","-25°C ~ 100°C","Chassis Mount","Quick Connect","8mH"
http://www.deltaww.com/filecenter/products/download/01/0102/datasheet/DS_FL75L05.pdf,//media.digikey.com/Photos/Delta%20Photos/FL75L05-A.jpg,603-1255-ND,FL75L05 A,Delta Electronics,LINE FILTER 75VAC 5A TH,414,0,"19.74000","0","1","Delphi","Active","DC","Two Stage","-","75V","-","-","5A","-","General Purpose","cUL, UL, VDE","-40°C ~ 120°C","Through Hole","PC Pins","-"
http://apps.geindustrial.com/publibrary/checkout/FLTR100V10?TNR=Data%20Sheets|FLTR100V10|generic,//media.digikey.com/Photos/GE%20Energy/FLTR100V10Z.JPG,555-1101-ND,FLTR100V10Z,ABB Embedded Power,LINE FILTER 75VDC 10A TH,3572,0,"18.99000","0","1","FLT","Active","Single Phase","Two Stage","75V","-","-","-","10A","-","General Purpose","CE, CSA, UL, VDE","-40°C ~ 100°C","Through Hole","PC Pins","-"
https://www.schaffner.com/products/download/product/datasheet/fn-2020-general-purpose-emi-filter/,//media.digikey.com/photos/Schaffner%20EMC%20Photos/FN2020-20-06.JPG,817-1271-ND,FN2020-20-06,Schaffner EMC Inc.,LINE FILTER 250VAC 20A CHASS MNT,432,90,"19.15000","0","1","FN 2020","Active","Single Phase","Single Stage","-","250V","-","-","20A","DC ~ 400Hz","General Purpose","CSA, ENEC, UR","-25°C ~ 100°C","Chassis Mount","Quick Connect","600µH"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=10VSB1&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/Tyco%20Photos/10VSB1.jpg,CCM9065-ND,1-1609034-5,TE Connectivity Corcom Filters,LINE FILTER 250VDC/VAC 10A CHASS,514,0,"19.40000","0","1","SB","Active","Single Phase","Single Stage","250V","250V","-","-","10A","50/60Hz","General Purpose","CSA, UR, VDE","-10°C ~ 40°C","Chassis Mount","Quick Connect","1.1mH"
https://www.cui.com/product/resource/digikeypdf/vfm-xx.pdf,//media.digikey.com/Photos/CUI%20Photos/MFG_VFM-10A.jpg,102-2054-ND,VFM-10A,CUI Inc.,LINE FILTER 75VDC 10A TH,1009,0,"19.60000","0","1","VFM-XX","Active","DC","Single Stage","75V","-","-","-","10A","-","General Purpose","-","-40°C ~ 100°C","Through Hole","PC Pins","-"
http://www.deltaww.com/filecenter/products/download/01/0102/datasheet/DS_FL75L10.pdf,//media.digikey.com/Photos/Delta%20Photos/FL75L10A.jpg,603-1257-ND,FL75L10A,Delta Electronics,LINE FILTER 75VAC 10A TH,818,0,"19.85000","0","1","Delphi","Active","DC","Two Stage","-","75V","-","-","10A","-","General Purpose","-","-40°C ~ 110°C","Through Hole","PC Pins","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1654001_CORCOM_PRODUCT_GUIDE_EMC_SERIES&DocType=CS&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/10EMC1.JPG,CCM1741-ND,10EMC1,TE Connectivity Corcom Filters,LINE FILTER 250VAC 10A CHASS MNT,742,0,"21.05000","0","1","EMC","Active","Single Phase","Two Stage","-","250V","-","-","10A","50/60Hz","General Purpose","CSA, UR, VDE","-10°C ~ 40°C","Chassis Mount","Quick Connect","-"
http://www.deltaww.com/filecenter/Products/download/04/0406/general_one/DK.pdf,//media.digikey.com/Photos/Delta%20Photos/30DKCS5.jpg,603-1669-ND,30DKCS5,Delta Electronics,LINE FILTER 115/250VAC 30A CHASS,640,0,"20.58000","0","1","DK","Active","Single Phase","Single Stage","-","115V, 250V","-","-","30A","50/60Hz","General Purpose","CSA, UR, VDE","-25°C ~ 100°C","Chassis Mount","Threaded Post (8-32)","590µH"
https://www.schaffner.com/products/download/product/datasheet/fn-2060-multi-stage-general-purpose-emcemi-filter/,//media.digikey.com/photos/Schaffner%20EMC%20Photos/FN2060-10-06.JPG,817-1291-ND,FN2060-10-06,Schaffner EMC Inc.,LINE FILTER 250VAC 10A CHASS MNT,1042,900,"20.64000","0","1","FN 2060","Active","Single Phase","Two Stage","-","250V","-","-","10A","DC ~ 400Hz","General Purpose","CE, CSA, ENEC, UR","-25°C ~ 100°C","Chassis Mount","Quick Connect","800µH"
https://www.schaffner.com/products/download/product/datasheet/fn-2090-multi-stage-emcemi-filter-with-excellent-attenuation-performance/,//media.digikey.com/photos/Schaffner%20EMC%20Photos/FN2090-4-06.JPG,817-1337-ND,FN2090-6-06,Schaffner EMC Inc.,LINE FILTER 110/250VAC 6A CHAS,796,0,"21.55000","0","1","FN 2090","Active","Single Phase","Two Stage","-","110V, 250V","-","-","6A","DC ~ 400Hz","General Purpose","CE, CSA, ENEC, UR","-20°C ~ 100°C","Chassis Mount","Quick Connect","8mH"
https://www.schaffner.com/products/download/product/datasheet/fn-2030-general-purpose-emcemi-filter-with-high-attenuation-performance/,//media.digikey.com/photos/Schaffner%20EMC%20Photos/FN2030-20-06.JPG,817-1279-ND,FN2030-20-06,Schaffner EMC Inc.,LINE FILTER 250VAC 20A CHASS MNT,577,320,"22.12000","0","1","FN 2030","Active","Single Phase","Single Stage","-","250V","-","-","20A","DC ~ 400Hz","General Purpose","CSA, ENEC, UR","-25°C ~ 100°C","Chassis Mount","Quick Connect","4mH"
https://www.schaffner.com/products/download/product/datasheet/fn-2090-multi-stage-emcemi-filter-with-excellent-attenuation-performance/,//media.digikey.com/photos/Schaffner%20EMC%20Photos/FN2090-4-06.JPG,817-1903-ND,FN2090A-6-06,Schaffner EMC Inc.,LINE FILTER 110/250VAC 6A CHAS,177,0,"22.71000","0","1","FN 2090","Active","Single Phase","Two Stage","-","110V, 250V","-","-","6A","DC ~ 400Hz","Safety","CE, CSA, ENEC, UR","-20°C ~ 100°C","Chassis Mount","Quick Connect","8mH"
https://www.schaffner.com/products/download/product/datasheet/fn-2020-general-purpose-emi-filter/,//media.digikey.com/photos/Schaffner%20EMC%20Photos/FN2020-20-08.JPG,817-1272-ND,FN2020-20-08,Schaffner EMC Inc.,LINE FILTER 250VAC 20A CHASS MNT,250,0,"23.24000","0","1","FN 2020","Active","Single Phase","Single Stage","-","250V","-","-","20A","DC ~ 400Hz","General Purpose","CSA, ENEC, UR","-25°C ~ 100°C","Chassis Mount","Threaded Post (M4)","600µH"
https://www.us.tdk-lambda.com/ftp/specs/etl_rsen.pdf,//media.digikey.com/Photos/TDK%20Photos/MFG_RSEN-2003-2060.jpg,285-2522-ND,RSEN-2020D,TDK-Lambda Americas Inc.,LINE FILTER 250VDC/VAC 20A DIN,187,0,"23.73000","0","1","RSEN","Active","Single Phase","Single Stage","250V","250V","-","-","20A","-","General Purpose","CSA, EN, UL","-25°C ~ 85°C","DIN Rail","Terminal Block","-"
https://www.schaffner.com/products/download/product/datasheet/fn-2080-multi-stage-high-performance-emcemi-filter/,//media.digikey.com/photos/Schaffner%20EMC%20Photos/FN2080-6-06.JPG,817-1321-ND,FN2080-6-06,Schaffner EMC Inc.,LINE FILTER 110/250VAC 6A CHAS,711,0,"26.75000","0","1","FN 2080","Active","Single Phase","Two Stage","-","110V, 250V","-","-","6A","DC ~ 400Hz","General Purpose","CSA, ENEC, UR","-25°C ~ 100°C","Chassis Mount","Quick Connect","7.8mH"
https://www.schaffner.com/products/download/product/datasheet/fn-2090-multi-stage-emcemi-filter-with-excellent-attenuation-performance/,//media.digikey.com/photos/Schaffner%20EMC%20Photos/FN2090-4-06.JPG,817-1330-ND,FN2090-10-06,Schaffner EMC Inc.,LINE FILTER 110/250VAC 10A CHASS,429,0,"27.62000","0","1","FN 2090","Active","Single Phase","Two Stage","-","110V, 250V","-","-","10A","DC ~ 400Hz","General Purpose","CE, CSA, ENEC, UR","-20°C ~ 100°C","Chassis Mount","Quick Connect","8mH"
https://www.schaffner.com/products/download/product/datasheet/fn-2070-multi-stage-performancey-emcemi-filter/,//media.digikey.com/photos/Schaffner%20EMC%20Photos/FN2070-6-06.JPG,817-1305-ND,FN2070-6-06,Schaffner EMC Inc.,LINE FILTER 110/250VAC 6A CHAS,130,900,"28.12000","0","1","FN 2070","Active","Single Phase","Two Stage","-","110V, 250V","-","-","6A","DC ~ 400Hz","General Purpose","CSA, ENEC, UR","-25°C ~ 100°C","Chassis Mount","Quick Connect","7.8mH"
//media.digikey.com/pdf/Data%20Sheets/Lineage%20Power/FLTR100V20.pdf,//media.digikey.com/Photos/GE%20Energy/FLTR100V20Z.JPG,555-1102-ND,FLTR100V20Z,ABB Embedded Power,LINE FILTER 75VDC 20A TH,2044,0,"28.38000","0","1","FLT","Active","Single Phase","Three Stage","75V","-","-","-","20A","-","General Purpose","CE, CSA, UL, VDE","-40°C ~ 100°C","Through Hole","PC Pins","-"
https://www.cui.com/product/resource/digikeypdf/vfm-xx.pdf,//media.digikey.com/Photos/CUI%20Photos/MFG_VFM-20A.jpg,102-2055-ND,VFM-20A,CUI Inc.,LINE FILTER 75VDC 20A TH,374,0,"31.10000","0","1","VFM-XX","Active","DC","Two Stage","75V","-","-","-","20A","-","General Purpose","-","-40°C ~ 100°C","Through Hole","PC Pins","-"
https://www.cui.com/product/resource/digikeypdf/vfm-xx.pdf,//media.digikey.com/Photos/CUI%20Photos/MFG_VFM-15C.jpg,102-2056-ND,VFM-15C,CUI Inc.,LINE FILTER 75VDC 15A CHASS MNT,1238,0,"31.82000","0","1","VFM-XX","Active","DC","Single Stage","75V","-","-","-","15A","-","General Purpose","-","-40°C ~ 100°C","Chassis Mount","Terminal Block","-"
https://www.schaffner.com/products/download/product/datasheet/fn-2080-multi-stage-high-performance-emcemi-filter/,//media.digikey.com/photos/Schaffner%20EMC%20Photos/FN2080-10-06.JPG,817-1323-ND,FN2080-10-06,Schaffner EMC Inc.,LINE FILTER 110/250VAC 10A CHASS,397,20,"32.91000","0","1","FN 2080","Active","Single Phase","Two Stage","-","110V, 250V","-","-","10A","DC ~ 400Hz","General Purpose","CSA, ENEC, UR","-25°C ~ 100°C","Chassis Mount","Quick Connect","4.5mH"
https://www.schaffner.com/products/download/product/datasheet/fn-2060-multi-stage-general-purpose-emcemi-filter/,//media.digikey.com/photos/Schaffner%20EMC%20Photos/FN2060-16-06.JPG,817-1295-ND,FN2060-16-06,Schaffner EMC Inc.,LINE FILTER 250VAC 16A CHASS MNT,417,20,"33.29000","0","1","FN 2060","Active","Single Phase","Two Stage","-","250V","-","-","16A","DC ~ 400Hz","General Purpose","CE, CSA, ENEC, UR","-25°C ~ 100°C","Chassis Mount","Quick Connect","650µH"
https://www.us.tdk-lambda.com/ftp/specs/etl_rshn.pdf,//media.digikey.com/Photos/TDK%20Photos/MFG_RSHN-%282003-2030%29.JPG,285-2629-ND,RSHN-2020,TDK-Lambda Americas Inc.,LINE FILTER 250VDC/VAC 20A CHASS,197,0,"35.94000","0","1","RSHN","Active","Single Phase","Two Stage","250V","250V","-","-","20A","-","General Purpose","CSA, EN, UL","-25°C ~ 85°C","Chassis Mount","Terminal Block","-"
https://www.schaffner.com/products/download/product/datasheet/fn-2080-multi-stage-high-performance-emcemi-filter/,//media.digikey.com/photos/Schaffner%20EMC%20Photos/FN2080-12-06.JPG,817-1325-ND,FN2080-12-06,Schaffner EMC Inc.,LINE FILTER 110/250VAC 12A CHASS,498,0,"36.07000","0","1","FN 2080","Active","Single Phase","Two Stage","-","110V, 250V","-","-","12A","DC ~ 400Hz","General Purpose","CSA, ENEC, UR","-25°C ~ 100°C","Chassis Mount","Quick Connect","3.25mH"
