Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Filter Type","Configuration","Voltage - Rated DC","Voltage - Rated AC","Voltage - Rated AC (Phase to Ground/Neutral)","Voltage - Rated AC (Phase to Phase)","Current","Frequency - Operating","Applications","Approvals","Operating Temperature","Mounting Type","Termination Style","Inductance"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=30AYP6C&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/30AYP6C.JPG,CCM1727-ND,30AYP6C,TE Connectivity Corcom Filters,LINE FILTER 30A CHASSIS MOUNT,5,0,"279.97000","0","1","A","Active","Three Phase (Wye)","Two Stage","-","-","250V","440V","30A","50/60Hz","General Purpose","CSA, UL","-10°C ~ 40°C","Chassis Mount","Threaded Post (1/4-20)","1.97mH"
https://www.schaffner.com/products/download/product/datasheet/fn-3256-compact-three-phase-and-neutral-line-emcemi-filter-for-machineryequipment/,//media.digikey.com/Photos/Schaffner%20EMC%20Photos/MFG_FN3256H-25-33.jpg,817-1366-ND,FN3256H-64-34,Schaffner EMC Inc.,LINE FILTER 480VAC 64A CHASS MNT,6,3,"290.57000","0","1","FN 3256","Active","Three Phase (Wye)","Single Stage","-","480V","300V","520V","64A","DC ~ 60Hz","General Purpose","CSA, ENEC, UR","-25°C ~ 100°C","Chassis Mount","Terminal Block","-"
https://www.schaffner.com/products/download/product/datasheet/fn-2200-dc-emcemi-filter-for-photovoltaic-inverters/,//media.digikey.com/Photos/Schaffner%20EMC%20Photos/FN2200-150-40.jpg,817-1607-ND,FN2200-150-40,Schaffner EMC Inc.,LINE FILTER 1.2KVDC 150A CHASS,10,0,"309.57000","0","1","FN 2200","Active","DC","Single Stage","1200V (1.2kV)","-","-","-","150A","-","Photovoltaic Inverter","cURus, ENEC","-40°C ~ 100°C","Chassis Mount","Terminal Block","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1654001_CORCOM_PRODUCT_GUIDE_FCD_SERIES&DocType=CS&DocLang=English,//media.digikey.com/photos/TE%20Connectivity/6609070-3.JPG,CCM1942-ND,6609070-3,TE Connectivity Corcom Filters,LINE FILTER 16A CHASSIS MOUNT,10,0,"317.63000","0","1","FCD","Active","Three Phase (Delta)","Two Stage","-","-","277V","480V","16A","50/60Hz","Regenerative Motor Drive","UR","-10°C ~ 40°C","Chassis Mount","Terminal Block","-"
https://www.schaffner.com/products/download/product/datasheet/fn-3270-compact-3-phase-emcemi-filter-for-industrial-motor-drive-applications/,//media.digikey.com/photos/Schaffner%20EMC%20Photos/FN3270H-80-35.JPG,817-1399-ND,FN3270H-80-35,Schaffner EMC Inc.,LINE FILTER 480VAC 80A CHASS MNT,14,0,"327.81000","0","1","FN 3270","Active","Three Phase (Delta)","Single Stage","-","480V","300V","520V","80A","DC ~ 60Hz","Inverters, Power Drive Systems","CSA, ENEC, UR","-25°C ~ 100°C","Chassis Mount","Terminal Block","-"
https://www.schaffner.com/products/download/product/datasheet/fn-356-general-purpose-three-phase-and-neutral-line-emcemi-filter/,//media.digikey.com/photos/Schaffner%20EMC%20Photos/FN356-36-33.JPG,817-1163-ND,FN356-36-33,Schaffner EMC Inc.,LINE FILTER 36A CHASSIS MOUNT,8,4,"340.48000","0","1","FN 356","Active","Three Phase (Wye)","Single Stage","-","-","250V","440V","36A","DC ~ 60Hz","General Purpose","CSA, ENEC, UR","-25°C ~ 100°C","Chassis Mount","Terminal Block","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1654001_CORCOM_PRODUCT_GUIDE_AYC_SERIES&DocType=CS&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/6609067-3.JPG,CCM1939-ND,63AYC10B,TE Connectivity Corcom Filters,LINE FILTER 63A CHASSIS MOUNT,9,0,"342.05000","0","1","AYC","Active","Three Phase (Wye)","Single Stage","-","-","277V","480V","63A","50/60Hz","General Purpose","UR","-10°C ~ 40°C","Chassis Mount","Terminal Block","-"
https://www.schaffner.com/products/download/product/datasheet/fn-3256-compact-three-phase-and-neutral-line-emcemi-filter-for-machineryequipment/,//media.digikey.com/Photos/Schaffner%20EMC%20Photos/MFG_FN3256H-25-33.jpg,817-1367-ND,FN3256H-80-35,Schaffner EMC Inc.,LINE FILTER 480VAC 80A CHASS MNT,2,0,"395.85000","0","1","FN 3256","Active","Three Phase (Wye)","Single Stage","-","480V","300V","520V","80A","DC ~ 60Hz","General Purpose","CSA, ENEC, UR","-25°C ~ 100°C","Chassis Mount","Terminal Block","-"
https://www.schaffner.com/products/download/product/datasheet/fn-356-general-purpose-three-phase-and-neutral-line-emcemi-filter/,//media.digikey.com/photos/Schaffner%20EMC%20Photos/FN356-50-33.JPG,817-1165-ND,FN356-50-33,Schaffner EMC Inc.,LINE FILTER 50A CHASSIS MOUNT,13,8,"430.04000","0","1","FN 356","Active","Three Phase (Wye)","Single Stage","-","-","250V","440V","50A","DC ~ 60Hz","General Purpose","CSA, ENEC, UR","-25°C ~ 100°C","Chassis Mount","Terminal Block","-"
https://www.schaffner.com/products/download/product/datasheet/fn-2200-dc-emcemi-filter-for-photovoltaic-inverters/,//media.digikey.com/Photos/Schaffner%20EMC%20Photos/FN2200-250-99.jpg,817-1608-ND,FN2200-250-99,Schaffner EMC Inc.,LINE FILTER 1.2KVDC 250A CHASS,8,0,"430.16000","0","1","FN 2200","Active","DC","Single Stage","1200V (1.2kV)","-","-","-","250A","-","Photovoltaic Inverter","cURus, ENEC","-40°C ~ 100°C","Chassis Mount","Terminal Post","-"
