Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Accessory Type","For Use With/Related Products"
https://www.tdk-electronics.tdk.com/inf/30/db/emc_2014/B84143Q_R229_IP21_Housings.pdf,-,B84143Q0012R229-ND,B84143Q0012R229,EPCOS (TDK),HOUSING FOR B84143V SERIES,0,0,"397.62000","0","1","B84143Q","Active","Housing","B84143V Series"
https://www.tdk-electronics.tdk.com/inf/30/db/emc_2014/B84143Q_R229_IP21_Housings.pdf,-,B84143Q0014R229-ND,B84143Q0014R229,EPCOS (TDK),HOUSING FOR B84143V SERIES,0,0,"397.62000","0","1","B84143Q","Active","Housing","B84143V Series"
https://www.tdk-electronics.tdk.com/inf/30/db/emc_2014/B84143Q_R229_IP21_Housings.pdf,-,B84143Q0016R229-ND,B84143Q0016R229,EPCOS (TDK),HOUSING FOR B84143V SERIES,0,0,"793.13000","0","1","B84143Q","Active","Housing","B84143V Series"
https://www.tdk-electronics.tdk.com/inf/30/db/emc_2014/B84143Q_R229_IP21_Housings.pdf,-,B84143Q0020R229-ND,B84143Q0020R229,EPCOS (TDK),HOUSING FOR B84143V SERIES,0,0,"793.13000","0","1","B84143Q","Active","Housing","B84143V Series"
https://www.tdk-electronics.tdk.com/inf/30/db/emc_2014/B84143Q_R229_IP21_Housings.pdf,-,B84143Q0018R229-ND,B84143Q0018R229,EPCOS (TDK),HOUSING FOR B84143V SERIES,0,0,"891.99000","0","1","B84143Q","Active","Housing","B84143V Series"
-,-,B84143Q0022R229-ND,B84143Q0022R229,EPCOS (TDK),HOUSING FOR B84143V SERIES,0,0,"891.99000","0","1","B84143Q","Active","Housing","B84143V Series"
https://assets.lairdtech.com/home/brandworld/files/Catalog_FERRITE%20CORES%200717.pdf,//media.digikey.com/photos/Steward%20Photos/ASSE017-2.jpg,240-2346-ND,ASSE017-2,Laird-Signal Integrity Products,CLIP METAL FOR SPLIT RIBBON CORE,0,0,"Obsolete","0","12500","-","Obsolete","Clips","Steward Flat/Ribbon Cable"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1654001_CORCOM_PRODUCT_GUIDE_J_SERIES&DocType=CS&DocLang=English,//media.digikey.com/Photos/Tyco%20Amp%20Photos/JA403.jpg,JA403-ND,JA403,TE Connectivity Corcom Filters,WING CLIP 453= F6913,0,0,"Obsolete","0","100","-","Obsolete","Mounting Clip","J Series"
-,-,PA200-ND,PA200,TE Connectivity Corcom Filters,CONVERSION CLIP FOR SNGL FUSE,0,0,"Obsolete","0","50","-","Obsolete","Fuse Clip","P Series"
-,//media.digikey.com/photos/Wurth%20Electronics%20Photos/744002.JPG,732-1414-ND,744002,Wurth Electronics Inc.,BOOK - TRILOGY OF INDUCTORS,0,0,"Obsolete","0","1","-","Obsolete","Booklet","EMC Filters, Switch Mode Power Supplies, and RF Circuits"
-,-,730-05-02S-ND,730-05-02S,Qualtek,CLIP RETAINER FOR POWER PLUG,0,0,"Obsolete","0","70","-","Obsolete","Retainer Clip","Power Plug"
//media.digikey.com/pdf/Data%20Sheets/Qualtek%20PDFs/731C-00-00_Dwg.pdf,-,731C-00/00-ND,731C-00/00,Qualtek,CLIP RETAINER FOR POWER PLUG,0,0,"Obsolete","0","100","-","Obsolete","Retainer Clip","Power Plug"
https://www.bourns.com/docs/product-datasheets/3670.pdf,-,3670-01-ND,3670-01,Bourns Inc.,POTS SPLITTER,0,0,"Last Time Buy","0","0","*","Last Time Buy","Adapter","-"
