Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Design","Impedance @ Frequency","Material","Inner Dimension","Outer Dimension","Ratings","Mounting Type","Length"
http://assets.lairdtech.com/home/brandworld/files/HFB187102-100.pdf,//media.digikey.com/photos/Steward%20Photos/HFB187102-100.jpg,240-2143-ND,HFB187102-100,Laird-Signal Integrity Products,FERRITE CORE 205 OHM SOLID,7158,0,"3.35000","0","1","HF","Active","Round","Solid","205Ohm @ 300MHz","HF","0.400"" Dia (10.16mm)","0.735"" Dia (18.67mm)","-","Free Hanging","1.181"" (30.00mm)"
https://toshiba.semicon-storage.com/content/dam/toshiba-ss/ncsa/en_us/docs/product-brief/amorphous/MMT-MS_Datasheet.pdf,//media.digikey.com/Photos/Toshiba%20Photos/MS21X14X4.5W.JPG,MS21X14X4.5W-ND,MS 21X14X4.5 W,Toshiba Semiconductor and Storage,FERRITE CORE SOLID 12.8MM,601,0,"4.76000","0","1","MS","Active","Round","Solid","-","-","0.504"" Dia (12.80mm)","0.898"" Dia (22.80mm)","-","Free Hanging","0.260"" (6.60mm)"
http://www.delevan.com/seriesPDFs/BF.pdf,//media.digikey.com/photos/API%20Delevan%20Photos/BF2223.JPG,DN4715-ND,BF2223,API Delevan Inc.,FERRITE CORE 250 OHM HINGED 10MM,1660,0,"5.85000","0","1","BF","Active","Round","Hinged (Snap On)","250Ohm @ 100MHz","API-1","0.394"" Dia (10.00mm)","0.870"" W x 0.910"" H (22.30mm x 23.30mm)","-","Free Hanging","1.280"" (32.60mm)"
http://assets.lairdtech.com/home/brandworld/files/HFB259128-100.pdf,//media.digikey.com/photos/Steward%20Photos/HFB259128-100.jpg,240-2154-ND,HFB259128-100,Laird-Signal Integrity Products,FERRITE CORE 175 OHM SOLID,436,0,"5.99000","0","1","HF","Active","Round","Solid","175Ohm @ 300MHz","HF","0.505"" Dia (12.83mm)","1.020"" Dia (25.91mm)","-","Free Hanging","1.125"" (28.58mm)"
https://api.kemet.com/component-edge/download/datasheet/ESD-FPD-16.pdf,//media.digikey.com/Photos/Kemet%20Photos/ESD-FPD-16.jpg,399-10933-ND,ESD-FPD-16,KEMET,FERRITE CORE CLIP 25.4MM X 2.6MM,763,0,"6.13000","0","1","ESD-FPD","Active","Flat","Clip Together (Order Qty 2=1 Assembly)","-","-","0.999"" W x 0.102"" H (25.40mm x 2.60mm)","1.456"" W x 0.393"" H (37.00mm x 10.00mm)","-","Free Hanging","0.500"" (12.70mm)"
https://api.kemet.com/component-edge/download/datasheet/ESD-FPD-16-1.pdf,//media.digikey.com/Photos/Kemet%20Photos/ESD-FPD-16-1.JPG,399-10934-ND,ESD-FPD-16-1,KEMET,FERRITE CORE CLIP 25.4MM X 2.6MM,233,0,"6.26000","0","1","ESD-FPD","Active","Flat","Clip Together (Order Qty 2=1 Assembly)","-","-","0.999"" W x 0.102"" H (25.40mm x 2.60mm)","1.456"" W x 0.393"" H (37.00mm x 10.00mm)","-","Free Hanging","0.500"" (12.70mm)"
https://leadertechinc.com/wp-content/uploads/2015/10/1-2.jpg,//media.digikey.com/Photos/Leader-Tech-Inc/MFG_TC28B0642.jpg,1798-1170-ND,TC28B0642,Leader Tech Inc.,FERRITE CORE 100OHM CLAMP 8.13MM,480,0,"8.32000","0","1","-","Active","Round","Clamp","100Ohm @ 100MHz","28","0.320"" Dia (8.13mm)","0.785"" Dia (19.94mm)","-","Chassis Mount","0.630"" (16.00mm)"
https://api.kemet.com/component-edge/download/datasheet/ESD-FPD-40.pdf,//media.digikey.com/Photos/Kemet%20Photos/ESD-FPD-40.JPG,399-10936-ND,ESD-FPD-40,KEMET,FERRITE CORE CLIP 56MM X 2MM,136,0,"8.44000","0","1","ESD-FPD","Active","Flat","Clip Together (Order Qty 1=1 Assembly)","-","-","2.204"" W x 0.078"" H (56.00mm x 2.00mm)","2.677"" W x 0.393"" H (68.00mm x 10.00mm)","-","Free Hanging","0.500"" (12.70mm)"
https://api.kemet.com/component-edge/download/datasheet/ESD-R-47B.pdf,//media.digikey.com/Photos/Kemet%20Photos/ESD-R-47B.JPG,399-10829-ND,ESD-R-47B,KEMET,FERRITE CORE CLAMP 25.5MM,131,0,"9.19000","0","1","ESD-R","Active","Round","Clamp","-","MnZn","1.003"" Dia (25.50mm)","2.027"" Dia (51.50mm)","-","Chassis Mount","0.591"" (15.00mm)"
https://leadertechinc.com/wp-content/uploads/2015/10/Copy-of-1.jpg,//media.digikey.com/Photos/Leader-Tech-Inc/MFG_28B1250-2.jpg,1798-1149-ND,28B1250-2,Leader Tech Inc.,FERRITE 151OHM SOLID 19.05MM,562,0,"9.93000","0","1","-","Active","Round","Solid","151Ohm @ 100MHz","28","0.750"" Dia (19.05mm)","1.250"" Dia (31.75mm)","-","Free Hanging","1.000"" (25.40mm)"
