Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Style","Type","Length","Core Diameter","Cladding Diameter","Jacket (Insulation) Material","Jacket (Insulation) Diameter","Tensile Strength","Attenuation - Typ","Refractive Index - Core","Refractive Index - Cladding","Jacket Color","Ratings","Features"
-,-,BL0064H1A-DWB-ND,BL0064H1A-DWB,General Cable/Carol Brand,6F 50 MM LT AERIAL/BURIAL,0,0,"1.43000","0","3281","-","NEXTGEN®","Active","Standard","Multimode","-","50µm","125µm","Polyethylene (PE)","0.510"" (12.95mm)","81.6kg","-","-","-","Black","-","-"
-,-,CG0061ANR.BK-ND,CG0061ANR.BK,General Cable/Carol Brand,6F 62.5 MM TB OFNR I/O DIST,0,0,"1.43000","0","1","-","NEXTGEN®","Active","Standard","Multimode","-","62.5µm","125µm","-","0.200"" (5.08mm)","43.5kg","-","-","-","Black","-","-"
-,-,CG0061ANU.BK-ND,CG0061ANU.BK,General Cable/Carol Brand,6F 62.5 MM TB OFNP I/O DIST,0,0,"1.43000","0","1","-","NEXTGEN®","Active","Standard","Multimode","-","62.5µm","125µm","-","0.180"" (4.57mm)","43.5kg","-","-","-","Black","OFNP","-"
-,-,BEL31945-ND,FI1D004R9,Belden Inc.,FI DN_TB OM1 4F OFNR,0,0,"1.44000","0","1","-","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
-,-,AP0241PNR-ND,AP0241PNR,General Cable/Carol Brand,24F SM TB OFNR DISTRIBTN,0,0,"1.44300","0","1640","-","NEXTGEN®","Active","Standard","Singlemode","-","9µm","125µm","-","0.340"" (8.64mm)","50.8kg","-","-","-","Yellow","OFNR","-"
-,-,BE0064H1A-DWB-ND,BE0064H1A-DWB,General Cable/Carol Brand,6F 50 MM LT DUAL JKT,0,0,"1.44300","0","3281","-","NEXTGEN®","Active","Standard","Multimode","-","50µm","125µm","Polyethylene (PE)","0.510"" (12.95mm)","81.6kg","-","-","-","Black","-","-"
-,-,BEL31381-ND,FD1D002L9,Belden Inc.,FD DN_TB OM1 2F LSZH NON_UNI,0,0,"1.45000","0","1","-","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
-,-,BL0081PNR-ND,BL0081PNR,General Cable/Carol Brand,8F 50 MM TB OFNR DISTRIBTN,0,0,"1.45600","0","1640","-","NEXTGEN®","Active","Standard","Multimode","-","50µm","125µm","-","0.220"" (5.59mm)","31.8kg","-","-","-","Aqua","OFNR","-"
-,-,BL0081PNU-ND,BL0081PNU,General Cable/Carol Brand,8F 50.0 MM TB OFNP DISTRIBTN,0,0,"1.45600","0","1640","-","NEXTGEN®","Active","Standard","Multimode","-","50µm","125µm","-","0.210"" (5.33mm)","31.8kg","-","-","-","Aqua","OFNP","-"
-,-,BEL32518-ND,FSSH008NF,Belden Inc.,FS DJHD_LT OS2 8F OSP,0,0,"1.47000","0","1","-","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
-,-,BEL30468-ND,FI1B002PD,Belden Inc.,BO2.5 2F OM1 OFNP TB,0,0,"1.48000","0","1","-","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
-,-,BEL31836-ND,FI1B002PB,Belden Inc.,FI BO OM1 2F OFNP,0,0,"1.48000","0","1","-","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
-,-,AQ0244H1F-DWB-ND,AQ0244H1F-DWB,General Cable/Carol Brand,24F SM LT DUAL JKT ARMORED,0,0,"1.48200","0","3281","-","NEXTGEN®","Active","Standard","Singlemode","-","9µm","125µm","Polyethylene (PE)","0.590"" (14.99mm)","81.6kg","-","-","-","Black","-","-"
