Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Cable Type","Cable Group","Wire Gauge","Conductor Strand","Jacket (Insulation) Material","Jacket (Insulation) Diameter","Shield Type","Impedance","Length","Jacket Color","Usage","Features"
http://www.alphawire.com/Home/Products/Cable/Alpha-Essentials/Coaxial-Cable/9888C?device=pdf,-,9888CSL021-ND,9888C SL021,Alpha Wire,CABLE TWINAXIAL 22AWG 1000',2,0,"863.63000","0","1","-","Active","Twinaxial","-","22 AWG","7 Strands / 30 AWG","Poly-Vinyl Chloride (PVC)","0.184"" (4.67mm)","Braid","78 Ohms","1000.0' (304.80m)","Slate","-","-"
http://www.alphawire.com/Home/Products/Cable/Alpha-Essentials/Coaxial-Cable/9214?device=pdf,//media.digikey.com/Photos/Alpha%20Wire%20Photos/9214_BK005.jpg,9214BK005-100-ND,9214 BK005,Alpha Wire,CABLE COAXIAL RG214 13AWG 100',13,0,"864.29000","0","1","-","Active","Coaxial","RG-214","13 AWG (1.83mm²)","7 Strands / 0.0296""","Non Contaminating Poly-Vinyl Chloride (PVC)","0.425"" (10.80mm)","Double Braid","50 Ohms","100.0' (30.48m)","Black","-","-"
http://www.alphawire.com/Home/Products/Cable/Alpha-Essentials/Coaxial-Cable/9810?device=pdf,-,9810BK001-1000-ND,9810 BK001,Alpha Wire,CABLE COAXIAL 23AWG 1000',2,0,"867.94000","0","1","-","Active","Coaxial","-","23 AWG","Solid","Polyethylene (PE)","0.220"" (5.59mm)","Braid","75 Ohms","1000.0' (304.80m)","Black","-","-"
http://www.alphawire.com/Home/Products/Cable/Alpha-Essentials/Coaxial-Cable/9217?device=pdf,//media.digikey.com/Photos/Alpha%20Wire%20Photos/9214_BK005.jpg,9217BK005-ND,9217 BK005,Alpha Wire,CABLE COAXIAL RG217 10AWG 100',2,0,"881.06000","0","1","-","Active","Coaxial","RG-217","10 AWG","-","Poly-Vinyl Chloride (PVC)","0.545"" (13.84mm)","Double Braid","50 Ohms","100.0' (30.48m)","Black","-","-"
http://www.alphawire.com/Home/Products/Cable/Alpha-Essentials/Coaxial-Cable/9158S?device=pdf,-,9158SBK002-500-ND,9158S BK002,Alpha Wire,CABLE COAXIAL RG58 20AWG 500',3,0,"892.35000","0","1","-","Active","Coaxial","RG-58","20 AWG","Solid","Fluorinated Ethylene-Propylene (FEP)","0.159"" (4.04mm)","Braid","50 Ohms","500.0' (152.40m)","Black","-","-"
https://www.belfuse.com/resources/Trompeter/Drawings/dr-TRC-75-1.pdf,-,1097-1356-ND,TRC-75-1,Cinch Connectivity Solutions Trompeter,CABLE TRIAXIAL 500',5,0,"896.00000","0","1","-","Active","Triaxial","-","-","7 Strands / 38 AWG","Poly-Vinyl Chloride (PVC)","0.189"" (4.80mm)","Braid","75 Ohms","500.0' (152.40m)","Yellow","-","-"
https://www.timesmicrowave.com/DataSheets/CableProducts/LMR-600.pdf,//media.digikey.com/Photos/Times-Microwave-Systems/MFG_LMR-600.jpg,1946-1069-500-ND,LMR-600,Amphenol Times Microwave Systems,CABLE LMR-600 BLACK PE 500',14,0,"912.00000","0","1","-","Active","Coaxial","LMR-600","-","Solid","Polyethylene (PE)","0.590"" (14.99mm)","Braid","50 Ohms","500.0' (152.40m)","Black","-","-"
http://www.alphawire.com/Home/Products/Cable/Alpha-Essentials/Coaxial-Cable/M4201?device=pdf,//media.digikey.com/Photos/Alpha%20Wire%20Photos/M4201-BK00x.jpg,M4201BK002-500-ND,M4201 BK002,Alpha Wire,CABLE COAXIAL RG8A 13AWG 500',2,0,"931.58000","0","1","-","Active","Coaxial","RG-8A","13 AWG","7 Strands / 21 AWG","Poly-Vinyl Chloride (PVC)","0.405"" (10.29mm)","Braid","52 Ohms","500.0' (152.40m)","Black","-","-"
http://www.alphawire.com/Home/Products/Cable/Alpha-Essentials/Coaxial-Cable/9196A?device=pdf,//media.digikey.com/Photos/Alpha%20Wire%20Photos/9196A-WH00x.jpg,9196AWH001-1000-ND,9196A WH001,Alpha Wire,CABLE COAXIAL RG196A 30AWG 1000',10,0,"1023.39000","0","1","-","Active","Coaxial","RG-196A","30 AWG","7 Strands / 38 AWG","Polytetrafluoroethylene (PTFE)","0.075"" (1.90mm)","Braid","50 Ohms","1000.0' (304.80m)","White","-","-"
https://catalog.belden.com/techdata/EN/9463_techdata.pdf,-,BEL1497-1000-ND,9463 J221000,Belden Inc.,CABLE TWINAXIAL 20AWG 78 OHM 100,10,0,"1074.45000","0","1","Blue Hose®","Active","Twinaxial - Plenum","-","20 AWG","7 Strands / 28 AWG","Poly-Vinyl Chloride (PVC)","0.238"" (6.05mm)","Foil, Braid","78 Ohms","1000.0' (304.80m)","Blue","-","-"
https://www.timesmicrowave.com/DataSheets/CableProducts/LMR-600.pdf,//media.digikey.com/Photos/Times-Microwave-Systems/MFG_LMR-600-DB.jpg,1946-1070-500-ND,LMR-600-DB,Amphenol Times Microwave Systems,CABLE LMR-600 BLACK PE 500',6,0,"1096.00000","0","1","-","Active","Coaxial","LMR-600","-","Solid","Polyethylene (PE)","0.590"" (14.99mm)","Braid","50 Ohms","500.0' (152.40m)","Black","-","-"
http://www.alphawire.com/Home/Products/Cable/Alpha-Essentials/Coaxial-Cable/9008?device=pdf,//media.digikey.com/Photos/Alpha%20Wire%20Photos/9008-BK005.jpg,A318-500-ND,9008 BK002,Alpha Wire,CABLE COAXIAL RG8 13AWG 500',2,0,"1128.10000","0","1","-","Active","Coaxial","RG-8","13 AWG (2.88mm²)","7 Strands / 21 AWG","Poly-Vinyl Chloride (PVC)","0.405"" (10.29mm)","Braid","52 Ohms","500.0' (152.40m)","Black","Network","-"
http://www.alphawire.com/Home/Products/Cable/Alpha-Essentials/Coaxial-Cable/9102?device=pdf,-,9102BK002-500-ND,9102 BK002,Alpha Wire,CABLE COAXIAL RG59 20AWG 500',2,0,"1144.00000","0","1","-","Active","Coaxial","RG-59","20 AWG","Solid","Polyvinylidene Fluoride (PVDF)","0.212"" (5.38mm)","Foil, Braid","75 Ohms","500.0' (152.40m)","Black","-","-"
https://belfuse.com/resources/drawings/cinchconnectivitysolutions/semflex/dr-ccs-sem-la-290s-88242-xx-01.pdf,//media.digikey.com/Photos/Cinch-Connectivity-Solutions/88242-L25.jpg,1255-1037-ND,88242-L25,Cinch Connectivity Solutions Semflex,CABLE LA 290S 25 FT LENGTH,19,0,"1157.73000","0","1","LA","Active","Coaxial","LA290S","-","Solid","Fluorinated Ethylene-Propylene (FEP), Polyurethane (PU)","0.310"" (7.87mm)","Braid","50 Ohms","25.0' (7.62m)","Blue","-","-"
https://html5.dcatalog.com/?docid=8e9daddd-82b0-4ed4-a656-a8aa011ea6d3#page=148,//media.digikey.com/photos/General%20Cable%20Photos/C1154.41.01.JPG,C1180B-41-1000-ND,C1180.41.01,General Cable/Carol Brand,CABLE COAXIAL RG8 9.5AWG 1000',6,10000,"1193.87000","0","1","-","Active","Coaxial","RG-8","9.5 AWG","Solid","Poly-Vinyl Chloride (PVC)","0.405"" (10.29mm)","Foil, Braid","50 Ohms","1000.0' (304.80m)","Black","RF Signal","-"
