Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Cable Type","Number of Conductors","Pitch","Length","Wire Gauge","Conductor Strand","Shielding","Jacket Color","Ribbon Thickness","Ribbon Width","Jacket (Insulation) Material","Voltage","Operating Temperature","Ratings","Features"
http://multimedia.3m.com/mws/media/22071O/3mtm-color-coded-flat-cbl-05026-awg-stranded-pvc-3811-ts0122.pdf,//media.digikey.com/Photos/3M%20Photos/3811%5E09%20300.JPG,MC090M-300-ND,3811/09 300,3M,CBL RIBN 9COND 0.050 MULTI 300',19,0,"119.22000","0","1","3811","Active","Flat Cable","9","0.050"" (1.27mm)","300.0' (91.44m)","26 AWG","7 Strands / 34 AWG","Unshielded","Multiple","0.042"" (1.07mm)","0.450"" (11.43mm)","Poly-Vinyl Chloride (PVC)","300V","-20°C ~ 105°C","UL Style 20462","Zippable"
http://multimedia.3m.com/mws/media/22054O/3mtm-rnd-shld-jckt-flat-cable-mass-term-3659-series-ts0083.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_3659%5E09SOSF.jpg,3M157963-100-ND,3659/09 100,3M,CBL RIBN 9COND 0.050 BLACK 100',13,0,"123.44000","0","1","3659","Active","Flat Cable, Round Jacket","9","0.050"" (1.27mm)","100.0' (30.48m)","28 AWG","7 Strands / 36 AWG","Shielded","Black","-","0.402"" (10.20mm)","Poly-Vinyl Chloride (PVC)","300V","-20°C ~ 105°C","UL Style 20267","Zippable"
http://multimedia.3m.com/mws/media/671953O/3mtm-twisted-pair-flat-cable-hf100-series-ts2344.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_HF100%20Series.jpg,HF10B-100-ND,HF100/10TP,3M,CBL RIBN 10COND TWIST-PAIR 100',8,0,"124.95000","0","1","HF100","Active","Flat Twisted Pair","10 (5 Pair Twisted)","0.050"" (1.27mm)","100.0' (30.48m)","28 AWG","7 Strands / 36 AWG","Unshielded","Blue, White","0.070"" (1.78mm)","0.500"" (12.70mm)","Polyolefin (PO)","150V","-40°C ~ 105°C","UL Style 21008","-"
http://multimedia.3m.com/mws/media/22031O/3mtm-round-cond-flat-cable-050-stranded-3801-series-ts0063.pdf,//media.digikey.com/Photos/3M%20Photos/3801%5E40.jpg,3M157955-100-ND,C3801/40 100,3M,CBL RIBN 40COND 0.050 GRAY 100',9,0,"129.13000","0","1","3801","Active","Flat Cable","40","0.050"" (1.27mm)","100.0' (30.48m)","26 AWG","7 Strands / 34 AWG","Unshielded","Gray","0.039"" (0.99mm)","2.000"" (50.80mm)","Poly-Vinyl Chloride (PVC)","300V","-20°C ~ 105°C","UL Style 2651","Zippable"
http://multimedia.3m.com/mws/media/22031O/3mtm-round-cond-flat-cable-050-stranded-3801-series-ts0063.pdf,//media.digikey.com/Photos/3M%20Photos/3801%5E40.jpg,3M157956-100-ND,3801/40 100,3M,CBL RIBN 40COND 0.050 GRAY 100',7,0,"129.13000","0","1","3801","Active","Flat Cable","40","0.050"" (1.27mm)","100.0' (30.48m)","26 AWG","7 Strands / 34 AWG","Unshielded","Gray","0.039"" (0.99mm)","2.000"" (50.80mm)","Poly-Vinyl Chloride (PVC)","300V","-20°C ~ 105°C","UL Style 2651","Zippable"
http://multimedia.3m.com/mws/media/22573O/3mtm-round-cond-flat-cable-025in-stranded-3754-series-ts0875.pdf,//media.digikey.com/photos/3M%20Photos/3754^20(300).jpg,MB20G-300-ND,3754/20 300,3M,CBL RIBN 20COND 0.025 GRAY 300',13,0,"134.15000","0","1","3754","Active","Flat Cable","20","0.025"" (0.64mm)","300.0' (91.44m)","30 AWG","7 Strands / 38 AWG","Unshielded","Gray","0.025"" (0.64mm)","0.500"" (12.70mm)","Poly-Vinyl Chloride (PVC)","30V","-20°C ~ 105°C","UL Style 20596","-"
http://multimedia.3m.com/mws/media/22052O/3mtm-round-conductor-flat-cable-050in-3365-series-ts0080.pdf,//media.digikey.com/Renders/3M%20Renders/3365%5E64.jpg,3M157946-100-ND,3365/64 100,3M,CBL RIBN 64COND 0.050 GRAY 100',12,0,"135.05000","0","1","3365","Active","Flat Cable","64","0.050"" (1.27mm)","100.0' (30.48m)","28 AWG","7 Strands / 36 AWG","Unshielded","Gray","0.035"" (0.89mm)","3.200"" (81.28mm)","Poly-Vinyl Chloride (PVC)","300V","-20°C ~ 105°C","UL Style 2651","Zippable"
http://multimedia.3m.com/mws/media/22113O/3mtm-round-conductor-flat-cable-100-8125-series-ts0259.pdf,//media.digikey.com/Renders/3M%20Renders/8125-Series-Ribbon-Cable-7-Ct.jpg,ML07G-100-ND,8125/07 100,3M,CBL RIBN 7COND 0.100 GRAY 100',12,0,"135.51000","0","1","8125","Active","Flat Cable","7","0.100"" (2.54mm)","100.0' (30.48m)","24 AWG","7 Strands / 32 AWG","Unshielded","Gray","0.054"" (1.37mm)","0.668"" (16.97mm)","Poly-Vinyl Chloride (PVC)","300V","-20°C ~ 105°C","UL E42769","Zippable"
http://multimedia.3m.com/mws/media/22055O/3mtm-round-conductor-flat-cable-22-awg-8124-series-ts0084.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_C8124%5E10%20100.jpg,3M156817-100-ND,8124/08 100,3M,CBL RIBN 8COND 0.100 GRAY 100',18,0,"135.61000","0","1","8124","Active","Flat Cable","8","0.100"" (2.54mm)","100.0' (30.48m)","22 AWG","7 Strands / 30 AWG","Unshielded","Gray","0.060"" (1.52mm)","0.768"" (19.51mm)","Poly-Vinyl Chloride (PVC)","300V","-20°C ~ 105°C","UL E42769","Zippable"
http://multimedia.3m.com/mws/media/76875O/3mtm-twisted-pair-flat-cable-3782-series-ts0999.pdf,//media.digikey.com/Photos/3M%20Photos/3782-10P-540A-100FT.jpg,3M156258-100-ND,3782-10P-540A 100FT,3M,CBL RIBN 20COND TWIST-PAIR 100',23,0,"136.59000","0","1","3782","Active","Flat Twisted Pair","20 (10 Pair Twisted)","0.050"" (1.27mm)","100.0' (30.48m)","28 AWG","7 Strands / 36 AWG","Unshielded","Multiple","0.035"" (0.89mm)","1.000"" (25.40mm)","Poly-Vinyl Chloride (PVC)","300V","-20°C ~ 80°C","-","Zippable"
http://multimedia.3m.com/mws/media/76875O/3mtm-twisted-pair-flat-cable-3782-series-ts0999.pdf,-,3M157836-100-ND,3782-10P-270A 100,3M,CBL RIBN 20COND TWIST-PAIR 100',15,0,"136.59000","0","1","3782","Active","Flat Twisted Pair","20 (10 Pair Twisted)","0.050"" (1.27mm)","100.0' (30.48m)","28 AWG","7 Strands / 36 AWG","Unshielded","Multiple","0.035"" (0.89mm)","1.000"" (25.40mm)","Poly-Vinyl Chloride (PVC)","300V","-20°C ~ 80°C","-","Zippable"
http://multimedia.3m.com/mws/media/22312O/3mtm-round-conductor-flat-cable-3756-series-ts0508.pdf,//media.digikey.com/Photos/3M%20Photos/3756%5E40%20100.jpg,ME40G-100-ND,3756/40 100,3M,CBL RIBN 40COND 0.025 GRAY 100',9,0,"136.72000","0","1","3756","Active","Flat Cable","40","0.025"" (0.64mm)","100.0' (30.48m)","30 AWG","7 Strands / 38 AWG","Unshielded","Gray","0.025"" (0.64mm)","1.000"" (25.40mm)","Thermoplastic Elastomer (TPE)","150V","-40°C ~ 105°C","UL Style 20297","-"
//media.digikey.com/pdf/Data%20Sheets/Amphenol%20PDFs/191-2801-1xx_RevJ_Dwg.pdf,//media.digikey.com/Photos/Amphenol%20Photos/191-2801-150.JPG,SS50G-100-ND,191-2801-150,Amphenol Spectra-Strip,CBL RIBN 50COND .050 GRAY 100',15,0,"138.32000","0","1","Spectra-Zip®","Active","Flat Cable","50","0.050"" (1.27mm)","100.0' (30.48m)","28 AWG","7 Strands / 36 AWG","Unshielded","Gray","0.035"" (0.89mm)","2.500"" (63.50mm)","Poly-Vinyl Chloride (PVC)","300V","-40°C ~ 105°C","UL Style 2651","Zippable"
http://multimedia.3m.com/mws/media/22043O/3mtm-round-jacketed-flat-cable-050-3759-series-ts0070.pdf,//media.digikey.com/photos/3M%20Photos/3759^10%20100SF.JPG,MB10A-100-ND,3759/10 100SF,3M,CBL RIBN 10COND 0.050 BLACK 100',19,0,"138.52000","0","1","3759","Active","Flat Cable, Round Jacket","10","0.050"" (1.27mm)","100.0' (30.48m)","28 AWG","7 Strands / 36 AWG","Unshielded","Black","-","0.450"" (11.43mm)","Poly-Vinyl Chloride (PVC)","300V","-20°C ~ 80°C","UL Style 20267","Zippable"
http://www.assmann-wsw.com/fileadmin/datasheets/ASS_7306_CA.pdf,//media.digikey.com/photos/Assmann%20Photos/MFG_AWG28-25-G.jpg,AE25G-300-ND,AWG28-25/G/300,Assmann WSW Components,CBL RIBN 25COND 0.050 GRAY 300',24,0,"140.76000","0","1","AWG","Active","Flat Cable","25","0.050"" (1.27mm)","300.0' (91.44m)","28 AWG","7 Strands / 36 AWG","Unshielded","Gray","0.035"" (0.89mm)","1.250"" (31.75mm)","Poly-Vinyl Chloride (PVC)","300V","-10°C ~ 105°C","UL Style 2651","-"
http://multimedia.3m.com/mws/media/22068O/3mtm-twisted-pair-flat-cable-050-28awg-1700-series-ts0115.pdf,//media.digikey.com/photos/3M%20Photos/1700^26%20(100SF).jpg,MC26F-100-ND,1700/26 100SF,3M,CBL RIBN 26COND TWIST-PAIR 100',7,0,"143.08000","0","1","1700","Active","Flat Twisted Pair","26 (13 Pair Twisted)","0.050"" (1.27mm)","100.0' (30.48m)","28 AWG","7 Strands / 36 AWG","Unshielded","Multiple","0.080"" (2.03mm)","1.300"" (33.02mm)","Poly-Vinyl Chloride (PVC)","300V","-20°C ~ 105°C","UL Style 20462","-"
http://multimedia.3m.com/mws/media/22264O/3mtm-round-cond-flat-cable-1-0-mm-3625-series-ts0452.pdf,//media.digikey.com/photos/3M%20Photos/3625^44%20100M.jpg,3M158022-30-ND,3625/44 30M,3M,CBL RIBN 44COND 0.039 GRAY 30M,7,0,"147.63000","0","1","3625","Active","Flat Cable","44","0.039"" (1.00mm)","98.4' (30.00m)","28 AWG","7 Strands / 36 AWG","Unshielded","Gray","0.035"" (0.89mm)","1.732"" (43.99mm)","Poly-Vinyl Chloride (PVC)","300V","-20°C ~ 105°C","UL Style 2651","Zippable"
http://multimedia.3m.com/mws/media/22264O/3mtm-round-cond-flat-cable-1-0-mm-3625-series-ts0452.pdf,//media.digikey.com/photos/3M%20Photos/3625^14%20100MSF.JPG,MC14L-100-ND,3625/14 100MSF,3M,CBL RIBN 14COND 0.039 GRAY 100M,11,0,"153.98000","0","1","3625","Active","Flat Cable","14","0.039"" (1.00mm)","328.1' (100.00m)","28 AWG","7 Strands / 36 AWG","Unshielded","Gray","0.035"" (0.89mm)","0.551"" (14.00mm)","Poly-Vinyl Chloride (PVC)","300V","-20°C ~ 105°C","UL Style 2651","Zippable"
http://multimedia.3m.com/mws/media/22054O/3mtm-rnd-shld-jckt-flat-cable-mass-term-3659-series-ts0083.pdf,//media.digikey.com/photos/3M%20Photos/3659^10%20100SF.JPG,MC10R-100-ND,3659/10 100SF,3M,CBL RIBN 10COND 0.050 BLACK 100',12,0,"154.94000","0","1","3659","Active","Flat Cable, Round Jacket","10","0.050"" (1.27mm)","100.0' (30.48m)","28 AWG","7 Strands / 36 AWG","Shielded","Black","-","0.450"" (11.43mm)","Poly-Vinyl Chloride (PVC)","300V","-20°C ~ 105°C","UL Style 20267","Zippable"
