Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Cable Type","Number of Conductors","Length - Coil Retracted","Length - Coil Extended","Length","Jacket Color","Wire Gauge","Conductor Strand","Jacket (Insulation) Material","Cable Width","Cable Height","Coil Diameter","Shielding"
http://www.assmann-wsw.com/fileadmin/datasheets/AT-K-26-6-S_100-R_REV00.pdf,//media.digikey.com/photos/Assmann%20Photos/AT-K-26-6-S^500-R.JPG,A0063R-100-ND,AT-K-26-6-S/100,Assmann WSW Components,CABLE MOD FLAT 6COND SILVER 100',1208,0,"22.98000","0","1","Reel","-","Active","Straight","6","-","-","100' (30.5m)","Silver","26 AWG","7/0.0063""","Poly-Vinyl Chloride (PVC)","0.267"" (6.80mm)","0.097"" (2.46mm)","-","Unshielded"
http://www.assmann-wsw.com/fileadmin/datasheets/ASS_8130_CA.pdf,//media.digikey.com/photos/Assmann%20Photos/AT-K-26-4-S^1000-R.JPG,A0043R-1000-ND,AT-K-26-4-S/1000,Assmann WSW Components,CABLE MOD FLAT 4COND SLVR 1000',49,0,"171.81000","0","1","Reel","-","Active","Straight","4","-","-","1000' (304.80m)","Silver","26 AWG","7/0.0063""","Poly-Vinyl Chloride (PVC)","0.189"" (4.80mm)","0.097"" (2.46mm)","-","Unshielded"
http://www.assmann-wsw.com/fileadmin/datasheets/AT-K-26-10-B_1000-R_REV00.pdf,//media.digikey.com/photos/Assmann%20Photos/AT-K-26-10-B^500-R.JPG,A0102R-1000-ND,AT-K-26-10-B/1000,Assmann WSW Components,CABLE MOD FLAT 10COND BLK 1000',72,0,"268.49000","0","1","Reel","-","Active","Straight","10","-","-","1000' (304.80m)","Black","26 AWG","7/0.0063""","Poly-Vinyl Chloride (PVC)","0.425"" (10.80mm)","0.097"" (2.46mm)","-","Unshielded"
http://www.assmann-wsw.com/fileadmin/datasheets/AT-K-C-26-6-B_5-R_REV00.pdf,//media.digikey.com/Photos/Assmann%20Photos/AT-K-C-26-6-B.JPG,A0562RC-ND,AT-K-C-26-6-B/5,Assmann WSW Components,CABLE MOD COIL 6COND BLACK 5',167,0,"3.28000","0","1","Bulk","-","Active","Coil","6","2.33' (0.71m)","5' (1.52m)","-","Black","26 AWG","7/0.0063""","Poly-Vinyl Chloride (PVC)","0.267"" (6.80mm)","0.097"" (2.46mm)","0.512"" (13mm)","-"
http://www.assmann-wsw.com/fileadmin/datasheets/AT-K-C-26-4-B_14-R_REV00.pdf,//media.digikey.com/Photos/Assmann%20Photos/AT-K-C-26-4-B.JPG,A1442RC-ND,AT-K-C-26-4-B/14,Assmann WSW Components,CABLE MOD COIL 4COND BLACK 14',366,0,"4.14000","0","1","Bulk","-","Active","Coil","4","6.25' (1.90m)","14' (4.27m)","-","Black","26 AWG","7/0.0063""","Poly-Vinyl Chloride (PVC)","0.189"" (4.80mm)","0.097"" (2.46mm)","0.512"" (13mm)","-"
http://www.assmann-wsw.com/fileadmin/datasheets/AT-K-C-26-6-W_7-R_REV00.pdf,//media.digikey.com/Photos/Assmann%20Photos/AT-K-C-26-6-W.JPG,A0761RC-ND,AT-K-C-26-6-W/7,Assmann WSW Components,CABLE MOD COIL 6COND WHITE 7',218,0,"4.66000","0","1","Bulk","-","Active","Coil","6","3.28' (1.00m)","7' (2.13m)","-","White","26 AWG","7/0.0063""","Poly-Vinyl Chloride (PVC)","0.267"" (6.80mm)","0.097"" (2.46mm)","0.512"" (13mm)","-"
http://www.assmann-wsw.com/fileadmin/datasheets/AT-K-C-26-6-S_10-R.pdf,//media.digikey.com/Photos/Assmann%20Photos/AT-K-C-26-6-S.JPG,A1063RC-ND,AT-K-C-26-6-S/10,Assmann WSW Components,CABLE MOD COIL 6COND SILVER 10',189,0,"4.85000","0","1","Bulk","-","Active","Coil","6","4.92' (1.50m)","10' (3.05m)","-","Silver","26 AWG","7/0.0063""","Poly-Vinyl Chloride (PVC)","0.267"" (6.80mm)","0.097"" (2.46mm)","0.512"" (13mm)","-"
http://www.assmann-wsw.com/fileadmin/datasheets/AT-K-C-26-4-S_14-R_REV00.pdf,//media.digikey.com/Photos/Assmann%20Photos/AT-K-C-26-4-S.JPG,A1443RC-ND,AT-K-C-26-4-S/14,Assmann WSW Components,CABLE MOD COIL 4COND SILVER 14',290,0,"4.93000","0","1","Bulk","-","Active","Coil","4","6.25' (1.90m)","14' (4.27m)","-","Silver","26 AWG","7/0.0063""","Poly-Vinyl Chloride (PVC)","0.189"" (4.80mm)","0.097"" (2.46mm)","0.512"" (13mm)","-"
http://www.assmann-wsw.com/fileadmin/datasheets/AT-K-C-26-4-W_14-R_REV00.pdf,//media.digikey.com/Photos/Assmann%20Photos/AT-K-C-26-4-W.JPG,A1441RC-ND,AT-K-C-26-4-W/14,Assmann WSW Components,CABLE MOD COIL 4COND WHITE 14',194,0,"4.93000","0","1","Bulk","-","Active","Coil","4","6.25' (1.90m)","14' (4.27m)","-","White","26 AWG","7/0.0063""","Poly-Vinyl Chloride (PVC)","0.189"" (4.80mm)","0.097"" (2.46mm)","0.512"" (13mm)","-"
http://www.assmann-wsw.com/fileadmin/datasheets/AT-K-26-10-S_100-R_REV00.pdf,//media.digikey.com/Photos/Assmann%20Photos/AT-K-26-10-S.JPG,A0103R-100-ND,AT-K-26-10-S/100,Assmann WSW Components,CABLE MOD FLAT 10COND SLVR 100',142,0,"49.69000","0","1","Reel","-","Active","Straight","10","-","-","100' (30.5m)","Silver","26 AWG","7/0.0063""","Poly-Vinyl Chloride (PVC)","0.425"" (10.80mm)","0.097"" (2.46mm)","-","Unshielded"
http://www.assmann-wsw.com/fileadmin/datasheets/AT-K-26-10-W_1000-R_REV00.pdf,//media.digikey.com/photos/Assmann%20Photos/AT-K-26-10-W^1000-R.JPG,A0101R-1000-ND,AT-K-26-10-W/1000,Assmann WSW Components,CABLE MOD FLAT 10COND WHT 1000',94,0,"313.24000","0","1","Reel","-","Active","Straight","10","-","-","1000' (304.80m)","White","26 AWG","7/0.0063""","Poly-Vinyl Chloride (PVC)","0.425"" (10.80mm)","0.097"" (2.46mm)","-","Unshielded"
http://www.assmann-wsw.com/fileadmin/datasheets/AT-K-C-26-6-S_5-R_REV00.pdf,//media.digikey.com/Photos/Assmann%20Photos/AT-K-C-26-6-S.JPG,A0563RC-ND,AT-K-C-26-6-S/5,Assmann WSW Components,CABLE MOD COIL 6COND SILVER 5',149,0,"3.28000","0","1","Bulk","-","Active","Coil","6","2.33' (0.71m)","5' (1.52m)","-","Silver","26 AWG","7/0.0063""","Poly-Vinyl Chloride (PVC)","0.267"" (6.80mm)","0.097"" (2.46mm)","0.512"" (13mm)","-"
http://www.assmann-wsw.com/fileadmin/datasheets/AT-K-C-26-6-W_10-R.pdf,//media.digikey.com/Photos/Assmann%20Photos/AT-K-C-26-6-W.JPG,A1061RC-ND,AT-K-C-26-6-W/10,Assmann WSW Components,CABLE MOD COIL 6COND WHITE 10',125,0,"6.17000","0","1","Bulk","-","Active","Coil","6","4.92' (1.50m)","10' (3.05m)","-","White","26 AWG","7/0.0063""","Poly-Vinyl Chloride (PVC)","0.267"" (6.80mm)","0.097"" (2.46mm)","0.512"" (13mm)","-"
-,//media.digikey.com/Photos/Assmann%20Photos/AT-K-C-26-8-S.JPG,A0783RC-ND,AT-K-C-26-8-S/7,Assmann WSW Components,CABLE MOD COIL 8COND SILVER 7',198,0,"6.35000","0","1","Bulk","-","Active","Coil","8","3.28' (1.00m)","7' (2.13m)","-","Silver","26 AWG","7/0.0063""","Poly-Vinyl Chloride (PVC)","0.346"" (8.80mm)","0.097"" (2.46mm)","0.591"" (15mm)","-"
http://www.assmann-wsw.com/fileadmin/datasheets/AT-K-C-26-6-S_14-R_REV00.pdf,//media.digikey.com/Photos/Assmann%20Photos/AT-K-C-26-6-S.JPG,A1463RC-ND,AT-K-C-26-6-S/14,Assmann WSW Components,CABLE MOD COIL 6COND SILVER 14',197,0,"8.40000","0","1","Bulk","-","Active","Coil","6","6.25' (1.90m)","14' (4.27m)","-","Silver","26 AWG","7/0.0063""","Poly-Vinyl Chloride (PVC)","0.267"" (6.80mm)","0.097"" (2.46mm)","0.512"" (13mm)","-"
http://www.assmann-wsw.com/fileadmin/datasheets/AT-K-C-26-6-W_14-R_REV00.pdf,//media.digikey.com/Photos/Assmann%20Photos/AT-K-C-26-6-W.JPG,A1461RC-ND,AT-K-C-26-6-W/14,Assmann WSW Components,CABLE MOD COIL 6COND WHITE 14',170,0,"8.40000","0","1","Bulk","-","Active","Coil","6","6.25' (1.90m)","14' (4.27m)","-","White","26 AWG","7/0.0063""","Poly-Vinyl Chloride (PVC)","0.267"" (6.80mm)","0.097"" (2.46mm)","0.512"" (13mm)","-"
