Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Cable Type","Number of Conductors","Wire Gauge","Conductor Strand","Conductor Material","Jacket (Insulation) Material","Jacket (Insulation) Diameter","Shield Type","Length","Jacket Color","Ratings","Features","Voltage","Operating Temperature","Usage","Jacket (Insulation) Thickness"
https://catalog.belden.com/techdata/EN/7919A_techdata.pdf,//media.digikey.com/Photos/Belden/7919A-0101000.jpg,BEL1019-1000-ND,7919A 0101000,Belden Inc.,MULTI-PAIR 8COND 24AWG BLK 1000',4,0,"870.46000","0","1","DataTuff®","Active","Multi-Pair, Cat5e","8 (4 Pair Twisted)","24 AWG","Solid","Copper, Bare","Poly-Vinyl Chloride (PVC)","0.265"" (6.73mm)","Foil","1000.0' (304.8m)","Black","UL Style CMR","Drain Wire, Oil Resistant, Rip Cord, UV Resistant","-","-40°C ~ 75°C","Network","-"
http://www.alphawire.com/Home/Products/Cable/Xtra-Guard-Performance-Cable/Xtra-Guard-1/5174C?device=pdf,//media.digikey.com/Photos/Alpha%20Wire%20Photos/5174C-SL005.jpg,A5174C-100-ND,5174C SL005,Alpha Wire,CABLE 4COND 16AWG SHLD 100',5,0,"897.73000","0","1","Xtra-Guard® 1","Active","Multi-Conductor","4","16 AWG","19/0.0117""","Copper, Tinned","Poly-Vinyl Chloride (PVC)","0.316"" (8.03mm)","Foil, Braid","100.0' (30.5m)","Slate","ISO 10993, UL Style 2464","Biological Compatibility, Drain Wire, Rip Cord","300V","-35°C ~ 105°C","Communication, Control","0.0320"" (0.813mm)"
http://general-cable.dcatalog.com/v/Electronics/?#page=60,//media.digikey.com/Photos/General%20Cable%20Photos/C3029.41.86.jpg,C3029N-1000-ND,C3029.41.86,General Cable/Carol Brand,MULTI-PAIR 6COND 24AWG NAT 1000',23,0,"898.00000","0","1","-","Active","Multi-Pair","6 (3 Pair Twisted)","24 AWG","7/32","Copper, Annealed Tinned","Fluoropolymer","0.183"" (4.65mm)","Foil","1000.0' (304.8m)","Natural","ASTM B-33","Low Capacitance","300V","-40°C ~ 150°C","Communication, Control","0.0098"" (0.250mm)"
https://catalog.belden.com/techdata/EN/7924A_techdata.pdf,-,BEL1554-1000-ND,7924A 0101000,Belden Inc.,CABLE 8 COND CAT 5E 24AWG 1000',5,0,"898.62000","0","1","DataTuff®","Active","Multi-Pair, Cat5","8 (4 Pair Twisted)","24 AWG","7/32","Copper, Tinned","Poly-Vinyl Chloride (PVC)","0.242"" (6.15mm)","-","1000.0' (304.8m)","Black","-","Oil Resistant, UV Resistant","-","-40°C ~ 75°C","Network","0.0300"" (0.762mm)"
http://general-cable.dcatalog.com/v/Electronics/#page=72,//media.digikey.com/photos/General%20Cable%20Photos/c0746a.18.10.JPG,W415-1000-ND,C0746A.41.10,General Cable/Carol Brand,CABLE 15COND 24AWG SHLD 1000',15,27000,"947.36000","0","1","-","Active","Multi-Conductor","15","24 AWG","7/32","Copper, Tinned","Poly-Vinyl Chloride (PVC)","0.276"" (7.01mm)","Foil","1000.0' (304.8m)","Gray","-","Drain Wire","300V","-20°C ~ 80°C","Computer","0.0320"" (0.813mm)"
http://general-cable.dcatalog.com/v/Electronics/#page=72,//media.digikey.com/photos/General%20Cable%20Photos/c0766a.18.10.JPG,W515-1000-ND,C0766A.41.10,General Cable/Carol Brand,CABLE 15COND 22AWG SHLD 1000',6,7000,"974.27000","0","1","-","Active","Multi-Conductor","15","22 AWG","7/30","Copper, Annealed Tinned","Poly-Vinyl Chloride (PVC)","0.304"" (7.72mm)","Foil","1000.0' (304.8m)","Gray","ASTM B-33","Drain Wire","300V","-20°C ~ 80°C","Computer","0.0320"" (0.813mm)"
https://catalog.belden.com/techdata/EN/3084A_techdata.pdf,"//media.digikey.com/Photos/Belden/MFG_3084A,F.jpg",BEL1011-500-ND,3084A T5U500,Belden Inc.,MULTI-PAIR 4COND 22/24 AWG 500',6,0,"988.17000","0","1","DeviceBus®","Active","Multi-Pair","4 (2 Pair)","22 AWG, 24 AWG","19/34; 19/36","Copper, Tinned","Poly-Vinyl Chloride (PVC)","0.280"" (7.11mm)","Foil, Braid","500.0' (152.4m)","Gray","-","Drain Wire, Oil Resistant, UV Resistant","-","-20°C ~ 75°C","-","0.0320"" (0.813mm)"
https://catalog.belden.com/techdata/EN/9402_techdata.pdf,//media.digikey.com/Photos/Belden/MFG_9402-060U500.jpg,BEL1386-500-ND,9402 060U500,Belden Inc.,MULTI-PAIR 4COND 20AWG CHRM 500',9,0,"1022.08000","0","1","-","Active","Multi-Pair","4 (2 Pair Twisted)","20 AWG","7/28","Copper, Tinned","Poly-Vinyl Chloride (PVC)","0.300"" (7.62mm)","Foil","500.0' (152.4m)","Chrome","-","Drain Wire","-","-20°C ~ 80°C","Audio, Control, Instrumentation","0.0410"" (1.041mm)"
https://catalog.belden.com/techdata/EN/88723_techdata.pdf,//media.digikey.com/Photos/Belden/MFG_88723-002.jpg,BEL1381-500-ND,88723 002500,Belden Inc.,MULTI-PAIR 4COND 22AWG RED 500',13,0,"1134.30000","0","1","-","Active","Multi-Pair","4 (2 Pair Twisted)","22 AWG","7/30","Copper, Tinned","Fluorinated Ethylene-Propylene (FEP)","0.148"" (3.76mm)","Foil","500.0' (152.4m)","Red","UL Style CMP","Drain Wire","-","-70°C ~ 200°C","-","0.0140"" (0.356mm)"
http://www.alphawire.com/Home/Products/Cable/Alpha-Essentials/Communication-and-Control-Cable/3231?device=pdf,//media.digikey.com/photos/Alpha%20Wire%20Photos/3231%20SL005.JPG,A3231-1000-ND,3231 SL001,Alpha Wire,MULTI-PAIR 2COND 20AWG 1000',7,0,"1150.98000","0","1","-","Active","Multi-Conductor","2 (1 Pair Twisted)","20 AWG","19/32","Copper, Tinned","Poly-Vinyl Chloride (PVC)","0.195"" (4.95mm)","Braid","1000.0' (304.8m)","Slate","-","-","600V","-55°C ~ 105°C","Communication, Control","0.0190"" (0.483mm)"
