Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Configuration","Current","Voltage","Voltage - Isolation","Package / Case"
https://www.infineon.com/dgdl/Infineon-IGCM15F60GA-DS-v01_07-EN.pdf?fileId=5546d4624fb7fef2014fcb15c0597867,//media.digikey.com/Photos/Infineon%20Photos/CIPOS-Series.JPG,IGCM15F60GAXKMA1-ND,IGCM15F60GAXKMA1,Infineon Technologies,IGBT 600V 24MDIP,530,0,"11.31000","0","1","CIPOS™","Active","IGBT","3 Phase","15A","600V","2000Vrms","24-PowerDIP Module (1.028"", 26.10mm)"
https://www.infineon.com/dgdl/Infineon-IKCM10L60GA-DS-v01_01-EN.pdf?fileId=5546d4624fb7fef2014fcb3a61b278a2,//media.digikey.com/Photos/Infineon%20Photos/CIPOS-Series.JPG,IKCM10L60GAXKMA1-ND,IKCM10L60GAXKMA1,Infineon Technologies,IFPS MODULES,560,0,"11.59000","0","1","CIPOS™","Active","IGBT","3 Phase","10A","600V","2000Vrms","24-PowerDIP Module (1.028"", 26.10mm)"
http://www.onsemi.com/pub/Collateral/FNB41060-D.pdf,//media.digikey.com/Photos/Fairchild%20Semi%20Photos/FNB41060.JPG,FNB41060-ND,FNB41060,ON Semiconductor,MOD SPM 600V 10A SPM26-AA,471,0,"12.27000","0","1","Motion SPM® 45","Active","IGBT","3 Phase","10A","600V","2000Vrms","26-PowerDIP Module (1.024"", 26.00mm)"
https://www.onsemi.com/pub/Collateral/FNB41560B2-D.pdf,//media.digikey.com/Photos/Fairchild%20Semi%20Photos/FNB41560.jpg,FNB41560-ND,FNB41560,ON Semiconductor,MODULE SPM 600V 15A SPMAA,131,0,"12.74000","0","1","Motion SPM® 45","Not For New Designs","IGBT","3 Phase","15A","600V","2000Vrms","26-PowerDIP Module (1.024"", 26.00mm)"
https://www.infineon.com/dgdl/Infineon-IKCM20L60GA-DS-v01_01-EN.pdf?fileId=5546d4624fb7fef2014fcb7a6f8e7902,//media.digikey.com/Photos/Infineon%20Photos/CIPOS-Series.JPG,IKCM20L60GAXKMA1-ND,IKCM20L60GAXKMA1,Infineon Technologies,IFPS MODULES 24MDIP,247,0,"12.78000","0","1","CIPOS™","Active","IGBT","3 Phase","20A","600V","2000Vrms","24-PowerDIP Module (1.028"", 26.10mm)"
https://www.infineon.com/dgdl/Infineon-IGCM20F60GA-DS-v01_06-EN.pdf?fileId=5546d4624fb7fef2014fcb1efd587879,//media.digikey.com/Photos/Infineon%20Photos/CIPOS-Series.JPG,IGCM20F60GAXKMA1-ND,IGCM20F60GAXKMA1,Infineon Technologies,IGBT 600V 24MDIP,300,0,"13.14000","0","1","CIPOS™","Active","IGBT","3 Phase","20A","600V","2000Vrms","24-PowerDIP Module (1.028"", 26.10mm)"
https://www.infineon.com/dgdl/Infineon-IKCM15L60GD-DS-v01_01-EN.pdf?fileId=5546d46254bdc4f50154cd2e84aa378d,//media.digikey.com/Photos/Infineon%20Photos/CIPOS-Series.JPG,IKCM15L60GDXKMA1-ND,IKCM15L60GDXKMA1,Infineon Technologies,IFPS MODULES,196,0,"13.86000","0","1","CIPOS™","Active","IGBT","3 Phase","20A","600V","2000Vrms","24-PowerDIP Module (1.028"", 26.10mm)"
https://www.onsemi.com/pub/Collateral/FNC42060F2-D.pdf,//media.digikey.com/Photos/Fairchild%20Semi%20Photos/FNC42060F2.JPG,FNC42060F2-ND,FNC42060F2,ON Semiconductor,MODULE SPM 600V 20A SPMAA,193,0,"14.01000","0","1","Motion SPM® 45","Active","IGBT","3 Phase","20A","600V","2000Vrms","26-PowerDIP Module (1.024"", 26.00mm)"
http://www.st.com/content/ccc/resource/technical/document/datasheet/16/2f/08/c5/dc/7f/4f/ab/CD00231331.pdf/files/CD00231331.pdf/jcr:content/translations/en.CD00231331.pdf,//media.digikey.com/Photos/STMicro%20Photos/STGIPL14K60-S.JPG,497-10571-5-ND,STGIPL14K60,STMicroelectronics,IGBT IPM MODULE 14A 600V 38SDIP,170,0,"14.70000","0","1","SLLIMM™","Active","IGBT","3 Phase","14A","600V","2500VDC","38-PowerDIP Module (1.146"", 29.10mm)"
http://www.st.com/content/ccc/resource/technical/document/datasheet/d3/bd/7d/c1/60/b8/48/e8/DM00123000.pdf/files/DM00123000.pdf/jcr:content/translations/en.DM00123000.pdf,//media.digikey.com/Photos/STMicro%20Photos/STGIB15CH60TS-L.JPG,497-16113-5-ND,STGIB15CH60TS-L,STMicroelectronics,"SLLIMM(TM) - 2ND SERIES IPM, 3-P",139,0,"15.31000","0","1","SLLIMM™","Active","IGBT","3 Phase Inverter","20A","600V","1500Vrms","26-PowerDIP Module (1.134"", 28.80mm)"
