Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Applications","Particle Size","Flow Rate","Pressure Range","Inlet/Outlet Size","Height","Diameter","Operating Temperature"
-,-,NTP010C01BA01-ND,NTP010C01BA01,3M,BETAPURE AU SERIES FILTER CAPSUL,0,0,"97.30000","0","1","-","Active","-","-","-","-","-","-","-","-","-"
-,-,NTP020C01AA01-ND,NTP020C01AA01,3M,BETAPURE NT-P SERIES FILTER CAPS,0,0,"97.30000","0","1","-","Active","-","-","-","-","-","-","-","-","-"
-,-,NTP050C01AA01-ND,NTP050C01AA01,3M,BETAPURE NT-P SERIES FILTER CAPS,0,0,"97.30000","0","1","-","Active","-","-","-","-","-","-","-","-","-"
-,-,NTP100C01AA01-ND,NTP100C01AA01,3M,BETAPURE NT-P SERIES FILTER CAPS,0,0,"97.30000","0","1","-","Active","-","-","-","-","-","-","-","-","-"
-,-,NTP100C01BA01-ND,NTP100C01BA01,3M,BETAPURE NT-P SERIES FILTER CAPS,0,0,"97.30000","0","1","-","Active","-","-","-","-","-","-","-","-","-"
-,-,NTP200C01AA01-ND,NTP200C01AA01,3M,NT-P SERIES FILTER CAPSULE,0,0,"97.30000","0","1","*","Active","-","-","-","-","-","-","-","-","-"
-,-,XL19PP010DA-ND,XL19PP010DA,3M,BETAFINE XL SERIES FILTER CARTRI,0,0,"97.99133","0","15","-","Active","-","-","-","-","-","-","-","-","-"
-,-,XL20PP010DA-ND,XL20PP010DA,3M,BETAFINE XL SERIES FILTER CARTRI,0,0,"97.99133","0","15","-","Active","-","-","-","-","-","-","-","-","-"
-,-,XL20PP010DC-ND,XL20PP010DC,3M,BETAFINE XL SERIES FILTER CARTRI,0,0,"97.99133","0","15","-","Active","-","-","-","-","-","-","-","-","-"
-,-,XL20PP010DG-ND,XL20PP010DG,3M,BETAFINE XL SERIES FILTER CARTRI,0,0,"97.99133","0","15","-","Active","-","-","-","-","-","-","-","-","-"
-,-,XL10PP010B2A-ND,XL10PP010B2A,3M,BETAFINE XL SERIES FILTER CARTRI,0,0,"97.99167","0","30","-","Active","-","-","-","-","-","-","-","-","-"
-,-,1GPK2NTT005-ND,1GPK2NTT005,3M,CUNO CTG-KLEAN SYSTEM WITH BETAP,0,0,"98.55167","0","6","-","Active","-","-","-","-","-","-","-","-","-"
-,-,XL10PP050B0K-ND,XL10PP050B0K,3M,BETAFINE XL SERIES FILTER CARTRI,0,0,"98.73333","0","30","-","Active","-","-","-","-","-","-","-","-","-"
