Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Number of Stacks","Lamp Type","Light Color","Function","Voltage - Supply","Features","Termination Style","Ingress Protection","Operating Temperature"
http://www.rafi.de/fileadmin/user_upload/Unternehmen/Downloadcenter/Flyer-und-Broschueren/PDFs_EN/RAFI_Brochure_Tilted_Diamond_plus_EN.pdf,//media.digikey.com/Photos/RAFI%20USA/1.69.010.003%5E1400.JPG,1715-1711-ND,1.69.010.003/1400,RAFI USA,OPTIC ELEMENT YELLOW LED STEADY,5,0,"116.00000","0","1","Tilted Diamond+","Active","Optical Element","1","LED","Yellow","Steady","24VAC/DC","-","M12","IP65 - Dust Tight, Water Resistant","-30°C ~ 60°C"
http://www.rafi.de/fileadmin/user_upload/Unternehmen/Downloadcenter/Flyer-und-Broschueren/PDFs_EN/RAFI_Brochure_Tilted_Diamond_plus_EN.pdf,//media.digikey.com/Photos/RAFI%20USA/1.69.010.003%5E1500.JPG,1715-1712-ND,1.69.010.003/1500,RAFI USA,OPTIC ELEMENT GREEN LED STEADY,5,0,"116.00000","0","1","Tilted Diamond+","Active","Optical Element","1","LED","Green","Steady","24VAC/DC","-","M12","IP65 - Dust Tight, Water Resistant","-30°C ~ 60°C"
http://www.rafi.de/fileadmin/user_upload/Unternehmen/Downloadcenter/Flyer-und-Broschueren/PDFs_EN/RAFI_Brochure_Tilted_Diamond_plus_EN.pdf,//media.digikey.com/Photos/RAFI%20USA/5.05.525.144%5E0000.JPG,1715-1714-ND,5.05.525.144/0000,RAFI USA,EXTENSION BAR 250MM,2,0,"123.75000","0","1","Tilted Diamond+","Active","Tube","-","-","-","-","-","-","-","-","-"
http://www.rafi.de/fileadmin/user_upload/Unternehmen/Downloadcenter/Flyer-und-Broschueren/PDFs_EN/RAFI_Brochure_Tilted_Diamond_plus_EN.pdf,//media.digikey.com/Photos/RAFI%20USA/5.05.525.146%5E0000.JPG,1715-1715-ND,5.05.525.146/0000,RAFI USA,EXTENSION BAR 90,2,0,"123.75000","0","1","Tilted Diamond+","Active","Tube","-","-","-","-","-","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2700125.pdf,//media.digikey.com/Photos/Phoenix%20Photos/MFG_2700125.jpg,277-12027-ND,2700125,Phoenix Contact,OPTIC ELEMENT YLW LED ROTATING,4,0,"150.00000","0","1","PSD-S","Active","Optical Element","1","LED","Yellow","Rotating","24VAC/DC","-","-","IP65 - Dust Tight, Water Resistant","-20°C ~ 50°C"
//media.digikey.com/pdf/Data%20Sheets/Hammond%20PDFs/PBR_Series.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/MFG_PBR50BG.jpg,HM1643-ND,PBR50L115,Hammond Manufacturing,BULB LIGHT 115VDC 7W,48,0,"7.02000","0","1","PBR","Active","Bulb","-","-","-","-","115VDC","-","-","-","-25°C ~ 45°C"
//media.digikey.com/pdf/Data%20Sheets/Hammond%20PDFs/PBR_Series.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/MFG_PBR50CLAM.jpg,HM1636-ND,PBR50CLAM,Hammond Manufacturing,OPTIC ELEMENT AMBER LED STEADY,24,3,"26.77000","0","1","PBR","Active","Optical Element","1","LED","Amber","Steady","230VAC, 24VDC","-","-","IP54 - Dust Protected, Water Resistant","-25°C ~ 45°C"
//media.digikey.com/pdf/Data%20Sheets/Hammond%20PDFs/PBR_Series.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/MFG_PBR50CLRE.jpg,HM1640-ND,PBR50CLRE,Hammond Manufacturing,OPTIC ELEMENT RED LED STEADY,8,0,"26.77000","0","1","PBR","Active","Optical Element","1","LED","Red","Steady","230VAC, 24VDC","-","-","IP54 - Dust Protected, Water Resistant","-25°C ~ 45°C"
//media.digikey.com/pdf/Data%20Sheets/Hammond%20PDFs/PBR_Series.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/MFG_PBR50CLBL.jpg,HM1637-ND,PBR50CLBL,Hammond Manufacturing,OPTIC ELEMENT BLUE LED STEADY,7,2,"26.77000","0","1","PBR","Active","Optical Element","1","LED","Blue","Steady","230VAC, 24VDC","-","-","IP54 - Dust Protected, Water Resistant","-25°C ~ 45°C"
//media.digikey.com/pdf/Data%20Sheets/Hammond%20PDFs/PBR_Series.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/MFG_PBR50BG.jpg,HM1646-ND,PBR50LED24,Hammond Manufacturing,BULB LED LIGHT 24V,20,2,"42.82000","0","1","PBR","Active","Bulb","-","LED","-","-","24VDC","-","-","-","-25°C ~ 45°C"
//media.digikey.com/pdf/Data%20Sheets/Hammond%20PDFs/PBR_Series.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/MFG_PBR50BG.jpg,HM1645-ND,PBR50LED115,Hammond Manufacturing,BULB LED LIGHT 115V,6,3,"42.82000","0","1","PBR","Active","Bulb","-","LED","-","-","115VDC","-","-","-","-25°C ~ 45°C"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2700122_Ds.pdf,//media.digikey.com/Photos/Phoenix%20Photos/2700122.JPG,277-9243-ND,2700122,Phoenix Contact,OPTIC ELEMENT YELLOW LED STEADY,9,23,"75.00000","0","1","PSD-S","Active","Optical Element","1","LED","Yellow","Steady","24VAC/DC","-","-","IP65 - Dust Tight, Water Resistant","-20°C ~ 50°C"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2700131_Ds.pdf,//media.digikey.com/Photos/Phoenix%20Photos/MFG_2700131.jpg,277-16701-ND,2700131,Phoenix Contact,OPTIC ELEMENT BLUE LED STEADY,4,0,"120.00000","0","1","PSD-S","Active","Optical Element","1","LED","Blue","Steady","24VAC/DC","-","-","IP65 - Dust Tight, Water Resistant","-20°C ~ 50°C"
