Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Applications","Type","Cable Length","Reel Capacity","Cable Type","Cable Diameter","Voltage","Lamp Wattage","Current Rating (Amps)","Features","Approvals"
http://www.literature.molex.com/SQLImages/kelmscott/Molex/PDF_Images/987650-8055.pdf,//media.digikey.com/Photos/Molex/MFG_1301110024.JPG,WM16521-ND,1301110024,Molex,STRINGLIGHT 100' 10SKT 12/2-WIRE,2,0,"176.90000","0","1","Pro-Yellow 130111","Active","General Purpose","String Light","100.00' (30.48m)","-","12/2","-","120VAC","150 Watt","-","10 Sockets","UL"
http://www.literature.molex.com/SQLImages/kelmscott/Molex/PDF_Images/987650-8055.pdf,//media.digikey.com/Photos/Molex/MFG_1301110027.JPG,WM16522-ND,1301110027,Molex,STRINGLIGHT 10SOCKET 200W 100',2,0,"318.97000","0","1","Pro-Yellow 130111","Active","Commercial","String Light","100.00' (30.48m)","-","14/2","-","120VAC","200 Watt","-","10 Sockets","UL"
//media.digikey.com/pdf/Data%20Sheets/Omron%20PDFs/UM_Series.pdf,//media.digikey.com/photos/Omron%20Auto/43782-4848.jpg,Z3841-ND,TKM-4848,Omron Automation and Safety,UNIVERSAL MAT TRIM KIT 48"" X 48"",2,0,"466.56000","0","1","UM5","Active","Safety","Safety Mat","16.40' (5.00m)","-","18 AWG","-","-","-","-","-","CE, CSA, cULus, TUV"
http://www.literature.molex.com/SQLImages/kelmscott/Molex/PDF_Images/987650-8062.pdf,//media.digikey.com/Photos/Molex/1300910085.jpg,WM6594-ND,1300910085,Molex,CORD REEL 35' 12-3 NO HAND LAMP,2,0,"706.59000","0","1","Super-Safeway 130091","Active","Standard","Cable Reel","35.00' (10.67m)","-","12/3","-","120VAC","-","15A","-","CSA, UL"
https://www.molex.com/webdocs/datasheets/pdf/en-us/1301260009_PUSH_BUTTONS_TESTE.pdf,-,WM22503-ND,1301260009,Molex,BUTTON COVER LEGENT SHEET,45,0,"5.81000","0","1","Woodhead Watertite 130126","Active","-","-","-","-","-","-","-","-","-","-","-"
https://www.molex.com/pdm_docs/sd/1302264374_sd.pdf,-,WM20940-ND,1302264374,Molex,REEL CABLE STOP,8,0,"33.89000","0","1","130226","Active","-","Cable Stop","-","-","-","-","-","-","-","-","-"
-,-,WM24815-ND,1301790962,Molex,CABLE HANGER,6,0,"35.44000","0","1","-","Active","-","-","-","-","-","-","-","-","-","-","-"
-,-,WM24729-ND,1301250004,Molex,CAR-FLAT CABLE,2,0,"89.69000","0","1","*","Active","-","-","-","-","-","-","-","-","-","-","-"
http://rhu004.sma-promail.com/SQLImages/kelmscott/Molex/PDF_Images/DW36.PDF#page=209,//media.digikey.com/Photos/Molex/1300990179.JPG,WM24712-ND,1300990171,Molex,WIRE MESH .43-.56 W/NUT F-3,7,0,"91.43000","0","1","MAX-LOC, Watertite 130099","Active","-","Strain Relief Grip","-","-","-","0.44"" ~ 0.56"" (11.2mm ~ 14.2mm)","-","-","-","Stainless Steel Grip","CSA, UL"
http://rhu004.sma-promail.com/SQLImages/kelmscott/Molex/PDF_Images/DW36.PDF#page=209,-,WM24713-ND,1300990175,Molex,WIRE MESH .56-.68 W/NUT F-3,2,0,"91.43000","0","1","MAX-LOC, Watertite 130099","Active","-","Strain Relief Grip","-","-","-","0.56"" ~ 0.69"" (14.2mm ~ 17.5mm)","-","-","-","Stainless Steel Grip","CSA, UL"
-,-,WM24671-ND,1300230004,Molex,SWINGER 3P SWITCH SPST NO,4,0,"98.16000","0","1","*","Active","-","-","-","-","-","-","-","-","-","-","-"
https://www.molex.com/webdocs/datasheets/pdf/en-us/1301530089_POWER_DISTRIBUTION.pdf,-,WM24067-ND,1301530089,Molex,SAFE-T-CHECK ATTACHABLE GFCI,4,0,"98.82000","0","1","-","Active","-","-","-","-","-","-","-","-","-","-","-"
https://www.molex.com/webdocs/datasheets/pdf/en-us/1300230003_PUSH_BUTTONS_TESTE.pdf,//media.digikey.com/Photos/Molex/1300230003.JPG,WM20936-ND,1300230003,Molex,SWINGER 3P SWITCH SPDT NO/NC,3,0,"103.93000","0","1","Super-Safeway","Active","-","Switch, SPDT","-","-","-","-","250VAC","-","10A","-","CSA, UL"
http://rhu004.sma-promail.com/SQLImages/kelmscott/Molex/PDF_Images/DW36.PDF#page=16,-,WM24714-ND,1301020114,Molex,HANDLAMP SIDE OUTLET&SW W/REFECT,2,0,"129.57000","0","1","Super-Safeway 130102","Active","Industrial","Hand Lamp, Incandescent","Cable Not Included","-","16/3","-","240VAC","100 Watt","-","Screw Release Guard, Side Outlet, Switch","CSA, UL"
-,//media.digikey.com/Photos/Omron%20Auto/19251-0100.jpg,Z7872-ND,19251-0100,Omron Automation and Safety,CABLE 10M FOR UMQ MATS M 4 POS,17,0,"136.08000","0","1","*","Active","-","-","-","-","-","-","-","-","-","-","-"
https://www.molex.com/webdocs/datasheets/pdf/en-us/1301180020_FESTOONS.pdf,//media.digikey.com/Photos/Molex/1301180020.jpg,WM4839-ND,1301180020,Molex,TRACK BOX FESTOON INTERMED CAR,4,0,"136.17000","0","1","Aero-Motive 130118","Active","Standard","Intermediate Car","-","-","-","-","-","-","-","-","-"
