Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Type"
https://www3.panasonic.biz/ac/e_download/fasys/uv/spot/catalog/ce_up50_1.pdf,-,ANUP50-ND,ANUP50,Panasonic Industrial Automation Sales,UJ50 CONT LAMP SPOT TYPE,0,0,"6000.03000","0","1","Bulk","UP50","Active","UV Curing Controller"
https://www.littelfuse.com/~/media/files/littelfuse/technical%20resources/documents/data%20sheets/littelfuse_alarmmonitoring_m1000_datasheet.pdf,-,M1000.0150-ND,M1000.0150,Littelfuse Inc.,ALARM ANNUNCIATOR,0,0,"6295.90000","0","1","Bulk","M1000","Active","Alarm Monitor"
https://www.littelfuse.com/~/media/files/littelfuse/technical%20resources/documents/data%20sheets/littelfuse_alarmmonitoring_m1000_datasheet.pdf,-,M1000.0280-ND,M1000.0280,Littelfuse Inc.,ALARM ANNUNCIATOR,0,0,"6455.40000","0","1","Bulk","M1000","Active","Alarm Monitor"
https://www.phoenixcontact.com/pxc-oc-itemdetail-pdf-web/eshop?lineItemType=LineItem&UID=2916794,//media.digikey.com/Photos/Phoenix%20Photos/MFG_2916794.jpg,2916794-ND,2916794,Phoenix Contact,RFC 470S PN 3TX,0,0,"6552.01000","0","1","-","*","Active","-"
-,-,NSA12-TX01B-E-ND,NSA12-TX01B-E,Omron Automation and Safety,PC INDUST 12"" BLK 1.3GHZ 512MB 1,0,0,"7521.73000","0","1","Bulk","NSA","Active","Industrial PC"
-,-,NSA12-TX01S-E-ND,NSA12-TX01S-E,Omron Automation and Safety,PC INDUST 12"" SLV 1.3GHZ 512MB 1,0,0,"7521.73000","0","1","Bulk","NSA","Active","Industrial PC"
-,-,NSA15-TX01B-E-ND,NSA15-TX01B-E,Omron Automation and Safety,PC INDUST 15"" BLK 1.3GHZ 512MB 2,0,0,"8117.25000","0","1","Bulk","NSA","Active","Industrial PC"
-,-,NSA15-TX01S-E-ND,NSA15-TX01S-E,Omron Automation and Safety,PC INDUST 15"" SLV 1.3GHZ 512MB 2,0,0,"8117.25000","0","1","Bulk","NSA","Active","Industrial PC"
https://www3.panasonic.biz/ac/e_download/fasys/uv/spot/catalog/ce_up50_1.pdf,-,ANUP5054-ND,ANUP5054,Panasonic Industrial Automation Sales,5MM 4 BRANCH,0,0,"8498.39000","0","1","Bulk","UP50","Active","UV Curing Light Guide"
https://www.phoenixcontact.com/pxc-oc-itemdetail-pdf-web/eshop?lineItemType=LineItem&UID=2700784,//media.digikey.com/Photos/Phoenix%20Photos/MFG_2700784.jpg,2700784-ND,2700784,Phoenix Contact,RFC 460R PN 3TX,0,0,"9240.07000","0","1","-","*","Active","-"
