Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Filament Material","Color","Filament Diameter","Weight","Tensile Strength","Flex Strength","Density","Operating Temperature","Features"
https://www.lulzbot.com/sites/default/files/tds_colorfabb_bronzefill.pdf,//media.digikey.com/Photos/LulzBot/MFG_RM-MT0001.JPG,RM-MT0001-ND,RM-MT0001,LulzBot,FILAMENT BRONZE PLA 0.112"" 750G,0,0,"78.00000","0","1","-","Active","PLA (Polylactide)","Bronze","0.112"" (2.85mm)","1.653 lb (750.0g)","-","-","-","215°C","Bronze Fill"
https://www.lulzbot.com/sites/default/files/tds_colorfabb_copperfill.pdf,//media.digikey.com/Photos/LulzBot/MFG_RM-MT0002.JPG,RM-MT0002-ND,RM-MT0002,LulzBot,FILAMENT COPPER PLA 0.112"" 750G,0,0,"81.12000","0","1","-","Active","PLA (Polylactide)","Copper","0.112"" (2.85mm)","1.653 lb (750.0g)","-","-","-","215°C","Copper Fill"
https://www.lulzbot.com/sites/default/files/v2//LulzBot_3D_Printing_Filament_Guide.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_TOL-13936.jpg,TOL-13936-ND,TOL-13936,SparkFun Electronics,FILAMENT INOVA 1800 3MM 1KG,0,0,"99.94000","0","1","INOVA-1800","Active","TPC (Thermoplastic Copolyester)","Black","0.118"" (3.00mm)","2.205 lb (1.00kg)","-","-","-","230°C ~ 240°C","-"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/2446_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_2446.jpg,1528-2030-ND,2446,Adafruit Industries LLC,FILAMENT GOLD TPE 0.07"" 500G,1,0,"29.95000","0","1","NinjaFlex","Obsolete","TPE (Thermoplastic Elastomer)","Gold (Satin Sheen Gold)","0.070"" (1.75mm)","1.102 lb (500.0g)","-","-","1.2g/cm³","210°C ~ 225°C","-"
-,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_1690.jpg,1690AD-ND,1690,Adafruit Industries LLC,FILAMENT NINJAFLEX 1.75MM DIA,0,0,"37.44000","0","1","NinjaFlex","Active","TPU (Thermoplastic Polyurethane)","Black","0.070"" (1.75mm)","1.102 lb (500.0g)","-","-","1.2g/cm³","210°C ~ 225°C","-"
-,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_1691.jpg,1691AD-ND,1691,Adafruit Industries LLC,FILAMENT NINJAFLEX 1.75MM DIA,0,0,"37.44000","0","1","NinjaFlex","Active","TPU (Thermoplastic Polyurethane)","White (Snow White)","0.070"" (1.75mm)","1.102 lb (500.0g)","-","-","1.2g/cm³","210°C ~ 225°C","-"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/3753_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_3753.jpg,1528-2560-ND,3753,Adafruit Industries LLC,MAGNETIC RUSTABLE IRON FILAMENT,0,0,"43.69000","0","1","Proto-Pasta","Active","PLA (Polylactide)","Gray","0.112"" (2.85mm)","1.102 lb (500.0g)","-","-","-","185°C ~ 215°C","Magnetic Iron Fill"
-,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_2069.jpg,2069AD-ND,2069,Adafruit Industries LLC,FILAMENT WHT ABS 1.75MM 1KG,0,0,"49.94000","0","1","-","Active","ABS (Acrylonitrile Butadiene Styrene)","White","0.070"" (1.75mm)","2.205 lb (1.00kg)","-","-","-","200°C ~ 250°C","-"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/3732_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_3732.jpg,1528-2556-ND,3732,Adafruit Industries LLC,PLA FILAMENT FOR 3D PRINTERS,0,0,"49.94000","0","1","-","Active","PLA (Polylactide)","Pink (Magenta)","0.112"" (2.85mm)","2.205 lb (1.00kg)","-","-","-","195°C ~ 225°C","-"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/3731_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_3731.jpg,3731-ND,3731,Adafruit Industries LLC,FILAMENT PLA FOR 3D PRINTERS,0,0,"49.94000","0","1","-","Active","PLA (Polylactide)","Silver","0.112"" (2.85mm)","2.205 lb (1.00kg)","-","-","-","195°C ~ 225°C","-"
