Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Accessory Type","For Use With/Related Products","Supplier Device Package"
https://www.ferroxcube.com/upload/media/product/file/Pr_ds/E55_28_21.pdf,//media.digikey.com/Photos/Ferroxcube/CP-E55%5E28%5E21-1S.JPG,1779-1309-ND,CP-E55/28/21-1S,Ferroxcube,COIL FORMER,430,0,"1.22000","0","1","-","Active","Bobbin (Coil Former)","E","E 55 x 28 x 21"
https://www.ferroxcube.com/upload/media/product/file/Acc_ds/432202103841.pdf,//media.digikey.com/Photos/Ferroxcube/CLM%5EP-PQ20%5E16.jpg,1779-1274-ND,CLM/P-PQ20/16,Ferroxcube,U SHAPED CLIP,609,0,"1.23000","0","1","-","Active","Yoke","PQ","PQ 20 x 16"
https://www.ferroxcube.com/upload/media/product/file/Acc_ds/433506026821.pdf,//media.digikey.com/Photos/Ferroxcube/CPV-PQ32%5E30-1S-12PD-Z.jpg,1779-1390-ND,CPV-PQ32/30-1S-12PD-Z,Ferroxcube,COIL FORMER VERTICAL,531,0,"1.24000","0","1","-","Active","Bobbin (Coil Former), Vertical","PQ","PQ 32 x 30"
https://www.tdk-electronics.tdk.com/inf/80/db/fer/pq_26_25.pdf,//media.digikey.com/Photos/Epcos%20Photos/B65878E1012D1.jpg,495-5328-ND,B65878E1012D001,EPCOS (TDK),BOBBIN COIL FORMER PQ 26 X 25,394,0,"1.30000","0","1","B65878E","Active","Bobbin (Coil Former), Vertical","PQ","PQ 26 x 25"
https://www.ferroxcube.com/upload/media/product/file/Acc_ds/432202103861.pdf,//media.digikey.com/Photos/Ferroxcube/CLM%5EP-PQ26%5E20.jpg,1779-1276-ND,CLM/P-PQ26/20,Ferroxcube,U SHAPED CLIP,324,0,"1.32000","0","1","-","Active","Clamp","PQ","PQ 26 x 20"
https://www.ferroxcube.com/upload/media/product/file/Pr_ds/P66_56.pdf,//media.digikey.com/Photos/Ferroxcube/CP-P66%5E56-1S-C.JPG,1779-1352-ND,CP-P66/56-1S-C,Ferroxcube,COIL FORMER,735,0,"1.35000","0","1","-","Active","Bobbin (Coil Former)","P","P 66 x 56"
https://www.tdk-electronics.tdk.com/inf/80/db/fer/er_9_5_5.pdf,//media.digikey.com/Photos/Epcos%20Photos/B65527B1008T1.jpg,495-5117-ND,B65527B1008T001,EPCOS (TDK),BOBBIN COIL FORMER ER 9.5 X 5,988,0,"1.37000","0","1","B65527","Active","Bobbin (Coil Former), Vertical","ER","ER 9.5 x 5"
https://www.tdk-electronics.tdk.com/inf/80/db/fer/rm_8.pdf,//media.digikey.com/Photos/Epcos%20Photos/B65812C1512T1.JPG,495-5265-ND,B65812C1512T001,EPCOS (TDK),BOBBIN COIL FORMER RM 8,84,0,"1.46000","0","1","B65812","Active","Bobbin (Coil Former), Vertical","RM","RM 8"
https://www.ferroxcube.com/upload/media/product/file/Acc_ds/432202103871.pdf,//media.digikey.com/Photos/Ferroxcube/CLM%5EP-PQ26%5E25.jpg,1779-1277-ND,CLM/P-PQ26/25,Ferroxcube,U SHAPED CLIP,588,0,"1.49000","0","1","-","Active","Clamp","PQ","PQ 26 x 25"
https://www.tdk-electronics.tdk.com/inf/80/db/fer/pq_32_20.pdf,//media.digikey.com/Photos/Epcos%20Photos/B65880E12D1.JPG,495-5329-ND,B65880E0012D001,EPCOS (TDK),BOBBIN COIL FORMER PQ 32 X 20,263,0,"1.59000","0","1","B65880E","Active","Bobbin (Coil Former), Vertical","PQ","PQ 32 x 20"
https://www.tdk-electronics.tdk.com/inf/80/db/fer/pq_32_30.pdf,//media.digikey.com/Photos/Epcos%20Photos/B65880E2012D1.jpg,495-5330-ND,B65880E2012D001,EPCOS (TDK),BOBBIN COIL FORMER PQ 32 X 30,112,0,"1.59000","0","1","B65880E","Active","Bobbin (Coil Former), Vertical","PQ","PQ 32 x 30, PQ 32 x 30"
https://www.tdk-electronics.tdk.com/inf/80/db/fer/etd_29_16_10.pdf,//media.digikey.com/Photos/Epcos%20Photos/B66359B1013T1.jpg,495-5452-ND,B66359B1013T001,EPCOS (TDK),BOBBIN COIL FORMER ETD 29X16X10,939,0,"1.78000","0","1","B66359","Active","Bobbin (Coil Former), Horizontal","ETD","ETD 29 x 16 x 10"
https://www.tdk-electronics.tdk.com/inf/80/db/fer/rm_10.pdf,//media.digikey.com/Photos/Epcos%20Photos/B65814N1008D1.jpg,495-5288-ND,B65814N1008D001,EPCOS (TDK),BOBBIN COIL FORMER RM 10,27,0,"1.80000","0","1","B65814","Active","Bobbin (Coil Former), Vertical","RM","RM 10"
https://www.tdk-electronics.tdk.com/inf/80/db/fer/rm_10.pdf,//media.digikey.com/Photos/Epcos%20Photos/B65814C1512T1.JPG,495-5287-ND,B65814C1512T001,EPCOS (TDK),BOBBIN COIL FORMER RM 10,400,0,"1.82000","0","1","B65814","Active","Bobbin (Coil Former), Vertical","RM","RM 10"
https://www.tdk-electronics.tdk.com/inf/80/db/fer/etd_29_16_10.pdf,//media.digikey.com/Photos/Epcos%20Photos/B66359W1013T1.JPG,495-5454-ND,B66359W1013T001,EPCOS (TDK),BOBBIN COIL FORMER ETD 29X16X10,293,0,"1.85000","0","1","B66359","Active","Bobbin (Coil Former), Horizontal","ETD","ETD 29 x 16 x 10"
https://www.tdk-electronics.tdk.com/inf/80/db/fer/e_30_15_7.pdf,//media.digikey.com/photos/Epcos%20Photos/B66232B1114T1.JPG,495-5380-ND,B66232B1114T001,EPCOS (TDK),BOBBIN COIL FORMER E 30 X 15 X 7,652,0,"1.92000","0","1","B66232","Active","Bobbin (Coil Former), Horizontal","E","E 30 x 15 x 7"
https://www.tdk-electronics.tdk.com/inf/80/db/fer/rm_12.pdf,//media.digikey.com/Photos/Epcos%20Photos/B65816N1011D1.JPG,495-5304-ND,B65816N1011D001,EPCOS (TDK),BOBBIN COIL FORMER RM 12,310,0,"1.92000","0","1","B65816","Active","Bobbin (Coil Former), Vertical","RM","RM 12"
https://www.tdk-electronics.tdk.com/inf/80/db/fer/etd_29_16_10.pdf,//media.digikey.com/Photos/Epcos%20Photos/B66359X1014T1.jpg,495-5455-ND,B66359X1014T001,EPCOS (TDK),BOBBIN COIL FORMER ETD 29X16X10,120,0,"2.02000","0","1","B66359","Active","Bobbin (Coil Former), Vertical","ETD","ETD 29 x 16 x 10"
