Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Core Type","Supplier Device Package","Material","Diameter","Inductance Factor (Al)","Tolerance","Gap","Effective Permeability (µe)","Initial Permeability (µi)","Core Factor (ΣI/A) mm<sup>1</sup>","Effective Length (le) mm","Effective Area (Ae) mm²","Minimum Core Cross Section (Amin) mm²","Effective Magnetic Volume (Ve) mm³","Finish","Height","Length","Width"
http://www.fair-rite.com/wp-content/themes/fair-rite/print_product.php?pid=20008,-,1934-1516-ND,3067990831,Fair-Rite Products Corp.,67 ROD,17980,0,"0.18000","0","1","-","Active","Tube","-","67","0.99mm","-","-","Ungapped","22","40","-","-","0.785","-","-","Uncoated","-","10.01mm","-"
http://www.fair-rite.com/wp-content/themes/fair-rite/print_product.php?pid=20026,-,1934-1560-ND,3061990821,Fair-Rite Products Corp.,61 ROD,13985,0,"0.22000","0","1","-","Active","Tube","-","61","0.76mm","-","-","Ungapped","35","125","-","-","0.442","-","-","Uncoated","-","7.49mm","-"
http://www.fair-rite.com/wp-content/themes/fair-rite/print_product.php?pid=20483,-,1934-1520-ND,5977000101,Fair-Rite Products Corp.,77 TOROID,3980,0,"0.22000","0","1","-","Active","Toroid","-","77","5.84mm","-","±25%","Ungapped","-","2000","-","13","2","-","27","Uncoated","1.52mm","-","-"
http://www.fair-rite.com/wp-content/themes/fair-rite/print_product.php?pid=20065,-,1934-1567-ND,3078990851,Fair-Rite Products Corp.,78 ROD,7000,0,"0.25000","0","1","-","Active","Tube","-","78","-","-","-","Ungapped","31","2300","-","-","3.14","-","-","Uncoated","-","-","-"
https://en.tdk.eu/inf/80/db/fer/r_10_0_6_00_4_00.pdf,//media.digikey.com/photos/Epcos%20Photos/B64290L0038X087.JPG,495-76608-ND,B64290L0038X027,EPCOS (TDK),FERRITE CORE,2781,0,"0.25000","0","1","B64290","Active","Toroid","-","N27","-","-","-","Gapped","-","2000","-","-","-","-","-","Epoxy","-","-","-"
https://www.fair-rite.com/wp-content/themes/fair-rite/print_product.php?pid=20233,-,1934-1506-ND,5961000811,Fair-Rite Products Corp.,61 TOROID PARYLENE COATED,9925,0,"0.26000","0","1","-","Active","Toroid","-","61","-","15nH","-","Ungapped","-","125","876","9.2","1.1","-","9.7","Parylene","-","-","-"
http://www.fair-rite.com/wp-content/themes/fair-rite/print_product.php?pid=20014,-,1934-1517-ND,3067990851,Fair-Rite Products Corp.,67 ROD,7770,0,"0.28000","0","1","-","Active","Tube","-","67","-","-","-","Ungapped","18","40","-","-","3.14","-","-","Uncoated","-","-","-"
http://www.fair-rite.com/wp-content/themes/fair-rite/print_product.php?pid=20071,-,1934-1568-ND,3078990871,Fair-Rite Products Corp.,78 ROD,11579,0,"0.29000","0","1","-","Active","Tube","-","78","3.00mm","-","-","Ungapped","36","2300","-","-","7.07","-","-","Uncoated","-","24.99mm","-"
https://www.fair-rite.com/wp-content/themes/fair-rite/print_product.php?pid=25558,-,1934-1508-ND,5980000201,Fair-Rite Products Corp.,80 TOROID,11975,0,"0.30000","0","1","-","Active","Toroid","-","-","0.374"" (9.50mm)","245nH","±25%","Ungapped","-","550","286","20.7","7.3","-","150","Uncoated","0.125"" (3.18mm)","-","-"
http://www.fair-rite.com/wp-content/themes/fair-rite/print_product.php?pid=21188,-,1934-1607-ND,7878400121,Fair-Rite Products Corp.,78 PLANAR EI CORE SET,8490,0,"0.36000","0","1","-","Active","E","-","78","-","-","±25%","Ungapped","-","2300","109","16.6","15.2","15","252","Uncoated","-","14.00mm","5.00mm"
