Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Maximum AC Volts","Maximum DC Volts","Varistor Voltage (Min)","Varistor Voltage (Typ)","Varistor Voltage (Max)","Current - Surge","Energy","Number of Circuits","Capacitance @ Frequency","Operating Temperature","Features","Mounting Type","Package / Case"
https://www.tdk-electronics.tdk.com/inf/75/ds/High_speed_series.pdf,//media.digikey.com/Renders/Epcos%20Renders/SIMID%200603.jpg,495-3421-1-ND,B72500D0300H060,EPCOS (TDK),VARISTOR 50V 0603,470729,0,"0.43000","0","1","Cut Tape (CT)","-","Active","-","30V","50V","-","-","-","-","1","15pF @ 1MHz","-40°C ~ 85°C (TA)","-","Surface Mount, MLCV","0603 (1608 Metric)"
https://www.tdk-electronics.tdk.com/inf/75/ds/High_speed_series.pdf,//media.digikey.com/Renders/Epcos%20Renders/SIMID%200603.jpg,495-3421-6-ND,B72500D0300H060,EPCOS (TDK),VARISTOR 50V 0603,470729,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","-","30V","50V","-","-","-","-","1","15pF @ 1MHz","-40°C ~ 85°C (TA)","-","Surface Mount, MLCV","0603 (1608 Metric)"
https://www.tdk-electronics.tdk.com/inf/75/ds/Standard_series.pdf,//media.digikey.com/Renders/Epcos%20Renders/SIMID%200603.jpg,495-3414-2-ND,B72500D0050A060,EPCOS (TDK),VARISTOR 6.4V 30A 0603,132000,0,"0.06680","0","4000","Tape & Reel (TR)","-","Active","-","5.6V","6.4V","-","-","30A","-","1","470pF @ 1MHz","-40°C ~ 85°C (TA)","-","Surface Mount, MLCV","0603 (1608 Metric)"
https://www.tdk-electronics.tdk.com/inf/75/ds/Standard_series.pdf,//media.digikey.com/Renders/Epcos%20Renders/SIMID%200603.jpg,495-3414-1-ND,B72500D0050A060,EPCOS (TDK),VARISTOR 6.4V 30A 0603,136043,0,"0.43000","0","1","Cut Tape (CT)","-","Active","-","5.6V","6.4V","-","-","30A","-","1","470pF @ 1MHz","-40°C ~ 85°C (TA)","-","Surface Mount, MLCV","0603 (1608 Metric)"
https://www.tdk-electronics.tdk.com/inf/75/ds/Standard_series.pdf,//media.digikey.com/Renders/Epcos%20Renders/SIMID%200603.jpg,495-3414-6-ND,B72500D0050A060,EPCOS (TDK),VARISTOR 6.4V 30A 0603,136043,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","-","5.6V","6.4V","-","-","30A","-","1","470pF @ 1MHz","-40°C ~ 85°C (TA)","-","Surface Mount, MLCV","0603 (1608 Metric)"
https://www.bourns.com/docs/Product-Datasheets/MOV07D.pdf,//media.digikey.com/Photos/Bourns%20Photos/MFG_MOV-07.jpg,MOV-07D471KTRTR-ND,MOV-07D471KTR,Bourns Inc.,VARISTOR 470V 1.2KA DISC 7MM,33000,0,"0.06900","0","1500","Tape & Reel (TR)","-","Active","300V","385V","423V","470V","517V","1.2kA","30J","1","105pF @ 1kHz","-40°C ~ 85°C (TA)","-","Through Hole","Disc 7mm"
https://www.bourns.com/docs/Product-Datasheets/MOV07D.pdf,//media.digikey.com/Photos/Bourns%20Photos/MFG_MOV-07.jpg,MOV-07D471KTRCT-ND,MOV-07D471KTR,Bourns Inc.,VARISTOR 470V 1.2KA DISC 7MM,34132,0,"0.39000","0","1","Cut Tape (CT)","-","Active","300V","385V","423V","470V","517V","1.2kA","30J","1","105pF @ 1kHz","-40°C ~ 85°C (TA)","-","Through Hole","Disc 7mm"
http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+AWC0002+EZJZ1V120KA+7+WW,//media.digikey.com/Renders/Panasonic%20Renders/ERBSE%200603%20Series.jpg,P12005TR-ND,EZJ-Z1V120KA,Panasonic Electronic Components,VARISTOR 12V 20A 0603,160000,0,"0.07620","0","4000","Tape & Reel (TR)","-","Active","-","6.7V","-","12V","-","20A","-","1","250pF @ 1MHz","-40°C ~ 85°C (TA)","-","Surface Mount, MLCV","0603 (1608 Metric)"
http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+AWC0002+EZJZ1V120KA+7+WW,//media.digikey.com/Renders/Panasonic%20Renders/ERBSE%200603%20Series.jpg,P12005CT-ND,EZJ-Z1V120KA,Panasonic Electronic Components,VARISTOR 12V 20A 0603,162077,0,"0.49000","0","1","Cut Tape (CT)","-","Active","-","6.7V","-","12V","-","20A","-","1","250pF @ 1MHz","-40°C ~ 85°C (TA)","-","Surface Mount, MLCV","0603 (1608 Metric)"
http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+AWC0002+EZJZ1V120KA+7+WW,//media.digikey.com/Renders/Panasonic%20Renders/ERBSE%200603%20Series.jpg,P12005DKR-ND,EZJ-Z1V120KA,Panasonic Electronic Components,VARISTOR 12V 20A 0603,162077,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","-","6.7V","-","12V","-","20A","-","1","250pF @ 1MHz","-40°C ~ 85°C (TA)","-","Surface Mount, MLCV","0603 (1608 Metric)"
