Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Type Attributes","Style","Specifications"
https://www.panduit.com/content/dam/panduit/en/products/assets/l/ls/ls8/ls8e/ls8eqkit/media/D-IDCB79--SA-ENG-LS8E-LS8EQPrinterBulltin-W.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/MFG_LS8EQ.jpg,298-16872-ND,LS8EQ,Panduit Corp,QWERTY LS8E PRINTER,21,0,"420.73000","0","1","PanTher™","Active","Handheld","Thermal Printer, Transfer","Labels, Tapes","Qwerty Keypad, USB Compatible"
https://www.panduit.com/content/dam/panduit/en/products/assets/l/ls/ls8/ls8e/ls8eqkit/media/D-IDCB79--SA-ENG-LS8E-LS8EQPrinterBulltin-W.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/LS8E.jpg,298-16871-ND,LS8E,Panduit Corp,LS8E PRINTER,18,0,"420.73000","0","1","PanTher™","Active","Handheld","Thermal Printer, Transfer","Labels, Tapes","USB Compatible"
http://www.panduit.com/heiler/ProductBulletins/D-IDCB79--SA-ENG-LS8E-LS8EQPrinterBulltin-W.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/LS8EQ-KIT.jpg,298-10672-ND,LS8EQ-KIT,Panduit Corp,QWERTY LS8EQ PRINTER KIT,5,0,"482.61000","0","1","PanTher™","Active","Handheld","Thermal Printer, Transfer","Labels, Tapes","Qwerty Keypad, USB Compatible"
http://www.panduit.com/heiler/ProductBulletins/D-IDCB79--SA-ENG-LS8E-LS8EQPrinterBulltin-W.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_LS8E-KIT-ACS.jpg,298-10735-ND,LS8E-KIT-ACS,Panduit Corp,LS8E PRINTER KIT WITH AC ADAPTER,10,0,"538.44000","0","1","PanTher™","Active","Handheld","Thermal Printer, Transfer","Labels, Tapes","USB Compatible"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1-1773955-4_T3212_T3224_Printers&DocType=DS&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/1-2186500-1.jpg,A141579-ND,1-2186500-1,TE Connectivity AMP Connectors,T3212-PRINTER,5,0,"3554.04000","0","1","-","Active","Desktop","Thermal Printer, Transfer - Industrial","Labels","300 dpi (12 dots/mm), 240VAC"
http://www.seeedstudio.com/document/pdf/Thermal%20Printer%20User%20Manual.pdf,//media.digikey.com/Photos/Seeed%20Technology%20Ltd/MFG_114990012_A.jpg,1597-1634-ND,114990012,"Seeed Technology Co., Ltd",EMBEDDED THERMAL PRINTER,26,0,"45.90000","0","1","-","Active","Embedded","Thermal Printer","Receipts","384 dots/line/s (8 dots/mm), 9V, Print Speed 3"" (80mm/s), Paper Width 2.2"" (57mm), Serial (TTL)"
http://www.panduit.com/heiler/PartDrawings/C060X020YJC%20Product%20Page.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/LS8E-KIT.jpg,298-10673-ND,LS8E-KIT,Panduit Corp,LS8 THERMAL PRINTER KIT,4,0,"482.61000","0","1","PanTher™","Active","Handheld","Thermal Printer, Transfer","Labels, Tapes","USB Compatible"
"//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/Thermomark_Rollmaster_300,600_UM.pdf",//media.digikey.com/Photos/Phoenix%20Photos/MFG_0804501.jpg,277-18593-ND,0804501,Phoenix Contact,THERMOMARK ROLLMASTER 300,2,2,"2835.00000","0","1","Thermomark","Active","Desktop","Thermal Printer, Transfer - Industrial","Labels, Sleeves","300 dpi, 240VAC, 10/100Mbps Ethernet, USB 2.0"
http://www.panduit.com/heiler/LineCards/D-IDLC06--SA-ENG-ThermalTransferLabels.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/MFG_TDP43HE.jpg,298-18800-ND,TDP43HE,Panduit Corp,300 DPI PRINTER W/EASY-MARK LABL,2,0,"3093.78000","0","1","-","Active","Desktop","Thermal Printer, Transfer","Labels","300 dpi (12 dots/mm), Ethernet, Print Speed 8"" (203mm/s), Parallel, Serial, USB"
"//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/Thermomark_Rollmaster_300,600_UM.pdf",//media.digikey.com/Photos/Phoenix%20Photos/MFG_0804663.jpg,277-18594-ND,0804663,Phoenix Contact,THERMOMARK ROLLMASTER 600,2,0,"3402.00000","0","1","Thermomark","Active","Desktop","Thermal Printer, Transfer - Industrial","Labels, Sleeves","600 dpi, 240VAC, 10/100Mbps Ethernet, USB 2.0"
https://www.phoenixcontact.com/pxc-oc-itemdetail-pdf-web/eshop?lineItemType=LineItem&UID=5148888,//media.digikey.com/Photos/Phoenix%20Photos/MFG_5148888.jpg,277-17484-ND,5148888,Phoenix Contact,THERMOMARK PRIME PRINTER,1,3,"3144.75000","0","1","Thermomark","Active","Desktop","Thermal Printer, Transfer","Labels","240VAC, 10/100 Mbps Ethernet, USB 2.0"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=TTDS-274&DocType=DS&DocLang=English,-,A141578-ND,1-2186502-1,TE Connectivity AMP Connectors,PRINTER T3224-PRINTER,1,0,"4008.87000","0","1","-","Active","Desktop","Thermal Printer, Transfer - Industrial","Labels","600 dpi, 240VAC, Ethernet, Serial (RS-232C), USB 2.0"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=TTDS-274&DocType=DS&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/1-2186503-1.jpg,A141581-ND,1-2186503-1,TE Connectivity AMP Connectors,T3224-SWARE-PRINTER,1,0,"4594.89000","0","1","-","Active","Desktop","Thermal Printer, Transfer - Industrial","Labels","300 dpi (12 dots/mm), 240VAC"
https://cl-pdfv10.ae-admin.com/hellermanntyton/files/556-00230.pdf,//media.digikey.com/Photos/HellermannTyton%20Photos/MFG_556-00230.jpg,1436-1654-ND,556-00230,HellermannTyton,TT230SM 300 DPI THERMAL PRINTER,1,0,"967.27000","0","1","TT230SM","Active","Desktop","Thermal Printer, Transfer","Labels","300 dpi (12 dots/mm)"
https://cl-pdfv10.ae-admin.com/hellermanntyton/files/556-00250.pdf,-,1436-2547-ND,556-00250,HellermannTyton,TT130SMC COMPACT THERMAL TRANSFE,1,0,"787.02000","0","1","TT130SMC","Active","Desktop","Thermal Printer, Transfer","Labels","300 dpi, Black, Cutter"
https://cl-pdfv10.ae-admin.com/hellermanntyton/files/556-00254.pdf,-,1436-2546-ND,556-00254,HellermannTyton,TT130SMC COMPACT THERMAL TRANSFE,1,0,"980.30000","0","1","TT130SMC","Active","Desktop","Thermal Printer, Transfer","Labels","300 dpi, Black, Cutter"
https://cl-pdfv10.ae-admin.com/hellermanntyton/files/556-00256.pdf,-,1436-2548-ND,556-00256,HellermannTyton,TT230SMC THERMAL TRANSFER PRINTE,1,0,"1174.97000","0","1","TT230SMC","Active","Desktop","Thermal Printer, Transfer","Labels","300 dpi, Black, Cutter, Ethernet, LCD Screen, Print Speed 3"" (76.2mm/s)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=TTDS-256&DocType=DS&DocLang=English,-,EC6996-000-ND,EC6996-000,TE Connectivity Raychem Cable Protection,T200-IDENT-PRINTER,1,0,"1487.42000","0","1","T200","Active","Desktop","Thermal Printer, Transfer","Labels, Markers","300 dpi (12 dots/mm), 240V, Ethernet, Print Speed 5"" (125mm/s), Paper Width 4.5"" (116mm), Serial (RS-232C), USB 2.0"
https://cl-pdfv10.ae-admin.com/hellermanntyton/files/556-00257.pdf,-,1436-2545-ND,556-00257,HellermannTyton,"TT130SMC 2-PRINTER KIT W/CUTTER,",1,0,"1668.60000","0","1","TT130SMC","Active","Desktop","Thermal Printer, Transfer","Labels","300 dpi, Black, Cutter"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1-1773955-4_T3212_T3224_Printers&DocType=DS&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/1-2186501-1.jpg,A141580-ND,1-2186501-1,TE Connectivity AMP Connectors,T3212-SWARE-PRINTER,1,0,"4116.58000","0","1","-","Active","Desktop","Thermal Printer, Transfer - Industrial","Labels","300 dpi (12 dots/mm), 240VAC"
https://www.sparkfun.com/datasheets/Components/General/cashino%20thermal%20printer%20a2.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_COM-10438_A.jpg,COM-10438-ND,COM-10438,SparkFun Electronics,THERMAL PRINTER,0,0,"49.95000","0","1","-","Active","Embedded","Thermal Printer","Receipts","384 dots/line/s (8 dots/mm), 5V, Paper Width 2.2"" (57mm), Parallel, Serial (RS-232/TTL)"
http://www.sparkfun.com/datasheets/Components/General/cashino%20thermal%20printer%20a2.pdf,-,COM-14970-ND,COM-14970,SparkFun Electronics,THERMAL PRINTER,0,0,"55.00000","0","1","-","Active","Embedded","Thermal Printer - Compact","Receipts","384 Dots-Line/s Max, 8.5V, 57.5mm Paper Width"
http://advdownload.advantech.com/productfile/PIS/96pr-102-ub2-m/Product%20-%20Datasheet/96PR-102-UB2-M_datasheet20180225090035.pdf,-,96PR-102-UB2-M-ND,96PR-102-UB2-M,Advantech Corp,MOBILE PRINTER 2"" 203DPI US,0,0,"425.93000","0","1","-","Active","Handheld","Thermal Printer, Direct","Barcodes, Labels, Receipts","203 dpi (8 dots/mm), Bluetooth 4.0, Bluetooth 4.2, Print Speed 4"" (102mm/s), Print Width 2"" (50.8mm), USB 2.0, WiFI"
http://downloadt.advantech.com/ProductFile/PIS/96pr-178-usp-d/Product%20-%20Datasheet/96PR-178-USP-D_datasheet20180225090101.pdf,-,96PR-178-USP-D-ND,96PR-178-USP-D,Advantech Corp,DESKTOP THERM PRINTER 203DPI US,0,0,"470.82000","0","1","-","Active","Desktop","Thermal Printer, Direct and Transfer","Barcodes, Labels","203 dpi (8 dots/mm), Print Speed 7"" (178mm/s), Print Width 4"" (101mm), Serial (RS-232), USB 2.0"
http://advdownload.advantech.com/productfile/PIS/96pr-102-ub3-m/Product%20-%20Datasheet/96PR-102-UB3-M_datasheet20180225090037.pdf,-,96PR-102-UB3-M-ND,96PR-102-UB3-M,Advantech Corp,MOBILE PRINTER 3"" 203DPI US,0,0,"520.89000","0","1","-","Active","Handheld","Thermal Printer, Direct","Barcodes, Labels, Receipts","203 dpi (8 dots/mm), Bluetooth, Print Speed 4"" (102mm/s), Print Width 3"" (76mm), USB 2.0"
http://advdownload.advantech.com/productfile/PIS/96pr-127-u-d/Product%20-%20Datasheet/96PR-127-U-D_datasheet20180225090049.pdf,-,96PR-127-U-D-ND,96PR-127-U-D,Advantech Corp,DESKTOP PRINTER 300DPI USB US,0,0,"526.48000","0","1","-","Active","Desktop","Thermal Printer, Direct and Transfer","Barcodes, Labels","300 dpi (12 dots/mm), Print Speed 5"" (127mm/s), Print Width 4"" (101mm), USB 2.0"
http://advdownload.advantech.com/productfile/PIS/96pr-102-ubm3-m/Product%20-%20Datasheet/96PR-102-UBM3-M_datasheet20180225090038.pdf,-,96PR-102-UBM3-M-ND,96PR-102-UBM3-M,Advantech Corp,MOBILE PRINTER 3"" 203DPI US,0,0,"544.64000","0","1","-","Active","Handheld","Thermal Printer, Direct","Barcodes, Labels, Receipts","203 dpi (8 dots/mm), Bluetooth, Print Speed 4"" (102mm/s), Print Width 3"" (76mm), USB 2.0, WiFi"
